agency_code,adm_central expense_funds2,adm_employee benefits_funds2,adm_instructional equip._funds2,adm_other objects_funds2,adm_purchased services_funds2,adm_salaries_funds2,adm_supplies & materials_funds2,adm_total_funds2,federal_funds_central expense_funds2,federal_funds_employee benefits_funds2,federal_funds_instructional equip._funds2,federal_funds_other objects_funds2,federal_funds_purchased services_funds2,federal_funds_salaries_funds2,federal_funds_supplies & materials_funds2,federal_funds_total_funds2,federal_ppe_central expense_funds2,federal_ppe_employee benefits_funds2,federal_ppe_instructional equip._funds2,federal_ppe_other objects_funds2,federal_ppe_purchased services_funds2,federal_ppe_salaries_funds2,federal_ppe_supplies & materials_funds2,federal_ppe_total_funds2,local_funds_central expense_funds2,local_funds_employee benefits_funds2,local_funds_instructional equip._funds2,local_funds_other objects_funds2,local_funds_purchased services_funds2,local_funds_salaries_funds2,local_funds_supplies & materials_funds2,local_funds_total_funds2,local_ppe_central expense_funds2,local_ppe_employee benefits_funds2,local_ppe_instructional equip._funds2,local_ppe_other objects_funds2,local_ppe_purchased services_funds2,local_ppe_salaries_funds2,local_ppe_supplies & materials_funds2,local_ppe_total_funds2,state_funds_central expense_funds2,state_funds_employee benefits_funds2,state_funds_instructional equip._funds2,state_funds_other objects_funds2,state_funds_purchased services_funds2,state_funds_salaries_funds2,state_funds_supplies & materials_funds2,state_funds_total_funds2,state_ppe_central expense_funds2,state_ppe_employee benefits_funds2,state_ppe_instructional equip._funds2,state_ppe_other objects_funds2,state_ppe_purchased services_funds2,state_ppe_salaries_funds2,state_ppe_supplies & materials_funds2,state_ppe_total_funds2,total_funds_central expense_funds2,total_funds_employee benefits_funds2,total_funds_instructional equip._funds2,total_funds_other objects_funds2,total_funds_purchased services_funds2,total_funds_salaries_funds2,total_funds_supplies & materials_funds2,total_funds_total_funds2,total_ppe_central expense_funds2,total_ppe_employee benefits_funds2,total_ppe_instructional equip._funds2,total_ppe_other objects_funds2,total_ppe_purchased services_funds2,total_ppe_salaries_funds2,total_ppe_supplies & materials_funds2,total_ppe_total_funds2
821308,798,798,798,798,798,798,798,798,33236.7,236255.88,24594.36,0.0,30667.14,278765.34,227908.8,831425.0,41.65,296.06,30.82,0.0,38.43,349.33,285.6,1041.89,256708.62,240820.44,8131.62,0.0,616207.62,752178.84,192860.64,2066904.0,321.69,301.78,10.19,0.0,772.19,942.58,241.68,2590.11,268997.82,1291746.54,87285.24,0.0,166143.6,3577944.72,97300.14,5489415.0,337.09,1618.73,109.38,0.0,208.2,4483.64,121.93,6878.97,558941,1768821,120010,0,813017,4608887,518068,8387744,700.43,2216.57,150.39,0.0,1018.82,5775.55,649.21,10510.97
821316,517,517,517,517,517,517,517,517,21533.05,250626.09,6317.74,0.0,14341.58,431307.25,157493.71,881617.0,41.65,484.77,12.22,0.0,27.74,834.25,304.63,1705.26,166313.73,143007.37,3448.39,0.0,226084.1,362913.32,114169.11,1015934.0,321.69,276.61,6.67,0.0,437.3,701.96,220.83,1965.06,174275.53,1039526.73,50836.61,0.0,38811.19,2590718.02,65519.41,3959685.0,337.09,2010.69,98.33,0.0,75.07,5011.06,126.73,7658.97,362121,1433159,60601,0,279236,3384938,337181,5857236,700.43,2772.07,117.22,0.0,540.11,6547.27,652.19,11329.29
821320,706,706,706,706,706,706,706,706,29404.9,251583.1,7271.8,0.0,33217.3,376643.94,199798.0,897916.0,41.65,356.35,10.3,0.0,47.05,533.49,283.0,1271.84,227113.14,214609.88,4447.8,0.0,291902.76,568061.72,170266.02,1476398.0,321.69,303.98,6.3,0.0,413.46,804.62,241.17,2091.22,237985.54,908424.32,69420.98,0.0,114880.32,2450010.62,100619.12,3881338.0,337.09,1286.72,98.33,0.0,162.72,3470.27,142.52,5497.65,494502,1374616,81138,0,439999,3394714,470683,6255652,700.43,1947.05,114.93,0.0,623.23,4808.38,666.69,8860.71
821330,484,484,484,484,484,484,484,484,20158.6,163287.08,3194.4,0.0,30196.76,234081.76,159763.56,610679.0,41.65,337.37,6.6,0.0,62.39,483.64,330.09,1261.74,155697.96,130897.8,2710.4,0.0,242919.6,368958.04,113919.08,1015100.0,321.69,270.45,5.6,0.0,501.9,762.31,235.37,2097.32,163151.56,716295.8,47591.72,0.0,58162.28,1939373.48,75673.4,3000245.0,337.09,1479.95,98.33,0.0,120.17,4006.97,156.35,6198.86,339006,1010479,53495,0,331277,2542412,349355,4626024,700.43,2087.77,110.53,0.0,684.46,5252.92,721.81,9557.92
830304,686,686,686,686,686,686,686,686,71158.78,141610.98,6626.76,0.0,66521.42,356569.08,299006.82,941490.0,103.73,206.43,9.66,0.0,96.97,519.78,435.87,1372.44,154994.84,184232.16,2037.42,0.0,461849.5,528988.32,218504.72,1550604.0,225.94,268.56,2.97,0.0,673.25,771.12,318.52,2260.36,199763.2,1045635.5,57370.18,0.0,241252.48,2978783.5,230283.34,4753086.0,291.2,1524.25,83.63,0.0,351.68,4342.25,335.69,6928.7,425915,1371477,66033,0,769622,3864340,747793,7245180,620.87,1999.24,96.26,0.0,1121.9,5633.15,1090.08,10561.5
830312,260,260,260,260,260,260,260,260,26969.8,73912.8,2428.4,0.0,26174.2,182551.2,106776.8,418810.0,103.73,284.28,9.34,0.0,100.67,702.12,410.68,1610.82,58744.4,124313.8,748.8,0.0,166452.0,295092.2,85238.4,730587.0,225.94,478.13,2.88,0.0,640.2,1134.97,327.84,2809.96,75712.0,468946.4,21743.8,0.0,91436.8,1249651.0,87279.4,1994767.0,291.2,1803.64,83.63,0.0,351.68,4806.35,335.69,7672.19,161425,667171,24919,0,284062,1727294,279293,3144164,620.87,2566.05,95.85,0.0,1092.55,6643.44,1074.21,12092.97
830316,44,44,44,44,44,44,44,44,4564.12,15146.56,1506.12,0.0,3297.36,29739.16,14050.52,68302.0,103.73,344.24,34.23,0.0,74.94,675.89,319.33,1552.36,9941.36,40947.28,430.76,0.0,63647.76,87463.2,22977.68,225405.0,225.94,930.62,9.79,0.0,1446.54,1987.8,522.22,5122.91,12812.8,345725.16,3679.72,0.0,15473.92,1031532.04,14770.36,1423991.0,291.2,7857.39,83.63,0.0,351.68,23443.91,335.69,32363.5,27317,401818,5615,0,82417,1148734,51797,1717698,620.87,9132.25,127.65,0.0,1873.16,26107.6,1177.24,39038.77
830320,359,359,359,359,359,359,359,359,37239.07,149221.94,4968.56,0.0,31448.4,367048.78,171609.18,761533.0,103.73,415.66,13.84,0.0,87.6,1022.42,478.02,2121.27,81112.46,101442.63,1482.67,0.0,239564.29,240813.61,124418.63,788831.0,225.94,282.57,4.13,0.0,667.31,670.79,346.57,2197.31,104540.8,735781.27,30023.17,0.0,126253.12,2065775.75,120512.71,3182884.0,291.2,2049.53,83.63,0.0,351.68,5754.25,335.69,8865.98,222891,986444,36473,0,397265,2673636,416539,4733248,620.87,2747.76,101.6,0.0,1106.59,7447.46,1160.28,13184.56
830328,737,737,737,737,737,737,737,737,76449.01,218387.84,8305.99,0.0,63020.87,574646.27,390049.88,1330856.0,103.73,296.32,11.27,0.0,85.51,779.71,529.24,1805.78,166517.78,219102.73,2513.17,0.0,481268.37,529622.94,253461.67,1652483.0,225.94,297.29,3.41,0.0,653.01,718.62,343.91,2242.18,214614.4,1270772.25,61635.31,0.0,259188.16,3569335.22,247403.53,5622947.0,291.2,1724.25,83.63,0.0,351.68,4843.06,335.69,7629.51,457580,1708261,72453,0,803476,4673603,890913,8606286,620.87,2317.86,98.31,0.0,1090.2,6341.39,1208.84,11677.47
830343,1299,1299,1299,1299,1299,1299,1299,1299,134745.27,240756.66,19887.69,0.0,84019.32,536123.28,287117.97,1302647.0,103.73,185.34,15.31,0.0,64.68,412.72,221.03,1002.81,293496.06,479318.01,5884.47,0.0,1041356.34,1259432.46,419252.25,3498738.0,225.94,368.99,4.53,0.0,801.66,969.54,322.75,2693.41,378268.8,2348241.27,108635.37,0.0,457975.44,6790145.79,438269.61,10521533.0,291.2,1807.73,83.63,0.0,352.56,5227.21,337.39,8099.72,806509,3068315,134406,0,1583350,8585700,1144638,15322918,620.87,2362.06,103.47,0.0,1218.9,6609.47,881.17,11795.94
