agency_code,adm_central expense_funds2,adm_employee benefits_funds2,adm_instructional equip._funds2,adm_other objects_funds2,adm_purchased services_funds2,adm_salaries_funds2,adm_supplies & materials_funds2,adm_total_funds2,federal_funds_central expense_funds2,federal_funds_employee benefits_funds2,federal_funds_instructional equip._funds2,federal_funds_other objects_funds2,federal_funds_purchased services_funds2,federal_funds_salaries_funds2,federal_funds_supplies & materials_funds2,federal_funds_total_funds2,federal_ppe_central expense_funds2,federal_ppe_employee benefits_funds2,federal_ppe_instructional equip._funds2,federal_ppe_other objects_funds2,federal_ppe_purchased services_funds2,federal_ppe_salaries_funds2,federal_ppe_supplies & materials_funds2,federal_ppe_total_funds2,local_funds_central expense_funds2,local_funds_employee benefits_funds2,local_funds_instructional equip._funds2,local_funds_other objects_funds2,local_funds_purchased services_funds2,local_funds_salaries_funds2,local_funds_supplies & materials_funds2,local_funds_total_funds2,local_ppe_central expense_funds2,local_ppe_employee benefits_funds2,local_ppe_instructional equip._funds2,local_ppe_other objects_funds2,local_ppe_purchased services_funds2,local_ppe_salaries_funds2,local_ppe_supplies & materials_funds2,local_ppe_total_funds2,state_funds_central expense_funds2,state_funds_employee benefits_funds2,state_funds_instructional equip._funds2,state_funds_other objects_funds2,state_funds_purchased services_funds2,state_funds_salaries_funds2,state_funds_supplies & materials_funds2,state_funds_total_funds2,state_ppe_central expense_funds2,state_ppe_employee benefits_funds2,state_ppe_instructional equip._funds2,state_ppe_other objects_funds2,state_ppe_purchased services_funds2,state_ppe_salaries_funds2,state_ppe_supplies & materials_funds2,state_ppe_total_funds2,total_funds_central expense_funds2,total_funds_employee benefits_funds2,total_funds_instructional equip._funds2,total_funds_other objects_funds2,total_funds_purchased services_funds2,total_funds_salaries_funds2,total_funds_supplies & materials_funds2,total_funds_total_funds2,total_ppe_central expense_funds2,total_ppe_employee benefits_funds2,total_ppe_instructional equip._funds2,total_ppe_other objects_funds2,total_ppe_purchased services_funds2,total_ppe_salaries_funds2,total_ppe_supplies & materials_funds2,total_ppe_total_funds2
010303,223,223,223,223,223,223,223,223,4720.91,1184.13,1973.55,0.0,8841.95,13322.02,6654.32,36694.0,21.17,5.31,8.85,0.0,39.65,59.74,29.84,164.56,62765.58,39254.69,722.52,0.0,33940.6,130243.15,10802.12,277726.0,281.46,176.03,3.24,0.0,152.2,584.05,48.44,1245.42,31304.74,259306.63,6134.73,0.0,20172.58,656068.23,113032.01,1086016.0,140.38,1162.81,27.51,0.0,90.46,2942.01,506.87,4870.04,98789,299744,8829,0,62953,799633,130488,1400436,443.01,1344.15,39.6,0.0,282.31,3585.8,585.15,6280.02
010304,605,605,605,605,605,605,605,605,12807.85,47577.2,9510.6,0.0,26323.55,141999.55,163422.6,401638.0,21.17,78.64,15.72,0.0,43.51,234.71,270.12,663.87,170283.3,140160.35,2776.95,0.0,166792.45,475651.0,55847.55,1011509.0,281.46,231.67,4.59,0.0,275.69,786.2,92.31,1671.92,84929.9,933835.65,16643.55,0.0,54728.3,2592673.05,74735.65,3757543.0,140.38,1543.53,27.51,0.0,90.46,4285.41,123.53,6210.82,268019,1121572,28929,0,247843,3210323,294004,5170690,443.01,1853.84,47.82,0.0,409.66,5306.32,485.96,8546.61
010308,613,613,613,613,613,613,613,613,12977.21,34634.5,6559.1,0.0,28786.48,95891.59,131678.53,310525.0,21.17,56.5,10.7,0.0,46.96,156.43,214.81,506.57,172534.98,147359.07,2206.8,0.0,163548.4,478403.59,73621.3,1037671.0,281.46,240.39,3.6,0.0,266.8,780.43,120.1,1692.78,86052.94,1089313.26,16863.63,0.0,55451.98,2866081.5,44037.92,4157797.0,140.38,1777.02,27.51,0.0,90.46,4675.5,71.84,6782.71,271563,1271306,25628,0,247785,3440375,249336,5505993,443.01,2073.91,41.81,0.0,404.22,5612.36,406.75,8982.06
010310,758,758,758,758,758,758,758,758,16046.86,262874.4,8588.14,0.0,92028.78,700710.36,478548.14,1558794.0,21.17,346.8,11.33,0.0,121.41,924.42,631.33,2056.46,213346.68,314183.42,7852.88,0.0,366720.4,985991.24,234146.2,2122238.0,281.46,414.49,10.36,0.0,483.8,1300.78,308.9,2799.79,106408.04,998051.02,20852.58,0.0,116186.24,2576146.38,47920.76,3865563.0,140.38,1316.69,27.51,0.0,153.28,3398.61,63.22,5099.69,335800,1575108,37292,0,574934,4262847,760614,7546595,443.01,2077.98,49.2,0.0,758.49,5623.81,1003.45,9955.94
010312,734,734,734,734,734,734,734,734,15538.78,87081.76,5820.62,0.0,32523.54,243387.06,159307.36,543656.0,21.17,118.64,7.93,0.0,44.31,331.59,217.04,740.68,206591.64,194906.36,2238.7,0.0,196066.08,633016.28,71946.68,1304763.0,281.46,265.54,3.05,0.0,267.12,862.42,98.02,1777.61,103038.92,1312120.42,20192.34,0.0,66544.44,3349609.0,85540.36,4937043.0,140.38,1787.63,27.51,0.0,90.66,4563.5,116.54,6726.22,325167,1594107,28250,0,295133,4226012,316793,6785462,443.01,2171.81,38.49,0.0,402.09,5757.51,431.6,9244.51
010320,370,370,370,370,370,370,370,370,7832.9,42513.0,16402.1,0.0,15421.6,130169.7,89884.1,302221.0,21.17,114.9,44.33,0.0,41.68,351.81,242.93,816.82,104140.2,88851.8,3792.5,0.0,110430.2,316860.6,50926.8,674999.0,281.46,240.14,10.25,0.0,298.46,856.38,137.64,1824.33,51940.6,776948.2,10178.7,0.0,33470.2,2155353.6,40914.6,3068803.0,140.38,2099.86,27.51,0.0,90.46,5825.28,110.58,8294.07,163912,908312,30372,0,159321,2602382,181724,4046023,443.01,2454.9,82.09,0.0,430.6,7033.47,491.15,10935.22
010324,1191,1191,1191,1191,1191,1191,1191,1191,25213.47,121231.89,37111.56,0.0,52511.19,310315.05,231316.02,777697.0,21.17,101.79,31.16,0.0,44.09,260.55,194.22,652.98,335218.86,309124.05,18079.38,0.0,393887.52,999915.96,166477.98,2222700.0,281.46,259.55,15.18,0.0,330.72,839.56,139.78,1866.25,167192.58,1586733.57,32764.41,0.0,120231.45,4263982.47,91659.36,6262561.0,140.38,1332.27,27.51,0.0,100.95,3580.17,76.96,5258.24,527623,2017088,87954,0,566629,5574212,489452,9262958,443.01,1693.61,73.85,0.0,475.76,4680.28,410.96,7777.47
010326,592,592,592,592,592,592,592,592,12532.64,135739.68,4516.96,0.0,51752.64,385356.48,343993.44,933888.0,21.17,229.29,7.63,0.0,87.42,650.94,581.07,1577.52,166624.32,157827.2,6855.36,0.0,156578.08,484327.04,107726.24,1079937.0,281.46,266.6,11.58,0.0,264.49,818.12,181.97,1824.22,83104.96,810625.6,16285.92,0.0,53771.36,2558393.12,14705.28,3536883.0,140.38,1369.3,27.51,0.0,90.83,4321.61,24.84,5974.47,262260,1104191,27656,0,262101,3428076,466424,5550708,443.01,1865.19,46.72,0.0,442.74,5790.67,787.88,9376.21
010328,536,536,536,536,536,536,536,536,11347.12,56505.12,5896.0,0.0,23943.12,168850.72,102027.6,368568.0,21.17,105.42,11.0,0.0,44.67,315.02,190.35,687.63,150862.56,148788.24,51959.84,0.0,159202.72,473588.16,85599.2,1069998.0,281.46,277.59,96.94,0.0,297.02,883.56,159.7,1996.27,75243.68,971671.52,14745.36,0.0,48486.56,2493616.72,18877.92,3622638.0,140.38,1812.82,27.51,0.0,90.46,4652.27,35.22,6758.66,237452,1176964,72600,0,231631,3136054,206503,5061204,443.01,2195.83,135.45,0.0,432.15,5850.85,385.27,9442.56
010340,727,727,727,727,727,727,727,727,15390.59,50817.3,26382.83,0.0,33071.23,154952.78,178253.13,458865.0,21.17,69.9,36.29,0.0,45.49,213.14,245.19,631.18,204621.42,157097.43,6295.82,0.0,197918.48,508943.62,119424.29,1194298.0,281.46,216.09,8.66,0.0,272.24,700.06,164.27,1642.78,102056.26,1030253.51,19999.77,0.0,65764.42,3083563.23,32373.31,4334008.0,140.38,1417.13,27.51,0.0,90.46,4241.49,44.53,5961.5,322067,1238167,52676,0,296753,3747458,330050,5987171,443.01,1703.12,72.46,0.0,408.19,5154.69,453.99,8235.46
010346,377,377,377,377,377,377,377,377,7981.09,76485.76,20866.95,0.0,20195.89,184873.26,119588.17,429988.0,21.17,202.88,55.35,0.0,53.57,490.38,317.21,1140.56,106110.42,95950.27,4689.88,0.0,133638.96,307356.79,67961.79,715704.0,281.46,254.51,12.44,0.0,354.48,815.27,180.27,1898.43,52923.26,738701.34,10371.27,0.0,34307.0,1889953.78,14812.33,2741067.0,140.38,1959.42,27.51,0.0,91.0,5013.14,39.29,7270.74,167014,911136,35926,0,188140,2382182,202361,3886759,443.01,2416.81,95.3,0.0,499.05,6318.79,536.77,10309.73
010347,609,609,609,609,609,609,609,609,12892.53,210202.44,6814.71,0.0,29408.61,472273.41,318872.4,1050461.0,21.17,345.16,11.19,0.0,48.29,775.49,523.6,1724.9,171409.14,164563.98,2253.3,0.0,120435.84,517077.54,114912.21,1090649.0,281.46,270.22,3.7,0.0,197.76,849.06,188.69,1790.89,85491.42,1058368.92,16753.59,0.0,55090.14,2788574.46,29658.3,4033934.0,140.38,1737.88,27.51,0.0,90.46,4578.94,48.7,6623.87,269792,1433133,25820,0,204933,3777924,463442,6175044,443.01,2353.26,42.4,0.0,336.51,6203.49,760.99,10139.66
010348,734,734,734,734,734,734,734,734,15538.78,130923.58,6349.1,0.0,36934.88,296521.32,199794.8,686059.0,21.17,178.37,8.65,0.0,50.32,403.98,272.2,934.69,206591.64,249758.18,2348.8,0.0,296851.62,835042.44,177429.82,1768019.0,281.46,340.27,3.2,0.0,404.43,1137.66,241.73,2408.75,103038.92,1328018.86,20192.34,0.0,71403.52,3577215.06,95882.42,5195748.0,140.38,1809.29,27.51,0.0,97.28,4873.59,130.63,7078.68,325167,1708699,28889,0,405188,4708778,473105,7649826,443.01,2327.93,39.36,0.0,552.03,6415.23,644.56,10422.12
010350,701,701,701,701,701,701,701,701,14840.17,140038.77,12730.16,0.0,55533.22,368466.63,329434.95,921041.0,21.17,199.77,18.16,0.0,79.22,525.63,469.95,1313.9,197303.46,220576.66,6273.95,0.0,212094.56,696892.14,110610.79,1443748.0,281.46,314.66,8.95,0.0,302.56,994.14,157.79,2059.56,98406.38,1048457.66,19284.51,0.0,63433.49,2725950.66,25719.69,3981249.0,140.38,1495.66,27.51,0.0,90.49,3888.66,36.69,5679.39,310549,1409071,38287,0,331060,3791308,465763,6346038,443.01,2010.09,54.62,0.0,472.27,5408.43,664.43,9052.85
010351,462,462,462,462,462,462,462,462,9780.54,144495.12,6486.48,0.0,25049.64,377721.96,302318.94,865849.0,21.17,312.76,14.04,0.0,54.22,817.58,654.37,1874.14,130034.52,116345.46,1968.12,0.0,124217.94,379283.52,97408.08,849255.0,281.46,251.83,4.26,0.0,268.87,820.96,210.84,1838.22,64855.56,886638.06,12709.62,0.0,41792.52,2323693.68,10570.56,3340257.0,140.38,1919.13,27.51,0.0,90.46,5029.64,22.88,7230.0,204669,1147478,21163,0,191058,3080697,410296,5055361,443.01,2483.72,45.81,0.0,413.55,6668.18,888.09,10942.36
010353,676,676,676,676,676,676,676,676,14310.92,73190.52,4732.0,0.0,28074.28,223384.2,34070.4,377760.0,21.17,108.27,7.0,0.0,41.53,330.45,50.4,558.82,190266.96,201529.12,1940.12,0.0,295405.24,647121.28,90739.48,1427000.0,281.46,298.12,2.87,0.0,436.99,957.28,134.23,2110.95,94896.88,1004637.4,18596.76,0.0,61441.64,2763150.0,44386.16,3987106.0,140.38,1486.15,27.51,0.0,90.89,4087.5,65.66,5898.09,299472,1279356,25268,0,384920,3633655,169195,5791866,443.01,1892.54,37.38,0.0,569.41,5375.23,250.29,8567.86
010354,621,621,621,621,621,621,621,621,13146.57,120281.49,60826.95,0.0,67887.72,297403.11,515926.8,1075469.0,21.17,193.69,97.95,0.0,109.32,478.91,830.8,1731.84,174786.66,130559.04,10513.53,0.0,182008.89,433159.92,119970.99,1050995.0,281.46,210.24,16.93,0.0,293.09,697.52,193.19,1692.43,87175.98,1047850.56,17083.71,0.0,56175.66,2764772.73,18934.29,3991989.0,140.38,1687.36,27.51,0.0,90.46,4452.13,30.49,6428.33,275107,1298690,88422,0,306070,3495334,654830,6118453,443.01,2091.29,142.39,0.0,492.87,5628.56,1054.48,9852.6
010357,480,480,480,480,480,480,480,480,10161.6,79876.8,11668.8,0.0,47452.8,208723.2,436104.0,793984.0,21.17,166.41,24.31,0.0,98.86,434.84,908.55,1654.14,135100.8,62107.2,53020.8,0.0,89673.6,177139.2,101558.4,618597.0,281.46,129.39,110.46,0.0,186.82,369.04,211.58,1288.75,67382.4,951518.4,13204.8,0.0,143577.6,2567366.4,55353.6,3798400.0,140.38,1982.33,27.51,0.0,299.12,5348.68,115.32,7913.34,212643,1093501,77892,0,280702,2953228,593015,5210981,443.01,2278.13,162.28,0.0,584.8,6152.56,1235.45,10856.23
010358,590,590,590,590,590,590,590,590,12490.3,141588.2,10979.9,0.0,29157.8,367983.0,459875.5,1022072.0,21.17,239.98,18.61,0.0,49.42,623.7,779.45,1732.33,166061.4,195266.4,56758.0,0.0,214836.7,588766.9,124779.1,1346466.0,281.46,330.96,96.2,0.0,364.13,997.91,211.49,2282.15,82824.2,874031.9,16230.9,0.0,83290.3,2399665.7,17281.1,3473321.0,140.38,1481.41,27.51,0.0,141.17,4067.23,29.29,5886.99,261375,1210885,83967,0,327283,3356414,601935,5841859,443.01,2052.35,142.32,0.0,554.72,5688.84,1020.23,9901.47
010360,932,932,932,932,932,932,932,932,19730.44,167722.72,22368.0,0.0,41762.92,427694.8,287438.12,966714.0,21.17,179.96,24.0,0.0,44.81,458.9,308.41,1037.25,262320.72,299479.56,5806.36,0.0,163239.8,973921.36,149586.0,1854351.0,281.46,321.33,6.23,0.0,175.15,1044.98,160.5,1989.65,130834.16,1514322.92,25639.32,0.0,92016.36,4152880.16,58427.08,5974118.0,140.38,1624.81,27.51,0.0,98.73,4455.88,62.69,6410.0,412884,1981523,53813,0,297017,5554495,495451,8795183,443.01,2126.1,57.74,0.0,318.69,5959.76,531.6,9436.9
010362,521,521,521,521,521,521,521,521,11029.57,51313.29,7200.22,0.0,21861.16,145916.47,122388.11,359707.0,21.17,98.49,13.82,0.0,41.96,280.07,234.91,690.42,146640.66,142014.18,2198.62,0.0,177113.95,471103.83,82927.57,1021995.0,281.46,272.58,4.22,0.0,339.95,904.23,159.17,1961.61,73137.98,870846.29,14332.71,0.0,47129.66,2510537.49,24507.84,3540488.0,140.38,1671.49,27.51,0.0,90.46,4818.69,47.04,6795.57,230806,1064173,23730,0,246103,3127556,229822,4922190,443.01,2042.56,45.55,0.0,472.37,6002.99,441.12,9447.6
010364,353,353,353,353,353,353,353,353,7473.01,78719.0,10699.43,0.0,15923.83,224719.8,259479.71,597012.0,21.17,223.0,30.31,0.0,45.11,636.6,735.07,1691.26,99355.38,128654.38,2640.44,0.0,110083.05,424577.81,66424.01,831733.0,281.46,364.46,7.48,0.0,311.85,1202.77,188.17,2356.19,49554.14,711718.6,9711.03,0.0,31932.38,1852519.29,10660.6,2666094.0,140.38,2016.2,27.51,0.0,90.46,5247.93,30.2,7552.68,156382,919091,23050,0,157938,2501815,336563,4094839,443.01,2603.66,65.3,0.0,447.42,7087.3,953.44,11600.13
010372,315,315,315,315,315,315,315,315,6668.55,67359.6,8631.0,0.0,41047.65,172585.35,190401.75,486691.0,21.17,213.84,27.4,0.0,130.31,547.89,604.45,1545.06,88659.9,91879.2,2176.65,0.0,79408.35,286627.95,79663.5,628412.0,281.46,291.68,6.91,0.0,252.09,909.93,252.9,1994.97,44219.7,600966.45,8665.65,0.0,28507.5,1557448.2,11806.2,2251611.0,140.38,1907.83,27.51,0.0,90.5,4944.28,37.48,7147.98,139546,760204,19472,0,148962,2016660,281870,3366714,443.01,2413.35,61.82,0.0,472.9,6402.1,894.83,10688.01
010374,561,561,561,561,561,561,561,561,11876.37,179245.11,9929.7,0.0,86629.62,472777.14,304286.4,1064742.0,21.17,319.51,17.7,0.0,154.42,842.74,542.4,1897.94,157899.06,203693.49,52526.43,0.0,184770.96,646502.01,92677.2,1338067.0,281.46,363.09,93.63,0.0,329.36,1152.41,165.2,2385.15,78753.18,937543.2,15433.11,0.0,51668.1,2556751.89,27690.96,3667838.0,140.38,1671.2,27.51,0.0,92.1,4557.49,49.36,6538.04,248528,1320481,77888,0,323067,3676030,424653,6070647,443.01,2353.8,138.84,0.0,575.88,6552.64,756.96,10821.13
010378,91,91,91,91,91,91,91,91,1926.47,106590.12,2799.16,0.0,3618.16,239381.87,5640.18,359954.0,21.17,1171.32,30.76,0.0,39.76,2630.57,61.98,3955.56,25612.86,93989.35,689.78,0.0,72649.85,332466.68,19515.86,544920.0,281.46,1032.85,7.58,0.0,798.35,3653.48,214.46,5988.18,12774.58,580746.53,2503.41,0.0,8747.83,1513861.44,2329.6,2120960.0,140.38,6381.83,27.51,0.0,96.13,16635.84,25.6,23307.29,40312,781325,5991,0,85014,2085708,27484,3025834,443.01,8586.0,65.85,0.0,934.24,22919.89,302.04,33251.03
010380,569,569,569,569,569,569,569,569,12045.73,126807.34,4398.37,0.0,28307.75,338264.81,210228.43,720049.0,21.17,222.86,7.73,0.0,49.75,594.49,369.47,1265.47,160150.74,155217.51,48922.62,0.0,170165.14,513767.17,99722.94,1147943.0,281.46,272.79,85.98,0.0,299.06,902.93,175.26,2017.48,79876.22,969274.43,15653.19,0.0,98545.11,2657781.93,28666.22,3849795.0,140.38,1703.47,27.51,0.0,173.19,4670.97,50.38,6765.9,252071,1251298,68973,0,297017,3509812,338616,5717787,443.01,2199.12,121.22,0.0,522.0,6168.39,595.11,10048.85
010384,639,639,639,639,639,639,639,639,13527.63,50014.53,9904.5,0.0,26537.67,143576.91,131263.38,374821.0,21.17,78.27,15.5,0.0,41.53,224.69,205.42,586.58,179852.94,163047.24,51420.33,0.0,180523.89,520989.48,76507.47,1172338.0,281.46,255.16,80.47,0.0,282.51,815.32,119.73,1834.65,89702.82,1025032.68,17578.89,0.0,57803.94,2737143.72,42761.88,3970019.0,140.38,1604.12,27.51,0.0,90.46,4283.48,66.92,6212.87,283081,1238093,78902,0,264863,3401708,250531,5517178,443.01,1937.55,123.48,0.0,414.5,5323.49,392.07,8634.1
010388,1400,1400,1400,1400,1400,1400,1400,1400,29638.0,102844.0,6286.0,0.0,171080.0,278628.0,238210.0,826686.0,21.17,73.46,4.49,0.0,122.2,199.02,170.15,590.49,394044.0,341922.0,3318.0,0.0,447790.0,1159214.0,213332.0,2559620.0,281.46,244.23,2.37,0.0,319.85,828.01,152.38,1828.3,196532.0,2016560.0,38514.0,0.0,156912.0,5381810.0,108864.0,7899192.0,140.38,1440.4,27.51,0.0,112.08,3844.15,77.76,5642.28,620214,2461326,48118,0,775782,6819652,560406,11285498,443.01,1758.09,34.37,0.0,554.13,4871.18,400.29,8061.07
010390,718,718,718,718,718,718,718,718,15200.06,73752.96,10655.12,0.0,30558.08,197335.12,160501.72,488001.0,21.17,102.72,14.84,0.0,42.56,274.84,223.54,679.67,202088.28,225538.16,3173.56,0.0,211386.38,706275.06,125506.4,1473966.0,281.46,314.12,4.42,0.0,294.41,983.67,174.8,2052.88,100792.84,1025282.46,19752.18,0.0,65395.44,2696046.92,29904.7,3937171.0,140.38,1427.97,27.51,0.0,91.08,3754.94,41.65,5483.53,318080,1324572,33580,0,307339,3599656,315911,5899138,443.01,1844.81,46.77,0.0,428.05,5013.45,439.99,8216.08
010392,276,276,276,276,276,276,276,276,5842.92,67882.2,9560.64,0.0,29037.96,168721.56,124945.2,405987.0,21.17,245.95,34.64,0.0,105.21,611.31,452.7,1470.98,77682.96,90323.76,49072.8,0.0,101145.72,284757.48,65058.72,668037.0,281.46,327.26,177.8,0.0,366.47,1031.73,235.72,2420.44,38744.88,597440.64,7592.76,0.0,24966.96,1524138.24,10253.4,2203133.0,140.38,2164.64,27.51,0.0,90.46,5522.24,37.15,7982.38,122268,755645,66224,0,155148,1977616,200256,3277157,443.01,2737.85,239.95,0.0,562.14,7165.28,725.57,11873.8
010394,931,931,931,931,931,931,931,931,19709.27,159498.92,7401.45,0.0,111114.85,429656.5,324593.15,1051971.0,21.17,171.32,7.95,0.0,119.35,461.5,348.65,1129.94,262039.26,265260.52,2848.86,0.0,252105.49,869097.81,169674.75,1821023.0,281.46,284.92,3.06,0.0,270.79,933.51,182.25,1955.99,130693.78,1248396.52,25611.81,0.0,84562.73,3415513.15,21980.91,4926755.0,140.38,1340.92,27.51,0.0,90.83,3668.65,23.61,5291.9,412441,1673154,35860,0,447781,4714266,516247,7799749,443.01,1797.16,38.52,0.0,480.97,5063.66,554.51,8377.83
010396,1139,1139,1139,1139,1139,1139,1139,1139,24112.63,93272.71,24385.99,0.0,55776.83,272107.1,218243.79,687895.0,21.17,81.89,21.41,0.0,48.97,238.9,191.61,603.95,320582.94,351313.16,6515.08,0.0,379651.48,1112541.03,190600.26,2361202.0,281.46,308.44,5.72,0.0,333.32,976.77,167.34,2073.05,159892.82,1681072.88,31333.89,0.0,109719.87,4546284.33,79604.71,6607904.0,140.38,1475.92,27.51,0.0,96.33,3991.47,69.89,5801.5,504586,2125657,62233,0,545146,5930932,488447,9657001,443.01,1866.25,54.64,0.0,478.62,5207.14,428.84,8478.5
010400,1118,1118,1118,1118,1118,1118,1118,1118,23668.06,129654.46,22561.24,0.0,92939.34,330614.96,248933.88,848369.0,21.17,115.97,20.18,0.0,83.13,295.72,222.66,758.83,314672.28,271428.04,10196.16,0.0,352382.42,877764.16,87204.0,1913646.0,281.46,242.78,9.12,0.0,315.19,785.12,78.0,1711.67,156944.84,1748171.88,30756.18,0.0,108591.34,4569836.18,56380.74,6670678.0,140.38,1563.66,27.51,0.0,97.13,4087.51,50.43,5966.62,495284,2149253,63513,0,553912,5778214,392517,9432693,443.01,1922.41,56.81,0.0,495.45,5168.35,351.09,8437.12
010403,832,832,832,832,832,832,832,832,17613.44,56559.36,7080.32,0.0,36749.44,149901.44,198889.6,466791.0,21.17,67.98,8.51,0.0,44.17,180.17,239.05,561.05,234174.72,279210.88,2637.44,0.0,258244.48,878675.2,122362.24,1775302.0,281.46,335.59,3.17,0.0,310.39,1056.1,147.07,2133.78,116796.16,1167986.56,22888.32,0.0,75262.72,3148046.72,44096.0,4575074.0,140.38,1403.83,27.51,0.0,90.46,3783.71,53.0,5498.89,368583,1503755,32605,0,370255,4176622,365347,6817167,443.01,1807.4,39.19,0.0,445.02,5019.98,439.12,8193.72
010406,585,585,585,585,585,585,585,585,12384.45,41710.5,5212.35,0.0,27108.9,116087.4,136123.65,338624.0,21.17,71.3,8.91,0.0,46.34,198.44,232.69,578.85,164654.1,165145.5,1901.25,0.0,196232.4,529091.55,91026.0,1148049.0,281.46,282.3,3.25,0.0,335.44,904.43,155.6,1962.48,82122.3,926329.95,16093.35,0.0,52919.1,2478697.65,24371.1,3580531.0,140.38,1583.47,27.51,0.0,90.46,4237.09,41.66,6120.57,259160,1133184,23206,0,276259,3123875,251520,5067204,443.01,1937.07,39.67,0.0,472.24,5339.96,429.95,8661.9
020302,1190,1190,1190,1190,1190,1190,1190,1190,62118.0,99091.3,6069.0,0.0,60297.3,393901.9,302045.8,923521.0,52.2,83.27,5.1,0.0,50.67,331.01,253.82,776.07,327892.6,247984.1,46624.2,0.0,639529.8,873840.8,295822.1,2431691.0,275.54,208.39,39.18,0.0,537.42,734.32,248.59,2043.44,251447.0,2261142.8,92367.8,0.0,121737.0,5941039.3,180987.1,8848719.0,211.3,1900.12,77.62,0.0,102.3,4992.47,152.09,7435.9,641457,2608217,145060,0,821563,7208780,778854,12203931,539.04,2191.78,121.9,0.0,690.39,6057.8,654.5,10255.41
020303,186,186,186,186,186,186,186,186,9709.2,-6072.9,948.6,0.0,4876.92,3167.58,9037.74,21665.0,52.2,-32.65,5.1,0.0,26.22,17.03,48.59,116.49,51250.44,16209.9,6948.96,0.0,21111.0,62401.14,29741.4,187660.0,275.54,87.15,37.36,0.0,113.5,335.49,159.9,1008.94,39301.8,225724.02,14437.32,0.0,20727.84,612866.28,78285.54,991340.0,211.3,1213.57,77.62,0.0,111.44,3294.98,420.89,5329.8,100260,235861,22333,0,46714,678434,117063,1200665,539.04,1268.07,120.08,0.0,251.16,3647.5,629.38,6455.23
020304,448,448,448,448,448,448,448,448,23385.6,51542.4,2284.8,0.0,17704.96,128020.48,85370.88,308305.0,52.2,115.05,5.1,0.0,39.52,285.76,190.56,688.19,123441.92,61048.96,16737.28,0.0,149304.96,243613.44,127962.24,722105.0,275.54,136.27,37.36,0.0,333.27,543.78,285.63,1611.85,94662.4,837760.0,34773.76,0.0,34195.84,2109528.96,39208.96,3150126.0,211.3,1870.0,77.62,0.0,76.33,4708.77,87.52,7031.54,241488,950350,53794,0,201203,2481161,252540,4180536,539.04,2121.32,120.08,0.0,449.12,5538.31,563.71,9331.58
020306,609,609,609,609,609,609,609,609,31789.8,62519.94,3105.9,0.0,20097.0,189240.66,114169.23,420919.0,52.2,102.66,5.1,0.0,33.0,310.74,187.47,691.17,167803.86,107165.73,22752.24,0.0,168132.72,342264.09,180111.75,988227.0,275.54,175.97,37.36,0.0,276.08,562.01,295.75,1622.71,128681.7,894639.27,47270.58,0.0,45126.9,2383632.09,61527.27,3560875.0,211.3,1469.03,77.62,0.0,74.1,3914.01,101.03,5847.09,328273,1064323,73127,0,233355,2915136,355807,4970021,539.04,1747.66,120.08,0.0,383.18,4786.76,584.25,8160.97
020308,283,283,283,283,283,283,283,283,14772.6,75113.86,1443.3,0.0,25982.23,231910.01,51568.26,400788.0,52.2,265.42,5.1,0.0,91.81,819.47,182.22,1416.22,77977.82,54321.85,10572.88,0.0,108544.65,182237.85,77955.18,511606.0,275.54,191.95,37.36,0.0,383.55,643.95,275.46,1807.81,59797.9,676701.11,21966.46,0.0,21151.42,1698175.46,22376.81,2500166.0,211.3,2391.17,77.62,0.0,74.74,6000.62,79.07,8834.52,152546,806135,33981,0,155677,2112322,151899,3412560,539.04,2848.54,120.08,0.0,550.1,7464.04,536.75,12058.55
020316,469,469,469,469,469,469,469,469,24481.8,106599.01,2391.9,0.0,21377.02,303733.78,104919.99,563500.0,52.2,227.29,5.1,0.0,45.58,647.62,223.71,1201.5,129228.26,59708.39,17521.84,0.0,125171.41,217986.51,129481.52,679095.0,275.54,127.31,37.36,0.0,266.89,464.79,276.08,1447.97,99099.7,905498.3,36403.78,0.0,50046.99,2236947.09,37083.83,3365076.0,211.3,1930.7,77.62,0.0,106.71,4769.61,79.07,7175.01,252808,1071805,56315,0,196594,2758666,271483,4607671,539.04,2285.3,120.08,0.0,419.18,5882.02,578.86,9824.48
020320,242,242,242,242,242,242,242,242,12632.4,40651.16,1234.2,0.0,8975.78,123974.18,79376.0,266842.0,52.2,167.98,5.1,0.0,37.09,512.29,328.0,1102.66,66680.68,38151.3,9041.12,0.0,83136.68,127483.18,69729.88,394220.0,275.54,157.65,37.36,0.0,343.54,526.79,288.14,1629.02,51134.6,569668.0,18784.04,0.0,33049.94,1422659.92,19134.94,2114428.0,211.3,2354.0,77.62,0.0,136.57,5878.76,79.07,8737.32,130446,648470,29059,0,125160,1674116,168239,2775490,539.04,2679.63,120.08,0.0,517.2,6917.84,695.21,11469.0
020324,221,221,221,221,221,221,221,221,11536.2,27927.77,1127.1,0.0,8999.12,93929.42,45293.95,188811.0,52.2,126.37,5.1,0.0,40.72,425.02,204.95,854.36,60894.34,30429.49,8256.56,0.0,75159.89,106579.46,61533.03,342850.0,275.54,137.69,37.36,0.0,340.09,482.26,278.43,1551.37,46697.3,440605.49,17154.02,0.0,16961.75,1196047.58,20939.75,1738403.0,211.3,1993.69,77.62,0.0,76.75,5411.98,94.75,7866.09,119127,498961,26537,0,101119,1396555,127765,2270064,539.04,2257.75,120.08,0.0,457.56,6319.26,578.13,10271.82
