agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
340564,30.7,
340568,5.0,7.7
34B000,15.8,30.8
34D000,20.7,19.2
34F000,21.9,
34G000,63.8,
34H000,63.5,58.7
350308,,40.4
350310,50.5,
350312,38.2,
350317,,73.3
350321,,32.5
350324,35.9,
350336,,26.9
350338,43.9,
35A000,17.2,
360310,,30.3
360324,65.3,
360336,,23.5
360337,,88.0
360360,,33.6
360372,,5.0
360378,,49.8
360380,63.4,
360390,,35.2
360396,,44.0
360408,24.5,
360418,,95.0
360426,37.7,
360428,,23.4
360431,41.8,
360436,25.3,
360456,52.4,
360470,,37.2
360494,,56.2
360498,29.3,
360500,49.0,
360514,51.2,
360526,26.7,
36B000,68.3,51.6
36C000,75.2,46.2
370308,54.7,
370312,,29.5
380306,20.8,
380308,,35.1
390309,37.3,
390314,,10.0
390320,46.3,
390321,50.0,12.5
390322,,23.6
390323,,80.0
390324,,14.2
390331,27.0,
390334,27.7,
390352,,34.0
390700,,25.7
39A000,65.0,47.6
39B000,69.5,47.7
400308,,15.0
400312,31.2,
400315,,47.2
40304,,44.2
40306,,19.1
40309,28.6,
410311,39.8,
410313,29.9,
410316,19.3,
410319,,10.6
410325,43.2,
410326,,37.5
410341,95.0,
410355,,30.2
410358,,14.8
410367,25.8,
410391,25.4,71.4
410394,,48.4
410397,36.5,
410399,,33.3
410401,,53.7
410402,14.1,
410406,,22.1
410407,,28.6
410408,,30.8
410415,26.9,
410421,41.0,
410427,25.0,
410437,62.2,
410442,44.2,
410448,50.9,
410457,23.1,
410458,,9.1
410460,38.4,
410463,36.3,
410464,10.0,
410483,,10.3
410484,,11.4
410487,25.9,
410488,63.7,
410489,,46.8
410490,,58.4
410493,70.7,
410508,,33.8
410529,,36.4
410544,,15.4
410545,,41.2
410547,,36.4
410550,42.9,
410556,,24.1
410562,,42.6
410565,53.5,
410569,,95.0
410579,,47.1
410589,,66.7
410592,24.8,
410595,,32.4
41B000,85.2,
41C000,19.2,
41D000,62.9,
41F000,55.5,33.3
41G000,58.8,64.3
41H000,30.9,26.7
41J000,59.0,
41K000,,21.3
41L000,34.3,
41N000,45.5,
420324,25.0,
420346,,21.9
420358,,7.1
420376,33.0,
421306,44.4,
421316,,36.4
421336,,45.5
422310,,75.0
422315,,17.9
422318,15.2,
42A000,31.9,
430330,45.5,
430332,28.9,
430341,,58.6
430345,,5.0
430346,,29.3
430347,36.8,
430351,46.5,
430370,32.3,
430371,,37.2
430378,,27.7
430384,,31.2
430386,42.1,
440318,62.0,
440320,46.8,
440346,,86.8
440378,,41.3
440390,,48.1
440396,62.1,
44A000,52.5,
450301,51.6,
450316,,41.4
450328,48.5,
450334,,50.9
450335,56.8,
450341,,36.0
450342,72.4,
450343,,6.7
450352,,58.2
450354,,85.0
45A000,68.2,
460318,20.0,
460320,,15.4
460322,,64.0
460340,,27.8
470312,,59.6
470320,41.0,
470332,46.4,
470442,47.7,
470443,,86.8
480316,58.8,50.0
480318,23.3,8.3
49,78.6,66.7
490307,,51.4
490308,57.0,
490310,,21.4
490320,,85.1
490327,22.9,
490335,,58.4
490338,53.8,
490344,95.0,
490346,,26.9
490347,91.7,
490349,56.0,
490350,,8.3
490352,18.6,
490354,,15.6
490355,,79.6
490362,,59.5
490366,41.1,
490380,,30.0
490384,30.8,
491303,55.3,
491306,48.0,
491312,,55.1
