agency_code,poverty_eq,number_of_teachers_eq,beg_teacher_eq,pct_beg_teachers_eq,prov_teachers_eq,pct_prov_teachers_eq,num_prin_eq,inexp_count_prin_eq,pct_inexp_prin_eq
920614,LOW,42.0,7.0,0.1667,0.0,0.0,,,
920616,HIGH,54.0,10.0,0.1852,1.0,0.0185,,,
920618,NEITHER,50.0,7.0,0.14,1.0,0.02,,,
920620,LOW,33.0,12.0,0.3636,1.0,0.0303,,,
920624,LOW,54.0,0.0,0.0,0.0,0.0,,,
920626,NEITHER,44.0,0.0,0.0,0.0,0.0,,,
920628,NEITHER,32.0,4.0,0.125,0.0,0.0,,,
920632,NEITHER,47.0,9.0,0.1915,0.0,0.0,,,
920636,NEITHER,51.0,5.0,0.098,1.0,0.0196,,,
92B000,LOW,40.0,8.0,0.2,0.0,0.0,,,
92D000,LOW,35.0,1.0,0.0286,0.0,0.0,,,
92E000,LOW,44.0,3.0,0.0682,0.0,0.0,,,
92F000,LOW,124.0,15.0,0.121,1.0,0.0081,,,
92G000,LOW,74.0,14.0,0.1892,0.0,0.0,,,
92K000,LOW,43.0,4.0,0.093,0.0,0.0,,,
92L000,HIGH,8.0,3.0,0.375,1.0,0.125,,,
92M000,NEITHER,44.0,14.0,0.3182,0.0,0.0,,,
92N000,LOW,10.0,0.0,0.0,0.0,0.0,,,
92P000,LOW,58.0,17.0,0.2931,0.0,0.0,,,
92Q000,NEITHER,11.0,1.0,0.0909,0.0,0.0,,,
92R000,LOW,27.0,2.0,0.0741,0.0,0.0,,,
92S000,LOW,35.0,3.0,0.0857,0.0,0.0,,,
92T000,LOW,86.0,18.0,0.2093,0.0,0.0,,,
92U000,LOW,33.0,6.0,0.1818,0.0,0.0,,,
92V000,LOW,42.0,9.0,0.2143,1.0,0.0238,,,
92W000,LOW,65.0,27.0,0.4154,1.0,0.0154,,,
92Y000,LOW,53.0,9.0,0.1698,0.0,0.0,,,
930330,HIGH,24.0,3.0,0.125,0.0,0.0,,,
930340,NEITHER,38.0,7.0,0.1842,0.0,0.0,,,
930344,HIGH,15.0,7.0,0.4667,0.0,0.0,,,
930348,NEITHER,16.0,5.0,0.3125,0.0,0.0,,,
930352,NEITHER,33.0,11.0,0.3333,0.0,0.0,,,
930354,HIGH,27.0,5.0,0.1852,0.0,0.0,,,
930360,NEITHER,7.0,1.0,0.1429,0.0,0.0,,,
930700,NEITHER,15.0,5.0,0.3333,0.0,0.0,,,
93A000,HIGH,18.0,4.0,0.2222,0.0,0.0,,,
93J000,HIGH,34.0,8.0,0.2353,0.0,0.0,,,
93L000,HIGH,7.0,0.0,0.0,0.0,0.0,,,
93M000,LOW,42.0,18.0,0.4286,0.0,0.0,,,
93N000,LOW,35.0,6.0,0.1714,0.0,0.0,,,
93P000,LOW,29.0,7.0,0.2414,0.0,0.0,,,
93R000,LOW,20.0,5.0,0.25,0.0,0.0,,,
940306,HIGH,15.0,5.0,0.3333,0.0,0.0,,,
940314,HIGH,38.0,9.0,0.2368,1.0,0.0263,,,
940316,HIGH,34.0,11.0,0.3235,1.0,0.0294,,,
940328,HIGH,19.0,10.0,0.5263,1.0,0.0526,,,
940330,NEITHER,5.0,1.0,0.2,0.0,0.0,,,
94Z000,LOW,11.0,2.0,0.1818,0.0,0.0,,,
950308,NEITHER,22.0,3.0,0.1364,0.0,0.0,,,
950312,LOW,33.0,2.0,0.0606,0.0,0.0,,,
950316,NEITHER,37.0,4.0,0.1081,0.0,0.0,,,
950320,NEITHER,36.0,6.0,0.1667,0.0,0.0,,,
950322,NEITHER,81.0,16.0,0.1975,0.0,0.0,,,
950324,NEITHER,24.0,5.0,0.2083,0.0,0.0,,,
950328,LOW,47.0,7.0,0.1489,0.0,0.0,,,
950332,NEITHER,35.0,5.0,0.1429,0.0,0.0,,,
950336,LOW,109.0,14.0,0.1284,0.0,0.0,,,
95A000,NEITHER,17.0,5.0,0.2941,0.0,0.0,,,
960312,HIGH,39.0,12.0,0.3077,0.0,0.0,,,
960314,HIGH,63.0,20.0,0.3175,0.0,0.0,,,
960316,HIGH,39.0,2.0,0.0513,0.0,0.0,,,
960318,HIGH,31.0,7.0,0.2258,0.0,0.0,,,
960324,LOW,77.0,15.0,0.1948,1.0,0.013,,,
960326,HIGH,34.0,10.0,0.2941,0.0,0.0,,,
960329,NEITHER,53.0,6.0,0.1132,0.0,0.0,,,
960330,NEITHER,70.0,9.0,0.1286,0.0,0.0,,,
960331,NEITHER,36.0,4.0,0.1111,0.0,0.0,,,
960332,HIGH,16.0,1.0,0.0625,0.0,0.0,,,
960334,NEITHER,23.0,1.0,0.0435,0.0,0.0,,,
960335,HIGH,48.0,12.0,0.25,0.0,0.0,,,
960336,NEITHER,36.0,4.0,0.1111,0.0,0.0,,,
960338,NEITHER,29.0,6.0,0.2069,0.0,0.0,,,
960340,NEITHER,29.0,1.0,0.0345,0.0,0.0,,,
960344,NEITHER,44.0,4.0,0.0909,0.0,0.0,,,
960348,NEITHER,26.0,5.0,0.1923,0.0,0.0,,,
960360,NEITHER,56.0,13.0,0.2321,0.0,0.0,,,
960370,NEITHER,42.0,3.0,0.0714,0.0,0.0,,,
960372,LOW,41.0,4.0,0.0976,0.0,0.0,,,
960374,LOW,27.0,3.0,0.1111,0.0,0.0,,,
960380,NEITHER,75.0,9.0,0.12,0.0,0.0,,,
960382,NEITHER,63.0,8.0,0.127,0.0,0.0,,,
960386,NEITHER,44.0,1.0,0.0227,0.0,0.0,,,
960387,NEITHER,40.0,4.0,0.1,0.0,0.0,,,
960388,NEITHER,40.0,9.0,0.225,0.0,0.0,,,
960390,HIGH,45.0,12.0,0.2667,0.0,0.0,,,
960450,NEITHER,48.0,6.0,0.125,0.0,0.0,,,
960454,NEITHER,50.0,4.0,0.08,0.0,0.0,,,
960488,HIGH,12.0,3.0,0.25,0.0,0.0,,,
960490,LOW,13.0,2.0,0.1538,0.0,0.0,,,
960700,LOW,25.0,1.0,0.04,0.0,0.0,,,
96C000,HIGH,19.0,3.0,0.1579,0.0,0.0,,,
96F000,NEITHER,40.0,7.0,0.175,0.0,0.0,,,
970308,HIGH,14.0,1.0,0.0714,1.0,0.0714,,,
970310,NEITHER,19.0,2.0,0.1053,0.0,0.0,,,
970312,NEITHER,31.0,10.0,0.3226,0.0,0.0,,,
970315,NEITHER,42.0,13.0,0.3095,0.0,0.0,,,
970320,HIGH,38.0,5.0,0.1316,0.0,0.0,,,
970322,NEITHER,31.0,7.0,0.2258,1.0,0.0323,,,
970337,NEITHER,48.0,0.0,0.0,0.0,0.0,,,
970340,HIGH,19.0,5.0,0.2632,0.0,0.0,,,
970344,NEITHER,19.0,2.0,0.1053,0.0,0.0,,,
970348,NEITHER,36.0,8.0,0.2222,0.0,0.0,,,
970352,HIGH,32.0,1.0,0.0313,0.0,0.0,,,
970356,HIGH,47.0,13.0,0.2766,1.0,0.0213,,,
970358,NEITHER,36.0,4.0,0.1111,0.0,0.0,,,
970360,HIGH,23.0,6.0,0.2609,0.0,0.0,,,
970368,NEITHER,16.0,2.0,0.125,0.0,0.0,,,
970370,NEITHER,23.0,2.0,0.087,0.0,0.0,,,
970376,HIGH,13.0,5.0,0.3846,0.0,0.0,,,
970388,NEITHER,47.0,1.0,0.0213,0.0,0.0,,,
970389,NEITHER,36.0,6.0,0.1667,0.0,0.0,,,
970390,HIGH,57.0,12.0,0.2105,1.0,0.0175,,,
970392,NEITHER,28.0,6.0,0.2143,0.0,0.0,,,
970393,NEITHER,9.0,1.0,0.1111,0.0,0.0,,,
97D000,NEITHER,10.0,1.0,0.1,0.0,0.0,,,
980306,HIGH,7.0,1.0,0.1429,0.0,0.0,,,
980308,HIGH,31.0,9.0,0.2903,0.0,0.0,,,
980317,HIGH,26.0,4.0,0.1538,0.0,0.0,,,
980318,NEITHER,59.0,6.0,0.1017,0.0,0.0,,,
980320,NEITHER,28.0,3.0,0.1071,0.0,0.0,,,
980324,NEITHER,29.0,3.0,0.1034,0.0,0.0,,,
980336,LOW,73.0,3.0,0.0411,1.0,0.0137,,,
980338,LOW,37.0,7.0,0.1892,0.0,0.0,,,
980340,NEITHER,20.0,5.0,0.25,0.0,0.0,,,
980342,LOW,78.0,1.0,0.0128,0.0,0.0,,,
980344,NEITHER,44.0,10.0,0.2273,0.0,0.0,,,
980348,NEITHER,18.0,1.0,0.0556,0.0,0.0,,,
980352,NEITHER,32.0,6.0,0.1875,0.0,0.0,,,
980356,HIGH,32.0,8.0,0.25,1.0,0.0313,,,
980357,HIGH,34.0,6.0,0.1765,0.0,0.0,,,
980360,LOW,34.0,2.0,0.0588,0.0,0.0,,,
980364,LOW,31.0,2.0,0.0645,0.0,0.0,,,
980380,LOW,23.0,4.0,0.1739,0.0,0.0,,,
980384,LOW,29.0,1.0,0.0345,0.0,0.0,,,
980388,HIGH,18.0,1.0,0.0556,0.0,0.0,,,
980390,NEITHER,32.0,3.0,0.0938,1.0,0.0313,,,
980392,NEITHER,35.0,4.0,0.1143,0.0,0.0,,,
980396,HIGH,30.0,7.0,0.2333,0.0,0.0,,,
980397,LOW,10.0,4.0,0.4,0.0,0.0,,,
980398,LOW,12.0,0.0,0.0,0.0,0.0,,,
980400,HIGH,31.0,8.0,0.2581,1.0,0.0323,,,
98A000,HIGH,59.0,14.0,0.2373,0.0,0.0,,,
98B000,LOW,43.0,14.0,0.3256,0.0,0.0,,,
990304,NEITHER,33.0,5.0,0.1515,0.0,0.0,,,
990308,NEITHER,26.0,1.0,0.0385,0.0,0.0,,,
990312,HIGH,23.0,2.0,0.087,0.0,0.0,,,
990316,NEITHER,25.0,2.0,0.08,0.0,0.0,,,
990320,LOW,20.0,0.0,0.0,0.0,0.0,,,
990321,NEITHER,31.0,1.0,0.0323,0.0,0.0,,,
990322,NEITHER,63.0,5.0,0.0794,0.0,0.0,,,
990324,HIGH,28.0,3.0,0.1071,0.0,0.0,,,
990325,NEITHER,28.0,4.0,0.1429,0.0,0.0,,,
990326,NEITHER,46.0,5.0,0.1087,0.0,0.0,,,
990328,HIGH,42.0,1.0,0.0238,0.0,0.0,,,
990332,NEITHER,10.0,0.0,0.0,0.0,0.0,,,
990336,HIGH,43.0,3.0,0.0698,0.0,0.0,,,
990340,HIGH,14.0,1.0,0.0714,0.0,0.0,,,
995304,NEITHER,16.0,0.0,0.0,0.0,0.0,,,
995312,NEITHER,31.0,1.0,0.0323,0.0,0.0,,,
995316,NEITHER,22.0,2.0,0.0909,0.0,0.0,,,
995320,NEITHER,11.0,1.0,0.0909,0.0,0.0,,,
995324,NEITHER,23.0,1.0,0.0435,0.0,0.0,,,
995328,NEITHER,16.0,0.0,0.0,0.0,0.0,,,
995330,NEITHER,51.0,1.0,0.0196,0.0,0.0,,,
995336,NEITHER,11.0,1.0,0.0909,0.0,0.0,,,
