agency_code,den_aig_elp,den_all_elp,den_as7_elp,den_bl7_elp,den_eds_elp,den_els_elp,den_fem_elp,den_hi7_elp,den_hms_elp,den_male_elp,den_mig_elp,den_mil_elp,den_neds_elp,den_nswd_elp,den_swd_elp,den_wh7_elp,pct_aig_elp,pct_all_elp,pct_as7_elp,pct_bl7_elp,pct_eds_elp,pct_els_elp,pct_fem_elp,pct_hi7_elp,pct_hms_elp,pct_male_elp,pct_mig_elp,pct_mil_elp,pct_neds_elp,pct_nswd_elp,pct_swd_elp,pct_wh7_elp
980344,,41.0,,,14.0,41.0,16.0,24.0,,25.0,,,27.0,37.0,,10.0,,48.8,,,21.4,48.8,50.0,37.5,,48.0,,,63.0,54.1,,70.0
980348,,11.0,,,,11.0,,11.0,,,,,,,,,,9.1,,,,9.1,,9.1,,,,,,,,
980352,,36.0,,,17.0,36.0,18.0,35.0,,18.0,,,19.0,35.0,,,,38.9,,,29.4,38.9,27.8,37.1,,50.0,,,47.4,40.0,,
980356,,41.0,,,24.0,41.0,20.0,39.0,,21.0,,,17.0,37.0,,,,48.8,,,41.7,48.8,55.0,46.2,,42.9,,,58.8,51.4,,
980357,,38.0,,,25.0,38.0,11.0,33.0,,27.0,,,13.0,34.0,,,,55.3,,,56.0,55.3,54.5,48.5,,55.6,,,53.8,58.8,,
980360,,33.0,,,12.0,33.0,14.0,22.0,,19.0,,,21.0,31.0,,,,57.6,,,50.0,57.6,78.6,50.0,,42.1,,,61.9,58.1,,
980364,,60.0,,,22.0,60.0,25.0,60.0,,35.0,,,38.0,58.0,,,,71.7,,,59.1,71.7,68.0,71.7,,74.3,,,78.9,70.7,,
980380,,10.0,,,,10.0,,,,,,,,,,,,10.0,,,,10.0,,,,,,,,,,
980388,,44.0,,,22.0,44.0,11.0,44.0,,33.0,,,22.0,37.0,,,,52.3,,,63.6,52.3,54.5,52.3,,51.5,,,40.9,59.5,,
980390,,13.0,,,,13.0,,,,,,,,13.0,,,,5.0,,,,5.0,,,,,,,,5.0,,
980392,,19.0,,,,19.0,10.0,10.0,,,,,12.0,13.0,,,,47.4,,,,47.4,40.0,30.0,,,,,50.0,53.8,,
