agency_code,den_aig_elp,den_all_elp,den_as7_elp,den_bl7_elp,den_eds_elp,den_els_elp,den_fem_elp,den_hi7_elp,den_hms_elp,den_male_elp,den_mig_elp,den_mil_elp,den_neds_elp,den_nswd_elp,den_swd_elp,den_wh7_elp,pct_aig_elp,pct_all_elp,pct_as7_elp,pct_bl7_elp,pct_eds_elp,pct_els_elp,pct_fem_elp,pct_hi7_elp,pct_hms_elp,pct_male_elp,pct_mig_elp,pct_mil_elp,pct_neds_elp,pct_nswd_elp,pct_swd_elp,pct_wh7_elp
110340,,84.0,,,71.0,84.0,37.0,59.0,,47.0,,,13.0,59.0,25.0,16.0,,31.0,,,32.4,31.0,35.1,23.7,,27.7,,,23.1,37.3,16.0,56.3
110342,,57.0,,,48.0,57.0,25.0,43.0,,32.0,,,,32.0,25.0,,,22.8,,,18.8,22.8,16.0,14.0,,28.1,,,,37.5,5.0,
110348,,65.0,,,35.0,65.0,28.0,56.0,,37.0,,,30.0,56.0,,,,52.3,,,48.6,52.3,50.0,50.0,,54.1,,,56.7,51.8,,
110352,,55.0,,,48.0,55.0,16.0,49.0,,39.0,,,,40.0,15.0,,,23.6,,,20.8,23.6,31.3,22.4,,20.5,,,,30.0,6.7,
110356,,17.0,,,14.0,17.0,,12.0,,11.0,,,,16.0,,,,64.7,,,57.1,64.7,,58.3,,72.7,,,,68.8,,
110366,,20.0,,,17.0,20.0,12.0,12.0,,,,,,19.0,,,,65.0,,,58.8,65.0,66.7,75.0,,,,,,68.4,,
110368,,14.0,,,,14.0,,,,10.0,,,,11.0,,,,57.1,,,,57.1,,,,40.0,,,,72.7,,
110370,,24.0,,,19.0,24.0,11.0,20.0,,13.0,,,,19.0,,,,62.5,,,68.4,62.5,45.5,70.0,,76.9,,,,68.4,,
110372,,59.0,,,32.0,59.0,29.0,41.0,,30.0,,,27.0,55.0,,11.0,,61.0,,,62.5,61.0,65.5,65.9,,56.7,,,59.3,61.8,,54.5
110376,,17.0,,,16.0,17.0,,,,11.0,,,,17.0,,,,52.9,,,50.0,52.9,,,,54.5,,,,52.9,,
110379,,39.0,,,35.0,39.0,14.0,37.0,,25.0,,,,33.0,,,,38.5,,,40.0,38.5,28.6,40.5,,44.0,,,,42.4,,
110380,,35.0,,,28.0,35.0,14.0,31.0,,21.0,,,,24.0,11.0,,,5.7,,,5.0,5.7,14.3,5.0,,5.0,,,,8.3,5.0,
110381,,19.0,,,19.0,19.0,,19.0,,11.0,,,,14.0,,,,21.1,,,21.1,21.1,,21.1,,9.1,,,,28.6,,
110382,,43.0,,,40.0,43.0,26.0,40.0,,17.0,,,,34.0,,,,41.9,,,42.5,41.9,46.2,42.5,,35.3,,,,47.1,,
110384,,52.0,,,24.0,52.0,19.0,44.0,,33.0,,,28.0,45.0,,,,50.0,,,54.2,50.0,42.1,50.0,,54.5,,,46.4,48.9,,
110401,,23.0,,,23.0,23.0,12.0,17.0,,11.0,,,,18.0,,,,17.4,,,17.4,17.4,16.7,11.8,,18.2,,,,22.2,,
110408,,78.0,,,73.0,78.0,35.0,61.0,,43.0,,,,72.0,,13.0,,66.7,,,65.8,66.7,62.9,65.6,,69.8,,,,69.4,,76.9
110410,,100.0,,,87.0,100.0,50.0,87.0,,50.0,,,13.0,90.0,10.0,,,53.0,,,55.2,53.0,54.0,49.4,,52.0,,,38.5,51.1,70.0,
110412,,47.0,,,36.0,47.0,23.0,45.0,,24.0,,,11.0,43.0,,,,44.7,,,41.7,44.7,39.1,44.4,,50.0,,,54.5,48.8,,
110416,,49.0,,,38.0,49.0,18.0,41.0,,31.0,,,11.0,38.0,11.0,,,34.7,,,34.2,34.7,50.0,29.3,,25.8,,,36.4,39.5,18.2,
110420,,29.0,,,24.0,29.0,12.0,25.0,,17.0,,,,18.0,11.0,,,24.1,,,20.8,24.1,16.7,16.0,,29.4,,,,33.3,9.1,
110422,,80.0,,,71.0,80.0,34.0,64.0,,46.0,,,,70.0,10.0,,,62.5,,,62.0,62.5,55.9,59.4,,67.4,,,,64.3,50.0,
110425,,55.0,,,51.0,55.0,21.0,49.0,,34.0,,,,40.0,15.0,,,45.5,,,49.0,45.5,42.9,40.8,,47.1,,,,50.0,33.3,
110428,,21.0,,,21.0,21.0,,18.0,,13.0,,,,20.0,,,,42.9,,,42.9,42.9,,38.9,,38.5,,,,45.0,,
110432,,10.0,,,,10.0,,,,,,,,10.0,,,,60.0,,,,60.0,,,,,,,,60.0,,
110436,,64.0,,,53.0,64.0,29.0,39.0,,35.0,,,11.0,57.0,,23.0,,42.2,,,37.7,42.2,44.8,35.9,,40.0,,,63.6,43.9,,52.2
110444,,20.0,,,,20.0,10.0,16.0,,10.0,,,11.0,17.0,,,,45.0,,,,45.0,50.0,31.3,,40.0,,,54.5,47.1,,
110450,,66.0,,,57.0,66.0,27.0,56.0,,39.0,,,,47.0,19.0,,,27.3,,,28.1,27.3,40.7,19.6,,17.9,,,,36.2,5.3,
110451,,77.0,,,73.0,77.0,27.0,52.0,,50.0,,,,57.0,20.0,18.0,,42.9,,,43.8,42.9,55.6,38.5,,36.0,,,,56.1,5.0,50.0
111302,,10.0,,,,10.0,,,,,,,,,,,,20.0,,,,20.0,,,,,,,,,,
111332,,13.0,,,11.0,13.0,,,,,,,,,,,,53.8,,,45.5,53.8,,,,,,,,,,
111360,,19.0,,,16.0,19.0,11.0,14.0,,,,,,17.0,,,,57.9,,,56.3,57.9,45.5,57.1,,,,,,64.7,,
120312,,44.0,20.0,,43.0,44.0,19.0,23.0,,25.0,,,,38.0,,,,54.5,45.0,,55.8,54.5,57.9,65.2,,52.0,,,,52.6,,
120314,,20.0,12.0,,18.0,20.0,,,,17.0,,,,12.0,,,,5.0,5.0,,5.6,5.0,,,,5.9,,,,8.3,,
120315,,11.0,,,10.0,11.0,,,,,,,,,,,,5.0,,,5.0,5.0,,,,,,,,,,
120316,,77.0,,,75.0,77.0,34.0,71.0,,43.0,,,,57.0,20.0,,,58.4,,,60.0,58.4,70.6,60.6,,48.8,,,,64.9,40.0,
120318,,84.0,15.0,,68.0,84.0,26.0,69.0,,58.0,,,16.0,71.0,13.0,,,11.9,6.7,,13.2,11.9,5.0,13.0,,15.5,,,6.3,12.7,7.7,
120320,,10.0,10.0,,,10.0,,,,,,,,,,,,30.0,30.0,,,30.0,,,,,,,,,,
120324,,16.0,13.0,,12.0,16.0,,,,,,,,13.0,,,,31.3,30.8,,25.0,31.3,,,,,,,,30.8,,
120334,,13.0,,,10.0,13.0,,10.0,,,,,,11.0,,,,7.7,,,10.0,7.7,,10.0,,,,,,9.1,,
120338,,24.0,11.0,,24.0,24.0,14.0,10.0,,10.0,,,,19.0,,,,37.5,18.2,,37.5,37.5,35.7,50.0,,40.0,,,,42.1,,
120340,,95.0,,,93.0,95.0,44.0,94.0,,51.0,,,,83.0,12.0,,,62.1,,,62.4,62.1,63.6,61.7,,60.8,,,,63.9,50.0,
120344,,18.0,,,15.0,18.0,,,,,,,,17.0,,,,44.4,,,40.0,44.4,,,,,,,,47.1,,
120346,,22.0,12.0,,19.0,22.0,,,,13.0,,,,18.0,,,,27.3,33.3,,26.3,27.3,,,,15.4,,,,27.8,,
120350,,15.0,,,12.0,15.0,,11.0,,,,,,,,,,20.0,,,16.7,20.0,,9.1,,,,,,,,
120354,,125.0,,,121.0,125.0,47.0,120.0,,78.0,,,,111.0,14.0,,,61.6,,,62.8,61.6,59.6,60.8,,62.8,,,,65.8,28.6,
120368,,30.0,13.0,,29.0,30.0,,17.0,,21.0,,,,22.0,,,,46.7,53.8,,44.8,46.7,,41.2,,52.4,,,,36.4,,
120370,,43.0,,,36.0,43.0,23.0,41.0,,20.0,,,,32.0,11.0,,,14.0,,,11.1,14.0,17.4,14.6,,10.0,,,,15.6,9.1,
120376,,11.0,,,11.0,11.0,,,,,,,,,,,,9.1,,,9.1,9.1,,,,,,,,,,
120380,,18.0,10.0,,18.0,18.0,,,,13.0,,,,15.0,,,,50.0,50.0,,50.0,50.0,,,,53.8,,,,53.3,,
120386,,22.0,13.0,,21.0,22.0,,,,13.0,,,,18.0,,,,45.5,46.2,,47.6,45.5,,,,53.8,,,,50.0,,
120390,,79.0,,,76.0,79.0,33.0,77.0,,46.0,,,,39.0,40.0,,,12.7,,,11.8,12.7,24.2,11.7,,5.0,,,,25.6,5.0,
130304,,120.0,,,115.0,120.0,60.0,114.0,,60.0,,,,92.0,28.0,,,38.3,,,39.1,38.3,40.0,39.5,,36.7,,,,47.8,7.1,
130307,,10.0,,,,10.0,,,,,,,,,,,,60.0,,,,60.0,,,,,,,,,,
130308,,41.0,,,32.0,41.0,19.0,31.0,,22.0,,,,36.0,,,,29.3,,,31.3,29.3,26.3,25.8,,31.8,,,,33.3,,
130309,,60.0,,,20.0,60.0,22.0,57.0,,38.0,,,40.0,53.0,,,,45.0,,,45.0,45.0,54.5,43.9,,39.5,,,45.0,45.3,,
130310,,62.0,,,47.0,62.0,21.0,52.0,,41.0,,,15.0,36.0,26.0,,,12.9,,,14.9,12.9,19.0,9.6,,9.8,,,6.7,16.7,7.7,
130311,,58.0,,,50.0,58.0,22.0,51.0,,36.0,,,,43.0,15.0,,,63.8,,,64.0,63.8,54.5,62.7,,69.4,,,,65.1,60.0,
130312,,39.0,20.0,,,39.0,20.0,,,19.0,,,32.0,32.0,,,,35.9,30.0,,,35.9,40.0,,,31.6,,,34.4,31.3,,
130313,,87.0,,,60.0,87.0,26.0,87.0,,61.0,,,27.0,43.0,44.0,,,5.0,,,5.0,5.0,5.0,5.0,,5.0,,,11.1,5.0,5.0,
130314,,89.0,,,81.0,89.0,44.0,86.0,,45.0,,,,63.0,26.0,,,20.2,,,21.0,20.2,22.7,19.8,,17.8,,,,20.6,19.2,
130315,,19.0,,,15.0,19.0,,17.0,,12.0,,,,13.0,,,,21.1,,,6.7,21.1,,11.8,,16.7,,,,23.1,,
130316,,74.0,,,64.0,74.0,33.0,72.0,,41.0,,,10.0,47.0,27.0,,,5.4,,,5.0,5.4,5.0,5.6,,7.3,,,10.0,5.0,11.1,
130318,,49.0,,,41.0,49.0,21.0,44.0,,28.0,,,,25.0,24.0,,,10.2,,,7.3,10.2,14.3,11.4,,7.1,,,,20.0,5.0,
130319,,42.0,35.0,,,42.0,22.0,,,20.0,,,37.0,34.0,,,,73.8,77.1,,,73.8,77.3,,,70.0,,,73.0,82.4,,
130320,,24.0,13.0,,,24.0,,,,17.0,,,21.0,17.0,,,,41.7,46.2,,,41.7,,,,47.1,,,38.1,58.8,,
130321,,127.0,,,110.0,127.0,56.0,115.0,,71.0,,,17.0,107.0,20.0,,,55.9,,,56.4,55.9,53.6,56.5,,57.7,,,52.9,58.9,40.0,
130322,,14.0,,,10.0,14.0,,14.0,,,,,,11.0,,,,64.3,,,60.0,64.3,,64.3,,,,,,81.8,,
130325,,32.0,,,25.0,32.0,13.0,28.0,,19.0,,,,27.0,,,,71.9,,,72.0,71.9,84.6,71.4,,63.2,,,,74.1,,
130326,,39.0,,,31.0,39.0,19.0,34.0,,20.0,,,,30.0,,,,10.3,,,6.5,10.3,21.1,8.8,,5.0,,,,13.3,,
130327,,41.0,,,35.0,41.0,10.0,31.0,,31.0,,,,29.0,12.0,,,14.6,,,14.3,14.6,40.0,9.7,,6.5,,,,17.2,8.3,
130328,,32.0,,,11.0,32.0,13.0,30.0,,19.0,,,21.0,26.0,,,,68.8,,,72.7,68.8,61.5,70.0,,73.7,,,66.7,69.2,,
130329,,96.0,,,79.0,96.0,53.0,84.0,,43.0,,,17.0,88.0,,,,42.7,,,39.2,42.7,50.9,44.0,,32.6,,,58.8,44.3,,
130330,,22.0,,,21.0,22.0,13.0,22.0,,,,,,14.0,,,,40.9,,,38.1,40.9,38.5,40.9,,,,,,42.9,,
130331,,27.0,,,21.0,27.0,12.0,14.0,,15.0,,,,22.0,,,,59.3,,,47.6,59.3,58.3,42.9,,60.0,,,,72.7,,
130332,,32.0,,,20.0,32.0,14.0,19.0,,18.0,,,12.0,26.0,,,,40.6,,,40.0,40.6,50.0,21.1,,33.3,,,41.7,46.2,,
130336,,30.0,22.0,,,30.0,12.0,,,18.0,,,27.0,25.0,,,,56.7,54.5,,,56.7,66.7,,,50.0,,,55.6,64.0,,
130337,,22.0,14.0,,,22.0,11.0,,,11.0,,,17.0,15.0,,,,59.1,64.3,,,59.1,81.8,,,36.4,,,58.8,73.3,,
130338,,188.0,10.0,,173.0,188.0,79.0,173.0,,109.0,,,15.0,165.0,23.0,,,54.3,40.0,,54.9,54.3,59.5,54.9,,50.5,,,46.7,58.2,26.1,
130340,,82.0,,,30.0,82.0,29.0,77.0,,53.0,,,52.0,65.0,17.0,,,58.5,,,53.3,58.5,62.1,59.7,,56.6,,,61.5,58.5,58.8,
130342,,103.0,,,58.0,103.0,42.0,98.0,,61.0,,,45.0,92.0,11.0,,,50.5,,,44.8,50.5,54.8,51.0,,47.5,,,57.8,54.3,18.2,
130344,,112.0,,,62.0,112.0,53.0,110.0,,59.0,,,50.0,95.0,17.0,,,55.4,,,59.7,55.4,66.0,55.5,,45.8,,,50.0,54.7,58.8,
130345,,81.0,20.0,,49.0,81.0,28.0,45.0,,53.0,,,32.0,71.0,10.0,14.0,,58.0,60.0,,53.1,58.0,53.6,53.3,,60.4,,,65.6,57.7,60.0,64.3
130346,,22.0,,,18.0,22.0,16.0,14.0,,,,,,21.0,,,,27.3,,,27.8,27.3,25.0,35.7,,,,,,28.6,,
130355,,87.0,,,77.0,87.0,41.0,81.0,,46.0,,,10.0,57.0,30.0,,,8.0,,,6.5,8.0,9.8,7.4,,6.5,,,20.0,12.3,5.0,
132304,,123.0,,,42.0,123.0,52.0,115.0,,71.0,,,81.0,96.0,27.0,,,13.8,,,7.1,13.8,15.4,13.9,,12.7,,,17.3,16.7,5.0,
132308,,38.0,,,12.0,38.0,18.0,36.0,,20.0,,,26.0,34.0,,,,28.9,,,8.3,28.9,44.4,27.8,,15.0,,,38.5,29.4,,
132312,,49.0,,,24.0,49.0,18.0,48.0,,31.0,,,25.0,41.0,,,,75.5,,,75.0,75.5,72.2,75.0,,77.4,,,76.0,75.6,,
132314,,48.0,,,17.0,48.0,22.0,47.0,,26.0,,,31.0,42.0,,,,54.2,,,64.7,54.2,77.3,53.2,,34.6,,,48.4,54.8,,
132328,,53.0,,,25.0,53.0,16.0,52.0,,37.0,,,28.0,42.0,11.0,,,26.4,,,20.0,26.4,31.3,26.9,,24.3,,,32.1,26.2,27.3,
132330,,101.0,,,45.0,101.0,45.0,99.0,,56.0,,,56.0,71.0,30.0,,,9.9,,,5.0,9.9,8.9,10.1,,10.7,,,16.1,9.9,10.0,
132332,,60.0,,,27.0,60.0,25.0,60.0,,35.0,,,33.0,50.0,10.0,,,45.0,,,40.7,45.0,40.0,45.0,,48.6,,,48.5,48.0,30.0,
132336,,54.0,,,20.0,54.0,28.0,54.0,,26.0,,,34.0,45.0,,,,44.4,,,50.0,44.4,46.4,44.4,,42.3,,,41.2,42.2,,
13A000,,31.0,,,,31.0,,19.0,,25.0,,,27.0,23.0,,,,41.9,,,,41.9,,42.1,,40.0,,,44.4,43.5,,
13B000,,20.0,,,11.0,20.0,,10.0,,13.0,,,,15.0,,,,30.0,,,18.2,30.0,,50.0,,30.8,,,,26.7,,
13C000,,12.0,,,11.0,12.0,,,,,,,,10.0,,,,16.7,,,18.2,16.7,,,,,,,,20.0,,
13D000,,18.0,,,11.0,18.0,,15.0,,12.0,,,,14.0,,,,22.2,,,27.3,22.2,,26.7,,33.3,,,,28.6,,
140312,,74.0,,,70.0,74.0,35.0,70.0,,39.0,,,,67.0,,,,52.7,,,54.3,52.7,60.0,51.4,,46.2,,,,53.7,,
140332,,23.0,,,23.0,23.0,11.0,23.0,,12.0,,,,13.0,10.0,,,5.0,,,5.0,5.0,9.1,5.0,,5.0,,,,7.7,5.0,
140340,,22.0,,,22.0,22.0,,20.0,,16.0,,,,18.0,,,,36.4,,,36.4,36.4,,35.0,,25.0,,,,38.9,,
140348,,22.0,,,18.0,22.0,,15.0,,15.0,,,,14.0,,,,31.8,,,22.2,31.8,,13.3,,20.0,,,,50.0,,
140352,,20.0,,,18.0,20.0,10.0,19.0,,10.0,,,,18.0,,,,45.0,,,50.0,45.0,50.0,47.4,,40.0,,,,50.0,,
140368,,14.0,,,11.0,14.0,,13.0,,,,,,,,,,21.4,,,18.2,21.4,,23.1,,,,,,,,
140384,,11.0,,,11.0,11.0,,10.0,,,,,,,,,,54.5,,,54.5,54.5,,50.0,,,,,,,,
140386,,29.0,,,26.0,29.0,,27.0,,20.0,,,,22.0,,,,17.2,,,19.2,17.2,,18.5,,10.0,,,,22.7,,
140390,,18.0,,,18.0,18.0,,18.0,,12.0,,,,13.0,,,,16.7,,,16.7,16.7,,16.7,,8.3,,,,15.4,,
140392,,11.0,,,,11.0,,10.0,,,,,,11.0,,,,54.5,,,,54.5,,50.0,,,,,,54.5,,
140396,,14.0,,,,14.0,,11.0,,,,,10.0,14.0,,,,64.3,,,,64.3,,72.7,,,,,50.0,64.3,,
160306,,18.0,,,16.0,18.0,,16.0,,10.0,,,,14.0,,,,50.0,,,56.3,50.0,,56.3,,40.0,,,,57.1,,
160317,,21.0,,,21.0,21.0,10.0,18.0,,11.0,,,,17.0,,,,66.7,,,66.7,66.7,60.0,61.1,,72.7,,,,76.5,,
160318,,29.0,,,29.0,29.0,,25.0,,20.0,,,,17.0,12.0,,,13.8,,,13.8,13.8,,8.0,,20.0,,,,23.5,5.0,
160322,,28.0,,,28.0,28.0,,26.0,,19.0,,,,27.0,,,,35.7,,,35.7,35.7,,38.5,,31.6,,,,37.0,,
160324,,25.0,,,24.0,25.0,,23.0,,16.0,,,,23.0,,,,56.0,,,54.2,56.0,,56.5,,56.3,,,,60.9,,
160344,,24.0,,,24.0,24.0,,23.0,,15.0,,,,14.0,10.0,,,16.7,,,16.7,16.7,,17.4,,13.3,,,,21.4,10.0,
180302,,53.0,,,46.0,53.0,24.0,44.0,,29.0,,,,36.0,17.0,,,30.2,,,30.4,30.2,29.2,29.5,,31.0,,,,38.9,11.8,
180304,,50.0,10.0,,44.0,50.0,25.0,38.0,,25.0,,,,37.0,13.0,,,34.0,50.0,,31.8,34.0,28.0,31.6,,40.0,,,,43.2,7.7,
180308,,20.0,,,16.0,20.0,,17.0,,15.0,,,,13.0,,,,10.0,,,12.5,10.0,,11.8,,6.7,,,,15.4,,
180316,,64.0,23.0,,51.0,64.0,26.0,39.0,,38.0,,,13.0,55.0,,,,56.3,39.1,,51.0,56.3,57.7,66.7,,55.3,,,76.9,58.2,,
180320,,51.0,20.0,,32.0,51.0,16.0,28.0,,34.0,,,19.0,35.0,16.0,,,11.8,5.0,,15.6,11.8,18.8,14.3,,8.8,,,5.3,17.1,5.0,
180324,,22.0,,,20.0,22.0,10.0,13.0,,12.0,,,,14.0,,,,50.0,,,50.0,50.0,60.0,46.2,,41.7,,,,64.3,,
180326,,43.0,10.0,,34.0,43.0,15.0,30.0,,28.0,,,,33.0,10.0,,,46.5,50.0,,44.1,46.5,53.3,50.0,,42.9,,,,54.5,20.0,
180332,,42.0,11.0,,38.0,42.0,16.0,31.0,,26.0,,,,36.0,,,,38.1,36.4,,36.8,38.1,37.5,38.7,,38.5,,,,41.7,,
180336,,33.0,,,29.0,33.0,14.0,26.0,,19.0,,,,27.0,,,,54.5,,,48.3,54.5,50.0,53.8,,57.9,,,,55.6,,
180340,,34.0,14.0,,28.0,34.0,11.0,19.0,,23.0,,,,26.0,,,,5.0,5.0,,5.0,5.0,5.0,5.3,,5.0,,,,5.0,,
180342,,18.0,,,13.0,18.0,,12.0,,14.0,,,,12.0,,,,5.6,,,5.0,5.6,,8.3,,5.0,,,,8.3,,
180343,,80.0,32.0,,67.0,80.0,34.0,44.0,,46.0,,,13.0,71.0,,,,41.3,37.5,,41.8,41.3,41.2,43.2,,41.3,,,38.5,45.1,,
180344,,29.0,,,25.0,29.0,16.0,22.0,,13.0,,,,25.0,,,,75.9,,,80.0,75.9,75.0,90.9,,76.9,,,,76.0,,
180346,,14.0,,,13.0,14.0,,11.0,,,,,,11.0,,,,50.0,,,46.2,50.0,,63.6,,,,,,54.5,,
180348,,28.0,12.0,,21.0,28.0,,15.0,,19.0,,,,20.0,,,,35.7,25.0,,28.6,35.7,,46.7,,31.6,,,,40.0,,
180356,,36.0,12.0,,28.0,36.0,13.0,12.0,,23.0,,,,27.0,,11.0,,61.1,58.3,,60.7,61.1,46.2,66.7,,69.6,,,,74.1,,54.5
180360,,42.0,21.0,,35.0,42.0,21.0,19.0,,21.0,,,,35.0,,,,59.5,66.7,,60.0,59.5,52.4,47.4,,66.7,,,,71.4,,
180364,,34.0,13.0,,24.0,34.0,,19.0,,25.0,,,10.0,18.0,16.0,,,20.6,30.8,,12.5,20.6,,15.8,,28.0,,,40.0,27.8,12.5,
180372,,138.0,17.0,,62.0,138.0,60.0,115.0,,78.0,,,76.0,115.0,23.0,,,52.9,29.4,,54.8,52.9,60.0,56.5,,47.4,,,51.3,57.4,30.4,
180376,,92.0,,,81.0,92.0,40.0,82.0,,52.0,,,11.0,67.0,25.0,,,12.0,,,11.1,12.0,7.5,11.0,,15.4,,,18.2,14.9,5.0,
180379,,42.0,,,38.0,42.0,10.0,33.0,,32.0,,,,30.0,12.0,,,42.9,,,44.7,42.9,60.0,48.5,,37.5,,,,56.7,8.3,
180380,,27.0,,,22.0,27.0,,18.0,,19.0,,,,22.0,,,,51.9,,,59.1,51.9,,50.0,,57.9,,,,59.1,,
180388,,111.0,,,100.0,111.0,50.0,102.0,,61.0,,,11.0,95.0,16.0,,,56.8,,,55.0,56.8,68.0,57.8,,47.5,,,72.7,58.9,43.8,
181312,,53.0,,,39.0,53.0,13.0,47.0,,40.0,,,14.0,33.0,20.0,,,11.3,,,7.7,11.3,7.7,12.8,,12.5,,,21.4,15.2,5.0,
181316,,35.0,,,29.0,35.0,15.0,27.0,,20.0,,,,23.0,12.0,,,8.6,,,5.0,8.6,6.7,7.4,,10.0,,,,8.7,8.3,
181322,,79.0,,,58.0,79.0,34.0,66.0,,45.0,,,21.0,61.0,18.0,,,5.0,,,5.0,5.0,5.0,5.0,,6.7,,,9.5,5.0,5.0,
181326,,19.0,,,16.0,19.0,,14.0,,12.0,,,,16.0,,,,42.1,,,37.5,42.1,,28.6,,41.7,,,,50.0,,
181332,,69.0,10.0,,26.0,69.0,28.0,54.0,,41.0,,,43.0,57.0,12.0,,,55.1,50.0,,61.5,55.1,60.7,53.7,,51.2,,,51.2,61.4,25.0,
181336,,48.0,,,38.0,48.0,25.0,44.0,,23.0,,,10.0,42.0,,,,52.1,,,52.6,52.1,52.0,52.3,,52.2,,,50.0,54.8,,
181342,,30.0,,,13.0,30.0,15.0,24.0,,15.0,,,17.0,28.0,,,,30.0,,,15.4,30.0,33.3,25.0,,26.7,,,41.2,32.1,,
181344,,77.0,10.0,,70.0,77.0,43.0,67.0,,34.0,,,,69.0,,,,48.1,50.0,,48.6,48.1,51.2,47.8,,44.1,,,,52.2,,
182316,,69.0,,,59.0,69.0,25.0,63.0,,44.0,,,10.0,48.0,21.0,,,14.5,,,15.3,14.5,8.0,15.9,,18.2,,,10.0,16.7,9.5,
182321,,47.0,,,39.0,47.0,15.0,43.0,,32.0,,,,29.0,18.0,,,5.0,,,5.0,5.0,5.0,5.0,,5.0,,,,5.0,5.0,
182322,,54.0,11.0,,45.0,54.0,21.0,41.0,,33.0,,,,48.0,,,,59.3,54.5,,57.8,59.3,76.2,61.0,,48.5,,,,60.4,,
182324,,52.0,13.0,,42.0,52.0,24.0,39.0,,28.0,,,10.0,38.0,14.0,,,53.8,53.8,,47.6,53.8,54.2,53.8,,53.6,,,80.0,60.5,35.7,
182328,,105.0,13.0,,95.0,105.0,52.0,89.0,,53.0,,,10.0,87.0,18.0,,,53.3,53.8,,54.7,53.3,55.8,53.9,,50.9,,,40.0,59.8,22.2,
190308,,19.0,,,18.0,19.0,10.0,19.0,,,,,,14.0,,,,42.1,,,44.4,42.1,60.0,42.1,,,,,,57.1,,
190312,,88.0,,,85.0,88.0,40.0,88.0,22.0,48.0,,,,43.0,45.0,,,5.7,,,5.0,5.7,5.0,5.7,5.0,6.3,,,,5.0,6.7,
190316,,13.0,,,,13.0,,13.0,,,,,,,,,,5.0,,,,5.0,,5.0,,,,,,,,
190328,,17.0,,,14.0,17.0,,17.0,,14.0,,,,14.0,,,,29.4,,,28.6,29.4,,29.4,,28.6,,,,35.7,,
190332,,12.0,,,12.0,12.0,,10.0,,,,,,,,,,50.0,,,50.0,50.0,,50.0,,,,,,,,
190336,,113.0,,,108.0,113.0,45.0,110.0,10.0,68.0,,,,77.0,36.0,,,15.0,,,15.7,15.0,15.6,14.5,10.0,14.7,,,,18.2,8.3,
190339,,28.0,,,24.0,28.0,12.0,26.0,,16.0,,,,16.0,12.0,,,5.0,,,5.0,5.0,8.3,5.0,,5.0,,,,6.3,5.0,
190340,,17.0,,,15.0,17.0,,17.0,,13.0,,,,13.0,,,,41.2,,,40.0,41.2,,41.2,,30.8,,,,46.2,,
190341,,89.0,,,81.0,89.0,37.0,86.0,,52.0,,,,71.0,18.0,,,64.0,,,63.0,64.0,67.6,62.8,,61.5,,,,71.8,33.3,
190342,,73.0,,,58.0,73.0,34.0,69.0,,39.0,,,15.0,49.0,24.0,,,20.5,,,15.5,20.5,20.6,17.4,,20.5,,,40.0,30.6,5.0,
190346,,20.0,,,17.0,20.0,10.0,16.0,,10.0,,,,17.0,,,,50.0,,,47.1,50.0,60.0,43.8,,40.0,,,,52.9,,
190348,,16.0,,,13.0,16.0,,16.0,,,,,,16.0,,,,43.8,,,53.8,43.8,,43.8,,,,,,43.8,,
190350,,176.0,,,170.0,176.0,76.0,175.0,,100.0,,,,151.0,25.0,,,51.1,,,51.8,51.1,52.6,51.4,,50.0,,,,55.0,28.0,
190352,,19.0,,,18.0,19.0,12.0,18.0,,,,,,12.0,,,,26.3,,,22.2,26.3,16.7,22.2,,,,,,41.7,,
190370,,185.0,,,181.0,185.0,87.0,182.0,32.0,98.0,,,,160.0,25.0,,,47.0,,,47.0,47.0,47.1,47.3,37.5,46.9,,,,47.5,44.0,
210306,,21.0,,,19.0,21.0,15.0,20.0,,,,,,21.0,,,,33.3,,,36.8,33.3,40.0,30.0,,,,,,33.3,,
210316,,15.0,,,13.0,15.0,,15.0,,,,,,14.0,,,,66.7,,,61.5,66.7,,66.7,,,,,,64.3,,
220308,,27.0,,,23.0,27.0,13.0,27.0,,14.0,,,,26.0,,,,70.4,,,69.6,70.4,76.9,70.4,,64.3,,,,73.1,,
220312,,15.0,,,12.0,15.0,,14.0,,,,,,12.0,,,,46.7,,,50.0,46.7,,42.9,,,,,,58.3,,
230308,,15.0,,,13.0,15.0,,,,,,,,14.0,,,,93.3,,,95.0,93.3,,,,,,,,95.0,,
230312,,14.0,,,10.0,14.0,,14.0,,10.0,,,,,,,,7.1,,,5.0,7.1,,7.1,,5.0,,,,,,
230336,,14.0,,,,14.0,,,,,,,11.0,11.0,,,,50.0,,,,50.0,,,,,,,63.6,63.6,,
230340,,11.0,,,,11.0,,,,,,,,10.0,,,,36.4,,,,36.4,,,,,,,,40.0,,
230351,,13.0,,,12.0,13.0,,13.0,,,,,,11.0,,,,53.8,,,58.3,53.8,,53.8,,,,,,54.5,,
230361,,18.0,,,16.0,18.0,10.0,16.0,,,,,,12.0,,,,33.3,,,31.3,33.3,50.0,31.3,,,,,,33.3,,
230364,,22.0,,,17.0,22.0,11.0,19.0,,11.0,,,,15.0,,,,54.5,,,58.8,54.5,45.5,52.6,,63.6,,,,73.3,,
230368,,15.0,,,,15.0,,14.0,,,,,10.0,12.0,,,,46.7,,,,46.7,,42.9,,,,,60.0,58.3,,
