agency_code,asm_option,subgroup,ma_score,ma_score_masking,ma_grade,rd_score,rd_score_masking,rd_grade,sc_score,sc_score_masking,m1_score,m1_score_masking,e2_score,e2_score_masking,bi_score,bi_score_masking,act_score,act_score_masking,wk_score,wk_score_masking,mcr_score,mcr_score_masking,cgrs_score,cgrs_score_masking,ach_score,ach_score_masking,eg_status,eg_score,spg_score,spg_grade,ma_spg_score,rd_spg_score,ma_eg_status,rd_eg_status,ma_eg_score,rd_eg_score
450307,,ALL,84.0,,B,75.0,,B,87.0,,,,,,,,,,,,,,,,81.0,,Met,80.3,80.0,B,83.0,76.0,Met,Met,75.3,82.1
450308,,ALL,71.0,,B,55.0,,C,81.0,,,,,,,,,,,,,,,,65.0,,Met,82.9,69.0,C,71.0,60.0,Met,Met,73.0,83.9
450316,,ALL,,,,,,,,,74.0,,67.0,,59.0,,65.0,,64.0,,95.0,1.0,92.0,,75.0,,Met,81.3,76.0,B,,,,,,
450322,,ALL,72.0,,B,65.0,,C,94.0,,,,,,,,,,,,,,,,71.0,,Exceeded,86.8,74.0,B,74.0,69.0,Met,Exceeded,80.4,85.9
450324,,ALL,77.0,,B,80.0,,B,91.0,,,,,,,,,,,,,,,,80.0,,Met,79.0,80.0,B,75.0,80.0,Met,Met,70.4,81.2
450328,,ALL,57.0,,C,62.0,,C,79.0,,95.0,1.0,,,,,,,,,,,,,63.0,,Met,70.0,64.0,C,61.0,64.0,Met,Met,78.2,71.2
450332,,ALL,76.0,,B,69.0,,B,84.0,,,,,,,,,,,,,,,,74.0,,Met,79.2,75.0,B,78.0,70.0,Met,Met,82.8,72.1
450333,,ALL,86.0,,A,85.0,,A,94.0,,,,,,,,,,,,,,,,87.0,,Met,77.4,85.0,A+NG,86.0,85.0,Met,Met,78.0,71.1
450334,,ALL,,,,,,,,,72.0,,84.0,,77.0,,74.0,,83.0,,95.0,1.0,95.0,1.0,82.0,,Exceeded,91.7,84.0,B,,,,,,
450335,,ALL,63.0,,C,73.0,,B,90.0,,95.0,1.0,,,,,,,,,,,,,72.0,,Exceeded,91.0,75.0,B,68.0,75.0,Exceeded,Met,90.9,84.9
