agency_code,dance_cat_arts,music_cat_arts,theatre_cat_arts,va_cat_arts
130349,N,N,N,Y
130350,N,Y,Y,Y
130355,N,Y,N,Y
132304,Y,Y,Y,Y
132308,N,Y,N,Y
132312,N,Y,N,Y
132314,Y,Y,N,Y
132328,N,Y,N,Y
132330,Y,Y,N,Y
132332,N,Y,N,Y
132336,N,Y,N,Y
13A000,N,Y,Y,Y
13B000,N,Y,Y,Y
13C000,N,Y,N,Y
13D000,N,Y,N,Y
140304,N,Y,N,Y
140308,N,Y,N,N
140312,N,Y,Y,Y
140316,N,Y,N,Y
140324,N,Y,N,Y
140332,N,Y,N,Y
140336,N,Y,N,Y
140340,N,Y,N,Y
140344,N,Y,N,Y
140348,N,Y,Y,Y
140352,N,Y,N,Y
140356,N,Y,N,Y
140360,N,Y,N,Y
140368,N,Y,N,Y
140372,N,Y,N,Y
140376,N,Y,N,Y
140384,N,Y,N,Y
140386,N,Y,Y,Y
140388,N,Y,N,Y
140390,N,Y,Y,Y
140392,N,Y,N,Y
140396,N,Y,N,Y
150304,N,Y,N,Y
150308,N,Y,N,Y
150310,N,Y,N,Y
150312,N,Y,N,Y
150350,N,Y,Y,Y
160304,N,Y,N,Y
160306,N,Y,N,Y
160308,N,Y,N,Y
160310,N,Y,N,Y
160311,N,Y,N,Y
160313,Y,Y,Y,Y
160314,Y,Y,Y,Y
160316,N,Y,N,Y
160317,N,Y,N,Y
160318,N,Y,N,Y
160322,N,Y,N,Y
160324,N,Y,N,Y
160326,N,Y,N,Y
160332,N,Y,N,Y
160344,Y,Y,Y,Y
160352,N,Y,N,Y
16B000,N,Y,N,Y
170316,Y,Y,N,Y
170334,N,Y,N,Y
170338,N,Y,N,Y
170339,N,Y,N,Y
170342,N,Y,N,Y
170344,N,Y,N,Y
180302,N,Y,Y,Y
180304,N,Y,N,Y
180308,N,Y,Y,Y
180312,N,Y,Y,Y
180316,N,Y,Y,Y
180320,N,Y,Y,Y
180323,N,N,N,Y
180324,N,Y,N,Y
180325,N,Y,Y,Y
180326,Y,Y,N,Y
180332,N,Y,N,Y
180336,N,Y,N,Y
180340,N,Y,Y,Y
180342,N,Y,Y,Y
180343,N,Y,Y,Y
180344,N,Y,Y,Y
180346,N,Y,Y,Y
180348,N,Y,Y,Y
180352,N,Y,N,Y
180356,N,Y,Y,Y
180360,N,Y,Y,Y
180364,N,Y,Y,Y
180368,N,Y,N,Y
180372,N,Y,N,Y
180376,N,Y,Y,Y
180379,N,Y,Y,Y
180380,Y,Y,N,Y
180388,N,Y,N,Y
181312,N,Y,N,Y
181316,N,Y,N,Y
181318,N,N,Y,Y
181322,N,Y,N,Y
181326,N,Y,N,Y
181332,N,Y,N,Y
181336,N,Y,N,Y
181342,N,Y,N,Y
181344,N,Y,N,Y
182316,N,Y,Y,Y
182321,N,Y,Y,Y
182322,N,Y,N,N
182324,N,Y,N,N
182328,N,Y,N,N
182700,N,N,Y,N
190304,N,Y,N,Y
190308,N,Y,N,Y
190310,N,N,N,Y
190312,N,Y,N,Y
190316,N,Y,N,Y
190328,N,Y,N,Y
190332,N,Y,N,Y
190336,N,Y,N,Y
190339,N,Y,N,Y
190340,N,Y,N,Y
190341,N,Y,N,Y
190342,Y,Y,Y,Y
190346,N,Y,N,Y
190348,N,Y,N,Y
190350,N,Y,N,Y
190352,N,Y,N,Y
190370,N,Y,N,Y
190501,N,N,N,Y
19A000,N,Y,N,Y
19B000,N,Y,Y,Y
19C000,N,Y,N,Y
200304,N,Y,N,Y
200308,N,Y,Y,Y
200310,N,Y,N,N
200312,N,Y,N,Y
200314,N,Y,N,Y
200320,N,Y,N,Y
200324,N,Y,N,Y
200328,N,Y,N,Y
200330,N,Y,N,Y
200332,N,Y,N,Y
200336,N,Y,N,Y
200350,N,Y,N,Y
210304,N,Y,N,Y
210306,N,Y,N,Y
210312,N,Y,N,Y
210316,N,Y,N,Y
220308,N,Y,N,Y
220310,N,Y,N,Y
220312,N,Y,N,Y
230304,N,Y,N,Y
230308,N,Y,N,Y
230312,N,Y,N,Y
230316,N,Y,N,Y
230320,N,Y,N,Y
230324,N,Y,Y,Y
230328,N,Y,N,Y
230334,N,Y,N,Y
230336,N,Y,N,Y
230340,N,Y,N,Y
230342,N,Y,N,Y
230344,N,Y,N,Y
230346,N,Y,N,Y
230348,N,Y,N,Y
230350,N,Y,Y,Y
230351,N,Y,N,Y
230352,N,Y,N,Y
230355,N,Y,N,Y
230357,N,Y,N,Y
230359,N,Y,N,N
230361,N,Y,Y,Y
230362,Y,Y,N,Y
230364,N,Y,N,Y
230368,N,Y,N,Y
230370,N,Y,N,Y
230376,N,Y,N,Y
230380,N,Y,N,Y
23A000,N,Y,N,Y
240304,N,Y,N,Y
240308,N,Y,N,Y
240328,N,Y,N,Y
240332,N,Y,N,N
240334,Y,Y,Y,Y
240344,N,Y,N,Y
240352,N,Y,N,Y
240354,N,Y,N,N
240356,N,Y,N,Y
240368,N,Y,N,Y
240370,N,Y,N,N
240371,Y,Y,Y,Y
240372,N,Y,N,Y
240373,N,Y,N,Y
240376,N,Y,N,Y
240380,Y,Y,Y,Y
240388,N,Y,N,Y
241304,N,Y,N,Y
241308,N,Y,N,Y
241312,N,Y,Y,Y
241316,Y,Y,Y,Y
241320,N,Y,N,Y
24B000,N,Y,N,Y
24N000,N,N,N,Y
250304,N,Y,N,Y
250306,N,Y,N,Y
250308,N,Y,N,Y
250312,N,Y,N,Y
250316,N,Y,N,Y
250320,N,Y,Y,Y
250321,N,Y,N,Y
250324,N,Y,N,Y
250328,N,Y,N,Y
250332,Y,Y,N,Y
250336,N,Y,N,Y
250340,N,Y,N,Y
250344,N,Y,N,Y
250348,N,Y,N,Y
250350,N,Y,N,Y
250356,Y,Y,Y,Y
250360,N,Y,Y,Y
250362,N,Y,N,Y
250364,N,Y,N,Y
250368,N,Y,N,Y
250372,Y,Y,Y,Y
250376,N,Y,Y,Y
250378,N,Y,N,Y
250380,N,Y,N,Y
260302,N,Y,N,Y
260306,N,Y,N,Y
260308,N,Y,N,Y
260310,N,Y,N,Y
260312,N,Y,N,Y
260316,N,Y,N,Y
260318,Y,Y,Y,Y
260320,N,Y,N,Y
260321,N,Y,N,N
260322,Y,Y,Y,Y
260325,Y,Y,Y,Y
260326,N,Y,N,Y
260332,N,Y,Y,Y
260336,N,Y,N,Y
260338,N,Y,N,Y
260340,N,Y,N,Y
260342,N,Y,N,Y
260344,N,Y,N,Y
260347,N,Y,Y,Y
260348,N,Y,N,Y
260352,N,Y,N,Y
260354,Y,Y,Y,Y
260356,N,Y,N,Y
260357,Y,Y,Y,Y
260358,N,Y,N,Y
260359,Y,Y,Y,Y
260361,N,Y,N,Y
260362,N,Y,N,Y
260363,N,Y,N,Y
260364,N,Y,N,Y
260365,N,Y,N,Y
260366,N,Y,N,Y
260367,N,Y,N,Y
260368,N,Y,N,Y
260369,N,Y,N,Y
260370,N,Y,N,Y
260371,N,Y,N,Y
260372,N,Y,N,N
260373,N,Y,N,Y
260375,N,Y,N,Y
260380,N,Y,N,Y
260382,N,Y,N,Y
260383,N,Y,N,Y
260386,N,Y,N,Y
260388,Y,Y,Y,Y
260396,Y,Y,Y,Y
260397,N,Y,N,Y
260398,N,Y,N,Y
260400,N,Y,N,Y
260401,N,Y,N,Y
260402,N,Y,N,Y
260403,N,Y,N,Y
260404,N,Y,N,Y
260405,N,Y,N,Y
260406,Y,Y,N,Y
260407,N,Y,N,Y
260408,Y,Y,Y,Y
260410,N,Y,N,Y
260411,Y,Y,Y,Y
260412,N,Y,N,Y
260413,N,Y,N,N
260414,N,Y,N,Y
260415,N,Y,N,Y
260416,N,Y,N,Y
260417,N,Y,N,Y
260418,N,Y,N,Y
260419,Y,Y,Y,Y
260424,Y,Y,Y,Y
260425,N,Y,N,Y
260426,N,Y,N,Y
260427,Y,Y,Y,Y
260428,N,Y,N,Y
260430,N,Y,N,Y
260432,N,Y,N,Y
260434,N,Y,N,Y
260440,N,Y,N,Y
260444,N,Y,N,Y
260446,Y,Y,Y,Y
260448,N,Y,N,Y
260449,N,N,N,Y
260450,N,Y,N,Y
260452,N,Y,N,Y
260454,N,Y,N,Y
260455,Y,Y,Y,Y
260459,N,Y,N,Y
260700,N,Y,Y,Y
26C000,Y,Y,Y,Y
270304,N,Y,N,N
270306,N,Y,Y,Y
270308,N,Y,N,Y
270309,N,Y,N,N
270310,N,Y,N,Y
270311,N,Y,Y,Y
270316,N,Y,N,Y
270318,N,Y,N,Y
270320,N,Y,N,N
27A000,N,N,N,Y
280302,N,Y,N,Y
280304,N,Y,Y,Y
280306,N,Y,N,Y
280308,N,Y,N,Y
280310,N,Y,N,Y
280312,N,Y,N,Y
280316,N,Y,Y,Y
280320,N,Y,N,Y
280324,N,Y,N,Y
280328,N,Y,Y,Y
280330,N,Y,Y,Y
290302,N,Y,N,Y
290306,N,Y,N,Y
290307,N,Y,N,Y
290308,N,Y,N,Y
290309,N,Y,N,Y
290310,N,Y,N,Y
290312,N,Y,N,Y
290316,N,Y,N,Y
290320,N,Y,N,Y
290322,N,Y,N,Y
290324,N,Y,Y,Y
290328,N,Y,N,Y
290330,N,Y,N,Y
290332,N,Y,N,Y
290333,N,Y,N,Y
290334,N,Y,N,Y
290336,N,Y,Y,Y
290344,N,Y,N,Y
290348,N,Y,Y,Y
290349,N,Y,Y,Y
290350,N,Y,N,Y
290351,N,Y,N,Y
290352,N,Y,N,Y
290356,N,Y,N,Y
290364,N,Y,N,Y
290365,N,Y,Y,Y
290366,N,Y,N,Y
290367,N,Y,N,Y
290375,N,Y,N,Y
290376,N,Y,N,Y
290380,N,Y,N,Y
290384,N,Y,N,Y
290388,N,Y,Y,Y
291308,N,Y,N,Y
291332,N,Y,N,Y
291336,N,Y,N,Y
291340,N,Y,N,Y
291348,N,Y,N,Y
291352,N,Y,N,Y
292316,N,Y,N,Y
292318,N,Y,N,Y
292320,N,Y,N,Y
292324,N,Y,Y,Y
295300,N,Y,N,Y
298202,N,N,N,Y
298203,N,Y,N,Y
29A000,N,Y,N,Y
300306,N,N,N,Y
300308,N,Y,N,Y
300310,N,Y,N,Y
300312,Y,Y,Y,Y
300320,N,Y,N,Y
300325,N,Y,Y,Y
300326,N,Y,N,Y
300328,N,Y,N,Y
300330,N,Y,Y,Y
300336,N,Y,N,Y
300337,N,Y,Y,Y
310304,N,Y,N,Y
310308,N,Y,N,Y
310330,N,Y,N,Y
310336,N,Y,N,Y
310338,N,Y,N,Y
310344,N,Y,N,Y
310352,N,Y,N,Y
310356,N,Y,N,Y
310360,N,Y,N,Y
310364,N,Y,N,Y
310384,N,Y,N,Y
310388,N,Y,N,Y
310392,N,Y,N,Y
320304,N,Y,N,Y
320306,N,Y,N,Y
320308,N,Y,N,Y
320309,N,Y,Y,Y
320310,N,Y,N,Y
320312,Y,Y,Y,Y
320313,N,Y,N,Y
320314,N,Y,N,Y
320315,N,Y,N,Y
320316,Y,Y,N,Y
320317,N,Y,N,Y
320318,Y,Y,N,Y
320319,N,Y,Y,Y
320320,N,Y,N,Y
320322,N,N,Y,N
320323,Y,Y,Y,Y
320324,N,Y,N,Y
320325,Y,Y,Y,Y
320327,N,Y,N,Y
320328,N,Y,N,Y
320332,N,Y,Y,Y
320338,N,Y,N,Y
320339,N,Y,N,Y
320340,N,Y,N,Y
320341,N,N,N,Y
320342,N,Y,N,Y
320343,N,Y,N,Y
320344,N,N,N,Y
320346,N,Y,N,Y
320347,N,Y,N,Y
320348,N,Y,N,Y
320352,N,Y,N,Y
320353,N,Y,N,Y
320354,N,Y,N,Y
320355,N,Y,N,Y
320356,Y,Y,Y,Y
320360,N,Y,N,Y
320362,N,Y,N,Y
320363,N,Y,N,Y
320364,N,Y,N,Y
320365,Y,Y,Y,Y
320366,N,Y,Y,Y
320367,Y,Y,N,Y
320368,Y,Y,Y,Y
320369,Y,Y,Y,Y
320370,N,Y,N,Y
320372,N,Y,N,Y
320374,N,Y,N,Y
320376,N,Y,N,Y
320388,Y,Y,N,Y
320400,N,Y,N,Y
320701,N,N,N,Y
32A000,N,Y,Y,Y
32D000,Y,Y,N,Y
32H000,N,Y,N,Y
32K000,N,Y,N,N
32L000,Y,Y,Y,Y
32M000,N,N,N,Y
32N000,N,Y,Y,Y
32Q000,N,N,N,Y
32R000,Y,Y,Y,Y
32S000,N,Y,N,N
330304,N,Y,N,Y
330308,N,Y,N,Y
330312,N,Y,N,Y
330326,N,Y,N,Y
330328,N,Y,N,Y
330332,N,Y,N,Y
330334,N,Y,N,Y
330340,N,Y,N,Y
330344,N,Y,N,Y
330348,N,Y,N,Y
330350,N,Y,N,Y
330354,N,Y,N,Y
330358,N,Y,N,Y
330360,N,Y,N,Y
33A000,N,Y,Y,Y
340308,N,Y,N,Y
340311,N,Y,Y,Y
340314,N,Y,N,Y
340320,N,Y,N,Y
340326,N,Y,N,Y
340330,Y,Y,Y,Y
340332,N,Y,N,N
340334,N,Y,N,Y
340336,N,Y,N,Y
340344,N,Y,N,Y
340348,N,Y,N,Y
340350,N,Y,N,Y
340351,N,Y,N,Y
340364,Y,Y,Y,Y
340366,N,Y,N,Y
340368,N,Y,N,Y
340372,N,Y,N,Y
340376,N,Y,N,Y
340380,N,Y,N,Y
340382,Y,Y,Y,Y
340384,N,Y,N,Y
340390,N,Y,N,Y
340392,N,Y,N,Y
340400,N,Y,N,Y
340403,N,Y,N,Y
340406,N,Y,Y,Y
340416,N,Y,N,Y
340420,N,Y,N,Y
340424,N,Y,N,Y
340426,N,Y,N,Y
340427,N,N,N,Y
340428,N,Y,N,Y
340430,N,Y,N,Y
340432,N,Y,N,Y
340436,N,Y,N,Y
340440,N,Y,N,Y
340442,N,Y,N,Y
340448,N,Y,N,Y
340452,Y,Y,Y,Y
340453,N,Y,N,Y
340454,Y,Y,Y,Y
340457,N,Y,N,Y
340460,Y,Y,Y,Y
340462,N,Y,N,Y
340464,N,Y,N,Y
340472,N,Y,N,Y
340476,N,Y,N,Y
340480,Y,Y,N,Y
340486,Y,Y,Y,Y
340488,N,N,N,Y
340490,N,Y,N,Y
340492,Y,Y,Y,Y
340494,N,Y,N,Y
