agency_code,career_only_cte_end_cte_enroll,career_college_college_unc_cte_end_cte_enroll,college_college_unc_only_cte_end_cte_enroll,college_only_cte_end_cte_enroll,global_language_cte_end_cte_enroll
320309,0.0,0.0,77.0,0.0,
320312,0.0,48.0,182.0,5.0,26.0
320314,0.0,0.0,15.0,3.0,1.0
320317,0.0,55.0,59.0,2.0,2.0
320322,0.0,0.0,10.0,3.0,
320323,0.0,11.0,161.0,0.0,41.0
320325,0.0,13.0,124.0,0.0,32.0
320353,0.0,2.0,64.0,4.0,5.0
320356,2.0,33.0,127.0,14.0,18.0
320365,0.0,87.0,141.0,4.0,36.0
320368,0.0,39.0,63.0,1.0,3.0
320701,0.0,2.0,32.0,0.0,
32L000,0.0,5.0,70.0,1.0,10.0
32N000,0.0,0.0,76.0,0.0,31.0
330326,0.0,0.0,25.0,0.0,
330328,0.0,7.0,22.0,5.0,1.0
330350,0.0,22.0,54.0,11.0,5.0
330358,0.0,24.0,43.0,6.0,
33A000,0.0,6.0,25.0,0.0,
340311,0.0,175.0,12.0,0.0,22.0
340330,0.0,9.0,25.0,1.0,1.0
340362,0.0,1.0,1.0,0.0,10.0
340364,1.0,76.0,191.0,15.0,35.0
340382,0.0,48.0,132.0,6.0,12.0
340446,0.0,0.0,38.0,0.0,2.0
340454,0.0,42.0,165.0,8.0,75.0
340460,0.0,23.0,65.0,4.0,11.0
340486,0.0,13.0,137.0,18.0,41.0
340488,0.0,18.0,5.0,4.0,1.0
340495,1.0,58.0,280.0,18.0,87.0
340496,1.0,26.0,196.0,9.0,82.0
340542,0.0,26.0,55.0,9.0,9.0
340556,2.0,92.0,335.0,16.0,92.0
340568,0.0,3.0,19.0,0.0,
34B000,0.0,0.0,20.0,0.0,
34D000,0.0,0.0,9.0,3.0,
34H000,0.0,0.0,37.0,2.0,10.0
350308,0.0,35.0,100.0,31.0,1.0
350321,0.0,44.0,129.0,19.0,5.0
350336,0.0,26.0,60.0,15.0,
360310,0.0,42.0,154.0,29.0,40.0
360336,0.0,23.0,2.0,4.0,
360337,0.0,0.0,32.0,0.0,
360360,0.0,53.0,20.0,5.0,6.0
360378,0.0,43.0,16.0,2.0,13.0
360390,,,,,3.0
360396,0.0,60.0,10.0,0.0,24.0
360418,0.0,104.0,116.0,0.0,6.0
360428,0.0,36.0,4.0,3.0,8.0
360470,0.0,49.0,4.0,6.0,
360494,0.0,35.0,8.0,2.0,26.0
36B000,0.0,0.0,44.0,1.0,7.0
36C000,0.0,1.0,83.0,2.0,18.0
370312,0.0,26.0,34.0,14.0,
380308,0.0,8.0,44.0,0.0,1.0
390321,0.0,1.0,1.0,1.0,
390322,0.0,25.0,53.0,15.0,1.0
390323,0.0,1.0,19.0,0.0,
390324,0.0,12.0,33.0,8.0,
390352,1.0,32.0,86.0,16.0,1.0
390700,0.0,12.0,40.0,0.0,
39A000,0.0,0.0,5.0,4.0,1.0
39B000,0.0,0.0,41.0,0.0,
400308,0.0,7.0,88.0,15.0,1.0
400315,0.0,0.0,16.0,0.0,4.0
410319,0.0,31.0,103.0,1.0,6.0
410326,0.0,5.0,18.0,7.0,
410355,0.0,36.0,121.0,1.0,7.0
410358,0.0,58.0,170.0,10.0,8.0
410390,0.0,0.0,42.0,2.0,
410391,0.0,0.0,37.0,0.0,3.0
410394,1.0,20.0,171.0,46.0,90.0
410395,0.0,5.0,43.0,0.0,
410399,0.0,1.0,25.0,0.0,6.0
410401,0.0,4.0,45.0,0.0,1.0
410406,0.0,32.0,141.0,9.0,43.0
410407,0.0,14.0,3.0,0.0,
410408,0.0,1.0,15.0,0.0,1.0
410483,0.0,10.0,12.0,0.0,
410484,1.0,32.0,76.0,5.0,11.0
410489,0.0,31.0,201.0,9.0,50.0
410490,0.0,43.0,404.0,14.0,97.0
410508,0.0,25.0,230.0,4.0,109.0
410529,0.0,56.0,147.0,1.0,25.0
410544,0.0,18.0,101.0,7.0,15.0
410545,0.0,44.0,40.0,1.0,
410547,0.0,81.0,134.0,8.0,24.0
410556,0.0,73.0,62.0,4.0,10.0
410562,0.0,86.0,200.0,3.0,29.0
410569,1.0,39.0,5.0,0.0,1.0
410589,0.0,2.0,63.0,1.0,1.0
410595,0.0,25.0,138.0,7.0,10.0
41F000,0.0,0.0,50.0,0.0,1.0
41G000,0.0,0.0,57.0,0.0,4.0
41K000,,,,,8.0
420346,0.0,1.0,24.0,0.0,
420358,0.0,5.0,20.0,1.0,
421316,1.0,66.0,73.0,10.0,4.0
422315,0.0,1.0,12.0,0.0,
430341,0.0,0.0,1.0,0.0,
430346,0.0,70.0,146.0,43.0,4.0
430371,0.0,85.0,219.0,24.0,2.0
430378,0.0,88.0,160.0,21.0,1.0
430384,0.0,60.0,174.0,20.0,3.0
440326,0.0,1.0,1.0,12.0,
440346,0.0,0.0,7.0,0.0,
440378,0.0,102.0,52.0,15.0,7.0
440390,0.0,78.0,83.0,16.0,33.0
450316,5.0,40.0,73.0,15.0,11.0
450334,0.0,33.0,126.0,6.0,11.0
450341,1.0,54.0,116.0,24.0,24.0
450343,3.0,1.0,2.0,1.0,
450352,1.0,75.0,101.0,14.0,18.0
450354,0.0,2.0,35.0,0.0,1.0
460320,0.0,27.0,32.0,3.0,
460340,0.0,10.0,10.0,0.0,
470312,0.0,67.0,161.0,8.0,4.0
470443,0.0,0.0,28.0,0.0,
480316,0.0,1.0,12.0,0.0,
480318,0.0,2.0,12.0,2.0,
490310,,,,,3.0
490335,0.0,100.0,340.0,30.0,62.0
490346,0.0,69.0,115.0,27.0,13.0
490350,0.0,1.0,3.0,2.0,
490354,0.0,28.0,95.0,7.0,1.0
490355,0.0,1.0,26.0,0.0,1.0
490362,0.0,64.0,234.0,11.0,147.0
490380,0.0,28.0,85.0,17.0,5.0
491312,0.0,92.0,15.0,7.0,21.0
49E000,0.0,0.0,124.0,0.0,49.0
49F000,0.0,0.0,6.0,3.0,
500302,0.0,3.0,11.0,1.0,
500323,0.0,1.0,31.0,3.0,
500340,0.0,42.0,91.0,14.0,3.0
510324,2.0,120.0,146.0,38.0,13.0
510325,0.0,4.0,8.0,0.0,
510327,0.0,113.0,236.0,58.0,13.0
510333,0.0,178.0,238.0,81.0,6.0
510367,,,,,1.0
510368,0.0,58.0,104.0,35.0,
510376,0.0,41.0,43.0,27.0,
510399,0.0,22.0,123.0,19.0,28.0
510402,0.0,92.0,143.0,54.0,2.0
510406,6.0,100.0,84.0,13.0,15.0
51A000,0.0,1.0,46.0,0.0,
520320,5.0,34.0,2.0,4.0,
530335,0.0,11.0,1.0,0.0,2.0
530336,0.0,78.0,108.0,13.0,16.0
530343,0.0,42.0,62.0,8.0,
540315,0.0,15.0,45.0,2.0,4.0
540317,0.0,1.0,31.0,1.0,3.0
540324,0.0,62.0,59.0,10.0,1.0
540336,3.0,65.0,43.0,29.0,
550320,0.0,41.0,124.0,29.0,6.0
550332,0.0,24.0,94.0,18.0,3.0
550344,0.0,52.0,162.0,19.0,6.0
550368,0.0,37.0,100.0,28.0,6.0
55A000,0.0,0.0,112.0,0.0,9.0
560320,0.0,46.0,114.0,53.0,1.0
560324,0.0,5.0,16.0,5.0,2.0
560329,,,,,6.0
560332,0.0,2.0,3.0,0.0,
560350,0.0,0.0,1.0,0.0,
570317,0.0,1.0,10.0,1.0,1.0
570318,0.0,45.0,52.0,18.0,
580344,0.0,17.0,29.0,3.0,
580368,0.0,22.0,59.0,10.0,1.0
58B000,1.0,8.0,26.0,3.0,
590328,,,,,5.0
590330,0.0,71.0,111.0,83.0,
600302,24.0,88.0,381.0,57.0,2.0
600312,24.0,68.0,187.0,79.0,1.0
600334,0.0,6.0,60.0,5.0,6.0
600341,0.0,4.0,1.0,14.0,
600361,37.0,64.0,60.0,49.0,1.0
600364,2.0,1.0,2.0,3.0,
600377,1.0,48.0,75.0,59.0,3.0
600386,10.0,12.0,1.0,0.0,2.0
600397,3.0,8.0,28.0,35.0,
600404,0.0,0.0,5.0,0.0,11.0
600405,0.0,8.0,24.0,43.0,
600415,27.0,42.0,22.0,45.0,
600426,4.0,69.0,65.0,118.0,2.0
600443,0.0,5.0,79.0,0.0,5.0
600445,3.0,84.0,90.0,99.0,3.0
600457,14.0,15.0,26.0,25.0,
600466,6.0,30.0,335.0,95.0,9.0
600480,12.0,16.0,81.0,48.0,3.0
600482,1.0,6.0,29.0,23.0,
600490,27.0,98.0,70.0,63.0,
600496,23.0,145.0,28.0,2.0,44.0
600498,2.0,0.0,3.0,1.0,
600499,2.0,0.0,8.0,8.0,1.0
600508,11.0,53.0,191.0,34.0,4.0
600535,10.0,36.0,193.0,65.0,1.0
600567,0.0,40.0,5.0,0.0,3.0
600576,4.0,7.0,32.0,18.0,
600579,8.0,14.0,25.0,28.0,2.0
600592,15.0,15.0,23.0,36.0,1.0
600594,0.0,0.0,1.0,1.0,1.0
60D000,0.0,0.0,165.0,0.0,48.0
60G000,0.0,0.0,49.0,4.0,6.0
60I000,0.0,0.0,11.0,1.0,45.0
60S000,0.0,1.0,15.0,0.0,4.0
60V000,0.0,0.0,11.0,0.0,
610332,0.0,1.0,10.0,0.0,
610334,2.0,56.0,9.0,3.0,10.0
620316,0.0,40.0,82.0,8.0,
620340,0.0,31.0,30.0,5.0,10.0
630330,0.0,0.0,1.0,1.0,
630332,2.0,35.0,41.0,14.0,1.0
630336,5.0,74.0,246.0,26.0,12.0
630360,1.0,89.0,142.0,21.0,8.0
640346,6.0,40.0,80.0,11.0,2.0
640347,0.0,0.0,5.0,0.0,
640350,2.0,47.0,85.0,8.0,6.0
640361,0.0,41.0,86.0,13.0,31.0
640364,2.0,47.0,100.0,30.0,
64A000,0.0,0.0,37.0,0.0,
650326,2.0,60.0,244.0,24.0,32.0
650327,0.0,71.0,192.0,26.0,32.0
650340,0.0,0.0,2.0,0.0,
650342,0.0,57.0,243.0,22.0,65.0
650352,1.0,24.0,184.0,21.0,29.0
650355,0.0,0.0,1.0,2.0,
650394,0.0,17.0,20.0,0.0,
660336,0.0,0.0,17.0,2.0,
660400,0.0,0.0,19.0,0.0,
66A000,0.0,0.0,19.0,15.0,29.0
670320,1.0,46.0,87.0,16.0,22.0
670324,0.0,107.0,103.0,11.0,13.0
670333,0.0,79.0,113.0,23.0,9.0
670340,0.0,86.0,55.0,16.0,10.0
670344,1.0,48.0,60.0,14.0,1.0
670352,1.0,103.0,75.0,7.0,7.0
670364,2.0,44.0,78.0,19.0,1.0
680310,1.0,48.0,130.0,9.0,35.0
680332,0.0,66.0,166.0,11.0,31.0
681305,,,,,74.0
681308,,,,,152.0
681314,0.0,55.0,1.0,2.0,163.0
68A000,,,,,4.0
690320,0.0,32.0,40.0,22.0,1.0
69A000,0.0,1.0,12.0,6.0,
700317,0.0,53.0,98.0,5.0,1.0
700319,0.0,38.0,91.0,9.0,
70A000,0.0,0.0,33.0,0.0,
710321,0.0,45.0,80.0,23.0,1.0
710326,0.0,33.0,81.0,10.0,
710327,0.0,1.0,2.0,0.0,
710342,1.0,96.0,167.0,12.0,15.0
720316,0.0,23.0,54.0,6.0,
730352,0.0,69.0,116.0,37.0,14.0
73B000,0.0,1.0,46.0,1.0,10.0
740309,0.0,49.0,17.0,16.0,
740333,,,,,11.0
740344,0.0,38.0,55.0,21.0,
740366,0.0,54.0,2.0,1.0,31.0
740374,0.0,42.0,4.0,0.0,
740388,1.0,78.0,174.0,13.0,20.0
740500,0.0,2.0,21.0,0.0,2.0
750317,0.0,0.0,2.0,0.0,
750318,0.0,49.0,59.0,30.0,6.0
760318,1.0,31.0,40.0,18.0,
760339,1.0,69.0,54.0,16.0,5.0
760348,0.0,70.0,91.0,29.0,
760354,,,,,22.0
760358,0.0,82.0,64.0,16.0,
760380,1.0,51.0,59.0,14.0,1.0
760388,0.0,86.0,55.0,7.0,8.0
761304,0.0,108.0,113.0,3.0,14.0
76A000,0.0,0.0,79.0,17.0,2.0
770348,0.0,107.0,109.0,19.0,
770349,0.0,11.0,43.0,0.0,
780325,4.0,51.0,27.0,8.0,
780342,1.0,93.0,122.0,17.0,
780385,0.0,9.0,33.0,0.0,
780391,0.0,37.0,44.0,13.0,
780401,0.0,47.0,48.0,9.0,
780402,0.0,17.0,23.0,5.0,
780420,0.0,87.0,92.0,34.0,
790314,0.0,51.0,116.0,12.0,4.0
790354,0.0,52.0,104.0,22.0,6.0
790366,0.0,13.0,71.0,10.0,16.0
790378,0.0,49.0,144.0,22.0,19.0
790379,0.0,0.0,1.0,0.0,1.0
800308,0.0,0.0,1.0,0.0,
800340,0.0,40.0,125.0,10.0,4.0
800361,0.0,57.0,3.0,4.0,11.0
800376,0.0,18.0,76.0,2.0,
800394,0.0,0.0,44.0,0.0,
800396,0.0,35.0,54.0,3.0,14.0
800400,0.0,48.0,110.0,12.0,
800408,0.0,45.0,136.0,26.0,2.0
810324,0.0,58.0,81.0,22.0,
810340,0.0,61.0,100.0,14.0,4.0
810384,0.0,36.0,82.0,13.0,6.0
810385,0.0,0.0,26.0,3.0,
81A000,0.0,0.0,64.0,0.0,29.0
820324,0.0,4.0,35.0,0.0,10.0
820348,0.0,43.0,21.0,11.0,4.0
820349,0.0,48.0,20.0,8.0,1.0
820352,0.0,82.0,47.0,5.0,20.0
820388,0.0,35.0,25.0,8.0,
821308,0.0,55.0,108.0,15.0,13.0
830316,0.0,0.0,5.0,0.0,
830343,0.0,67.0,146.0,7.0,8.0
830348,0.0,0.0,26.0,1.0,
840302,2.0,20.0,20.0,9.0,1.0
840332,0.0,46.0,55.0,22.0,
840356,0.0,24.0,51.0,36.0,
840361,0.0,7.0,28.0,3.0,
840368,0.0,55.0,100.0,46.0,1.0
84B000,0.0,0.0,2.0,1.0,
850332,0.0,47.0,11.0,13.0,
850352,0.0,18.0,52.0,9.0,9.0
850358,0.0,38.0,96.0,35.0,10.0
860316,0.0,35.0,43.0,10.0,
860336,1.0,59.0,31.0,23.0,1.0
860352,2.0,42.0,44.0,35.0,4.0
860354,0.0,4.0,40.0,8.0,2.0
861308,1.0,29.0,31.0,6.0,1.0
862312,0.0,39.0,106.0,7.0,
86T000,,,,,5.0
870314,3.0,30.0,29.0,1.0,
880308,0.0,83.0,93.0,25.0,8.0
880328,0.0,26.0,28.0,13.0,2.0
890304,0.0,7.0,10.0,1.0,1.0
900311,0.0,98.0,328.0,8.0,58.0
900316,0.0,27.0,98.0,6.0,8.0
900336,0.0,20.0,88.0,9.0,4.0
900342,3.0,76.0,195.0,16.0,16.0
900344,1.0,49.0,118.0,13.0,13.0
900348,0.0,75.0,226.0,14.0,17.0
900360,0.0,62.0,229.0,15.0,19.0
900365,0.0,2.0,1.0,1.0,
900366,1.0,150.0,180.0,5.0,10.0
900367,0.0,0.0,60.0,2.0,
900377,1.0,41.0,271.0,0.0,98.0
900393,0.0,72.0,400.0,11.0,120.0
90A000,0.0,0.0,85.0,0.0,11.0
910368,0.0,1.0,3.0,1.0,
910370,0.0,30.0,91.0,7.0,6.0
910382,0.0,3.0,24.0,0.0,
91B000,0.0,0.0,23.0,0.0,7.0
920316,0.0,153.0,330.0,23.0,52.0
920317,0.0,117.0,425.0,17.0,61.0
920318,0.0,94.0,277.0,9.0,34.0
920348,0.0,60.0,301.0,9.0,155.0
920368,1.0,118.0,206.0,27.0,25.0
920386,0.0,0.0,28.0,0.0,5.0
920411,0.0,54.0,90.0,10.0,15.0
920412,0.0,108.0,366.0,6.0,182.0
920428,0.0,73.0,317.0,12.0,62.0
920436,0.0,64.0,316.0,15.0,55.0
920441,0.0,178.0,428.0,9.0,88.0
