year,LEA,____LEA Name____,School,___School Name___,Indian Male,Indian Female,Asian Male,Asian Female,Hispanic Male,Hispanic Female,Black Male,Black Female,White Male,White Female,Pacific Island Male,Pacific Island Female,Two or  More Male,Two or  More Female,Total,unit_code
2014,010,Alamance-Burlington Schools,303,Alamance-Burlington Middle College,0,0,0,0,1,10,3,8,15,36,0,0,1,0,74,010303
2014,010,Alamance-Burlington Schools,304,Alexander Wilson Elementary,0,0,0,0,58,53,19,24,186,180,0,0,11,8,539,010304
2014,010,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,1,0,1,1,30,31,18,12,237,196,1,1,7,6,542,010308
2014,010,Alamance-Burlington Schools,310,Broadview Middle,0,2,7,4,195,187,156,153,37,35,0,0,11,9,796,010310
2014,010,Alamance-Burlington Schools,312,Highland Elementary,0,1,14,10,39,44,42,40,226,210,0,0,19,13,658,010312
2014,010,Alamance-Burlington Schools,320,E M Yoder Elementary,1,1,0,1,19,11,21,20,131,111,0,0,4,9,329,010320
2014,010,Alamance-Burlington Schools,324,Eastern Alamance High,4,5,3,2,72,68,120,126,402,357,4,1,25,22,"1,211",010324
2014,010,Alamance-Burlington Schools,326,Eastlawn Elementary,0,1,3,2,124,124,87,81,32,22,0,1,7,5,489,010326
2014,010,Alamance-Burlington Schools,328,Edwin M Holt Elementary,0,2,2,3,20,22,11,8,292,263,1,0,2,2,628,010328
2014,010,Alamance-Burlington Schools,340,Elon Elementary,1,0,3,5,34,31,36,29,217,241,0,0,8,22,627,010340
2014,010,Alamance-Burlington Schools,346,B Everett Jordan Elem,2,1,1,0,43,32,21,18,156,134,0,0,7,9,424,010346
2014,010,Alamance-Burlington Schools,347,Garrett Elementary,5,4,4,3,76,61,29,38,217,203,1,0,21,17,679,010347
2014,010,Alamance-Burlington Schools,348,Graham High,0,3,5,4,150,163,138,123,122,90,0,0,12,16,826,010348
2014,010,Alamance-Burlington Schools,350,Graham Middle,3,1,5,6,135,152,105,86,93,65,0,0,13,10,674,010350
2014,010,Alamance-Burlington Schools,351,Grove Park Elementary,0,0,2,4,88,81,113,108,68,56,1,1,27,21,570,010351
2014,010,Alamance-Burlington Schools,353,Hawfields Middle,0,0,3,1,62,64,56,44,230,202,0,1,15,18,696,010353
2014,010,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,1,0,2,7,148,157,135,112,64,43,1,0,14,9,693,010354
2014,010,Alamance-Burlington Schools,357,Haw River Elementary,3,4,1,2,123,137,59,57,55,43,0,0,9,10,503,010357
