year,unit_code,Lea_Name,School_Name,State_Name,category_cd,level,size,lea_size,st_size
2014,200LEA,Cherokee County Schools,,State Of North Carolina,,English II,,15.0,18
2014,200LEA,Cherokee County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,210LEA,Edenton-Chowan Schools,,State Of North Carolina,,Biology,,16.0,18
2014,210LEA,Edenton-Chowan Schools,,State Of North Carolina,,English II,,17.0,18
2014,210LEA,Edenton-Chowan Schools,,State Of North Carolina,,Math I,,17.0,20
2014,220LEA,Clay County Schools,,State Of North Carolina,,Biology,,15.0,18
2014,220LEA,Clay County Schools,,State Of North Carolina,,English II,,21.0,18
2014,220LEA,Clay County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,230LEA,Cleveland County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,230LEA,Cleveland County Schools,,State Of North Carolina,,English II,,18.0,18
2014,230LEA,Cleveland County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,240LEA,Columbus County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,240LEA,Columbus County Schools,,State Of North Carolina,,English II,,18.0,18
2014,240LEA,Columbus County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,241LEA,Whiteville City Schools,,State Of North Carolina,,Biology,,21.0,18
2014,241LEA,Whiteville City Schools,,State Of North Carolina,,English II,,19.0,18
2014,241LEA,Whiteville City Schools,,State Of North Carolina,,Math I,,18.0,20
2014,250LEA,Craven County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,250LEA,Craven County Schools,,State Of North Carolina,,English II,,20.0,18
2014,250LEA,Craven County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,260LEA,Cumberland County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,260LEA,Cumberland County Schools,,State Of North Carolina,,English II,,17.0,18
2014,260LEA,Cumberland County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,270LEA,Currituck County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,270LEA,Currituck County Schools,,State Of North Carolina,,English II,,21.0,18
2014,270LEA,Currituck County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,280LEA,Dare County Schools,,State Of North Carolina,,Biology,,13.0,18
2014,280LEA,Dare County Schools,,State Of North Carolina,,English II,,17.0,18
2014,280LEA,Dare County Schools,,State Of North Carolina,,Math I,,16.0,20
2014,290LEA,Davidson County Schools,,State Of North Carolina,,Biology,,20.0,18
2014,290LEA,Davidson County Schools,,State Of North Carolina,,English II,,20.0,18
2014,290LEA,Davidson County Schools,,State Of North Carolina,,Math I,,24.0,20
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Biology,,20.0,18
2014,291LEA,Lexington City Schools,,State Of North Carolina,,English II,,22.0,18
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Math I,,21.0,20
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Biology,,20.0,18
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,English II,,18.0,18
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Math I,,19.0,20
2014,300LEA,Davie County Schools,,State Of North Carolina,,Biology,,23.0,18
2014,300LEA,Davie County Schools,,State Of North Carolina,,English II,,19.0,18
2014,300LEA,Davie County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Biology,,22.0,18
2014,310LEA,Duplin County Schools,,State Of North Carolina,,English II,,21.0,18
2014,310LEA,Duplin County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Biology,,16.0,18
2014,320LEA,Durham Public Schools,,State Of North Carolina,,English II,,18.0,18
2014,320LEA,Durham Public Schools,,State Of North Carolina,,Math I,,21.0,20
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Biology,,16.0,18
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,English II,,16.0,18
2014,330LEA,Edgecombe County Public School,,State Of North Carolina,,Math I,,17.0,20
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,English II,,20.0,18
2014,340LEA,Forsyth County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,350LEA,Franklin County Schools,,State Of North Carolina,,English II,,24.0,18
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,360LEA,Gaston County Schools,,State Of North Carolina,,English II,,20.0,18
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,370LEA,Gates County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,370LEA,Gates County Schools,,State Of North Carolina,,English II,,15.0,18
2014,370LEA,Gates County Schools,,State Of North Carolina,,Math I,,15.0,20
