year,unit_code,Lea_Name,School_Name,State_Name,category_cd,Part_Targets,percent_met,targets_met,targets_assigned
2014,290LEA,Davidson County Schools,,State Of North Carolina,,Science Grade 11,0.857,12,14
2014,290LEA,Davidson County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.95,19,20
2014,290LEA,Davidson County Schools,,State Of North Carolina,,The ACT,0.857,12,14
2014,290LEA,Davidson County Schools,,State Of North Carolina,,Total Targets,0.84,137,163
2014,291LEA,Lexington City Schools,,State Of North Carolina,,ACT WorkKeys,0.667,4,6
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Current Year EOC,1.0,9,9
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Mathematics Grade 10,0.417,5,12
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.6,12,20
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Reading Grade 10,0.667,8,12
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.6,12,20
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Science Grade 11,0.833,10,12
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Science Grades 5 and 8,0.75,12,16
2014,291LEA,Lexington City Schools,,State Of North Carolina,,The ACT,0.417,5,12
2014,291LEA,Lexington City Schools,,State Of North Carolina,,Total Targets,0.682,90,132
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,ACT WorkKeys,0.5,2,4
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,5,10
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.722,13,18
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Reading Grade 10,0.5,5,10
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.556,10,18
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Science Grade 11,0.875,7,8
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Science Grades 5 and 8,0.8,8,10
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,The ACT,0.25,2,8
2014,292LEA,Thomasville City Schools,,State Of North Carolina,,Total Targets,0.657,67,102
2014,300LEA,Davie County Schools,,State Of North Carolina,,ACT WorkKeys,1.0,6,6
2014,300LEA,Davie County Schools,,State Of North Carolina,,Current Year EOC,1.0,8,8
2014,300LEA,Davie County Schools,,State Of North Carolina,,Mathematics Grade 10,1.0,13,13
2014,300LEA,Davie County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.833,15,18
2014,300LEA,Davie County Schools,,State Of North Carolina,,Reading Grade 10,0.923,12,13
2014,300LEA,Davie County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.889,16,18
