year,unit_code,School_Name,Lea_Name,State_Name,Category_Cd,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,esea_attendance,lea_esea_attendance,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,ib_participation_pct,lea_ib_participation_pct,st_ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,st_ib_pct_4_or_above
2014,010303,Alamance-Burlington Middle College,Alamance-Burlington Schools,State Of North Carolina,H,925.0,964.0,994.0,1010.0,0.12,0.58,0.53,0.52,Did Not Meet,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010304,Alexander Wilson Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010308,Altamahaw Ossipee Elem,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010310,Broadview Middle,Alamance-Burlington Schools,State Of North Carolina,M,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010311,Career Technical Education Center,Alamance-Burlington Schools,State Of North Carolina,H,,964.0,994.0,1010.0,,0.58,0.53,0.52,Did Not Meet,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010312,"Highland Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010320,E M Yoder Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010324,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina,H,979.0,964.0,994.0,1010.0,0.63,0.58,0.53,0.52,Did Not Meet,Met,0.07,0.08,0.13,0.7,0.62,0.58,,,,,,0.77
2014,010326,Eastlawn Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010328,Edwin M Holt Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010340,Elon Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010346,B Everett Jordan Elem,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010347,Garrett Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010348,Graham High,Alamance-Burlington Schools,State Of North Carolina,H,884.0,964.0,994.0,1010.0,0.7,0.58,0.53,0.52,Did Not Meet,Met,,0.08,0.13,0.18,0.62,0.58,,,,,,0.77
2014,010350,Graham Middle,Alamance-Burlington Schools,State Of North Carolina,M,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010351,Grove Park Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010353,Hawfields Middle,Alamance-Burlington Schools,State Of North Carolina,M,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010354,Harvey R Newlin Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010357,Haw River Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010358,Hillcrest Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010360,Hugh M Cummings High,Alamance-Burlington Schools,State Of North Carolina,H,824.0,964.0,994.0,1010.0,0.45,0.58,0.53,0.52,Did Not Meet,Met,,0.08,0.13,0.33,0.62,0.58,,,,,,0.77
2014,010362,Marvin B Smith Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010364,North Graham Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
2014,010372,Pleasant Grove Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,964.0,994.0,1010.0,,0.58,0.53,0.52,Met,Met,,0.08,0.13,,0.62,0.58,,,,,,0.77
