agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
92M000,I,9984.42,0.431,0.125,0.362,0.08199999999999999,0.0,0.0,,3323.73,6130.38,530.31
92N000,I,10676.01,0.478,0.038,0.421,0.04,0.023,0.0,,4534.49,6007.43,134.09
92P000,T,10069.74,0.516,0.175,0.14800000000000002,0.064,0.097,0.0,,3536.18,6349.98,183.58
92Q000,E,12810.66,0.5920000000000001,0.114,0.255,0.038,0.001,0.0,,4495.73,6376.33,1938.6
92R000,I,8709.21,0.578,0.197,0.187,0.036000000000000004,0.002,0.0,,2624.86,5797.55,286.8
92S000,I,8026.41,0.564,0.18600000000000005,0.23,0.02,0.0,0.0,,2353.4,5550.99,122.02
92T000,A,8099.84,0.4920000000000001,0.118,0.307,0.071,0.012,0.0,,2340.12,5541.57,218.15
92U000,H,9457.83,0.524,0.114,0.267,0.056,0.039,0.0,,3172.34,6044.12,241.37
92V000,I,7954.06,0.381,0.114,0.445,0.06,0.0,0.0,,2165.34,5586.11,202.61
92W000,I,8476.35,0.415,0.066,0.446,0.063,0.01,0.0,,2381.64,5905.58,189.13
92Y000,I,7426.8,0.665,0.132,0.121,0.08,0.002,0.0,,1617.61,5644.44,164.75
930LEA,,12863.32,0.5720000000000001,0.18600000000000005,0.139,0.103,0.0,0.0,,2627.96,8302.67,1932.69
93A000,A,10147.6,0.5529999999999999,0.185,0.199,0.063,0.0,0.0,,1508.57,7781.17,857.86
93J000,E,10874.5,0.391,0.092,0.45,0.044,0.023,0.0,,4130.39,6012.27,731.84
93L000,H,9825.04,0.303,0.059,0.5870000000000001,0.051,0.0,0.0,,2922.0,6903.04,0.0
93M000,I,10127.7,0.318,0.087,0.5329999999999999,0.062,0.0,0.0,,4505.01,5482.35,140.34
93N000,E,6205.58,0.474,0.099,0.306,0.121,0.0,0.0,,826.97,5247.7,130.91
940LEA,,13429.31,0.564,0.203,0.113,0.099,0.021,0.0,,1936.18,9454.04,2039.09
94Z000,H,9430.61,0.5,0.166,0.209,0.108,0.017,0.0,,840.51,8428.62,161.48
950LEA,,10187.53,0.6459999999999999,0.229,0.052000000000000005,0.067,0.006,0.0,,3269.33,6224.08,694.12
95A000,I,9769.0,0.5489999999999999,0.195,0.21,0.046,0.0,0.0,,3007.32,6453.37,308.31
960LEA,,9117.55,0.614,0.218,0.081,0.077,0.01,0.0,,1339.94,6593.76,1183.85
96C000,I,12166.1,0.498,0.109,0.166,0.113,0.114,0.0,,2371.99,8156.07,1638.04
96F000,I,7185.9,0.527,0.117,0.326,0.028,0.002,0.0,,556.44,6403.79,225.67
970LEA,,9171.77,0.632,0.23,0.058,0.071,0.009000000000000001,0.0,,1632.95,6454.65,1084.17
97D000,I,12389.4,0.358,0.113,0.125,0.147,0.257,0.0,,3155.81,8282.63,950.96
980LEA,,9376.26,0.616,0.221,0.076,0.081,0.006,0.0,,1888.04,6192.65,1295.57
98A000,I,8796.75,0.488,0.105,0.157,0.123,0.127,0.0,,1564.29,6452.77,779.69
98B000,A,7742.36,0.482,0.097,0.33,0.049,0.042,0.0,,1653.26,5859.55,229.55
990LEA,,9510.24,0.649,0.234,0.051,0.062,0.004,0.0,,1628.62,6842.5,1039.12
995LEA,,10936.49,0.624,0.222,0.077,0.063,0.014,0.0,,2029.06,7641.3,1266.13
NC-SEA,,9482.29,0.609,0.212,0.095,0.07200000000000001,0.011,0.0,,2366.96,6143.12,972.21
