agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
24N000,I,8994.8,0.358,0.08,0.523,0.034,0.005,0.0,,1485.05,7127.55,382.2
250LEA,,8913.74,0.605,0.21,0.07400000000000001,0.093,0.018000000000000002,0.0,,1847.77,6062.4,1003.57
260LEA,,8991.2,0.638,0.213,0.069,0.067,0.013,0.0,,1780.09,5938.08,1273.03
26B000,I,8273.62,0.43,0.065,0.252,0.068,0.185,0.0,,1686.93,6034.26,552.43
26C000,I,7444.87,0.469,0.115,0.332,0.075,0.009000000000000001,0.0,,1335.33,5738.88,370.66
270LEA,,9794.85,0.637,0.21600000000000005,0.085,0.06,0.002,0.0,,2931.53,6180.9,682.42
27A000,I,10080.45,0.643,0.105,0.171,0.077,0.004,0.0,,2728.24,7172.28,179.93
280LEA,,11591.95,0.621,0.22,0.093,0.065,0.001,0.0,,4748.09,6217.24,626.62
290LEA,,8455.35,0.62,0.225,0.065,0.073,0.017,0.0,,1661.27,6040.17,753.91
291LEA,,10593.09,0.605,0.21,0.108,0.067,0.01,0.0,,2286.3,6643.3,1663.49
292LEA,,11394.2,0.597,0.21,0.081,0.109,0.003,0.0,,2709.39,6590.25,2094.56
300LEA,,9431.48,0.631,0.229,0.067,0.063,0.01,0.0,,2400.48,6228.75,802.25
310LEA,,9309.1,0.601,0.217,0.084,0.08199999999999999,0.016,0.0,,1247.19,6698.49,1363.42
320LEA,,11083.54,0.625,0.215,0.087,0.069,0.004,0.0,,3629.06,6217.07,1237.41
32A000,I,10252.32,0.531,0.114,0.295,0.052000000000000005,0.008,0.0,,3577.68,6107.34,567.3
32B000,I,12143.78,0.428,0.146,0.318,0.095,0.013,0.0,,4120.73,6738.52,1284.53
32C000,I,11127.72,0.49,0.118,0.337,0.057,-0.002,0.0,,4379.2,6022.44,726.08
32D000,I,10349.2,0.513,0.105,0.344,0.033,0.005,0.0,,3650.89,6410.96,287.35
32H000,I,9573.26,0.366,0.112,0.464,0.058,0.0,0.0,,3413.74,5770.86,388.66
32K000,I,10304.93,0.575,0.187,0.188,0.042,0.008,0.0,,3714.59,6434.31,156.03
32L000,A,8888.38,0.498,0.154,0.306,0.032,0.01,0.0,,2757.37,5938.52,192.49
32M000,I,14907.15,0.594,0.11,0.22,0.055,0.021,0.0,,6918.75,6507.32,1481.08
32N000,H,7400.97,0.632,0.135,0.16399999999999998,0.067,0.002,0.0,,1450.99,5772.57,177.41
32P000,I,8801.91,0.59,0.071,0.252,0.067,0.02,0.0,,2957.92,5691.79,152.2
32Q000,E,8469.35,0.561,0.13,0.235,0.053,0.021,0.0,,1780.38,6411.38,277.59
32R000,E,8948.38,0.456,0.121,0.331,0.08900000000000001,0.003,0.0,,3465.37,5354.41,128.6
32S000,M,12892.87,0.397,0.077,0.386,0.126,0.014,0.0,,5934.33,6180.65,777.89
330LEA,,10355.2,0.598,0.207,0.08900000000000001,0.094,0.012,0.0,,1377.61,7208.18,1769.41
33A000,A,9225.98,0.495,0.085,0.325,0.078,0.017,0.0,,1730.74,6927.62,567.62
340LEA,,9611.93,0.633,0.223,0.073,0.064,0.006999999999999999,0.0,,2473.47,6001.41,1137.05
34B000,A,8822.3,0.52,0.077,0.325,0.07200000000000001,0.006,0.0,,1599.16,6326.23,896.91
34D000,A,10875.25,0.486,0.104,0.189,0.211,0.01,0.0,,2701.77,6732.06,1441.42
34F000,I,8586.37,0.43,0.132,0.359,0.079,0.0,0.0,,1915.21,6077.59,593.57
34G000,I,8430.32,0.564,0.19,0.209,0.034,0.003,0.0,,2391.46,5815.71,223.15
34H000,A,6609.54,0.442,0.155,0.334,0.057,0.012,0.0,,753.96,5702.96,152.62
350LEA,,9449.38,0.598,0.219,0.093,0.079,0.011,0.0,,1903.92,6518.82,1026.64
35A000,I,9334.16,0.525,0.231,0.141,0.036000000000000004,0.067,0.0,,2139.53,6920.67,273.96
35B000,E,8468.07,0.511,0.076,0.331,0.046,0.036000000000000004,0.0,,2196.53,6140.84,130.7
360LEA,,8793.9,0.607,0.218,0.081,0.08,0.014,0.0,,1829.73,5909.23,1054.94
36B000,A,8362.18,0.53,0.106,0.139,0.066,0.159,0.0,,2389.24,5694.86,278.08
36C000,A,7947.02,0.5489999999999999,0.112,0.222,0.083,0.034,0.0,,2198.98,5549.3,198.74
370LEA,,11581.47,0.614,0.214,0.083,0.069,0.02,0.0,,2300.94,8320.86,959.67
380LEA,,12318.07,0.603,0.227,0.068,0.093,0.009000000000000001,0.0,,2142.6,8835.21,1340.26
390LEA,,9593.12,0.611,0.212,0.086,0.069,0.022,0.0,,2090.04,6578.43,924.65
39A000,A,8815.14,0.504,0.116,0.252,0.066,0.062,0.0,,2365.47,6260.0,189.67
39B000,T,30126.06,0.129,0.029,0.078,0.01,0.754,0.0,,23990.93,6006.06,129.07
400LEA,,10627.16,0.595,0.207,0.101,0.093,0.004,0.0,,1091.47,7874.87,1660.82
410LEA,,9807.48,0.608,0.21600000000000005,0.097,0.077,0.002,0.0,,2853.85,5842.02,1111.61
41B000,I,8051.49,0.35700000000000004,0.111,0.489,0.043,0.0,0.0,,2258.92,5609.83,182.74
41C000,I,8895.37,0.467,0.078,0.396,0.059,0.0,0.0,,2140.0,5997.24,758.13
41D000,I,9153.14,0.35,0.086,0.535,0.025,0.004,0.0,,2770.37,6164.57,218.2
41F000,A,8536.66,0.528,0.126,0.279,0.058,0.009000000000000001,0.0,,2754.61,5759.17,22.88
41G000,A,7513.9,0.508,0.183,0.249,0.048,0.012,0.0,,1848.9,5521.74,143.26
41H000,A,10208.96,0.478,0.078,0.39,0.048,0.006,0.0,,3097.19,6440.17,671.6
41J000,I,8037.28,0.354,0.104,0.486,0.056,0.0,0.0,,2197.88,5659.98,179.42
41K000,H,8139.12,0.452,0.08800000000000001,0.376,0.058,0.026,0.0,,1952.18,6081.53,105.41
41L000,E,11115.52,0.3720000000000001,0.106,0.433,0.08900000000000001,0.0,0.0,,4001.11,6484.61,629.8
420LEA,,12937.78,0.57,0.183,0.131,0.094,0.022,0.0,,1812.11,8377.57,2748.1
421LEA,,9751.64,0.622,0.226,0.087,0.062,0.003,0.0,,2049.44,6613.09,1089.11
422LEA,,14890.39,0.5820000000000001,0.195,0.125,0.087,0.011,0.0,,3374.69,9352.38,2163.32
42A000,I,33078.45,0.13,0.024,0.762,0.07200000000000001,0.012,0.0,,24279.96,7955.74,842.75
430LEA,,8681.47,0.608,0.209,0.073,0.098,0.012,0.0,,1593.54,6175.88,912.05
43C000,E,8248.96,0.5710000000000001,0.095,0.189,0.07400000000000001,0.071,0.0,,1866.3,6250.77,131.89
440LEA,,9472.83,0.62,0.224,0.056,0.086,0.014,0.0,,2311.91,6103.32,1057.6
44A000,I,8328.05,0.507,0.119,0.29600000000000004,0.067,0.011,0.0,,2141.07,6038.11,148.87
450LEA,,9009.34,0.634,0.227,0.053,0.07,0.016,0.0,,2110.92,5980.16,918.26
45A000,I,8583.29,0.535,0.197,0.218,0.037000000000000005,0.013,0.0,,2202.39,6187.08,193.82
45B000,E,9340.03,0.401,0.121,0.39,0.04,0.048,0.0,,3386.74,5798.05,155.24
460LEA,,11446.12,0.599,0.212,0.08,0.102,0.006999999999999999,0.0,,1519.77,8085.24,1841.11
470LEA,,8988.81,0.621,0.206,0.09,0.077,0.006,0.0,,997.47,6861.75,1129.59
480LEA,,18282.79,0.563,0.202,0.141,0.084,0.01,0.0,,3327.74,13255.88,1699.17
490LEA,,8606.47,0.616,0.227,0.064,0.062,0.031,0.0,,2148.62,5717.25,740.6
491LEA,,9359.34,0.591,0.209,0.114,0.07200000000000001,0.014,0.0,,3112.93,5706.17,540.24
49B000,I,8506.49,0.5660000000000001,0.202,0.17600000000000002,0.039,0.017,0.0,,2474.45,5685.41,346.63
49D000,I,9908.36,0.451,0.11,0.27,0.147,0.022,0.0,,2431.4,5923.84,1553.12
