agency_code,num_concentrators_AAVC,num_concentrators_AGNR,num_concentrators_ARCH,num_concentrators_BMA,num_concentrators_EDUC,num_concentrators_FINA,num_concentrators_HLTH,num_concentrators_HOSP,num_concentrators_HUMA,num_concentrators_INFO,num_concentrators_LAW,num_concentrators_MANU,num_concentrators_MRKT,num_concentrators_STEM,num_concentrators_TRAN
340495,10,7,3,10,0,2,16,19,5,6,0,0,0,16,7
340496,6,1,8,7,0,3,12,14,8,1,0,0,2,10,1
340542,0,0,1,0,0,0,18,2,3,3,7,0,0,5,7
340556,13,0,12,13,0,9,20,12,3,8,0,0,1,10,13
340568,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0
34B000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
350308,9,26,25,8,0,0,0,35,1,21,2,6,1,0,0
350321,2,22,12,14,0,3,6,22,1,13,0,0,8,0,0
350336,0,20,5,10,0,0,12,5,0,6,5,0,0,0,15
360310,0,57,48,27,0,0,27,47,1,20,2,0,15,0,0
360336,8,0,30,41,0,1,14,0,8,26,1,0,0,0,0
360360,22,24,18,15,0,0,27,13,0,7,6,0,2,7,0
360372,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
360378,32,7,1,14,0,0,26,19,0,9,2,43,1,25,0
360390,0,12,19,2,0,0,18,17,5,1,0,0,0,0,10
360396,0,20,21,13,0,0,19,12,9,18,0,0,0,0,0
360418,22,0,10,22,0,22,44,0,3,43,17,0,0,21,0
360428,6,46,18,4,0,0,22,22,3,7,5,0,0,0,0
360470,0,28,18,17,0,0,19,13,0,0,1,0,0,6,7
360494,0,10,31,5,0,1,7,15,0,28,0,1,1,0,0
36B000,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
36C000,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
370312,1,31,0,0,0,0,12,3,0,0,0,2,0,0,0
380308,0,3,10,0,0,0,15,4,0,3,0,6,0,0,11
390314,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
390322,3,43,0,6,0,0,4,16,0,3,0,0,6,14,0
390323,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
390324,3,14,7,0,0,0,0,4,0,17,0,0,4,0,7
390352,0,17,14,9,0,2,22,6,0,1,0,0,9,0,7
390700,0,17,0,0,0,0,23,1,0,0,0,0,1,0,0
400308,20,11,7,5,0,4,31,6,1,0,0,13,2,0,12
410319,16,0,4,29,0,0,17,6,14,20,0,0,18,5,5
410355,4,0,0,42,0,0,49,1,27,12,0,0,25,33,15
410358,28,10,14,4,0,7,10,6,14,16,0,11,2,18,1
410390,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
410394,1,0,1,5,0,0,10,2,6,4,0,0,2,1,2
410399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
410401,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
410406,16,0,3,7,0,0,0,13,9,27,0,15,3,2,0
410407,0,0,0,0,0,0,30,0,0,6,0,0,0,0,0
410408,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
410483,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0
410484,4,1,8,36,0,0,7,5,15,40,0,1,10,16,11
410489,1,1,5,1,0,1,15,7,2,11,0,1,0,5,4
410490,5,0,0,6,0,0,19,1,12,4,0,4,3,18,2
410508,18,2,9,7,0,4,9,4,0,14,0,0,0,4,2
410529,17,0,1,39,0,0,19,9,12,77,0,0,2,17,0
410544,10,0,0,33,0,1,3,14,29,30,0,0,4,5,0
410545,0,0,18,7,0,0,31,0,0,1,0,0,2,0,0
410547,18,43,16,7,0,0,27,5,9,6,1,0,1,29,6
410556,13,22,15,8,0,0,44,3,12,6,0,1,2,12,5
410562,26,0,13,31,0,0,20,11,11,15,0,1,23,46,3
410569,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
410579,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0
410595,1,0,1,12,0,0,15,1,0,7,0,0,4,8,1
420346,0,12,0,15,0,6,0,0,7,12,0,0,1,0,0
420358,0,9,7,1,0,0,0,1,5,2,0,0,0,0,0
421316,0,13,30,1,0,0,23,35,0,1,2,18,2,0,1
422310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
422315,0,23,1,1,0,0,0,10,0,0,0,0,1,0,1
430345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
430346,4,26,21,12,0,0,15,13,4,10,11,17,4,0,1
430371,1,37,30,15,0,4,13,19,2,14,7,0,0,1,7
430378,1,79,21,2,0,0,8,31,3,1,9,3,0,3,5
430384,4,37,24,9,1,0,30,12,5,5,6,16,0,0,7
440326,0,15,7,0,0,0,1,3,0,0,0,2,0,0,0
440378,16,42,25,5,0,0,28,14,0,46,0,63,4,15,20
440390,6,34,43,10,0,0,42,4,0,25,2,18,1,5,11
450316,6,7,25,8,0,0,20,16,0,8,0,1,10,17,4
450334,6,4,3,1,0,1,11,5,0,1,0,3,1,0,0
450341,0,28,21,7,0,0,15,15,0,8,0,1,4,2,8
450343,0,6,7,3,0,1,1,10,3,1,9,8,0,1,4
450352,0,43,32,14,0,5,17,37,7,22,7,6,1,8,6
460320,0,18,0,7,0,0,18,21,0,12,9,18,4,0,7
460322,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0
460340,10,0,0,10,0,0,9,0,0,0,0,0,9,0,0
470312,3,19,10,17,0,1,42,20,30,20,4,9,8,5,8
480316,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0
480318,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
490310,0,2,0,2,0,0,1,2,2,0,0,0,0,0,0
490320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490335,26,33,9,12,0,9,26,18,3,17,3,5,2,15,9
490346,7,106,11,0,0,0,17,23,1,7,1,6,0,11,0
490354,6,19,9,10,0,4,22,30,6,21,3,1,1,12,9
490355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490362,5,73,1,14,0,8,14,37,1,7,0,3,0,0,7
490380,4,82,6,2,0,0,18,20,1,8,4,2,0,6,5
491312,12,20,35,1,0,0,80,8,25,20,1,1,0,6,9
500302,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
500323,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
500324,0,8,4,0,0,0,0,1,1,0,0,0,0,1,0
500340,6,20,20,0,0,0,25,12,5,1,1,3,1,10,0
510324,18,52,33,24,0,9,39,7,0,16,1,12,21,19,2
510327,25,55,1,22,0,6,40,5,11,13,1,0,14,19,1
510333,16,93,12,21,0,0,52,21,9,13,1,3,7,0,19
510357,1,8,0,2,0,0,0,0,1,1,1,1,0,1,0
510367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
510368,0,69,2,8,0,0,22,4,13,0,3,19,9,0,6
510376,1,54,0,17,0,1,19,14,1,16,1,1,0,0,8
510399,9,9,2,10,0,9,7,18,0,3,4,0,1,10,6
510402,1,77,5,4,0,0,62,6,0,5,11,5,0,0,4
510406,14,61,53,17,0,3,30,21,1,20,2,0,10,1,5
520320,0,31,15,7,0,0,6,5,3,0,1,2,0,0,8
530306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
530335,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
530336,31,15,43,27,0,12,22,48,17,37,16,25,10,0,17
530343,1,15,23,4,0,0,5,40,3,3,3,7,0,15,0
540315,13,30,5,0,0,1,8,23,0,10,0,6,0,3,0
540317,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2
540324,7,48,12,11,0,0,26,25,0,6,0,8,7,1,17
540336,14,69,34,5,0,4,15,23,0,2,0,14,0,19,9
550320,0,12,2,5,0,0,18,3,5,11,3,1,1,1,7
550332,4,15,4,2,0,0,35,19,1,3,1,0,0,5,3
550344,6,5,8,19,0,0,39,9,3,10,2,4,4,3,4
550368,3,26,7,6,0,0,18,8,1,4,1,1,2,8,6
55A000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
560320,1,17,12,0,0,0,17,4,2,1,1,10,0,0,4
560324,1,2,1,0,0,0,2,4,0,0,0,0,0,0,0
560332,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
560350,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
570317,0,0,0,2,0,0,1,0,0,1,0,2,0,1,0
570318,0,28,29,4,0,0,25,3,7,1,0,17,5,5,1
580344,0,29,0,5,0,0,5,14,0,9,0,0,1,0,0
580368,0,66,1,1,0,1,29,26,0,2,0,0,0,1,0
58B000,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
590328,4,0,1,0,0,0,0,0,0,1,0,1,0,0,2
590330,24,10,36,4,0,1,45,34,23,9,28,48,0,0,7
590393,0,0,1,0,0,1,1,8,1,0,0,3,0,0,0
600302,4,0,9,19,0,0,20,63,0,4,0,0,17,15,0
600312,6,0,13,20,0,6,0,62,0,13,0,3,16,52,3
600334,1,0,2,0,0,0,1,0,1,2,0,1,0,1,0
600341,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0
600361,26,0,8,19,0,1,1,8,0,10,0,16,19,7,4
600364,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
600377,0,0,1,4,0,0,5,13,0,13,0,0,1,24,4
600386,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
600397,8,0,0,15,0,1,10,7,0,16,0,0,12,3,1
600404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
600405,15,1,1,8,0,1,7,3,2,8,0,0,18,4,0
600415,13,0,0,1,0,0,10,39,0,3,0,4,20,57,0
600426,5,3,1,5,0,0,0,11,0,12,0,4,3,11,0
600439,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
600443,0,0,1,3,0,0,0,0,0,2,0,0,1,1,0
600445,29,0,0,3,0,2,16,49,0,1,0,17,19,36,0
600457,18,0,11,5,0,1,0,20,0,13,0,15,2,0,1
600461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
600466,0,0,2,3,0,1,2,11,0,3,0,0,0,2,7
600480,8,10,0,34,0,0,0,35,11,16,0,9,38,0,10
600482,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600496,0,0,0,0,0,0,129,0,0,90,1,0,0,81,0
600498,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
600499,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
600508,0,2,1,6,0,0,1,7,0,17,0,0,3,10,4
600535,15,0,11,9,0,1,15,35,0,3,0,12,7,6,6
600576,2,0,6,0,0,0,6,14,3,1,0,1,0,0,0
600579,12,0,0,4,0,0,1,19,3,0,0,4,2,3,0
600592,2,1,1,19,0,2,4,16,0,4,0,1,11,45,0
600693,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0
600694,0,0,14,0,0,0,0,0,0,0,0,0,0,55,0
600695,4,0,0,18,0,1,0,1,0,10,0,0,10,12,0
600696,0,0,0,6,0,0,0,1,0,4,0,0,1,0,0
600697,0,1,0,1,0,0,37,1,0,2,0,0,0,1,0
60D000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60G000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
60I000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60K000,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1
60U000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
610332,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
610334,0,27,11,19,0,7,20,23,4,13,0,38,1,10,11
620310,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
620316,1,17,2,0,0,0,7,0,0,5,3,2,0,1,5
620340,1,20,7,2,0,0,18,9,0,3,4,6,0,7,4
630330,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
630332,0,32,0,4,0,0,32,5,0,1,0,0,0,10,11
630336,9,37,22,14,0,0,51,24,4,13,1,4,8,2,11
630360,7,32,15,14,0,0,29,19,0,7,0,2,12,21,15
640340,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0
640346,0,13,18,3,0,0,27,15,11,9,0,9,1,1,9
640347,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
640350,0,33,38,0,7,0,31,37,16,20,3,8,0,3,0
640361,0,6,13,9,1,1,18,17,20,11,8,4,2,2,23
640364,0,82,2,6,0,0,39,6,0,7,1,1,0,0,18
650326,11,1,15,1,0,0,25,27,3,34,0,1,2,7,0
650327,22,1,18,7,0,0,17,20,15,27,0,0,5,12,1
650342,14,11,21,4,0,0,1,22,4,15,0,2,1,5,0
650352,12,13,10,3,0,0,0,13,1,11,0,2,2,8,2
650354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
650394,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
660336,0,9,1,1,0,0,3,19,2,1,0,2,0,1,1
66A000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
670320,14,35,14,2,0,0,27,13,0,5,0,0,0,0,0
670324,0,108,55,11,0,4,80,34,5,16,0,0,0,8,0
670333,33,26,2,7,0,0,22,26,0,40,0,0,5,29,1
670340,2,99,36,11,1,6,44,21,1,12,0,0,0,22,0
670344,0,24,22,0,0,0,0,13,0,6,17,0,0,0,3
670352,44,32,49,16,0,1,49,41,9,14,1,21,7,34,0
670364,14,51,23,2,0,2,26,17,0,9,0,0,0,16,0
680310,23,26,24,9,0,5,21,13,1,11,0,18,9,0,0
680332,7,82,11,2,0,5,1,16,1,25,0,4,1,8,0
680335,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
681305,2,0,2,1,0,0,0,0,0,0,0,0,7,4,0
681308,4,8,2,0,0,0,14,5,0,16,0,0,0,0,2
681314,0,1,0,0,0,0,8,3,0,0,0,0,0,8,0
681338,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
690320,0,19,16,4,0,0,13,3,0,6,3,7,1,3,0
69A000,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
700317,0,35,8,20,0,0,22,2,0,2,0,2,4,2,6
700319,0,67,14,10,0,9,2,24,0,2,20,1,4,0,0
710321,1,33,31,1,0,0,10,10,0,2,0,1,4,0,0
710326,0,10,34,3,0,1,37,0,1,0,1,0,0,0,0
710327,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
710342,20,8,42,8,0,1,46,40,3,0,0,1,8,27,0
720316,10,9,1,6,0,6,17,3,1,10,14,1,0,0,23
730352,12,37,44,8,0,1,42,23,6,0,9,11,13,8,8
73B000,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0
740309,0,41,17,10,0,1,29,12,1,12,1,3,1,0,4
740333,1,39,34,16,0,0,69,39,8,33,6,1,2,0,30
740344,0,24,23,7,0,0,33,8,0,8,0,0,3,0,14
740366,17,21,16,10,0,0,28,48,10,14,0,7,4,1,17
740374,0,64,32,10,0,6,34,30,1,4,0,4,0,0,2
740388,32,30,45,11,0,1,72,75,10,18,0,11,3,0,21
750318,0,54,16,3,0,0,25,19,0,2,10,2,1,7,0
760318,8,46,28,12,0,1,10,0,11,12,0,0,2,0,1
760339,0,52,38,21,0,7,45,14,1,11,1,0,0,1,1
760348,0,38,2,7,0,0,23,16,15,5,1,37,14,2,28
760354,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
760358,3,41,62,7,0,0,37,10,11,9,1,1,0,1,4
760380,0,46,21,0,0,0,22,13,10,7,2,0,0,0,1
760388,0,24,12,9,0,1,23,19,7,7,2,1,10,0,11
761304,11,8,3,6,0,0,55,32,17,5,6,2,8,8,4
770342,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
770348,25,13,25,39,0,20,72,74,0,48,21,14,21,26,18
