agency_code,welcome_url
92Q000,http://hopecharterschool.org/wp-content/uploads/2016/03/SRC-Parent-Letter_2018.pdf
300LEA,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
26C000,https://www.capitolencoreacademy.org/wp-content/uploads/2018/09/Welcome-Letter-17-18.pdf
760LEA,https://drive.google.com/file/d/0B7hp1HG1TSZWaUpUU0RYcmF1ZmkyX2JKZ3NpeGJWd1RHYUZJ/view?usp=sharing
23A000,https://www.pinnacleclassicalacademy.com/schoolreport
640LEA,http://s.bl-1.com/h/cpnq8oP2?url=https://www.nrms.k12.nc.us/cms/lib011/NC01800012/Centricity/Domain/4/Welcome%20Letter.pdf
11K000,http://fdnsc.net/wp-content/uploads/2015/02/cover-letter-for-report-card-2015.pdf
440LEA,http://www.haywood.k12.nc.us/accountability/nc-school-report-card/
710LEA,https://sites.google.com/pender.k12.nc.us/pcs/our-district/departments/organizational-development/testing-accountability
220LEA,https://sites.google.com/a/clayschools.org/srcwelcome/welcome-letters
620LEA,https://www.montgomery.k12.nc.us/Page/7884
650LEA,http://www.nhcs.net/srcwelcome/letter.html
92Y000,http://www.esaeagles.com/wp-content/uploads/2018/09/Envision_SRC-Welcome-Letter.pdf
491LEA,https://docs.google.com/document/d/1vWRJRJZVGr3nzNKUwFMyiEzzbqRZV2okZPg-8GOGdMc/edit?usp=sharing
32N000,http://docs.wixstatic.com/ugd/6db512_a8bd8ecc31774ca3a75ae3c822168184.pdf
260LEA,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
140LEA,https://www.caldwellschools.com/Page/2218
040LEA,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
310LEA,https://www.duplinschools.net/Page/19
60D000,https://docs.google.com/document/d/1MFWyoiJZmi7ra_tHmO1vVQ2J2zRKpjRYniyOaBJVIfg/edit
820LEA,https://www.sampson.k12.nc.us/srcwelcome
68C000,https://docs.google.com/document/d/1DmUuo8i0Up_Ap0ckNtXVYkU-6UIXrXOUKMXT1CUHlHQ/edit?usp=sharing
630LEA,https://www.ncmcs.org/SchoolReportCards
100LEA,https://www.bcswan.net/domain/41
182LEA,https://4.files.edl.io/c1c4/09/04/18/141021-809fa597-4873-4202-9d78-1423dac27d2a.pdf
350LEA,https://www.fcschools.net/Page/1197
45B000,http://www.fernleafccs.org/srcwelcome/letter.html
470LEA,https://sites.google.com/hcs.k12.nc.us/suptwelcomeletter/home
850LEA,http://www.stokes.k12.nc.us/srcwelcome/letter.html
800LEA,https://resources.finalsite.net/images/v1535737871/rssk12ncus/isl4241ohvbpxdvxqhwy/Welcome_Letter_Dr_Moody_2017-18.pdf
430LEA,http://www.harnett.k12.nc.us/srcwelcome/letter.html
320LEA,https://www.dpsnc.net/DPS-Report-Card-2018
960LEA,http://www.waynecountyschools.org/srcwelcomemessage.aspx
170LEA,http://images.pcmac.org/Uploads/CaswellCounty/CaswellCounty/Divisions/DocumentsCategories/Documents/Superintendent%20Welcome%20Letter_%7BSISE3B154F93324%7D.pdf
510LEA,https://www.johnston.k12.nc.us/welcomeletter
030304,https://drive.google.com/file/d/1ynZ9dpQ3QcdTdwwhYuGUTkURAiya6mzT/view?usp=sharing
030308,https://drive.google.com/file/d/1ynZ9dpQ3QcdTdwwhYuGUTkURAiya6mzT/view?usp=sharing
030316,https://drive.google.com/file/d/1ynZ9dpQ3QcdTdwwhYuGUTkURAiya6mzT/view?usp=sharing
030320,https://drive.google.com/file/d/1ynZ9dpQ3QcdTdwwhYuGUTkURAiya6mzT/view?usp=sharing
040304,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040305,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040306,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040308,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
040309,http://ansonschools.org/files/user/4/file/NC School Report Card Superintendent's Welcome Letter -2017-18 data.pdf
