agency_code,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
330334,1.0,,,0.417,1.0,0.5,0.417,0.5,,,0.0,0.16699999999999998
330354,1.0,,,0.409,1.0,0.477,0.25,0.523,0.068,,0.0,0.273
330LEA,1.0,,,0.455,1.0,0.476,0.201,0.524,0.058,,0.0,0.28600000000000003
340314,1.0,,,0.591,1.0,0.5,0.273,0.5,,,0.045,0.136
340326,1.0,,,0.333,1.0,0.556,0.389,0.444,,,0.0,0.278
340334,1.0,,,0.375,1.0,0.125,0.25,0.875,,,0.0,0.375
340344,1.0,,0.071,0.214,1.0,0.28600000000000003,0.071,0.7140000000000001,,,0.071,0.643
340348,1.0,,,0.16699999999999998,1.0,0.25,0.25,0.75,0.25,,0.0,0.333
340351,1.0,,0.188,0.625,1.0,0.438,0.125,0.563,,,0.0,0.063
340354,1.0,,0.033,0.16699999999999998,1.0,0.3670000000000001,0.067,0.633,0.067,0.033,0.0,0.633
340368,1.0,,,0.196,1.0,0.589,0.7140000000000001,0.411,,,0.071,0.08900000000000001
340376,1.0,,,0.159,1.0,0.5,0.682,0.5,,,0.023,0.159
340380,1.0,,,0.327,1.0,0.615,0.5,0.385,0.077,,0.019,0.096
340384,1.0,,,0.471,1.0,0.529,0.471,0.471,,,0.0,0.059
340390,1.0,,,0.235,1.0,0.412,0.647,0.588,0.118,,0.0,
340400,1.0,,,0.629,1.0,0.5429999999999999,0.229,0.457,,,0.0,0.14300000000000002
340403,1.0,,,,1.0,,,1.0,,,0.0,1.0
340416,1.0,,,,1.0,,0.5,1.0,,,0.0,0.5
340424,1.0,0.036000000000000004,0.036000000000000004,0.75,1.0,0.464,0.179,0.536,,,0.0,
340426,1.0,,,0.211,1.0,0.474,0.158,0.526,0.105,,0.0,0.526
340428,1.0,,,0.278,1.0,0.333,0.611,0.667,,,0.0,0.111
340430,1.0,,0.056,0.222,1.0,0.389,0.6940000000000001,0.611,,,0.0,0.028
340432,1.0,,,,1.0,,,1.0,,,0.0,1.0
340440,1.0,,,,1.0,,,1.0,,,0.0,1.0
340447,1.0,,,0.6,1.0,0.5,0.1,0.5,0.15,,0.0,0.15
340448,1.0,,,,1.0,0.5,0.5,0.5,,,0.0,0.5
340453,1.0,,,1.0,1.0,,,1.0,,,0.0,
340457,1.0,0.2,,,1.0,0.4,0.2,0.6,,,0.0,0.6
340462,1.0,,,0.5379999999999999,1.0,0.654,0.385,0.34600000000000003,,,0.0,0.077
340476,1.0,,0.017,0.293,1.0,0.397,0.466,0.603,0.034,,0.0,0.19
340490,1.0,,,0.654,1.0,0.423,0.269,0.5770000000000001,0.038,,0.0,0.038
340494,1.0,,,0.125,1.0,0.125,,0.875,,,0.0,0.875
340504,1.0,,,0.375,1.0,0.625,0.125,0.375,,,0.0,0.5
340508,1.0,,,0.3,1.0,0.2,0.3,0.8,,,0.0,0.4
340512,1.0,,,,1.0,,,1.0,,,0.0,1.0
340514,1.0,,0.056,0.25,1.0,0.444,0.472,0.556,0.056,,0.0,0.16699999999999998
340520,1.0,,0.31,0.138,1.0,0.483,0.379,0.517,,,0.0,0.172
340528,1.0,,,0.333,1.0,0.333,,0.667,,,0.0,0.667
340530,1.0,,,0.457,1.0,0.5710000000000001,0.429,0.429,0.057,,0.0,0.057
340531,1.0,,0.077,0.385,1.0,0.269,0.115,0.731,,,0.0,0.423
340532,1.0,,,0.235,1.0,0.17600000000000002,0.118,0.8240000000000001,,,0.059,0.647
340536,1.0,,,,1.0,1.0,0.5,,,,0.0,0.5
340540,1.0,,,0.16699999999999998,1.0,0.389,0.389,0.611,0.056,,0.0,0.389
340548,1.0,,,0.222,1.0,0.222,0.333,0.778,,0.111,0.0,0.333
340560,1.0,,,,1.0,1.0,,,,,0.0,1.0
340LEA,1.0,0.003,0.028,0.338,1.0,0.451,0.381,0.5489999999999999,0.03,0.003,0.011,0.217
350316,1.0,,,0.5,1.0,0.375,0.125,0.625,,,0.0,0.375
350318,1.0,,,0.5710000000000001,1.0,0.28600000000000003,0.071,0.7140000000000001,,,0.0,0.35700000000000004
350331,1.0,,,0.35700000000000004,1.0,0.5,0.5,0.5,,,0.0,0.14300000000000002
350332,1.0,,,0.5,1.0,0.5,0.188,0.5,0.063,,0.0,0.25
350339,1.0,,,0.308,1.0,0.231,0.077,0.769,,,0.0,0.615
350LEA,1.0,,,0.446,1.0,0.385,0.2,0.615,0.015,,0.0,0.338
360338,1.0,,,0.188,1.0,0.438,0.438,0.563,,,0.0,0.375
360340,1.0,,,0.278,1.0,0.611,0.222,0.389,,,0.0,0.5
360344,1.0,,0.056,0.111,1.0,0.389,0.389,0.611,0.056,,0.111,0.389
360348,1.0,,,0.111,1.0,0.556,0.111,0.444,0.056,,0.0,0.722
360352,1.0,,,0.118,1.0,0.471,0.162,0.529,0.07400000000000001,,0.0,0.647
360364,1.0,,,0.182,1.0,0.394,0.121,0.606,0.03,,0.0,0.667
360400,1.0,,,0.17600000000000002,1.0,0.588,0.647,0.412,0.059,,0.0,0.118
360438,1.0,,,0.13,1.0,0.565,0.565,0.435,0.087,,0.043,0.217
360468,1.0,,0.111,0.056,1.0,0.5,0.278,0.5,,,0.0,0.556
360478,1.0,,0.056,0.16699999999999998,1.0,0.444,,0.556,0.111,,0.0,0.667
