agency_code,pct_ALL_CHRON_ABSENT,pct_AM7_CHRON_ABSENT,pct_AS7_CHRON_ABSENT,pct_BL7_CHRON_ABSENT,pct_ELS_CHRON_ABSENT,pct_FEM_CHRON_ABSENT,pct_HI7_CHRON_ABSENT,pct_MALE_CHRON_ABSENT,pct_MU7_CHRON_ABSENT,pct_PI7_CHRON_ABSENT,pct_SWD_CHRON_ABSENT,pct_WH7_CHRON_ABSENT
410313,0.2662,0.0026,0.0119,0.0768,0.0317,0.1205,0.098,0.1456,0.0145,,0.0437,0.0622
410316,0.1649,0.0014,0.0087,0.1007,0.0131,0.0686,0.035,0.0963,0.0087,0.0029,0.051,0.0072
410319,0.3576,0.0041,0.0137,0.2475,0.0192,0.1911,0.0467,0.1664,0.0123,0.0013,0.0674,0.0316
410322,0.0849,,0.0169,0.0266,0.0145,0.0291,0.0242,0.0558,0.0024,0.0024,0.0121,0.0121
410325,0.2259,0.0033,0.0116,0.1827,0.0016,0.1146,0.0099,0.1112,0.0066,,0.0548,0.0116
410326,0.0571,,,0.0476,,0.0571,,,,,,0.0095
410328,0.3089,,0.0047,0.2311,0.033,0.1462,0.0518,0.1627,0.0117,,0.04,0.0094
410331,0.1739,,,0.1521,0.0036,0.0905,0.0144,0.0833,0.0072,,0.0253,
410334,0.1762,,0.0018,0.1131,0.0074,0.0834,0.0371,0.0927,0.0055,,0.0241,0.0185
410337,0.0128,,0.0051,,,0.0077,,0.0051,,,0.0025,0.0077
410340,0.1756,,0.0027,0.0189,0.0081,0.0675,0.0351,0.1081,0.0081,,0.027000000000000003,0.1108
410341,0.0206,,,0.0041,,0.0041,0.0041,0.0165,,,,0.0123
410343,0.1019,,0.0065,0.0378,0.0098,0.0559,0.0115,0.046,0.0065,,0.023,0.0394
410346,0.1508,,0.0032,0.0337,0.0064,0.0706,0.0321,0.0802,0.0112,,0.0288,0.0706
410349,0.3886,,0.0126,0.3109,0.0189,0.1911,0.0399,0.1974,0.0126,0.0021,0.0567,0.0105
410355,0.4339,,0.0103,0.3535,0.0339,0.2073,0.0553,0.2265,0.0103,,0.0745,0.0044
410358,0.2757,0.0032,0.0065,0.1423,0.0181,0.1275,0.0452,0.1481,0.0123,,0.0641,0.0658
410361,0.0564,,,0.0403,0.004,0.0241,0.008,0.0322,,,0.008,0.008
410364,0.1502,,0.0024,0.0985,0.0172,0.0689,0.027000000000000003,0.0812,0.0073,,0.0246,0.0147
410366,0.2349,0.0017,0.006999999999999999,0.1784,0.0371,0.1219,0.0353,0.113,0.0106,0.0017,0.0459,
410367,0.2366,,0.0082,0.1258,0.03,0.108,0.0492,0.1285,0.0082,,0.0629,0.0451
410370,0.1001,,0.0271,0.0243,0.0128,0.04,0.0128,0.06,0.0042,,0.0243,0.0314
410373,0.2654,,0.008,0.1635,0.0428,0.1313,0.0643,0.134,0.016,,0.0482,0.0134
410376,0.1651,,0.0062,0.109,0.028,0.0747,0.0311,0.0903,0.0062,,0.028,0.0124
410379,0.5084,,0.0338,0.2542,0.0169,0.1864,0.0847,0.322,,,0.4745,0.1355
410382,0.1328,0.0019,0.0058,0.0292,0.0097,0.0585,0.0214,0.0742,0.0078,,0.0332,0.0664
410385,0.2405,0.0084,,0.1856,0.0126,0.1139,0.0337,0.1265,0.0042,,0.0464,0.0084
410388,0.0553,,0.002,0.0204,,0.0327,,0.0225,0.002,,0.0102,0.0307
410390,0.0258,,,0.0086,,0.0086,,0.0172,,,,0.0172
410391,0.1214,,0.0016,0.064,0.0084,0.0725,0.0202,0.0489,0.0067,,0.0168,0.0286
410394,0.2077,0.0005,0.0076,0.105,0.006999999999999999,0.0991,0.0206,0.1086,0.0082,,0.0342,0.0655
410395,0.0406,,0.005,,,0.0253,0.005,0.0152,0.005,,,0.0253
410397,0.1781,0.0031,0.0031,0.0718,0.0125,0.0671,0.0562,0.1109,0.0187,,0.0359,0.025
410398,0.2438,,0.0424,0.0812,0.2438,0.1272,0.1201,0.1166,,,0.0035,
410399,0.0305,,,0.0229,,0.0305,,,,,,0.0076
410400,0.1369,0.0019,,0.0704,0.0156,0.0645,0.0156,0.0724,0.0156,0.0019,0.0176,0.0313
410401,0.0394,,,0.0147,,0.0197,0.0098,0.0197,,,,0.0147
410402,0.3405,,0.0092,0.2634,0.04,0.154,0.0508,0.1864,0.0154,,0.0878,0.0015
410403,0.2371,,0.0068,0.1855,0.0309,0.0893,0.0343,0.1477,0.0034,,0.0378,0.0068
410406,0.3699,0.0021,0.0249,0.1589,0.0608,0.1787,0.0981,0.1912,0.0131,,0.0747,0.0725
410407,0.056,,,0.024,0.008,0.04,0.008,0.016,,,0.008,0.024
410408,0.0526,,,0.0225,,0.0526,,,0.0075,,,0.0225
410409,0.1333,,,0.0509,0.0372,0.0647,0.0647,0.0686,0.0019,0.0019,0.0274,0.0137
410412,0.1278,0.0017,0.0053,0.0657,0.0088,0.0692,0.0088,0.0586,0.0106,,0.0301,0.0355
410415,0.2748,0.0021,0.0021,0.1606,0.0295,0.1479,0.0782,0.1268,0.0063,0.0042,0.0549,0.0211
410418,0.1368,,0.0023,0.0742,0.0116,0.051,0.0255,0.0858,0.0069,0.0023,0.0255,0.0255
410421,0.1907,,0.0099,0.0899,0.0099,0.0935,0.0272,0.0971,0.0145,0.0009,0.0399,0.0481
410423,0.0869,,0.0014,0.0434,0.0224,0.0299,0.0149,0.0569,0.0119,,0.0209,0.0149
410424,0.0772,,,0.0193,0.0038,0.0366,0.0193,0.0405,0.0019,0.0019,0.0115,0.0347
410427,0.1404,,0.0104,0.0587,0.0209,0.0628,0.044,0.0775,0.0083,,0.0566,0.0188
410430,0.114,,,0.0862,,0.0628,0.0146,0.0511,0.0029,,0.0131,0.0102
410436,0.1924,,0.0103,0.079,0.0274,0.079,0.0378,0.1134,0.0206,,0.0412,0.0446
410437,0.12,,0.0038,0.027000000000000003,0.0038,0.0477,0.0141,0.0722,0.0064,,0.0219,0.0683
410439,0.2426,0.0032,0.0098,0.1639,0.0196,0.1114,0.0426,0.1311,0.0065,,0.0295,0.0163
410442,0.1949,0.0011,,0.106,0.0068,0.0912,0.0148,0.1037,0.0159,,0.0581,0.057
410448,0.098,,0.003,0.0689,,0.0459,0.0076,0.052000000000000005,0.0045,,0.0229,0.0137
410451,0.1381,0.002,,0.0515,0.0082,0.0721,0.0226,0.0659,0.0123,,0.0309,0.0494
410454,0.1304,,,0.0478,0.0043,0.0608,0.0086,0.0695,,,0.026,0.0739
410457,0.2266,,0.0133,0.1466,,0.0666,0.04,0.16,,0.0133,0.2266,0.0133
410458,0.1176,,0.0117,0.0823,,0.0235,,0.0941,,,0.1176,0.0235
410460,0.1685,0.002,0.0041,0.0811,0.0166,0.0874,0.026,0.0811,0.0062,,0.0405,0.0489
410461,0.1716,0.003,0.006,0.0602,0.018000000000000002,0.0963,0.0361,0.0753,0.006,,0.021,0.0602
410462,0.1724,0.0038,0.0114,0.1034,0.0229,0.0785,0.0191,0.0938,0.0057,0.0019,0.0306,0.0268
410463,0.2123,,0.0168,0.0928,0.021,0.09,0.0239,0.1223,0.0084,,0.0478,0.0703
410464,0.5064,0.0129,0.0259,0.1688,,0.1558,0.0909,0.3506,0.0259,,0.4805,0.1818
410466,0.0737,,0.0099,0.0099,0.0059,0.0219,0.0159,0.0517,0.0059,,0.0079,0.0318
410469,0.158,0.0016,0.0048,0.1064,0.0177,0.0758,0.0274,0.0822,0.008,,0.0241,0.0096
410472,0.0683,,0.0031,0.0476,0.0079,0.0349,0.0047,0.0333,0.0015,,0.0127,0.0111
410478,0.1474,,0.0107,0.0899,0.0179,0.0863,0.0359,0.0611,0.0107,,0.0143,
410481,0.1461,,,0.0038,0.0038,0.0615,0.0115,0.0846,0.0076,,0.0307,0.123
410483,0.0247,,,0.0165,,,,0.0247,0.0082,,,
410484,0.3825,0.005,0.005,0.1862,0.0334,0.1963,0.0678,0.1862,0.0172,,0.0718,0.1012
410486,0.0566,,0.0031,0.0015,0.0094,0.0283,0.0078,0.0283,,,0.0062,0.044
410487,0.2096,,0.0028,0.1076,0.0042,0.092,0.0269,0.1175,0.006999999999999999,,0.0552,0.0651
410488,0.1252,0.0011,,0.0137,0.0011,0.0632,0.0183,0.062,0.008,,0.0252,0.0839
410489,0.1405,0.0007,,0.0178,0.0029,0.0736,0.0208,0.0669,0.0074,0.0014,0.02,0.0921
410490,0.1194,0.0004,0.0024,0.0067,0.0019,0.0647,0.0091,0.0546,0.0024,,0.0198,0.0981
410491,0.081,,0.0054,0.0121,0.0054,0.0297,0.0148,0.0513,0.0081,,0.0216,0.0405
410493,0.0939,0.0019,0.0038,0.0009,0.0019,0.0527,0.0047,0.0412,0.0038,,0.0162,0.0786
410496,0.2509,,0.0113,0.1245,0.0169,0.1339,0.0641,0.1169,0.0132,,0.0226,0.0377
410499,0.1615,,0.0088,0.0619,0.0464,0.0752,0.0464,0.0862,0.0044,,0.0265,0.0398
410502,0.0349,,0.004,0.004,0.0013,0.0107,0.0013,0.0242,0.0013,,0.008,0.0242
410505,0.1883,0.0019,0.0155,0.0951,0.0135,0.0932,0.0194,0.0951,0.0174,,0.0291,0.0388
410508,0.2809,0.0026,0.0175,0.1428,0.0159,0.1439,0.0351,0.1369,0.0186,0.0005,0.0474,0.0634
410511,0.2077,,0.0032,0.159,0.0194,0.1038,0.0194,0.1038,0.0064,,0.0259,0.0194
410514,0.1886,0.0037,,0.1207,0.0226,0.0981,0.0339,0.0905,0.0037,0.0075,0.0452,0.0188
410517,0.2027,,,0.1486,0.0033,0.1013,0.0202,0.1013,0.0168,,0.0608,0.0168
410522,0.1243,,0.0049,0.0671,0.0032,0.049,0.0212,0.0752,0.0016,,0.0245,0.0294
410523,0.1316,0.0023,0.0023,0.0046,0.0023,0.06,0.0138,0.0715,0.0115,,0.0415,0.0969
410529,0.2394,0.0006,0.0207,0.1,0.0186,0.1097,0.04,0.1297,0.0138,0.0006,0.0379,0.0634
410530,0.207,0.0047,,0.1082,0.0164,0.1058,0.047,0.1011,0.0141,,0.0376,0.0329
410532,0.196,0.0013,0.0026,0.1373,0.0173,0.1013,0.0306,0.0946,0.0106,,0.036000000000000004,0.0133
410533,1.4571,,,1.2285,0.0285,0.3428,0.1714,1.1142,0.0285,,0.2857,0.0285
