agency_code,highqual_class_pct_A,highqual_class_pct_E,highqual_class_pct_H,highqual_class_pct_I,highqual_class_pct_M,highqual_class_pct_T
130313,,,,,0.978,
130314,,,1.0,,,
130315,,,,,1.0,
130316,,,0.994,,,
130317,,,,,,0.954
130318,,,,,1.0,
130319,,0.983,,,,
130320,,,,,1.0,
130321,,1.0,,,,
130322,,1.0,,,,
130323,,,,,1.0,
130324,,,0.971,,,
130325,,1.0,,,,
130326,,,1.0,,,
130327,,,,,0.965,
130328,,1.0,,,,
130329,,1.0,,,,
130330,,1.0,,,,
130331,,1.0,,,,
130332,,,1.0,,,
130333,,,,,,1.0
130336,,0.986,,,,
130338,,1.0,,,,
130340,,1.0,,,,
130342,,1.0,,,,
130344,,1.0,,,,
130345,,1.0,,,,
130346,,,,,1.0,
130350,,,1.0,,,
130355,,,,,1.0,
130LEA,,0.998,0.995,,0.993,0.978
132304,,,0.957,,,
132308,,1.0,,,,
132312,,1.0,,,,
132328,,1.0,,,,
132329,,,,,1.0,
132330,,,,,1.0,
132332,,1.0,,,,
132336,,1.0,,,,
132LEA,,1.0,0.957,,1.0,
13A000,0.78,,,,,
13B000,0.846,,,,,
13C000,,0.529,,,,
140304,,1.0,,,,
140305,,,1.0,,,
140306,,,,,,0.813
140307,,0.813,,,,
140308,,,,1.0,,
140309,,,1.0,,,
140312,,1.0,,,,
140316,,1.0,,,,
140324,,1.0,,,,
140332,,,,,0.921,
140336,,,,,0.972,
140340,,1.0,,,,
140344,,,,1.0,,
140348,,,0.919,,,
140352,,1.0,,,,
140356,,,,,1.0,
140360,,,,1.0,,
140368,,,,,0.943,
140372,,1.0,,,,
140376,,,,1.0,,
140384,,0.975,,,,
140386,,,0.923,,,
140388,,1.0,,,,
140390,,,0.87,,,
140392,,1.0,,,,
140396,,1.0,,,,
140LEA,,0.993,0.921,1.0,0.961,0.813
150304,,,0.941,,,
150308,,1.0,,,,
150310,,0.955,,,,
150312,,,,,1.0,
150700,,,1.0,,,
150LEA,,0.98,0.962,,1.0,
160304,,0.875,,,,
160306,,1.0,,,,
160308,,1.0,,,,
160309,0.858,,,,,
160310,,,,,0.938,
160311,,,,,0.927,
160313,,,0.989,,,
160314,,,1.0,,,
160316,,1.0,,,,
160317,,0.94,,,,
160318,,,,,0.933,
160322,,1.0,,,,
160324,,1.0,,,,
160326,,,,,1.0,
160332,,,,0.944,,
160344,,,1.0,,,
160352,,1.0,,,,
160LEA,0.8590000000000001,0.989,0.997,0.944,0.95,
16B000,,0.929,,,,
170316,,,0.853,,,
170334,,1.0,,,,
170338,,,,,0.8,
170339,,0.947,,,,
170342,,1.0,,,,
170344,,1.0,,,,
170LEA,,0.986,0.853,,0.8,
180302,,,,,0.948,
180304,,1.0,,,,
180308,,,1.0,,,
180312,,1.0,,,,
180316,,1.0,,,,
180320,,,1.0,,,
180323,0.173,,,,,
180324,,1.0,,,,
180325,,,1.0,,,
180326,,1.0,,,,
180332,,0.955,,,,
180336,,0.989,,,,
180340,,,0.975,,,
180342,,,,,1.0,
180343,,0.992,,,,
180344,,1.0,,,,
180346,,,,,0.939,
180348,,,0.994,,,
180352,,,,,1.0,
180356,,1.0,,,,
180360,,1.0,,,,
180364,,,,,1.0,
180368,,1.0,,,,
180372,,1.0,,,,
180376,,,0.987,,,
180379,,1.0,,,,
180380,,1.0,,,,
180388,,1.0,,,,
180LEA,0.173,0.996,0.991,,0.978,
181312,,,,,1.0,
181316,,,,,0.989,
181318,,,,,,0.95
181322,,,1.0,,,
181326,,0.958,,,,
181332,,1.0,,,,
181336,,1.0,,,,
181342,,1.0,,,,
181344,,1.0,,,,
181LEA,,0.992,1.0,,0.995,0.949
182304,0.958,,,,,
182316,,,0.978,,,
182321,,,,,0.995,
182322,,1.0,,,,
182324,,1.0,,,,
182328,,1.0,,,,
182700,,,1.0,,,
182LEA,0.958,1.0,0.985,,0.995,
190304,,,,0.983,,
190308,,,,0.97,,
190310,,,0.96,,,
190312,,,,,1.0,
190316,,,0.994,,,
190328,,,,,1.0,
190332,,,,0.974,,
190336,,,1.0,,,
190339,,,,,1.0,
190340,,,,1.0,,
190341,,0.99,,,,
190342,,,0.982,,,
190346,,0.967,,,,
190348,,1.0,,,,
190350,,1.0,,,,
190352,,,,1.0,,
190370,,0.974,,,,
190LEA,,0.987,0.989,0.987,1.0,
19A000,0.747,,,,,
19B000,0.722,,,,,
19C000,,0.625,,,,
200304,,1.0,,,,
200308,,,0.993,,,
200310,,,,,0.818,
200312,,,,1.0,,
200314,,,1.0,,,
200316,,1.0,,,,
200320,,,,1.0,,
200322,,,,,,1.0
200324,,0.963,,,,
200328,,,0.963,,,
200330,,,,,1.0,
200332,,1.0,,,,
200336,,,,1.0,,
200350,,,1.0,,,
200LEA,,0.985,0.982,1.0,0.923,1.0
20A000,,,,0.923,,
210304,,,,,1.0,
210306,,1.0,,,,
210312,,,1.0,,,
210316,,1.0,,,,
210LEA,,1.0,1.0,,1.0,
220308,,1.0,,,,
220310,,,1.0,,,
220312,,,,,1.0,
220LEA,,1.0,1.0,,1.0,
230304,,1.0,,,,
230308,,1.0,,,,
230312,,,0.951,,,
230316,,,,,0.989,
230320,,1.0,,,,
230322,,,0.9,,,
230324,,,0.975,,,
230328,,,,,0.989,
230330,,,,,,0.978
230334,,1.0,,,,
230336,,,,,1.0,
230340,,1.0,,,,
230342,,0.99,,,,
230344,,1.0,,,,
230346,,1.0,,,,
230348,,0.998,,,,
230350,,,0.985,,,
230351,,,,,0.903,
230352,,,,,1.0,
230355,,0.967,,,,
230357,,0.944,,,,
230359,0.962,,,,,
230361,,,1.0,,,
230362,,,,,0.989,
230364,,1.0,,,,
230368,,0.995,,,,
230370,,1.0,,,,
230376,,0.986,,,,
230380,,0.967,,,,
230LEA,0.962,0.992,0.977,,0.98,0.978
23A000,,,,0.55,,
240304,,,,,1.0,
240308,,0.991,,,,
240328,,,,1.0,,
240330,,,,,1.0,
240332,,1.0,,,,
240334,,,1.0,,,
240344,,,,0.868,,
240352,,1.0,,,,
240354,,0.955,,,,
240356,,,,,0.97,
240368,,,,,0.96,
240370,,0.992,,,,
240371,,,0.96,,,
240372,,0.979,,,,
240373,,,0.857,,,
240376,,,,,0.889,
240380,,,1.0,,,
240388,,,,0.958,,
240LEA,,0.983,0.972,0.948,0.963,
241304,,,,,0.908,
241308,,1.0,,,,
241312,,,,,,1.0
241316,,,0.895,,,
241320,,1.0,,,,
241LEA,,1.0,0.895,,0.908,1.0
24B000,,,,,,0.542
24N000,,,,0.7959999999999999,,
250304,,0.963,,,,
250306,,0.991,,,,
250308,,0.96,,,,
250312,,0.943,,,,
250314,,,0.909,,,
250316,,1.0,,,,
250320,,1.0,,,,
250321,,,0.909,,,
250324,,,,,0.969,
250328,,0.985,,,,
250332,,,,,0.933,
250336,,0.909,,,,
250340,,,0.902,,,
250344,,,,,0.994,
250348,,1.0,,,,
250350,,0.962,,,,
250356,,,0.916,,,
250360,,1.0,,,,
250362,,1.0,,,,
250364,,0.958,,,,
250368,,,,,0.952,
250372,,,0.938,,,
250376,,,,,0.933,
250378,,1.0,,,,
250380,,0.972,,,,
250LEA,,0.976,0.916,,0.951,
260302,,1.0,,,,
260306,,0.988,,,,
260308,,1.0,,,,
260310,,1.0,,,,
260312,,1.0,,,,
260316,,1.0,,,,
260318,,,1.0,,,
260320,,1.0,,,,
260321,,,,,0.8109999999999999,
260322,,,1.0,,,
260325,,,0.99,,,
