agency_code,pct_AIG_MCR,pct_ALL_MCR,pct_AM7_MCR,pct_AS7_MCR,pct_BL7_MCR,pct_EDS_MCR,pct_ELS_MCR,pct_FCS_MCR,pct_FEM_MCR,pct_HI7_MCR,pct_HMS_MCR,pct_MALE_MCR,pct_MIL_MCR,pct_MU7_MCR,pct_SWD_MCR,pct_WH7_MCR
790354,95.0,95.0,,,95.0,95.0,95.0,,95.0,95.0,,95.0,,95.0,,95.0
790366,95.0,95.0,,,94.5,93.8,,,95.0,95.0,,92.4,,95.0,63.2,94.2
790378,95.0,91.5,,,84.2,83.6,,,93.3,94.1,,89.7,,90.9,45.8,92.0
790379,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
790LEA,95.0,94.7,,,93.8,91.8,94.1,,95.0,95.0,,92.6,,95.0,51.3,94.3
800340,93.9,94.7,,,90.9,91.1,,,95.0,95.0,,93.1,,,62.5,94.9
800361,95.0,92.4,,,76.5,86.6,91.7,,95.0,93.5,,88.5,,,26.9,93.0
800376,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,83.3,95.0
800394,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
800396,95.0,92.0,,,91.1,91.2,91.7,,95.0,93.8,,89.1,,95.0,25.0,88.9
800400,95.0,93.1,,,94.1,89.7,75.0,,93.5,84.4,,92.7,,,50.0,94.3
800408,95.0,95.0,,,95.0,95.0,92.9,,95.0,95.0,,95.0,,,76.7,95.0
800LEA,95.0,94.2,,95.0,93.0,92.5,90.2,,95.0,93.5,95.0,92.7,,95.0,53.7,94.4
810324,95.0,95.0,,,,93.3,,,95.0,95.0,,95.0,,91.7,83.3,95.0
810340,95.0,95.0,,,95.0,93.5,,,95.0,,,90.7,,95.0,50.0,93.5
810384,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,76.0,95.0
810385,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0
810386,,95.0,,,,88.2,,,93.3,,,95.0,,,,94.6
810LEA,95.0,95.0,,,95.0,94.9,,,95.0,95.0,,95.0,,95.0,72.6,95.0
81A000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
81B000,,95.0,,,,,,,95.0,,,,,,,95.0
820324,,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
820348,95.0,91.5,,,85.2,90.6,83.3,,93.4,93.0,,90.0,,,40.0,92.5
820349,95.0,95.0,,,90.0,90.9,,,95.0,95.0,,95.0,,,68.8,95.0
820352,95.0,95.0,,,93.3,95.0,95.0,,95.0,95.0,,95.0,,95.0,83.3,95.0
820388,95.0,95.0,,,95.0,95.0,94.4,,95.0,95.0,,95.0,,,,95.0
820LEA,95.0,95.0,,,91.7,94.0,93.3,,95.0,95.0,,95.0,,95.0,59.6,95.0
821308,95.0,95.0,,,95.0,93.5,93.8,,95.0,94.4,,94.8,,,,95.0
821LEA,95.0,95.0,,,95.0,93.5,93.8,,95.0,94.4,,94.8,,,,95.0
830343,95.0,95.0,95.0,,95.0,94.6,,,95.0,95.0,,93.7,,95.0,63.0,92.4
830348,95.0,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
830LEA,95.0,95.0,95.0,,95.0,95.0,,,95.0,95.0,,94.0,,95.0,64.6,93.1
840302,,90.8,,,95.0,87.5,,,95.0,,,84.3,,,66.7,80.6
840332,95.0,94.6,,,93.3,93.0,,,95.0,,,92.5,,,61.1,93.8
840356,95.0,91.4,,,,88.2,,,95.0,,,85.2,,,30.8,89.8
840361,,95.0,,,,,,,95.0,,,95.0,,,,95.0
840368,95.0,88.2,,,,80.0,,,93.2,90.0,,83.8,,,32.0,88.8
840LEA,95.0,91.6,,95.0,94.2,87.6,92.3,,95.0,94.4,,87.7,,90.5,48.8,90.4
84B000,,5.0,,,,,,,5.0,,,5.0,,,,5.0
850324,,63.6,,,,,,,,,,,,,,60.0
850332,95.0,95.0,,,,92.3,,,95.0,,,95.0,,,82.4,95.0
850352,95.0,95.0,,,,92.9,,,95.0,,,93.9,,,75.0,95.0
850358,95.0,89.0,,,,81.3,,,95.0,,,84.2,,,57.5,89.1
850360,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
850LEA,95.0,92.5,,,80.0,88.1,,,95.0,93.3,95.0,89.2,,95.0,66.7,92.5
860316,95.0,95.0,,,,95.0,,,95.0,,,94.8,,,,95.0
860336,95.0,93.6,,,,90.6,,,95.0,91.7,,90.1,,,57.7,95.0
860352,95.0,94.5,,,,94.2,90.9,,95.0,95.0,,91.3,,,47.8,93.2
860354,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
860LEA,95.0,95.0,,,78.6,94.3,90.9,,95.0,95.0,,92.6,,80.0,55.9,95.0
861308,95.0,94.7,,,,88.5,,,95.0,95.0,,93.9,,,,94.4
861LEA,95.0,94.7,,,,88.5,,,95.0,95.0,,93.9,,,,94.4
862312,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,63.6,94.7
862LEA,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,63.6,94.7
86T000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
870314,95.0,87.9,73.9,,,78.4,,,91.8,,,83.6,,,57.1,93.6
870LEA,95.0,87.9,73.9,,,78.4,,,91.8,,,83.6,,,57.1,93.6
880308,95.0,85.6,,,68.8,80.4,,,88.9,,,81.8,,,29.7,87.7
880328,,86.1,,,,75.0,,,89.5,,,82.4,,,10.0,87.9
880LEA,95.0,83.6,,,64.7,76.1,,,87.8,75.0,,79.1,,60.0,26.0,86.3
890304,,95.0,,,95.0,95.0,,,95.0,,,93.8,,,,95.0
890LEA,,95.0,,,95.0,95.0,,,95.0,,,93.8,,,,95.0
900311,95.0,95.0,,93.3,82.1,92.9,,,95.0,95.0,,93.2,,,64.7,95.0
900316,95.0,89.9,,,85.9,87.3,84.6,,89.3,93.3,,90.5,,,48.6,92.9
900336,95.0,93.8,,,94.3,93.1,91.3,,92.0,95.0,,95.0,,,62.1,89.1
900342,95.0,95.0,,,93.4,93.5,,,95.0,95.0,,94.1,,81.8,67.9,95.0
900344,95.0,95.0,,,95.0,93.7,,,95.0,95.0,,94.9,,,78.1,95.0
900348,95.0,93.5,,,95.0,87.0,80.0,,94.0,85.2,,93.1,,,56.1,94.9
900360,95.0,95.0,,95.0,90.9,95.0,,,95.0,95.0,,95.0,,85.0,84.9,95.0
900366,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0
900367,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
900377,95.0,95.0,,94.1,95.0,,,,95.0,,,95.0,,,94.7,95.0
900392,,5.0,,,,5.0,,,,,,5.0,,,5.0,5.0
900393,95.0,95.0,,95.0,94.7,83.3,,,95.0,92.9,,95.0,,95.0,73.7,95.0
900LEA,95.0,94.8,,90.7,91.0,90.6,88.7,,95.0,95.0,85.7,93.8,,89.8,62.9,95.0
90A000,,95.0,,,,,,,95.0,94.7,,94.9,,,,95.0
910364,95.0,93.4,,,93.3,88.5,92.3,,93.6,94.9,,93.2,,,52.2,93.3
910368,,94.5,,,94.1,92.5,,,91.7,,,95.0,,,88.2,92.3
910370,95.0,93.1,,,92.9,90.1,,,95.0,90.0,,87.2,,,50.0,92.0
910382,,95.0,,,,,,,,,,,,,,
910LEA,95.0,93.7,,,93.4,90.5,95.0,,95.0,94.9,,92.0,,94.1,63.3,93.3
920316,95.0,88.8,,94.6,74.4,68.8,33.3,,91.3,74.1,,86.4,,80.0,31.1,93.0
920317,95.0,95.0,,95.0,94.0,87.9,,,95.0,93.9,,95.0,,95.0,75.9,95.0
920318,95.0,87.3,,95.0,83.0,76.5,72.3,,86.0,69.2,,88.4,,75.0,46.5,94.7
920324,,5.0,,,,,,,,,,,,,5.0,
920348,95.0,90.3,,94.7,81.1,77.6,69.8,,94.0,78.8,82.4,86.4,,,63.8,95.0
920368,95.0,87.3,,95.0,78.7,79.1,63.9,,90.8,78.2,,83.3,,89.3,58.9,92.8
920386,95.0,95.0,,,,,,,95.0,,,90.0,,,,95.0
920411,95.0,88.1,,,87.3,87.0,60.7,,90.1,85.4,,86.3,,85.7,44.4,92.2
920412,95.0,92.0,,95.0,83.1,78.5,72.2,,93.6,78.8,,90.7,,95.0,53.1,95.0
920428,95.0,88.3,,,84.6,76.6,61.1,,91.6,79.0,,85.1,,87.0,49.2,91.6
920436,95.0,89.7,,84.6,87.7,83.3,79.3,,91.5,87.0,57.9,87.8,,73.7,60.3,94.7
