agency_code,pct_AIG_MCR,pct_ALL_MCR,pct_AM7_MCR,pct_AS7_MCR,pct_BL7_MCR,pct_EDS_MCR,pct_ELS_MCR,pct_FCS_MCR,pct_FEM_MCR,pct_HI7_MCR,pct_HMS_MCR,pct_MALE_MCR,pct_MIL_MCR,pct_MU7_MCR,pct_SWD_MCR,pct_WH7_MCR
110500,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
110LEA,95.0,95.0,,95.0,90.5,92.4,91.7,72.7,95.0,95.0,95.0,93.1,,95.0,61.3,95.0
111302,95.0,92.5,,,87.2,83.3,,,92.7,93.3,,92.3,,83.3,55.2,94.4
111700,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0
111LEA,95.0,94.7,,,90.0,86.9,,,95.0,95.0,,94.0,,90.5,67.5,95.0
11D000,,92.0,,,,,,,,,,94.1,,,,95.0
120308,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
120310,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
120314,95.0,95.0,,95.0,,95.0,,,95.0,92.3,,94.4,,,72.2,95.0
120318,95.0,94.1,,95.0,85.3,91.0,95.0,,95.0,95.0,,92.9,,91.7,65.2,94.4
120346,95.0,92.9,,95.0,,85.9,,,94.9,84.6,,91.8,,,47.6,93.0
120352,,5.0,,,,5.0,,,5.0,,,,,,5.0,5.0
120370,95.0,95.0,,,,91.3,81.8,,95.0,94.9,,93.4,,,70.8,94.9
120LEA,95.0,93.2,,95.0,90.6,89.8,88.1,,94.4,93.5,,92.2,,90.3,58.1,93.0
130307,95.0,95.0,,95.0,95.0,92.3,,,95.0,95.0,,95.0,,95.0,65.2,95.0
130310,95.0,94.1,,,95.0,90.2,88.2,,95.0,95.0,,89.9,,92.3,54.5,93.3
130314,95.0,95.0,,,93.3,94.2,95.0,,95.0,95.0,,95.0,,,68.6,95.0
130316,95.0,95.0,,,95.0,95.0,90.6,,95.0,92.9,,95.0,,,58.6,95.0
130317,,92.9,,,,,,,,,,95.0,,,,
130324,95.0,95.0,,,,91.1,,,94.8,,,95.0,,,44.4,95.0
130326,95.0,95.0,,,95.0,95.0,91.3,,95.0,95.0,,95.0,,,60.0,95.0
130332,95.0,95.0,,89.7,95.0,94.4,95.0,,95.0,92.3,,95.0,,95.0,57.9,95.0
130333,,81.5,,,,80.0,,,85.3,,,75.0,,,,88.2
130350,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
130LEA,95.0,95.0,95.0,94.7,95.0,93.2,89.9,,95.0,94.9,95.0,95.0,,92.0,58.7,95.0
132304,95.0,95.0,,,95.0,95.0,95.0,,95.0,95.0,,94.9,,95.0,59.4,95.0
132LEA,95.0,95.0,,,95.0,95.0,95.0,,95.0,95.0,,94.9,,95.0,59.4,95.0
13A000,,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
140305,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
140309,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
140348,95.0,90.2,,,91.3,86.6,81.8,,92.9,90.9,,87.6,,83.3,40.7,91.7
140386,95.0,92.3,,,,85.2,81.8,,95.0,88.0,90.0,88.9,,90.0,43.2,92.5
140390,95.0,90.0,,,92.0,90.5,,,92.5,90.9,,88.0,,95.0,57.1,88.6
140LEA,95.0,92.3,,,92.7,88.3,84.6,,95.0,91.8,95.0,89.6,,91.9,46.7,92.5
150304,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,95.0,,,95.0
150350,,95.0,,,,,,,94.1,,,95.0,,,,95.0
150LEA,95.0,95.0,,,95.0,93.1,,,95.0,,,95.0,95.0,,,95.0
160313,95.0,92.3,,,69.2,84.2,,,95.0,,,85.2,,,30.8,94.6
160314,95.0,95.0,,,,93.2,,,95.0,,,95.0,95.0,95.0,73.9,95.0
160344,95.0,95.0,,,92.9,93.4,,,95.0,92.9,,94.1,,94.4,59.1,95.0
160LEA,95.0,95.0,,,81.3,91.1,,,95.0,94.7,,93.2,95.0,95.0,58.6,95.0
170316,95.0,91.0,,,89.3,86.7,,,95.0,95.0,,87.6,,,29.2,90.2
170LEA,95.0,91.0,,,89.3,86.7,,,95.0,95.0,,87.6,,,29.2,90.2
180308,95.0,95.0,,,,95.0,,,95.0,80.0,,95.0,,,,95.0
180320,95.0,95.0,,95.0,95.0,95.0,95.0,,95.0,95.0,,95.0,,95.0,,95.0
180325,95.0,95.0,,95.0,,95.0,,,95.0,95.0,,95.0,,,,95.0
180340,95.0,92.1,,95.0,,90.3,90.0,,95.0,88.2,,88.7,,,48.1,92.1
180348,95.0,93.6,,93.3,81.3,91.1,80.0,,95.0,90.5,,90.4,,95.0,42.1,94.7
180376,95.0,93.7,,92.3,81.0,89.7,91.7,,95.0,91.6,,90.1,,95.0,63.2,95.0
180LEA,95.0,94.7,,95.0,85.5,92.1,88.7,,95.0,92.0,83.3,92.2,,95.0,49.4,95.0
181318,,95.0,,,,95.0,,,95.0,,,,,,,95.0
181322,95.0,95.0,,93.8,92.7,92.5,88.0,,95.0,95.0,,95.0,,93.3,63.2,95.0
181LEA,95.0,95.0,,94.4,93.7,93.3,88.5,,95.0,95.0,,95.0,,94.7,68.2,95.0
182304,,5.0,,,,5.0,,,5.0,,,5.0,,,5.0,5.0
182316,95.0,87.8,,,86.4,85.9,76.2,,86.5,86.3,,89.1,,80.0,37.5,90.1
182700,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
182LEA,95.0,81.1,,80.0,82.8,74.6,69.6,,83.0,79.0,,79.1,,86.7,17.3,81.1
190316,95.0,95.0,,,95.0,95.0,,,95.0,,95.0,95.0,,,,95.0
190336,95.0,94.5,,,89.3,95.0,95.0,,94.6,95.0,87.5,94.3,,,65.4,87.2
190342,95.0,95.0,,,92.3,92.4,92.9,,95.0,95.0,,93.8,,,63.0,95.0
190LEA,95.0,95.0,,,92.7,94.4,95.0,,95.0,95.0,94.4,94.2,,95.0,65.6,95.0
19A000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
19B000,,95.0,,,,,,,95.0,,,94.1,,,,95.0
200308,,95.0,,,,94.3,,,95.0,,,94.1,,,70.0,95.0
200314,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
200322,,89.3,,,,95.0,,,95.0,,,81.3,,,,88.5
200328,95.0,93.6,,,,85.7,,,92.5,,,94.6,,,,94.7
200350,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
200LEA,95.0,95.0,,,,93.5,,,95.0,,,94.2,,,64.0,95.0
210312,95.0,95.0,,,94.6,93.8,,,95.0,,,93.0,,,56.3,95.0
210LEA,95.0,95.0,,,94.6,93.8,,,95.0,,,93.0,,,56.3,95.0
220310,,84.0,,,,78.8,,,90.9,,,78.0,,,28.6,82.8
220LEA,,84.0,,,,78.8,,,90.9,,,78.0,,,28.6,82.8
230312,95.0,95.0,,,94.4,95.0,,,95.0,95.0,,93.9,,,78.8,95.0
230322,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
230324,95.0,95.0,,,93.8,93.3,,,95.0,,,95.0,,92.9,76.5,95.0
230330,,92.2,,,85.0,91.7,,,95.0,,,86.7,,,72.7,95.0
230350,95.0,95.0,,95.0,88.7,92.2,,,95.0,,,95.0,,95.0,53.6,95.0
230359,,5.0,,,5.0,5.0,,,5.0,,,5.0,,,5.0,5.0
230361,95.0,94.4,,,94.3,92.5,,,95.0,95.0,,93.5,,,68.0,94.4
230LEA,95.0,92.8,,94.1,88.1,91.1,78.9,95.0,95.0,93.5,95.0,90.8,,95.0,56.6,94.3
240334,,95.0,95.0,,88.6,93.8,,,95.0,,,92.5,,,,95.0
240371,95.0,93.9,,,90.6,81.0,,,95.0,90.0,,91.0,,,53.8,95.0
240373,90.9,95.0,,,95.0,95.0,,,95.0,,,92.6,,,,95.0
240380,95.0,91.3,,,88.4,87.2,,,92.2,,,90.4,,,38.5,91.8
240LEA,95.0,94.1,95.0,,90.8,88.6,92.3,,95.0,95.0,,91.4,,91.7,47.2,94.9
241316,95.0,93.1,,,92.3,87.8,,,95.0,90.0,,89.9,,,38.9,95.0
241LEA,95.0,93.4,,,92.6,88.9,,,95.0,90.0,,90.2,,,42.1,95.0
24B000,,94.7,,,,,,,90.0,,,,,,,
250314,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
250321,,95.0,,,,,,,95.0,,,95.0,,,,95.0
250340,95.0,90.7,,,86.7,82.4,,,93.5,84.0,,88.1,81.5,93.3,52.2,93.5
250356,95.0,91.3,,92.6,89.1,87.2,90.5,,94.5,92.0,,87.1,,92.9,43.2,92.3
250372,95.0,92.8,,,85.1,90.7,,,95.0,92.3,,90.6,,,47.6,95.0
250LEA,95.0,92.1,,95.0,88.2,87.5,90.6,,94.7,89.4,,89.3,86.7,91.9,48.4,94.4
260318,95.0,95.0,,95.0,94.5,92.4,,,95.0,95.0,,92.9,95.0,93.9,63.3,94.1
260322,95.0,86.8,,,85.8,82.6,,,93.5,95.0,,81.4,,94.7,51.2,86.5
260325,95.0,95.0,95.0,,94.4,94.7,,,95.0,93.5,,94.2,95.0,95.0,82.6,95.0
260347,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,
260354,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,
260357,95.0,93.3,95.0,,90.5,88.6,,,95.0,95.0,,89.8,95.0,90.0,65.1,92.8
260359,95.0,89.8,,,91.1,92.7,,,94.9,88.9,,84.9,92.0,95.0,54.2,77.8
260374,,93.3,,,95.0,95.0,,,93.3,,,93.3,,,95.0,
260388,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,95.0,,,95.0
260408,95.0,87.4,,,80.5,84.2,90.0,,93.3,90.2,,81.2,95.0,94.1,41.7,91.7
260411,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,
260424,95.0,95.0,,,95.0,95.0,,,95.0,91.3,,95.0,95.0,95.0,81.6,95.0
260427,95.0,92.8,,,88.9,90.5,,,92.7,95.0,,92.9,95.0,95.0,69.0,94.9
260446,95.0,91.1,,93.3,85.6,87.7,,,93.2,95.0,,89.0,95.0,89.5,59.4,93.4
260449,,66.7,,,73.3,83.3,,,,,,50.0,,,45.5,
260455,95.0,90.5,,,90.8,95.0,90.9,,92.2,89.7,,89.0,91.7,84.2,48.8,92.3
260700,,95.0,,,95.0,95.0,,,95.0,,,,,,,
260LEA,95.0,92.8,90.3,95.0,91.3,91.5,93.5,94.7,95.0,94.8,94.7,89.9,95.0,94.1,63.6,93.7
270306,95.0,92.3,,,94.7,94.1,,,93.9,90.9,,90.9,81.8,95.0,56.3,91.2
270311,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
270LEA,95.0,94.2,,,95.0,95.0,,,95.0,93.8,,92.5,81.8,95.0,61.1,93.3
280304,94.7,91.1,,,,87.5,,,91.7,,,90.5,,,,88.9
280316,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
280330,95.0,95.0,,,,89.2,,,95.0,93.3,,95.0,,,40.0,95.0
280LEA,95.0,95.0,,,,92.6,,,95.0,95.0,,95.0,,95.0,43.8,95.0
290308,95.0,95.0,,,,94.7,,,95.0,95.0,,94.8,,,68.0,95.0
290310,,5.0,,,,,,,5.0,,,5.0,,,5.0,5.0
290314,,81.8,,,,84.2,,,86.7,,,77.8,,,,82.1
290315,,95.0,,,,,,,95.0,,,95.0,,,,95.0
290324,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,95.0,95.0
290336,95.0,95.0,,,85.7,89.7,,,95.0,93.3,,95.0,,,66.7,95.0
290348,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,77.8,95.0
290365,95.0,95.0,,,,95.0,,,95.0,,,93.0,,,87.5,95.0
290388,95.0,95.0,,,,93.5,,,95.0,93.3,,95.0,,,87.5,95.0
290389,,95.0,,,,,,,95.0,,,95.0,,,,95.0
290LEA,95.0,95.0,,95.0,91.1,93.3,85.0,,95.0,95.0,90.0,94.2,,90.0,67.3,95.0
291336,95.0,95.0,,92.3,95.0,95.0,90.6,,95.0,95.0,,94.8,,91.7,53.3,92.1
291LEA,95.0,94.5,,92.3,95.0,94.0,90.6,,95.0,95.0,,91.9,,91.7,44.4,89.7
292324,,91.3,,,90.9,86.4,90.9,,94.8,95.0,,87.7,,95.0,25.0,78.6
292LEA,,91.3,,,90.9,86.4,90.9,,94.8,95.0,,87.7,,95.0,25.0,78.6
298202,,36.4,,,,,,,,,,,,,36.4,
298203,,35.3,,,,,,,,,,,,,35.3,
298204,,25.0,,,,,,,,,,30.0,,,25.0,
300312,95.0,95.0,,,91.7,92.1,,,95.0,94.3,,93.4,,95.0,63.0,95.0
300314,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0
300LEA,95.0,95.0,,,92.0,91.9,,,95.0,95.0,,93.4,,95.0,62.5,95.0
310338,,95.0,,,95.0,95.0,,,95.0,95.0,,,,,,
310344,95.0,93.5,,,86.2,86.0,85.7,,95.0,94.7,,90.9,,,41.7,94.2
310352,95.0,91.9,,,92.7,90.5,81.0,,94.7,90.2,,88.3,,,36.4,92.3
310364,,95.0,,,90.9,95.0,93.3,,95.0,95.0,,95.0,,,,95.0
310392,95.0,95.0,,,94.8,95.0,95.0,,95.0,95.0,,95.0,,,,95.0
310LEA,95.0,94.6,,,92.7,91.7,88.9,,95.0,95.0,,92.4,,95.0,42.0,94.9
320309,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,
320312,95.0,89.2,,95.0,86.6,79.1,80.4,,92.8,83.3,,86.3,,90.9,38.6,95.0
320314,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0
320317,95.0,92.0,,,87.5,89.7,,,94.2,92.0,,87.0,,,,95.0
320322,,78.6,,,71.4,91.7,,,82.4,80.0,,72.7,,,,
320323,95.0,91.2,,95.0,86.4,85.1,81.8,,95.0,94.0,,82.1,,90.9,37.5,92.6
320325,95.0,91.4,,,92.3,88.8,95.0,,92.8,90.6,,90.0,,,47.8,
320353,95.0,95.0,,,95.0,95.0,95.0,,95.0,95.0,,95.0,,,,95.0
320356,95.0,90.6,,,86.7,86.5,91.2,,93.2,91.8,,88.1,,85.7,48.1,95.0
320365,95.0,84.4,,,80.3,75.6,70.7,,87.4,78.2,,82.0,,90.9,38.6,95.0
320368,95.0,89.2,,,88.8,87.3,93.2,,92.0,91.5,90.0,86.8,,90.9,56.3,76.5
320701,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,
320LEA,95.0,90.2,,95.0,88.6,85.3,84.5,,93.1,88.5,86.5,87.3,,92.4,50.5,95.0
32L000,95.0,95.0,,,95.0,,,,95.0,,,95.0,,,72.7,95.0
32N000,,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
330326,,95.0,,,,,,,95.0,,,95.0,,,,95.0
330328,,93.8,,,92.9,91.3,,,95.0,,,87.5,,,,
330350,95.0,85.5,,,83.7,82.9,,,94.1,95.0,,76.1,,,40.0,87.5
330358,95.0,91.2,,,89.9,93.5,,,90.8,91.7,,91.5,,,56.5,95.0
330LEA,95.0,89.4,,,88.4,88.4,,,94.2,95.0,,84.4,,,47.2,91.1
33A000,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
340311,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,95.0,95.0
340330,,80.6,,,84.5,78.9,67.9,,81.7,76.3,70.0,79.5,,,38.9,
340336,,5.0,,,5.0,5.0,,,5.0,5.0,,5.0,,,5.0,5.0
340362,95.0,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
340364,95.0,95.0,,,95.0,91.0,82.1,,95.0,90.8,,93.6,,90.0,73.2,95.0
340382,95.0,90.4,,,93.8,87.1,69.6,,92.8,82.3,,87.6,,81.8,54.5,95.0
340446,95.0,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
340454,95.0,95.0,,,95.0,95.0,84.8,,95.0,88.7,,95.0,,93.3,66.7,95.0
340460,95.0,94.4,,,94.5,91.0,88.2,,95.0,92.0,,93.0,,,69.6,95.0
340486,95.0,90.8,,,93.3,89.6,80.0,,95.0,90.1,,85.1,,84.6,50.0,87.0
340488,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,
340495,95.0,95.0,,95.0,95.0,92.8,92.9,,95.0,95.0,,95.0,,95.0,74.2,95.0
340496,95.0,88.4,,95.0,85.4,81.0,76.2,,93.4,73.9,,83.0,,93.8,48.5,94.7
340542,95.0,91.2,,,93.1,87.1,,,90.8,90.5,,91.6,,,52.6,90.6
340556,95.0,95.0,,95.0,88.9,93.9,92.7,,95.0,95.0,,94.0,,95.0,48.6,95.0
340568,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,
340LEA,95.0,91.8,95.0,95.0,90.8,87.7,80.1,70.0,94.1,87.3,69.2,89.7,,90.3,49.5,94.3
34B000,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,
34D000,,95.0,,,,,,,,,,95.0,,,,
34H000,,95.0,,,,,,,95.0,,,90.0,,,,93.8
350308,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,72.7,95.0
350317,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
350321,95.0,94.1,,,91.5,91.0,,,95.0,89.7,,93.5,,,54.5,95.0
350336,95.0,95.0,,,94.4,93.0,,,94.2,95.0,,95.0,,,73.7,95.0
350LEA,95.0,95.0,,,93.6,94.3,94.1,,95.0,94.3,,95.0,,92.9,65.4,95.0
360310,95.0,94.2,,95.0,93.7,91.7,93.1,,95.0,95.0,,91.7,,90.0,57.9,93.9
360336,,93.5,,,90.9,89.3,,,95.0,95.0,,90.1,,,64.0,94.3
360337,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
360360,95.0,93.1,,,90.9,88.9,,,95.0,,,87.3,,,55.6,93.5
360372,,63.6,,,,,,,,,,66.7,,,38.5,
360378,95.0,95.0,,,95.0,93.7,,,95.0,95.0,,95.0,,,68.2,95.0
360390,95.0,94.8,,,95.0,94.0,,,95.0,94.1,,92.5,,,56.5,95.0
360394,,5.0,,,5.0,5.0,,,5.0,,,5.0,,,5.0,5.0
360396,95.0,93.2,,,85.7,90.0,,,94.7,93.3,,91.5,,91.7,44.0,95.0
360418,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,95.0,,95.0
360428,95.0,90.8,,,86.8,90.0,94.7,,92.2,95.0,,89.4,,,55.3,91.0
360470,95.0,95.0,,,92.5,91.5,,,95.0,95.0,,93.7,,95.0,55.6,95.0
360494,95.0,95.0,,95.0,94.7,93.1,,,95.0,95.0,,95.0,,95.0,53.8,95.0
360LEA,95.0,92.3,,95.0,88.3,88.5,88.4,,94.6,94.4,95.0,90.0,,94.8,46.2,93.1
36B000,,93.8,,,95.0,,,,93.6,,,94.1,,,,91.9
36C000,95.0,95.0,,,93.5,93.8,,,95.0,,,95.0,,,,95.0
370312,95.0,92.8,,,92.6,92.5,,,93.9,,,91.5,,,61.9,92.3
370LEA,95.0,92.8,,,92.6,92.5,,,93.9,,,91.5,,,61.9,92.3
380308,,95.0,95.0,,,92.1,,,94.9,,,95.0,,,69.2,95.0
380LEA,,95.0,95.0,,,92.1,,,94.9,,,95.0,,,69.2,95.0
390322,95.0,83.1,,,81.8,80.3,77.8,,90.4,86.7,,78.6,,,20.7,81.2
390323,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0
390324,,91.1,,,91.9,89.5,,,93.9,,,89.3,,,33.3,88.9
390352,95.0,95.0,,,95.0,94.3,,,95.0,88.5,,94.6,,,80.0,95.0
390700,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
390LEA,95.0,92.4,,,91.8,88.8,80.0,,95.0,90.1,,89.1,,94.4,39.3,93.2
39B000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
400308,95.0,91.6,,,89.5,94.1,80.0,,93.1,92.0,,90.5,,,27.8,93.2
400315,,95.0,,,,,,,95.0,95.0,,95.0,,,,95.0
400LEA,95.0,92.6,,,90.0,94.6,81.0,,94.2,93.5,,91.4,,,27.8,94.2
410319,95.0,94.0,,90.9,95.0,91.8,95.0,,95.0,87.5,,91.7,,80.0,64.9,95.0
410326,,95.0,,,95.0,,,,95.0,,,,,,,
410355,95.0,95.0,,,95.0,95.0,95.0,,95.0,95.0,,94.0,,91.7,72.7,
410358,95.0,89.5,,95.0,89.6,86.4,84.0,,95.0,81.5,,84.4,,95.0,58.7,90.0
410379,,5.0,,,5.0,5.0,,,,,,5.0,,,5.0,
410390,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
410391,95.0,95.0,,,,,,,95.0,,,,,,,95.0
410394,95.0,92.8,,95.0,87.4,86.2,87.0,,94.2,79.2,,91.5,,95.0,60.0,95.0
410395,95.0,95.0,,95.0,,,,,95.0,,,95.0,,,,95.0
410399,95.0,95.0,,,95.0,95.0,,,95.0,,,,,,,95.0
410401,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
410406,95.0,92.4,,95.0,86.3,90.2,91.1,,95.0,93.5,,88.8,,84.6,57.1,95.0
410407,,95.0,,,95.0,,,,95.0,95.0,,,,,,
410408,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
410458,,5.0,,,5.0,5.0,,,,,,5.0,,,5.0,5.0
410464,,5.0,,,,5.0,,,,,,5.0,,,5.0,
410483,,95.0,,,95.0,95.0,,,,,,95.0,,,,
410484,95.0,95.0,,,95.0,93.2,80.0,,95.0,91.7,,95.0,,78.6,71.9,93.2
410489,95.0,95.0,,,94.6,90.0,,,95.0,94.7,,94.5,,95.0,50.0,95.0
410490,95.0,95.0,,95.0,94.4,91.7,90.9,,95.0,95.0,,94.2,,91.7,58.6,95.0
410508,95.0,95.0,,95.0,91.1,90.8,95.0,,95.0,95.0,,94.8,,95.0,60.9,95.0
410529,95.0,95.0,,95.0,94.1,92.6,95.0,,95.0,95.0,,95.0,,88.2,48.0,95.0
410544,95.0,93.4,,95.0,92.8,92.7,94.9,,94.6,92.7,,91.9,,,66.7,95.0
410545,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,
410547,95.0,95.0,,,95.0,93.0,,,95.0,92.9,,95.0,,,73.3,95.0
410556,95.0,94.0,,95.0,94.3,93.1,93.1,,95.0,93.5,,91.2,,,71.1,95.0
410562,95.0,94.4,,90.7,91.9,87.8,90.7,,95.0,93.3,,92.6,,,47.1,95.0
410569,95.0,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
410579,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
410589,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
410595,95.0,92.7,,95.0,92.2,89.8,90.5,,95.0,92.5,,89.9,,95.0,37.5,91.1
410LEA,95.0,93.5,89.7,95.0,92.1,90.4,93.1,,95.0,92.4,,90.9,95.0,91.3,53.1,94.9
41F000,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
41K000,,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0
420346,,84.6,,,85.3,87.5,,,88.0,,,80.5,,,39.1,
420358,,95.0,,,95.0,95.0,,,95.0,,,94.3,,,,
420LEA,,90.2,,,90.7,91.9,,,93.2,90.9,,86.8,,,40.7,
421316,95.0,95.0,,,93.8,95.0,,,95.0,,,95.0,,,80.0,95.0
421LEA,95.0,95.0,,,93.8,95.0,,,95.0,,,95.0,,,80.0,95.0
422310,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,
422315,,90.3,,,90.3,85.7,,,85.7,,,94.1,,,,
422LEA,95.0,95.0,,,95.0,92.0,,,95.0,,,95.0,,,,
430345,,95.0,,,95.0,93.8,,,90.9,,,95.0,,,,95.0
430346,95.0,94.6,,,92.2,91.2,95.0,,95.0,95.0,,92.6,,87.5,58.7,95.0
430371,95.0,95.0,,,95.0,95.0,88.9,,95.0,95.0,,95.0,95.0,95.0,65.4,95.0
430378,95.0,95.0,,,92.9,92.8,95.0,,95.0,95.0,,93.4,,95.0,54.2,95.0
430384,95.0,95.0,,,94.3,93.7,95.0,,95.0,95.0,,94.8,95.0,95.0,57.1,95.0
430LEA,95.0,95.0,95.0,93.3,94.2,93.2,94.3,,95.0,95.0,81.8,94.5,95.0,95.0,59.0,95.0
440326,,63.0,,,,58.1,,,59.5,,,66.7,,,,61.9
440346,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
440378,95.0,95.0,,,,90.8,,,95.0,95.0,,93.3,,,54.5,94.9
440390,95.0,95.0,,,,91.3,,,95.0,95.0,90.0,95.0,,,63.2,95.0
440LEA,95.0,91.8,,,,86.4,,,92.6,95.0,93.3,91.0,,84.6,55.1,91.4
450316,95.0,94.9,,,,94.0,95.0,,95.0,94.1,,92.2,,,47.4,95.0
450334,95.0,95.0,,,85.0,91.7,90.0,,95.0,95.0,,94.2,,93.3,64.0,95.0
450341,95.0,95.0,,,92.3,93.3,92.0,,95.0,95.0,,94.7,,,68.6,95.0
450343,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
450352,95.0,95.0,,,,93.4,,,95.0,95.0,,95.0,,,73.3,95.0
450354,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
450LEA,95.0,95.0,,93.8,86.4,93.7,95.0,,95.0,95.0,95.0,94.9,,94.6,66.7,95.0
460320,95.0,95.0,,,95.0,95.0,,,95.0,,,94.0,,,75.0,94.7
460322,95.0,95.0,,,95.0,,,,95.0,,,,,,,
460340,,95.0,,,95.0,,,,95.0,,,95.0,,,,
460LEA,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,76.2,95.0
470312,95.0,92.3,88.6,,91.9,91.4,95.0,,93.5,95.0,,91.2,95.0,95.0,43.6,89.1
470443,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0
470LEA,95.0,93.4,89.6,,92.9,92.3,95.0,,94.6,95.0,,92.2,95.0,95.0,44.6,91.5
480318,,77.8,,,,80.0,,,,,,70.0,,,,81.8
480LEA,,83.3,,,,80.0,,,90.0,,,78.6,,,,85.7
490310,,89.3,,,,,,,94.4,,,80.0,,,,85.0
490320,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
490335,95.0,95.0,,95.0,86.7,95.0,78.6,,95.0,90.0,,95.0,,95.0,79.3,95.0
490346,95.0,91.7,,,75.0,89.0,,,95.0,84.6,,87.1,,,40.0,93.1
490350,,91.7,,,,90.0,,,90.9,,,92.3,,,,92.9
490354,95.0,92.5,,90.0,93.8,91.6,87.5,,94.0,93.2,,91.2,,,52.0,90.0
490355,,95.0,,,,95.0,,,95.0,,,,,,,95.0
490362,95.0,90.6,,95.0,88.2,78.7,,,91.9,84.4,,89.1,,,28.6,91.4
490380,95.0,93.6,,,91.3,87.7,,,95.0,95.0,,90.5,,,45.0,93.3
490LEA,95.0,93.5,,95.0,90.9,88.8,77.6,,95.0,90.5,,91.2,,95.0,48.9,94.1
491312,95.0,95.0,,,93.7,92.9,,,95.0,95.0,,91.7,,93.3,66.7,94.9
491LEA,95.0,95.0,,,93.7,92.9,,,95.0,95.0,,91.7,,93.3,66.7,94.9
49E000,,95.0,,,,,,,95.0,,,95.0,,,,95.0
500302,,95.0,,,,,,,,,,95.0,,,,95.0
500323,95.0,95.0,,,,,,,95.0,,,,,,,95.0
500324,,48.2,36.4,,,42.3,,,38.5,80.0,,56.7,,,41.7,42.4
500340,95.0,94.6,,,,92.1,,,95.0,91.7,,91.8,,,52.2,94.2
500LEA,95.0,87.3,65.0,,,80.0,,,88.5,89.7,,85.9,,,56.1,88.4
