agency_code,arre_per1000_ALL,arre_per1000_AM7,arre_per1000_AS7,arre_per1000_BL7,arre_per1000_EDS,arre_per1000_ELS,arre_per1000_FEM,arre_per1000_HI7,arre_per1000_MALE,arre_per1000_MU7,arre_per1000_PI7,arre_per1000_SWD,arre_per1000_WH7,blhr_per1000_ALL,blhr_per1000_AM7,blhr_per1000_AS7,blhr_per1000_BL7,blhr_per1000_EDS,blhr_per1000_ELS,blhr_per1000_FEM,blhr_per1000_HI7,blhr_per1000_MALE,blhr_per1000_MU7,blhr_per1000_PI7,blhr_per1000_SWD,blhr_per1000_WH7,crime_per1000_ALL,crime_per1000_AM7,crime_per1000_AS7,crime_per1000_BL7,crime_per1000_EDS,crime_per1000_ELS,crime_per1000_FEM,crime_per1000_HI7,crime_per1000_MALE,crime_per1000_MU7,crime_per1000_PI7,crime_per1000_SWD,crime_per1000_WH7,exp_per1000_ALL,exp_per1000_AM7,exp_per1000_AS7,exp_per1000_BL7,exp_per1000_EDS,exp_per1000_ELS,exp_per1000_FEM,exp_per1000_HI7,exp_per1000_MALE,exp_per1000_MU7,exp_per1000_PI7,exp_per1000_SWD,exp_per1000_WH7,iss_per1000_ALL,iss_per1000_AM7,iss_per1000_AS7,iss_per1000_BL7,iss_per1000_EDS,iss_per1000_ELS,iss_per1000_FEM,iss_per1000_HI7,iss_per1000_MALE,iss_per1000_MU7,iss_per1000_PI7,iss_per1000_SWD,iss_per1000_WH7,lts_per1000_ALL,lts_per1000_AM7,lts_per1000_AS7,lts_per1000_BL7,lts_per1000_EDS,lts_per1000_ELS,lts_per1000_FEM,lts_per1000_HI7,lts_per1000_MALE,lts_per1000_MU7,lts_per1000_PI7,lts_per1000_SWD,lts_per1000_WH7,rplw_per1000_ALL,rplw_per1000_AM7,rplw_per1000_AS7,rplw_per1000_BL7,rplw_per1000_EDS,rplw_per1000_ELS,rplw_per1000_FEM,rplw_per1000_HI7,rplw_per1000_MALE,rplw_per1000_MU7,rplw_per1000_PI7,rplw_per1000_SWD,rplw_per1000_WH7,sts_per1000_ALL,sts_per1000_AM7,sts_per1000_AS7,sts_per1000_BL7,sts_per1000_EDS,sts_per1000_ELS,sts_per1000_FEM,sts_per1000_HI7,sts_per1000_MALE,sts_per1000_MU7,sts_per1000_PI7,sts_per1000_SWD,sts_per1000_WH7
010328,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,15.957,,,,39.773,0.0,,,30.717,,,45.455,18.557
010340,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.102,,,25.862,11.142,0.0,8.475,13.986,5.698,0.0,,50.0,0.0,4.2614,,,17.2414,8.3565,0.0,5.6497,0.0,2.849,0.0,,0.0,2.5063,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,45.455,,,146.55200000000005,52.925,0.0,22.599,34.965,68.376,30.303,,350.0,22.556
010346,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.6738,,,0.0,4.4843,0.0,5.2632,,0.0,50.0,,24.3902,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,26.738000000000003,,,68.96600000000001,26.906,0.0,10.526,,42.78100000000001,0.0,,48.78,33.473,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,32.086,,,172.41400000000004,49.327,0.0,5.263,,58.824,100.0,,121.951,20.921
010347,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.531,,0.0,0.0,2.551,0.0,0.0,6.849,3.145,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,108.729,,300.0,196.078,135.204,72.464,30.03,68.493,191.824,66.667,,208.333,99.723,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,45.942,,100.0,39.216,61.224,0.0,15.015,13.699000000000002,78.616,33.333,,125.0,60.942
010348,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.2838,,,13.1004,11.9454,0.0,2.6178,8.5227,14.8515,0.0,,7.5758,6.4103,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,21.22,,,39.301,27.304,0.0,28.796,5.682,12.376,64.516,,37.879,19.231,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,185.676,,,388.646,206.485,12.048,86.387,71.023,264.851,419.355,,303.03,83.333
010350,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,18.987,,272.72700000000003,30.12,15.901,0.0,3.03,6.897,37.801,71.429,,38.961,0.0,12.6582,,0.0,12.0482,14.1343,15.873,6.0606,20.6897,20.6186,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,196.203,,90.909,349.398,204.947,95.238,106.061,131.034,305.842,71.429,,272.72700000000003,203.252,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,477.848,,454.545,801.205,480.565,396.825,309.091,334.483,687.285,428.571,,740.26,447.154
010351,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.386000000000001,,,20.833,12.862,0.0,0.0,0.0,16.327,0.0,,17.857,0.0,2.0964,,,5.2083,3.2154,0.0,0.0,0.0,4.0816,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.096,,,0.0,3.215,0.0,0.0,7.576,4.082,0.0,,17.857,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,186.583,,,390.625,254.019,13.699000000000002,42.254,30.303,326.531,88.235,,464.286,76.923
010353,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.549,,0.0,63.063,35.897,48.78,12.232,18.072,40.115,62.5,0.0,20.0,17.192,4.4248,,0.0,9.009,5.1282,0.0,0.0,6.0241,8.596,0.0,0.0,10.0,2.8653,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,293.51,,0.0,450.45,369.231,268.293,128.44,204.819,449.857,1125.0,,260.0,226.361,2.9499,,0.0,9.009,5.1282,24.3902,0.0,6.0241,5.7307,0.0,,0.0,0.0,17.699,,71.429,36.036,25.641,0.0,3.0580000000000003,18.072,31.519,62.5,0.0,60.0,5.731,219.764,,71.429,414.414,292.308,146.341,48.93,168.675,381.089,500.0,,280.0,166.18900000000005
010354,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.8,,,11.3208,6.5502,0.0,6.2112,0.0,3.3898,0.0,,16.129,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,88.0,,,162.264,113.537,6.897,40.37300000000001,4.367,142.373,160.0,,193.548,78.652
010357,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.028,0.0,,7.813,3.012,0.0,0.0,0.0,4.274,0.0,,19.608,0.0,6.0852,0.0,,15.625,9.0361,5.6497,8.2645,4.3668,4.2735,0.0,,19.6078,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,182.556,,,265.625,234.94,33.898,53.719,96.07,329.06,960.0,,392.157,107.143
