digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,agency_code,Book_TitlesPer_Student,wap,wap_class,media_school,devices,category_code
1,Yes,6:07:08,Yes,6:07:08,Neither,-,060318,22.47,24.0,1.09,1998.0,0.93,M
2,Yes,K:1:2:3:4:5,No,-,Neither,-,060322,41.54,24.0,1.5,2001.0,0.91,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,060328,30.36,38.0,1.65,1994.0,0.95,E
0,Yes,K:1:2:3:4:5,No,-,Neither,-,060332,17.8,18.0,2.25,2004.0,0.92,E
-,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,060334,,2.0,1.0,,0.62,T
,,,,,,,060LEA,29.33,217.0,1.27,1999.0,0.94,
0,Yes,6:7:8:9:10:11:12,No,-,Neither,-,06A000,86.96,3.0,0.75,1986.0,1.64,A
0,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,No,-,Neither,-,06B000,77.87,11.0,0.55,2000.0,1.24,A
1,No,-,No,-,Neither,-,070302,27.25,52.0,1.06,1997.0,1.58,E
0,No,-,No,-,Staff,-,070308,21.52,56.0,1.33,1998.0,1.07,I
-,No,-,No,-,Neither,-,070310,,24.0,2.67,,0.4,T
25,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Both,9:10:11:12:13,070311,0.11,10.0,1.0,1970.0,0.69,H
1,Yes,5:6:7:8,No,-,Staff,-,070325,22.71,41.0,1.52,1996.0,0.59,M
0,No,-,No,-,Staff,-,070326,21.52,57.0,1.46,1997.0,0.95,E
2,No,-,No,-,Neither,-,070327,26.07,50.0,1.11,1994.0,1.09,E
0,No,-,No,-,Staff,-,070328,20.39,42.0,1.17,1999.0,0.75,E
0,No,-,No,-,Neither,-,070329,41.16,66.0,1.2,1998.0,0.94,I
1,Yes,9:10:11:12,No,-,Staff,-,070330,23.46,54.0,1.5,1992.0,0.72,H
0,No,-,No,-,Staff,-,070338,15.81,68.0,1.15,1999.0,0.97,M
0,No,-,No,-,Staff,-,070339,31.52,58.0,1.53,1992.0,0.48,H
1,No,-,No,-,Staff,-,070340,99.81,26.0,1.44,1998.0,0.77,I
1,No,-,No,-,Staff,-,070342,7.93,76.0,1.17,1994.0,0.73,H
,,,,,,,070LEA,22.82,680.0,1.29,1994.0,0.81,
-,Yes,7:08,No,-,Both,9:10:11:12,07A000,,19.0,0.79,,5.83,A
-,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Students,9:10:11:12:13,080311,,22.0,2.2,,0.89,H
1,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,080312,15.02,54.0,1.32,2010.0,0.63,H
1,Yes,6:07:08,No,-,Staff,-,080314,15.0,51.0,1.24,2008.0,0.46,M
0,Yes,3:04:05,No,-,Neither,-,080348,39.88,17.0,1.31,1998.0,0.6,E
1,Yes,2:3:4:5,No,-,Neither,-,080356,30.07,25.0,0.89,2000.0,0.51,E
1,Yes,3:04:05,No,-,Neither,-,080360,26.9,23.0,1.35,2001.0,0.62,E
0,Yes,2:3:4:5,No,-,Neither,-,080362,13.57,29.0,1.12,2001.0,0.56,E
0,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,080700,,12.0,1.5,2008.0,,
,,,,,,,080LEA,24.03,233.0,1.27,2004.0,0.57,
1,No,-,No,-,Staff,-,090304,58.1,25.0,1.25,1992.0,0.52,E
15,Yes,7:08,No,-,Staff,-,090315,20.77,34.0,1.31,1997.0,0.37,M
12,No,-,No,-,Staff,-,090317,44.62,39.0,1.08,1996.0,1.26,E
1,No,-,No,-,Staff,-,090318,59.91,29.0,1.26,1997.0,0.78,E
4,No,-,No,-,Staff,-,090320,43.19,36.0,1.8,2000.0,0.33,M
15,No,-,No,-,Neither,-,090324,33.71,26.0,1.13,2006.0,0.82,E
1,Yes,7:08,No,-,Staff,-,090328,94.7,27.0,1.35,1997.0,0.63,I
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,090330,7.74,56.0,1.12,1991.0,0.83,H
11,No,-,No,-,Staff,-,090332,27.54,49.0,1.63,1998.0,0.75,M
10,No,-,No,-,Staff,-,090333,25.58,47.0,1.27,2002.0,0.81,E
15,No,-,No,-,Staff,-,090352,54.18,21.0,1.24,1997.0,0.7,E
1,Yes,7:08,No,-,Neither,-,090365,24.48,35.0,1.3,2001.0,0.78,M
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,090368,8.67,59.0,1.07,1985.0,0.76,H
,,,,,,,090LEA,28.29,483.0,1.26,1997.0,0.68,
-,No,-,No,-,Neither,-,09A000,,23.0,1.92,,6.84,T
0,No,-,No,-,Neither,-,09B000,0.34,18.0,1.0,,5.82,E
3,No,-,No,-,Both,K:1:2:3:4:5,100302,17.6,66.0,1.25,1999.0,1.09,E
6,No,-,No,-,Neither,-,100304,22.55,71.0,1.65,2001.0,0.72,E
50,Yes,9:10,Yes,9:10,Both,9:10:11:12:13,100307,1.62,21.0,1.4,2003.0,1.27,H
15,No,-,No,-,Staff,-,100308,48.27,37.0,1.48,2004.0,0.36,T
2,No,-,No,-,Both,6:07:08,100309,23.23,53.0,1.47,2007.0,1.38,M
3,No,-,No,-,Staff,-,100310,32.37,43.0,1.43,2002.0,1.03,E
3,No,-,No,-,Both,6:07:08,100316,15.67,68.0,1.19,2005.0,1.37,M
2,No,-,No,-,Staff,-,100320,31.13,64.0,1.49,1997.0,0.86,E
5,No,-,No,-,Both,9:10:11:12,100326,13.25,128.0,2.03,2001.0,0.87,H
5,No,-,No,-,Both,6:07:08,100332,23.22,61.0,1.22,2001.0,0.89,M
5,No,-,No,-,Both,9:10:11:12,100334,12.34,105.0,1.5,2001.0,1.31,H
10,No,-,No,-,Both,6:07:08,100335,18.56,60.0,1.25,2002.0,1.36,M
4,No,-,No,-,Both,K:1:2:3:4:5,100336,22.74,61.0,1.49,1999.0,1.28,E
5,No,-,No,-,Neither,-,100338,16.01,54.0,1.13,2002.0,1.42,E
5,No,-,No,-,Staff,-,100339,20.26,46.0,1.18,2004.0,0.96,E
4,No,-,No,-,Staff,-,100340,27.26,54.0,1.35,1998.0,0.71,E
6,No,-,No,-,Neither,-,100342,23.96,56.0,1.24,2002.0,1.25,E
3,No,-,No,-,Both,PK:K:1:2:3:4:5:6:7:8,100344,30.15,63.0,2.42,2000.0,0.91,I
3,No,-,No,-,Both,9:10:11:12,100348,12.9,124.0,1.51,2000.0,1.4,H
,,,,,,,100LEA,19.39,1235.0,1.45,2001.0,1.06,
-,No,-,No,-,Neither,-,10A000,,51.0,1.0,,8.18,I
-,No,-,No,-,Neither,-,10B000,,35.0,1.67,,17.57,E
3,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110303,55.88,27.0,1.59,2001.0,0.35,H
5,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110304,13.14,118.0,1.44,1996.0,0.64,H
1,Yes,6:07:08,Yes,6:07:08,Staff,-,110306,28.31,61.0,1.53,2001.0,0.87,M
1,Yes,4,No,-,Both,K:1:2:3:4,110308,51.23,25.0,1.39,2003.0,3.72,E
1,Yes,4:05,No,-,Neither,-,110318,21.8,33.0,1.65,2004.0,0.75,E
1,No,-,No,-,Both,PK:K:1:2:3,110320,26.8,49.0,1.44,2001.0,1.75,E
-,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Both,9:10:11:12:13,110322,,6.0,0.38,,0.88,H
-,Yes,11:12,Yes,11:12,Both,11:12,110323,,5.0,1.25,,0.74,H
2,Yes,4,No,-,Staff,-,110324,44.94,55.0,1.28,2002.0,1.61,E
1,Yes,6:07:08,Yes,6:07:08,Staff,-,110326,33.52,67.0,1.4,2002.0,0.9,M
1,Yes,4:05,No,-,Staff,-,110332,42.57,33.0,1.27,2000.0,1.37,E
1,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110336,15.78,81.0,1.4,2003.0,0.66,H
0,Yes,6:07:08,Yes,7:08,Staff,-,110338,13.49,63.0,1.54,2008.0,0.8,M
3,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,110340,10.55,107.0,1.37,2003.0,0.7,H
2,Yes,7:08,Yes,7:08,Both,7:08,110342,20.15,78.0,1.39,2004.0,0.48,M
1,Yes,4,No,-,Both,K:1:2:3:4,110348,31.87,47.0,1.52,2004.0,1.2,E
1,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110352,18.0,101.0,1.36,1999.0,0.55,H
1,Yes,4:05,Yes,4:05,Staff,-,110356,24.65,59.0,1.59,2003.0,1.32,E
5,Yes,4,No,-,Both,K:1:2:3:4,110366,24.21,58.0,1.53,2003.0,2.45,E
1,Yes,4:05,No,-,Both,K:1:2:3:4:5,110368,36.01,42.0,1.4,2000.0,1.22,E
2,Yes,4,No,-,Students,K:1:2:3:4,110370,26.11,47.0,1.34,2000.0,2.14,E
1,Yes,4,No,-,Neither,-,110372,32.12,36.0,1.33,2000.0,1.64,E
1,Yes,4,No,-,Both,K:1:2:3:4,110376,15.86,55.0,1.53,2006.0,2.19,E
1,Yes,4,No,-,Both,K:1:2:3:4,110379,21.21,61.0,1.36,2006.0,1.53,E
1,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,110380,10.09,88.0,1.6,2006.0,0.77,H
5,Yes,7:08,Yes,7:08,Both,7:08,110381,14.47,67.0,1.49,2003.0,0.83,M
1,Yes,5:06,Yes,5:06,Both,5:06,110382,19.61,54.0,1.15,2003.0,0.82,M
1,Yes,4:05,Yes,4:05,Staff,-,110384,32.8,42.0,1.83,2000.0,1.32,E
1,Yes,4,No,-,Staff,-,110388,48.57,30.0,1.67,2002.0,0.95,E
1,Yes,7:08,Yes,7:08,Staff,-,110401,20.35,84.0,1.29,2004.0,0.65,M
0,Yes,4,No,-,Staff,-,110408,22.6,67.0,1.37,2002.0,0.87,E
1,Yes,4,No,-,Both,K:1:2:4,110410,31.65,50.0,1.19,2000.0,1.94,E
1,Yes,4:05,No,-,Both,K:1:2:3:4:5,110412,19.34,46.0,1.31,2002.0,1.32,E
0,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110416,12.91,145.0,1.13,2000.0,0.65,H
1,Yes,7:08,Yes,7:08,Neither,-,110420,23.04,78.0,1.37,2005.0,0.79,M
1,Yes,4,No,-,Neither,-,110422,28.53,65.0,1.3,2001.0,1.56,E
17,Yes,5:06,Yes,5:06,Staff,-,110425,14.25,72.0,1.57,2011.0,0.93,M
1,Yes,2:03:04,No,-,Staff,-,110428,38.71,41.0,1.32,2004.0,0.88,E
6,No,-,No,-,Staff,-,110432,31.05,32.0,1.45,2001.0,3.59,E
1,Yes,4,No,-,Staff,-,110436,40.55,63.0,1.5,2002.0,1.52,E
1,Yes,K:1:2:3:4,No,-,Staff,-,110444,72.88,23.0,1.53,2001.0,0.67,E
10,Yes,5:06,Yes,6,Staff,-,110450,16.99,58.0,1.16,2007.0,0.98,M
7,Yes,5:06,Yes,5:06,Staff,-,110451,17.7,61.0,1.33,2008.0,0.68,M
-,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110500,,39.0,1.77,,0.84,H
,,,,,,,110LEA,22.49,2519.0,1.38,2003.0,0.88,
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,111302,19.59,95.0,1.06,2000.0,0.77,H
1,Yes,3:04:05,No,-,Staff,-,111304,32.9,29.0,0.91,2006.0,1.02,E
0,Yes,5,No,-,Both,K:1:2:3:4:5,111306,31.69,50.0,1.61,2005.0,1.35,E
1,No,-,No,-,Staff,-,111307,94.19,13.0,3.25,2003.0,1.07,E
0,Yes,5,No,-,Both,K:1:2:3:4:5,111312,26.72,23.0,0.62,2004.0,1.23,E
1,Yes,5,No,-,Both,K:1:2:3:4:5,111332,40.98,18.0,0.55,2002.0,1.25,E
1,Yes,6:07:08,Yes,6:07:08,Both,6:07:08,111356,15.59,93.0,1.45,2007.0,0.65,M
1,Yes,4:05,No,-,Both,3:04:05,111360,34.21,18.0,0.64,2003.0,1.15,E
0,Yes,6,Yes,6,Neither,-,111369,32.96,20.0,2.0,2014.0,0.45,M
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,111700,50.25,15.0,1.25,2000.0,0.81,H
,,,,,,,111LEA,29.25,374.0,1.1,2004.0,0.9,
0,No,-,No,-,Both,K:1:2:3:4:5:6:7:8,11A000,23.02,32.0,1.19,2005.0,3.3,I
5,Yes,7:08,Yes,7:08,Staff,-,11B000,18.58,25.0,1.32,2005.0,2.23,I
-,Yes,6:7:8:9:10:11:12,No,-,Staff,-,11C000,,30.0,0.75,,4.51,A
5,No,-,No,-,Both,6:7:8:9:10:11:12,11D000,3.18,14.0,0.42,2015.0,2.14,T
0,No,-,No,-,Both,4:5:6:7:8,11K000,151.01,6.0,0.6,2006.0,2.55,I
3,Yes,K:1:2:3:4:5,No,-,Neither,-,120304,30.54,27.0,1.5,2000.0,0.49,E
5,Yes,6:7:8:9:10:11:12,No,-,Neither,-,120308,48.35,26.0,1.53,2004.0,0.27,T
-,No,-,No,-,Students,11:12,120310,,,,,1.33,H
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120312,29.48,40.0,1.21,1998.0,0.77,E
1,No,-,No,-,Both,9:10:11:12,120314,9.08,85.0,0.9,2000.0,1.31,H
1,No,-,No,-,Neither,-,120315,18.19,59.0,1.64,2004.0,0.65,M
2,Yes,K:1:2:3:4:5,No,-,Neither,-,120316,25.84,32.0,1.03,2000.0,0.91,E
1,No,-,No,-,Neither,-,120318,10.51,98.0,1.61,1995.0,1.11,H
5,Yes,K:1:2:3:4:5,No,-,Neither,-,120320,19.26,36.0,1.44,2001.0,0.68,E
10,Yes,K:1:2:3:4:5,No,-,Neither,-,120324,28.44,43.0,1.48,2000.0,0.64,E
1,No,-,No,-,Neither,-,120334,13.92,55.0,1.57,1999.0,0.86,M
1,Yes,1:2:3:4:5,No,-,Neither,-,120338,19.28,42.0,1.56,2003.0,0.83,E
2,Yes,K:1:2:3:4:5,Yes,4:05,Neither,-,120340,13.89,36.0,1.09,2003.0,0.61,E
1,Yes,1:2:3:4:5,No,-,Neither,-,120344,31.06,27.0,1.35,2000.0,0.9,E
1,No,-,No,-,Neither,-,120346,16.26,74.0,1.4,2001.0,0.77,H
1,Yes,6:07:08,No,-,Neither,-,120350,17.06,53.0,1.15,1999.0,0.62,M
5,No,-,No,-,Neither,-,120352,34.34,18.0,1.5,1996.0,1.54,A
0,Yes,1:2:3:4:5,No,-,Neither,-,120360,30.11,33.0,1.22,1995.0,1.1,E
1,Yes,3:04:05,No,-,Neither,-,120364,23.0,35.0,1.3,1999.0,0.93,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120368,20.12,46.0,1.15,2000.0,0.74,E
4,No,-,No,-,Both,9:10:11:12,120370,11.83,72.0,1.29,2003.0,1.27,H
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120372,21.48,21.0,1.0,2001.0,0.69,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120374,11.26,43.0,1.13,1996.0,0.63,E
2,Yes,6:07:08,No,-,Neither,-,120376,14.44,55.0,1.22,2002.0,0.49,M
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120380,18.95,40.0,1.25,1996.0,0.77,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,120386,29.83,42.0,1.05,1998.0,0.64,E
4,Yes,6:07:08,No,-,Neither,-,120390,10.7,56.0,1.3,2005.0,0.7,M
,,,,,,,120LEA,17.96,1194.0,1.27,2000.0,0.78,
0,Yes,5:6:7:8,No,-,Neither,-,12A000,12.5,5.0,0.2,2006.0,2.59,I
2,Yes,3:04:05,No,-,Neither,-,130304,13.62,58.0,1.0,2001.0,0.65,E
1,No,-,No,-,Students,9:10:11:12,130307,6.16,93.0,1.06,2005.0,0.67,H
1,No,-,No,-,Neither,-,130308,12.09,52.0,1.33,2003.0,0.68,E
1,Yes,1:2:3:4:5,No,-,Both,K:1:2:3:4:5,130309,19.24,30.0,1.0,2000.0,0.62,E
1,No,-,No,-,Both,9:10:11:12,130310,4.61,101.0,1.07,2000.0,0.61,H
1,Yes,K:1:2:3:4:5,No,-,Neither,-,130311,20.38,38.0,1.19,2006.0,0.55,E
1,Yes,3:04:05,No,-,Both,K:1:2:3:4:5,130312,17.43,57.0,0.97,2001.0,0.9,E
2,Yes,6:07:08,No,-,Both,6:07:08,130313,11.99,81.0,1.33,2004.0,0.57,M
0,Yes,9:10:11:12,No,-,Both,9:10:11:12,130314,9.13,90.0,1.18,1991.0,0.6,H
3,Yes,6:07:08,No,-,Both,6:07:08,130315,19.32,61.0,1.2,2004.0,0.74,M
1,No,-,No,-,Neither,-,130316,8.51,124.0,1.59,2002.0,0.65,H
-,Yes,6:7:8:9:10:11:12,No,-,Neither,-,130317,,19.0,1.46,,0.45,T
5,No,-,No,-,Neither,-,130318,9.6,79.0,1.2,2005.0,0.71,M
1,Yes,3:04:05,No,-,Both,K:1:2:3:4:5,130319,13.83,60.0,0.83,2003.0,0.83,E
2,No,-,No,-,Both,6:07:08,130320,11.16,72.0,0.96,2006.0,0.71,M
2,Yes,3:04:05,No,-,Students,3:04:05,130321,12.72,60.0,1.09,2005.0,0.95,E
1,Yes,K:1:2:3:4:5,No,-,Students,K:1:2:3:4:5,130322,16.83,44.0,1.52,1998.0,0.7,E
1,Yes,6:07:08,No,-,Students,6:07:08,130323,19.08,61.0,1.39,2009.0,0.72,M
0,No,-,No,-,Students,9:10:11:12,130324,4.44,63.0,1.24,2002.0,0.66,H
3,No,-,No,-,Students,K:1:2:3:4:5,130325,13.61,38.0,0.69,2005.0,0.75,E
1,No,-,No,-,Students,9:10:11:12,130326,3.82,186.0,2.24,1996.0,0.62,H
10,No,-,No,-,Students,6:07:08,130327,7.68,81.0,1.25,2005.0,0.67,M
2,Yes,K:1:2:3:4:5,No,-,Neither,-,130328,26.7,15.0,0.75,2003.0,0.55,E
1,Yes,3:04:05,No,-,Staff,-,130329,20.27,58.0,1.0,1999.0,0.71,E
2,No,-,No,-,Neither,-,130330,21.73,21.0,0.75,1996.0,0.68,E
2,Yes,3:04:05,No,-,Neither,-,130331,13.82,45.0,0.8,2003.0,0.85,E
0,No,-,No,-,Both,9:10:11:12,130332,5.75,100.0,1.19,2003.0,0.6,H
100,No,-,No,-,Both,9:10:11:12,130333,2.17,7.0,0.88,2005.0,0.77,T
2,No,-,No,-,Staff,-,130336,16.8,59.0,1.07,2002.0,0.71,E
1,Yes,3:04:05,No,-,Neither,-,130337,12.18,60.0,1.28,2007.0,0.7,E
1,Yes,2:3:4:5,No,-,Both,K:1:2:3:4:5,130338,14.52,56.0,0.86,1997.0,0.63,E
3,Yes,4:05,No,-,Both,K:1:2:3:4:5,130340,18.17,65.0,1.08,1999.0,0.74,E
1,Yes,2:3:4:5,No,-,Neither,-,130342,17.79,54.0,0.96,2001.0,0.88,E
1,Yes,1:2:3:4:5,No,-,Neither,-,130344,21.91,47.0,0.98,2000.0,0.71,E
2,Yes,2:3:4:5,No,-,Neither,-,130345,6.95,65.0,1.03,2006.0,0.91,E
1,No,-,No,-,Students,6:07:08,130346,11.71,78.0,1.05,2007.0,0.71,M
-,Yes,9:10,Yes,9:10,Both,9:10,130349,,11.0,1.38,,0.94,H
-,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Both,9:10:11:12:13,130350,,15.0,1.88,,0.87,H
0,No,-,No,-,Neither,-,130355,12.14,90.0,1.29,2009.0,0.65,M
,,,,,,,130LEA,11.78,2394.0,1.15,2002.0,0.69,
4,No,-,No,-,Students,9:10:11:12,132304,9.46,126.0,1.16,2004.0,0.58,H
0,No,-,No,-,Staff,-,132308,16.52,42.0,1.24,1998.0,1.32,E
1,No,-,No,-,Staff,-,132312,19.51,34.0,1.13,2003.0,1.19,E
6,Yes,3:04:05,No,-,Staff,-,132314,25.56,60.0,1.2,2008.0,0.91,E
1,Yes,4:05,No,-,Staff,-,132328,17.58,46.0,1.39,2000.0,0.93,E
1,No,-,No,-,Neither,-,132329,,70.0,1.17,2002.0,,
