agency_code,pct_AIG_ELP,pct_ALL_ELP,pct_AM7_ELP,pct_AS7_ELP,pct_BL7_ELP,pct_EDS_ELP,pct_ELS_ELP,pct_FCS_ELP,pct_FEM_ELP,pct_HI7_ELP,pct_HMS_ELP,pct_MALE_ELP,pct_MIL_ELP,pct_MU7_ELP,pct_SWD_ELP,pct_WH7_ELP
820340,,58.6,,,,56.1,58.6,,64.9,58.6,,54.0,,,35.3,
820346,,58.3,,,,49.0,58.3,,69.8,57.8,,48.4,,,29.4,
820347,,21.2,,,,25.0,21.2,,20.0,21.2,,22.2,,,27.3,
820348,,30.8,,,,30.8,30.8,,33.3,31.6,,29.6,,,7.1,
820349,,7.4,,,,,7.4,,20.0,8.0,,5.0,,,,
820350,,51.9,,,,43.8,51.9,,60.0,51.3,,45.5,,,,
820352,,7.7,,,,5.0,7.7,,20.0,8.3,,5.0,,,,
820354,,10.3,,,,10.0,10.3,,8.3,10.8,,11.1,,,5.0,
820364,,43.5,,,,,43.5,,46.2,43.5,,40.0,,,,
820370,,33.3,,,,33.3,33.3,,40.0,33.3,,27.8,,,,
820372,,23.1,,,,27.3,23.1,,,25.0,,23.5,,,,
820376,,52.5,,,,41.7,52.5,,62.5,51.9,,45.8,,,,
820384,,55.8,,,,61.8,55.8,,63.2,56.0,,49.4,,,,
820385,,57.9,,,,57.1,57.9,,72.0,57.4,,46.9,,,,
820388,,18.0,,,,15.8,18.0,,23.8,17.0,,13.8,,,,
820LEA,,44.8,,,,44.1,44.8,,53.4,44.9,,38.5,,,26.2,33.3
821304,,41.8,,,,31.4,41.8,,54.8,38.7,,30.6,,,,
821308,,40.7,,,,41.2,40.7,,50.0,40.4,,33.3,,,,
821316,,68.4,,,,66.7,68.4,,76.9,69.7,,64.0,,,,
821320,,13.6,,,,6.7,13.6,,16.7,12.8,,11.5,,,5.0,
821330,,76.1,,,,88.2,76.1,,85.7,75.0,,71.9,,,,
821LEA,,47.0,,,54.5,44.4,47.0,,54.0,46.1,,42.3,,,18.2,
830343,,18.2,,,,,18.2,,,,,,,,,
830LEA,,21.7,,,,,21.7,,36.4,12.5,,8.3,,,,
840310,,53.6,,,,57.1,53.6,,50.0,63.6,,56.3,,,,
840320,,59.1,,,,61.9,59.1,,61.5,61.1,,,,,,
840336,,30.8,,,,36.4,30.8,,,33.3,,,,,,
840350,,5.0,,,,5.0,5.0,,,5.0,,,,,,
840360,,52.6,,,,55.9,52.6,,44.4,54.1,,60.0,,,,
840368,,35.3,,,,33.3,35.3,,,35.3,,27.3,,,,
840LEA,,42.8,,36.7,,43.0,42.8,,40.0,44.2,,44.7,,,29.0,
850342,,70.0,,,,,70.0,,,,,,,,,
850LEA,,43.8,,,,39.5,43.8,,44.4,42.9,,42.9,,,13.3,
860302,,64.9,,,,63.9,64.9,,64.7,63.9,,65.0,,,,
860306,,23.3,,,,24.1,23.3,,,23.3,,18.2,,,7.7,
860308,,45.5,,,,42.9,45.5,,60.0,44.4,,33.3,,,,
860312,,47.3,,,,47.9,47.3,,44.4,48.6,,48.9,,,25.0,
860316,,36.4,,,,40.0,36.4,,,36.4,,,,,,
860320,,61.9,,,,54.5,61.9,,,60.0,,53.8,,,,
860324,,66.7,,,,66.7,66.7,,56.5,67.4,,77.3,,,,
860326,,61.5,,,,61.5,61.5,,,58.3,,,,,,
860330,,31.3,,,,23.1,31.3,,,31.3,,30.0,,,,
860332,,30.8,,,,30.8,30.8,,,30.8,,,,,,
