agency_code,crime,short_term,long_term,expulsion
090328,0.0,14.17,0.0,0.0
090330,0.31,22.27,0.46,0.0
090332,0.0,24.02,0.23,0.0
090333,0.0,9.55,0.0,0.0
090352,0.0,22.37,0.0,0.0
090365,0.0,5.74,0.0,0.0
090368,1.21,10.08,0.54,0.0
090LEA,0.12,11.36,0.0,0.0
090LEA,0.79,15.77,0.5,0.0
090LEA,0.0,14.17,0.0,0.0
090LEA,0.24,22.7,0.24,0.0
090LEA,,,,
09A000,0.0,0.0,0.0,0.0
100302,0.0,2.01,0.0,0.0
100304,0.0,11.63,0.0,0.0
100307,0.0,0.0,0.0,0.0
100308,3.61,117.47,0.0,0.0
100309,0.41,10.43,0.0,0.0
100310,0.0,10.45,0.0,0.0
100316,0.0,11.37,0.0,0.0
100320,0.65,8.84,0.0,0.0
100326,0.56,27.07,0.0,0.0
100332,0.16,16.29,0.0,0.0
100334,0.27,16.41,0.0,0.0
100335,0.82,14.23,0.0,0.0
100336,0.0,19.1,0.0,0.0
100338,0.16,3.85,0.0,0.0
100339,0.0,16.33,0.0,0.0
100340,0.17,11.58,0.0,0.0
100342,0.0,7.64,0.0,0.0
100344,0.0,8.05,0.0,0.0
100348,0.66,12.68,0.0,0.0
100LEA,0.11,9.74,0.0,0.0
100LEA,0.46,16.6,0.0,0.0
100LEA,0.0,8.05,0.0,0.0
100LEA,0.34,13.16,0.0,0.0
100LEA,3.61,117.47,0.0,0.0
10A000,0.0,1.69,0.0,0.0
10B000,0.0,1.59,0.0,0.0
110303,4.7,189.93,0.0,0.0
110304,1.9,13.68,0.0,0.0
110306,0.78,17.35,0.0,0.0
110308,0.0,9.66,0.0,0.0
110318,0.0,1.37,0.0,0.0
110320,0.0,2.97,0.0,0.0
110322,1.1,1.83,0.0,0.0
110323,3.51,0.0,1.75,0.0
110324,0.0,9.35,0.0,0.0
110326,0.35,7.47,0.0,0.0
110332,0.0,1.43,0.0,0.0
110336,0.65,13.22,0.0,0.0
110338,1.88,17.33,0.0,0.0
110340,2.52,31.86,0.16,0.0
110342,0.59,41.91,0.0,0.0
110348,0.0,3.89,0.0,0.0
110352,0.83,16.24,0.0,0.0
110356,0.14,1.45,0.0,0.0
110366,0.0,0.94,0.0,0.0
110368,0.0,3.1,0.0,0.0
110370,0.0,1.57,0.0,0.0
110372,0.68,22.95,0.0,0.0
110376,0.0,2.17,0.0,0.0
110379,0.0,1.6,0.0,0.0
110380,1.02,14.01,0.0,0.0
110381,0.53,20.04,0.0,0.0
