agency_code,pct_met_ACT WorkKeys_PART,pct_met_Biology_PART,pct_met_English II_PART,pct_met_High School Math_PART,pct_met_Math Grades 3-8_PART,pct_met_Reading Grades 3-8_PART,pct_met_Science Grades 5&8_PART,pct_met_The ACT_PART,pct_met_Total Targets_PART
100320,,,,,100.0,100.0,100.0,,100.0
100326,100.0,100.0,100.0,100.0,,,,100.0,100.0
100332,,,,,100.0,100.0,100.0,,100.0
100334,100.0,100.0,100.0,100.0,,,,66.7,93.8
100335,,,,,100.0,100.0,100.0,,100.0
100336,,,,,100.0,100.0,100.0,,100.0
100338,,,,,100.0,100.0,100.0,,100.0
100339,,,,,100.0,100.0,100.0,,100.0
100340,,,,,100.0,100.0,100.0,,100.0
100342,,,,,100.0,100.0,100.0,,100.0
100344,,,,,100.0,100.0,100.0,,100.0
100348,100.0,100.0,100.0,100.0,,,,100.0,100.0
10A000,,,,,100.0,100.0,100.0,,100.0
10B000,,,,,100.0,100.0,,,100.0
110303,,,,,,,,100.0,100.0
110304,100.0,100.0,100.0,100.0,,,,100.0,100.0
110306,,,,,100.0,100.0,100.0,,100.0
110308,,,,,100.0,100.0,,,100.0
110318,,,,,100.0,100.0,100.0,,100.0
110320,,,,,100.0,100.0,,,100.0
110322,,100.0,100.0,100.0,,,,100.0,100.0
110323,,,,,,,,0.0,0.0
110324,,,,,100.0,100.0,,,100.0
110326,,,,,100.0,100.0,100.0,,100.0
110332,,,,,100.0,100.0,100.0,,100.0
110336,100.0,100.0,100.0,100.0,,,,100.0,100.0
110338,,,,,100.0,100.0,100.0,,100.0
110340,100.0,80.0,100.0,100.0,,,,100.0,95.8
110342,,,,,100.0,100.0,100.0,,100.0
110348,,,,,100.0,100.0,,,100.0
110352,100.0,100.0,100.0,100.0,,,,100.0,100.0
110356,,,,,100.0,100.0,100.0,,100.0
110366,,,,,100.0,100.0,,,100.0
110368,,,,,100.0,100.0,100.0,,100.0
110370,,,,,100.0,100.0,,,100.0
110372,,,,,100.0,100.0,,,100.0
110376,,,,,100.0,100.0,,,100.0
110379,,,,,100.0,100.0,,,100.0
110380,100.0,100.0,100.0,100.0,,,,100.0,100.0
110381,,,,,100.0,100.0,100.0,,100.0
110382,,,,,100.0,100.0,100.0,,100.0
110384,,,,,100.0,100.0,100.0,,100.0
110388,,,,,100.0,100.0,,,100.0
110401,,,,,100.0,100.0,100.0,,100.0
110408,,,,,100.0,100.0,,,100.0
110410,,,,,100.0,100.0,,,100.0
110412,,,,,100.0,100.0,100.0,,100.0
110416,100.0,100.0,100.0,100.0,,,,100.0,100.0
110420,,,,,100.0,100.0,100.0,,100.0
110422,,,,,100.0,100.0,,,100.0
110425,,,,,100.0,100.0,100.0,,100.0
110428,,,,,100.0,100.0,,,100.0
110436,,,,,100.0,100.0,,,100.0
110444,,,,,100.0,100.0,,,100.0
110450,,,,,100.0,100.0,100.0,,100.0
110451,,,,,100.0,100.0,100.0,,100.0
110500,100.0,100.0,100.0,100.0,,,,100.0,100.0
111302,100.0,100.0,100.0,100.0,,,,60.0,90.0
111304,,,,,100.0,100.0,100.0,,100.0
111306,,,,,100.0,100.0,100.0,,100.0
111312,,,,,100.0,100.0,100.0,,100.0
111332,,,,,100.0,100.0,100.0,,100.0
111356,,,,,100.0,100.0,100.0,,100.0
111360,,,,,100.0,100.0,100.0,,100.0
111369,,,,,100.0,100.0,,,100.0
111700,,100.0,100.0,100.0,,,,100.0,100.0
11A000,,,,,100.0,100.0,100.0,,100.0
11B000,,,,,100.0,100.0,100.0,,100.0
