agency_code,pct_fully_licensed,pct_lateral_entry
111360,1.0,0.0
111369,1.0,0.0
111700,1.0,0.0
111LEA,1.0,0.013
111LEA,1.0,0.02
111LEA,1.0,0.014
111LEA,,
11A000,0.938,0.0
11B000,1.0,0.0
11C000,0.8909999999999999,0.016
11D000,0.907,0.047
11K000,1.0,0.0
120304,1.0,0.061
120308,1.0,0.0
120310,1.0,0.0
120312,1.0,0.0
120314,1.0,0.102
120315,1.0,0.026
120316,1.0,0.037000000000000005
120318,1.0,0.048
120320,1.0,0.0
120324,1.0,0.0
120334,1.0,0.0
120338,1.0,0.0
120340,1.0,0.0
120344,1.0,0.0
120346,1.0,0.067
120350,1.0,0.0
120352,1.0,0.0
120360,1.0,0.0
120364,1.0,0.0
120368,1.0,0.036000000000000004
120370,1.0,0.038
120372,1.0,0.0
120374,1.0,0.0
120376,1.0,0.0
120380,1.0,0.0
120386,1.0,0.0
120390,1.0,0.097
120LEA,1.0,0.0
120LEA,1.0,0.008
120LEA,1.0,0.062
120LEA,1.0,0.025
120LEA,1.0,0.0
12A000,0.7390000000000001,0.043
130304,1.0,0.0
130307,1.0,0.069
130308,1.0,0.0
130309,1.0,0.0
130310,1.0,0.111
130311,1.0,0.0
130312,1.0,0.017
130313,0.985,0.077
130314,0.988,0.112
130315,1.0,0.076
130316,1.0,0.096
130317,1.0,0.081
130318,1.0,0.014
130319,1.0,0.0
130320,1.0,0.0
130321,1.0,0.0
130322,1.0,0.0
130323,1.0,0.049
130324,0.982,0.036000000000000004
130325,1.0,0.0
130326,1.0,0.012
130327,1.0,0.057
130328,1.0,0.0
130329,0.982,0.0
130330,1.0,0.0
130331,1.0,0.0
130332,1.0,0.023
130333,1.0,0.0
130336,1.0,0.0
130337,1.0,0.024
130338,1.0,0.0
130340,1.0,0.0
130342,0.981,0.038
130344,1.0,0.0
130345,1.0,0.034
130346,1.0,0.08
130349,1.0,0.0
130350,1.0,0.0
130355,1.0,0.05
130LEA,0.998,0.006999999999999999
130LEA,0.997,0.066
130LEA,0.998,0.048
130LEA,1.0,0.049
132304,1.0,0.221
132308,1.0,0.0
132312,1.0,0.0
132314,1.0,0.0
132328,1.0,0.0
132330,1.0,0.051
132332,1.0,0.0
132336,0.966,0.0
132LEA,0.995,0.0
132LEA,1.0,0.221
132LEA,1.0,0.051
13A000,0.825,0.018000000000000002
13B000,0.845,0.141
13C000,0.464,0.0
13D000,0.919,0.21600000000000005
140304,1.0,0.0
140305,1.0,0.0
140306,1.0,0.0
140307,1.0,0.069
140308,1.0,0.043
140309,1.0,0.056
140312,1.0,0.0
140316,1.0,0.0
140324,1.0,0.058
140332,1.0,0.0
140336,1.0,0.027000000000000003
140340,1.0,0.0
140344,1.0,0.0
140348,1.0,0.016
140352,1.0,0.0
140356,1.0,0.0
140360,1.0,0.0
140368,1.0,0.028
140372,1.0,0.0
140376,1.0,0.0
140384,1.0,0.0
140386,1.0,0.029
140388,1.0,0.035
140390,1.0,0.062
140392,1.0,0.041
140396,1.0,0.0
140LEA,1.0,0.012
140LEA,1.0,0.034
140LEA,1.0,0.015
140LEA,1.0,0.013
140LEA,1.0,0.0
150304,1.0,0.054000000000000006
150308,1.0,0.0
150310,1.0,0.0
150312,1.0,0.0
150350,1.0,0.0
150LEA,1.0,0.0
150LEA,1.0,0.043
150LEA,1.0,0.0
160304,1.0,0.0
160306,1.0,0.0
160308,1.0,0.0
160309,1.0,0.0
160310,1.0,0.049
160311,1.0,0.0
160313,1.0,0.023
160314,1.0,0.053
160316,1.0,0.0
160317,1.0,0.0
160318,1.0,0.027000000000000003
160322,1.0,0.0
160324,1.0,0.0
160326,1.0,0.0
160332,1.0,0.0
160344,1.0,0.013
160352,1.0,0.0
160LEA,1.0,0.0
160LEA,1.0,0.0
160LEA,1.0,0.028
160LEA,1.0,0.0
160LEA,1.0,0.015
160LEA,,
16B000,1.0,0.0
170316,1.0,0.228
170334,1.0,0.0
170338,1.0,0.108
170339,1.0,0.118
170342,1.0,0.05
170344,1.0,0.067
170LEA,1.0,0.058
170LEA,1.0,0.228
170LEA,1.0,0.108
180302,1.0,0.053
180304,1.0,0.0
180308,1.0,0.02
180312,1.0,0.0
180316,0.974,0.013
180320,0.981,0.112
180323,1.0,0.0
180324,1.0,0.032
180325,1.0,0.071
180326,1.0,0.0
180332,1.0,0.0
180336,1.0,0.0
180340,1.0,0.052000000000000005
180342,1.0,0.0
180343,1.0,0.0
180344,1.0,0.0
180346,1.0,0.036000000000000004
180348,1.0,0.0
180352,1.0,0.0
180356,1.0,0.023
180360,1.0,0.0
180364,1.0,0.107
180368,1.0,0.0
180372,1.0,0.0
180376,0.986,0.014
180379,1.0,0.0
180380,1.0,0.015
180388,1.0,0.0
180LEA,1.0,0.0
180LEA,0.998,0.006
180LEA,0.993,0.04
180LEA,1.0,0.041
180LEA,,
181312,1.0,0.0
181316,1.0,0.094
181318,1.0,0.195
181322,1.0,0.17800000000000002
181326,1.0,0.036000000000000004
181332,1.0,0.0
181336,1.0,0.0
181342,1.0,0.039
181344,1.0,0.0
181LEA,1.0,0.016
181LEA,1.0,0.17800000000000002
181LEA,1.0,0.045
181LEA,1.0,0.195
182304,1.0,0.095
182316,1.0,0.02
182321,1.0,0.028
182322,1.0,0.034
182324,1.0,0.0
182328,1.0,0.0
182700,1.0,0.1
182LEA,1.0,0.095
182LEA,1.0,0.011
182LEA,1.0,0.033
182LEA,1.0,0.028
190304,1.0,0.03
190308,1.0,0.0
190310,1.0,0.118
190312,1.0,0.14300000000000002
190316,1.0,0.117
190328,1.0,0.077
190332,1.0,0.027000000000000003
