agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
130331,N,N,N,N
130332,N,N,N,N
130333,N,Y,N,N
130336,N,N,Y,Y
130337,N,N,Y,Y
130338,N,N,Y,Y
130340,N,N,Y,Y
130342,N,N,Y,Y
130344,N,N,Y,Y
130345,N,N,Y,N
130346,N,N,N,N
130349,N,N,N,N
130350,N,N,N,N
130355,N,N,Y,Y
132304,N,N,Y,Y
132308,N,N,Y,Y
132312,N,N,Y,Y
132314,N,N,Y,Y
132328,N,N,Y,N
132330,N,N,Y,Y
132332,N,N,Y,Y
132336,N,N,Y,Y
13A000,N,N,Y,Y
13B000,N,N,Y,Y
13C000,N,N,Y,Y
13D000,N,N,Y,Y
140304,N,N,Y,Y
140305,N,N,N,N
140306,Y,N,N,N
140307,N,N,Y,Y
140308,N,N,Y,N
140309,N,N,N,N
140312,N,N,Y,Y
140316,N,N,N,N
140324,N,N,Y,Y
140332,N,N,Y,Y
140336,N,N,Y,Y
140340,N,N,N,N
140344,N,N,Y,Y
140348,N,N,Y,Y
140352,N,N,N,N
140356,N,N,Y,Y
140360,N,N,Y,N
140368,N,N,Y,Y
140372,N,N,N,N
140376,N,N,Y,Y
140384,N,N,Y,Y
140386,N,N,N,N
140388,N,N,Y,Y
140390,N,N,Y,N
140392,N,N,Y,Y
140396,N,N,Y,Y
150304,N,N,Y,Y
150308,N,N,N,N
150310,N,N,N,N
150312,N,N,Y,N
150350,N,N,N,N
160304,N,N,N,N
160306,N,N,Y,Y
160308,N,N,Y,Y
160309,Y,N,N,N
160310,N,N,Y,Y
160311,N,N,Y,Y
160313,N,N,Y,Y
160314,N,N,N,N
160316,N,N,N,N
160317,N,N,Y,Y
160318,N,N,Y,Y
160322,N,N,Y,Y
160324,N,N,Y,N
160326,N,N,Y,Y
160332,N,N,Y,Y
160344,N,N,N,N
160352,N,N,N,N
16B000,N,N,N,N
170316,N,N,Y,Y
170334,N,N,Y,N
170338,N,N,Y,Y
170339,N,N,Y,Y
170342,N,N,Y,Y
170344,N,N,Y,Y
180302,N,N,Y,Y
180304,N,N,N,N
180308,N,N,Y,Y
180312,N,N,Y,Y
180316,N,N,Y,Y
180320,N,N,Y,Y
180323,N,Y,N,N
180324,N,N,Y,Y
180325,N,N,N,N
180326,N,N,Y,Y
180332,N,N,Y,N
180336,N,N,N,N
180340,N,N,Y,Y
180342,N,N,Y,Y
180343,N,N,Y,Y
180344,N,N,Y,N
180346,N,N,Y,Y
180348,N,N,N,N
180352,N,N,Y,Y
180356,N,N,Y,Y
