agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only
410547,0,77,137,18.0
410556,0,78,71,5.0
410562,0,72,220,6.0
410569,0,22,25,0.0
410589,0,0,52,0.0
410595,0,28,130,3.0
41F000,0,0,47,0.0
41K000,0,0,23,0.0
420346,0,5,13,1.0
420358,0,6,15,0.0
421316,2,40,67,8.0
422315,0,2,8,0.0
430346,2,2,4,5.0
430371,0,62,149,18.0
430378,0,3,6,2.0
430384,0,63,145,17.0
440326,0,1,3,8.0
440346,0,0,20,4.0
440378,0,112,55,12.0
440390,0,89,66,16.0
450316,1,35,87,14.0
450334,1,40,124,7.0
450341,4,49,105,13.0
450343,5,3,3,4.0
450352,5,62,122,14.0
450354,0,0,40,0.0
460320,0,30,35,5.0
460340,0,10,4,0.0
470312,0,67,134,2.0
470443,0,0,2,0.0
480316,0,0,4,0.0
480318,0,1,7,1.0
490320,0,0,1,0.0
490335,0,79,277,18.0
490346,0,75,97,18.0
490350,2,0,1,4.0
490354,1,33,66,2.0
490355,0,1,55,0.0
490362,0,43,94,13.0
490380,0,50,48,13.0
491312,0,66,197,22.0
49E000,0,0,114,0.0
500302,0,2,14,2.0
500323,0,0,24,1.0
500340,1,48,91,20.0
510324,1,123,123,47.0
510327,7,88,142,16.0
510333,0,162,125,25.0
510357,1,4,29,2.0
510368,1,54,31,12.0
510376,1,51,25,7.0
510399,2,18,74,12.0
510402,0,68,67,31.0
510406,1,94,73,7.0
51A000,0,0,29,2.0
520320,1,37,4,5.0
530335,0,6,27,0.0
530336,0,92,102,26.0
530343,0,63,59,6.0
540315,1,8,45,0.0
540317,0,0,31,0.0
540324,1,37,59,1.0
540336,11,51,38,9.0
550320,1,0,1,2.0
550332,0,0,2,1.0
550344,5,61,100,11.0
550368,1,2,3,5.0
55A000,0,0,130,0.0
560324,0,4,14,2.0
560332,0,0,4,0.0
560350,0,0,1,0.0
570317,0,0,2,2.0
570318,0,56,20,4.0
580344,0,18,11,1.0
580368,0,49,30,5.0
58B000,0,0,25,4.0
590328,0,0,0,1.0
590330,9,86,93,23.0
590393,0,3,0,2.0
600302,0,63,258,4.0
600312,0,78,319,14.0
600334,0,16,72,0.0
600341,0,1,6,0.0
600361,0,21,73,6.0
600377,0,10,53,16.0
600386,0,10,3,0.0
600397,1,11,69,4.0
600404,1,6,42,1.0
600405,0,6,61,5.0
600415,0,61,81,11.0
600426,0,59,223,11.0
600443,1,5,88,0.0
600445,0,76,253,8.0
600457,0,14,64,1.0
600466,0,15,221,8.0
600480,0,28,157,10.0
600482,0,0,43,2.0
600496,0,151,53,0.0
600498,0,3,4,1.0
600499,0,0,16,3.0
600508,0,53,177,5.0
600535,0,64,257,12.0
600576,0,6,45,2.0
600579,0,8,72,5.0
600592,0,38,75,1.0
600594,0,1,2,0.0
600693,0,11,37,2.0
600694,0,28,36,1.0
600695,0,11,16,0.0
600696,0,13,12,1.0
600697,0,18,30,1.0
60D000,0,0,158,0.0
60G000,0,0,38,11.0
60V000,0,0,10,0.0
610332,0,5,14,0.0
610334,2,76,18,0.0
620310,0,1,1,0.0
620316,2,28,55,11.0
620340,0,24,41,8.0
630330,0,0,0,3.0
630332,3,61,26,9.0
630336,1,75,260,23.0
630360,0,65,129,23.0
640346,3,42,58,11.0
640347,0,4,42,0.0
640350,1,76,59,7.0
640361,2,31,83,9.0
640364,1,75,64,17.0
64A000,0,0,34,0.0
650326,4,62,251,26.0
650327,0,72,186,21.0
650340,0,0,2,0.0
650342,1,57,291,24.0
650352,0,32,169,23.0
650355,0,1,0,1.0
650394,3,24,19,0.0
660336,0,14,21,1.0
66A000,0,0,12,34.0
670320,3,69,74,19.0
670324,0,106,82,4.0
670333,0,90,94,20.0
670340,0,92,49,7.0
670344,0,49,45,6.0
670352,4,97,31,7.0
670364,1,56,74,11.0
680310,0,71,102,5.0
680332,2,59,157,7.0
680335,0,0,0,2.0
681305,0,17,101,3.0
681308,0,32,168,7.0
681314,0,49,132,7.0
681338,0,0,1,2.0
690320,0,28,17,20.0
69A000,0,0,7,7.0
700317,0,50,69,5.0
700319,0,56,50,2.0
710321,0,43,50,6.0
710326,0,32,29,14.0
710327,0,0,8,1.0
710342,1,109,141,12.0
720316,0,26,23,5.0
730352,2,8,2,2.0
73B000,0,1,78,0.0
740309,13,43,37,4.0
740333,7,153,99,21.0
740344,1,42,22,8.0
740366,3,57,106,10.0
740374,0,49,43,5.0
740388,0,137,91,16.0
750318,1,64,40,12.0
760318,0,2,1,4.0
760339,0,4,1,1.0
760348,0,89,40,21.0
760354,0,2,67,5.0
760358,1,96,58,8.0
760380,0,2,1,1.0
760388,0,70,67,6.0
761304,2,76,128,5.0
76A000,0,0,68,17.0
770342,0,0,0,2.0
770348,0,121,110,11.0
780325,3,63,23,5.0
780342,1,107,124,11.0
780385,0,22,0,0.0
780391,0,42,37,15.0
780401,0,69,21,8.0
780402,0,16,30,12.0
780420,0,71,99,32.0
790314,0,49,65,2.0
790354,0,44,67,9.0
