agency_code,avg_size_00_SAR,avg_size_01_SAR,avg_size_02_SAR,avg_size_03_SAR,avg_size_04_SAR,avg_size_05_SAR,avg_size_06_SAR,avg_size_07_SAR,avg_size_08_SAR,avg_size_Biology_SAR,avg_size_English II_SAR,avg_size_Math I_SAR
070340,15.0,17.0,12.0,22.0,10.0,19.0,,,15.0,,,
070342,,,,,,,,,,11.0,18.0,15.0
070LEA,16.333333333333332,17.0,17.0,17.666666666666668,17.666666666666668,19.5,21.666666666666668,21.0,20.333333333333332,11.666666666666666,12.666666666666666,20.0
07A000,,,,,,,,,,9.0,6.0,24.0
080311,,,,,,,,,,13.0,14.0,15.0
080312,,,,,,,,,,16.0,16.0,17.0
080314,,,,,,,25.0,24.0,27.0,,,28.0
080348,25.0,19.0,21.0,23.0,,30.0,,,,,,
080356,22.0,20.0,16.0,14.0,18.0,16.0,,,,,,
080360,22.0,17.0,14.0,24.0,15.0,18.0,,,,,,
080362,24.0,20.0,20.0,22.0,22.0,23.0,,,,,,
080LEA,23.0,19.0,18.0,21.0,18.0,22.0,25.0,24.0,27.0,15.0,15.0,21.0
090304,23.0,23.0,21.0,39.0,,,,,,,,
090315,,,,,,27.0,22.0,23.0,21.0,,,
090317,19.0,,20.0,15.0,15.0,,,,,,,
090318,17.0,15.0,17.0,18.0,15.0,,,,,,,
090320,,,,,,,21.0,23.0,16.0,,,19.0
090324,17.0,15.0,17.0,25.0,22.0,,,,,,,
090328,18.0,,16.0,18.0,13.0,15.0,,,,,,
090330,,,,,,,,,,12.0,12.0,19.0
090332,,,,,,19.0,21.0,21.0,21.0,,,
090333,21.0,16.0,13.0,19.0,17.0,,,,,,,
090352,13.0,20.0,20.0,18.0,15.0,,,,,,,
090365,,,,,,23.0,28.0,24.0,24.0,,,5.0
090368,,,,,,,,,,17.0,18.0,20.0
090LEA,18.0,18.0,17.333333333333332,20.666666666666668,15.333333333333334,19.666666666666668,23.0,23.0,21.0,14.5,15.0,16.0
09A000,,,,,,,,,,20.0,16.0,11.0
100302,16.0,16.0,20.0,18.0,24.0,21.0,,,,,,
100304,17.0,15.0,11.0,15.0,27.0,19.0,,,,,,
100307,,,,,,,,,,16.0,23.0,17.0
100308,,,,,,,,,11.0,9.0,13.0,8.0
100309,,,,,,,20.0,20.0,19.0,,,12.0
100310,18.0,16.0,,10.0,13.0,22.0,,,,,,
100316,,,,,,,24.0,24.0,19.0,,,14.0
100320,16.0,14.0,19.0,16.0,25.0,27.0,,,,,,
100326,,,,,,,,,,21.0,18.0,17.0
100332,,,,,,,21.0,23.0,22.0,,,16.0
100334,,,,,,,,,,20.0,16.0,14.0
100335,,,,,,,29.0,23.0,25.0,,,34.0
100336,20.0,16.0,19.0,21.0,21.0,20.0,,,,,,
100338,15.0,12.0,14.0,16.0,18.0,19.0,,,,,,
100339,19.0,22.0,16.0,16.0,16.0,21.0,,,,,,
100340,16.0,16.0,14.0,17.0,19.0,24.0,,,,,,
100342,16.0,13.0,15.0,16.0,19.0,23.0,,,,,,
100344,12.0,16.0,14.0,14.0,20.0,28.0,23.0,18.0,16.0,,,10.0
100348,,,,,,,,,,20.0,20.0,17.0
100LEA,15.333333333333334,16.0,15.333333333333334,15.333333333333334,20.0,24.0,23.333333333333332,21.0,16.75,15.333333333333334,16.666666666666668,13.8
10A000,,,,,,,,,,,,20.0
110303,,,,,,,,,,6.0,8.0,8.0
110304,,,,,,,,,,20.0,23.0,22.0
110306,,,,,,,19.0,20.0,20.0,,,20.0
110308,15.0,16.0,16.0,14.0,16.0,,,,,,,
110318,,,,,21.0,26.0,,,,,,
110320,19.0,14.0,18.0,16.0,,,,,,,,
110322,,,,,,,,,,16.0,19.0,21.0
110324,21.0,18.0,17.0,19.0,24.0,,,,,,,
110326,,,,,,,19.0,27.0,24.0,,,27.0
110332,18.0,20.0,14.0,19.0,27.0,20.0,,,,,,
110336,,,,,,,,,,25.0,21.0,21.0
110338,,,,,,,19.0,20.0,18.0,,,25.0
110340,,,,,,,,,,18.0,19.0,19.0
110342,,,,,,,,20.0,19.0,,,26.0
110348,17.0,20.0,18.0,16.0,21.0,,,,,,,
110352,,,,,,,,,,20.0,20.0,21.0
110356,22.0,18.0,21.0,20.0,26.0,26.0,,,,,,
110366,20.0,18.0,18.0,21.0,26.0,,,,,,,
110368,20.0,22.0,17.0,18.0,23.0,20.0,,,,,,
110370,20.0,21.0,18.0,18.0,21.0,,,,,,,
110372,18.0,12.0,18.0,18.0,15.0,,,,,,,
110376,15.0,16.0,18.0,17.0,19.0,,,,,,,
110379,17.0,19.0,16.0,21.0,21.0,,,,,,,
110380,,,,,,,,,,23.0,20.0,20.0
110381,,,,,,,,24.0,21.0,,,24.0
110382,,,,,,23.0,28.0,,,,,
110384,20.0,18.0,15.0,18.0,20.0,22.0,,,,,,
110388,19.0,10.0,17.0,14.0,19.0,,,,,,,
110401,,,,,,,,19.0,19.0,,,25.0
110408,19.0,17.0,17.0,17.0,22.0,,,,,,,
110410,20.0,21.0,17.0,16.0,20.0,,,,,,,
110412,20.0,18.0,18.0,18.0,22.0,24.0,,,,,,
110416,,,,,,,,,,21.0,22.0,12.0
110420,,,,,,,,23.0,24.0,,,28.0
110422,18.0,21.0,21.0,19.0,23.0,,,,,,,
110425,,,,,,27.0,23.0,,,,,
110428,,,19.0,19.0,22.0,,,,,,,
110432,19.0,18.0,,,,,,,,,,
110436,17.0,18.0,16.0,19.0,23.0,,,,,,,
110444,15.0,,,12.0,,,,,,,,
110450,,,,,,26.0,25.0,,,,,
110451,,,,,,23.0,24.0,,,,,
110500,,,,,,,,,,20.0,16.0,8.0
110LEA,19.0,18.0,17.0,18.0,22.0,24.0,22.0,22.0,21.0,19.0,19.0,20.666666666666668
111302,,,,,,,,,,15.0,13.0,14.0
111304,18.0,13.0,17.0,15.0,18.0,20.0,,,,,,
111306,16.0,19.0,19.0,15.0,19.0,23.0,,,,,,
111307,12.0,11.0,,,,,,,,,,
111312,18.0,17.0,20.0,16.0,20.0,20.0,,,,,,
111332,15.0,15.0,17.0,16.0,20.0,18.0,,,,,,
111356,,,,,,,17.0,21.0,19.0,,,25.0
111360,19.0,16.0,18.0,18.0,20.0,18.0,,,,,,
111369,,,,,,,17.0,,,,,
111700,,,,,,,,,,17.0,17.0,13.0
111LEA,16.0,15.0,18.0,16.0,19.0,20.0,17.0,21.0,19.0,16.0,15.0,18.666666666666668
11A000,,,,,,,,,,,,28.0
11B000,,,,,,,,,,,,9.0
11C000,,,,,,,,,,10.0,11.0,16.0
11D000,,,,,,,,,,12.0,11.0,19.0
11K000,,,,,,,,,,,,6.0
120304,17.0,19.0,15.0,13.0,,,,,,,,
120308,,,,,,,,,,8.0,13.0,13.0
120312,18.0,17.0,21.0,21.0,28.0,20.0,,,,,,
120314,,,,,,,,,,22.0,24.0,25.0
120315,,,,,,,25.0,29.0,26.0,,,32.0
120316,21.0,20.0,20.0,19.0,,27.0,,,,,,
120318,,,,,,,,,,24.0,23.0,23.0
120320,21.0,15.0,15.0,21.0,17.0,19.0,,,,,,
120324,,,,,26.0,22.0,,,,,,
120334,,,,,,,30.0,29.0,28.0,,,29.0
120338,21.0,20.0,18.0,19.0,23.0,28.0,,,,,,
120340,22.0,20.0,17.0,21.0,21.0,23.0,,,,,,
120344,16.0,17.0,21.0,23.0,23.0,24.0,,,,,,
120346,,,,,,,,,,25.0,18.0,22.0
120350,,,,,,,26.0,29.0,29.0,,,30.0
120360,21.0,17.0,14.0,21.0,22.0,21.0,,,,,,
120364,22.0,18.0,17.0,18.0,24.0,20.0,,,,,,
120368,21.0,19.0,19.0,22.0,,22.0,,,,,,
120370,,,,,,,,,,27.0,27.0,25.0
120372,14.0,12.0,15.0,20.0,,16.0,,,,,,
120374,17.0,18.0,20.0,20.0,22.0,26.0,,,,,,
120376,,,,,,,,26.0,29.0,,,32.0
120380,19.0,20.0,19.0,20.0,23.0,26.0,,,,,,
120386,19.0,19.0,17.0,20.0,24.0,18.0,,,,,,
120390,,,,,,,26.0,21.0,25.0,,,33.0
120LEA,19.0,18.0,18.0,20.0,23.0,22.0,27.0,27.0,27.0,18.333333333333332,19.0,23.5
130304,18.0,21.0,17.0,18.0,21.0,22.0,,,,,,
130307,,,,,,,,,,27.0,26.0,29.0
130308,22.0,19.0,21.0,19.0,29.0,29.0,,,,,,
130309,17.0,20.0,20.0,16.0,24.0,,,,,,,
130310,,,,,,,,,,24.0,21.0,23.0
130311,18.0,21.0,16.0,18.0,20.0,19.0,,,,,,
130312,16.0,17.0,21.0,19.0,,,,,,,,
130313,,,,,,,17.0,22.0,21.0,,,22.0
130314,,,,,,,,,,21.0,24.0,20.0
130315,,,,,,,25.0,22.0,27.0,,,31.0
130316,,,,,,,,,,20.0,22.0,25.0
130317,,,,,,,,,,5.0,5.0,6.0
130318,,,,,,,25.0,24.0,27.0,,,27.0
130319,19.0,19.0,19.0,19.0,25.0,,,,,,,
130320,,,,,,,27.0,30.0,27.0,,,24.0
130321,12.0,13.0,,12.0,16.0,27.0,,,,,,
130322,20.0,20.0,19.0,19.0,29.0,30.0,,,,,,
130323,,,,,,,29.0,28.0,26.0,,,26.0
130324,,,,,,,,,,21.0,22.0,20.0
130325,16.0,,11.0,16.0,24.0,19.0,,,,,,
130326,,,,,,,,,,23.0,21.0,23.0
130327,,,,,,,26.0,27.0,30.0,,,27.0
130329,,,,,25.0,18.0,,,,,,
130330,16.0,16.0,16.0,22.0,20.0,19.0,,,,,,
130331,,,,,30.0,27.0,,,,,,
130332,,,,,,,,,,28.0,23.0,24.0
