agency_code,avg_size_00_SAR,avg_size_01_SAR,avg_size_02_SAR,avg_size_03_SAR,avg_size_04_SAR,avg_size_05_SAR,avg_size_06_SAR,avg_size_07_SAR,avg_size_08_SAR,avg_size_Biology_SAR,avg_size_English II_SAR,avg_size_Math I_SAR
230322,,,,,,,,,,17.0,17.0,20.0
230324,,,,,,,,,,18.0,18.0,21.0
230328,,,,,,,22.0,18.0,20.0,,,29.0
230330,,,,,,,,,,5.0,9.0,6.0
230334,20.0,18.0,20.0,16.0,16.0,,,,,,,
230336,,,,,,25.0,22.0,,,,,
230340,11.0,,15.0,15.0,21.0,22.0,,,,,,
230342,,,,,13.0,,,,,,,
230344,17.0,18.0,16.0,17.0,15.0,,,,,,,
230346,,,,,18.0,,,,,,,
230348,17.0,17.0,16.0,14.0,21.0,,,,,,,
230350,,,,,,,,,,18.0,19.0,17.0
230351,,,,,,22.0,25.0,,,,,
230352,,,,,,,,19.0,18.0,,,29.0
230355,16.0,14.0,15.0,16.0,16.0,,,,,,,
230357,16.0,14.0,18.0,17.0,21.0,,,,,,,
230361,,,,,,,,,,22.0,23.0,19.0
230362,,,,,,,,21.0,20.0,,,29.0
230364,17.0,20.0,21.0,17.0,21.0,22.0,,,,,,
230368,22.0,19.0,17.0,14.0,22.0,22.0,,,,,,
230370,17.0,15.0,15.0,15.0,18.0,16.0,,,,,,
230376,18.0,18.0,20.0,21.0,17.0,12.0,,,,,,
230380,17.0,18.0,20.0,17.0,19.0,,,,,,,
230LEA,18.0,17.0,17.0,16.0,18.0,21.0,23.0,19.0,19.0,13.666666666666666,15.333333333333334,19.25
23A000,,,,,,,,,,16.0,15.0,22.0
240304,,,,,,,17.0,22.0,22.0,,,
240308,20.0,14.0,15.0,13.0,16.0,22.0,,,,,,
240328,16.0,16.0,17.0,19.0,17.0,17.0,15.0,22.0,17.0,,,
240332,20.0,16.0,16.0,14.0,24.0,25.0,,,,,,
240334,,,,,,,,,,16.0,16.0,22.0
240344,16.0,18.0,17.0,17.0,28.0,24.0,26.0,19.0,20.0,,,
240352,17.0,18.0,20.0,23.0,18.0,18.0,,,,,,
240354,15.0,19.0,21.0,20.0,20.0,20.0,,,,,,
240356,,,,,,,23.0,20.0,26.0,,,
240368,,,,,,,19.0,23.0,24.0,,,
240370,18.0,17.0,20.0,18.0,21.0,18.0,,,,,,
240371,,,,,,,,,,22.0,22.0,22.0
240372,16.0,17.0,16.0,15.0,20.0,19.0,,,,,,
240373,,,,,,,,,,17.0,25.0,20.0
240376,,,,,,,14.0,26.0,17.0,,,
240380,,,,,,,,,,17.0,19.0,17.0
240388,17.0,18.0,15.0,19.0,25.0,22.0,,24.0,26.0,,,
240LEA,17.0,17.0,17.0,17.666666666666668,21.333333333333332,20.666666666666668,19.333333333333332,22.333333333333332,21.666666666666668,18.0,20.5,20.0
241304,,,,,,,21.0,25.0,19.0,,,30.0
241308,,,,17.0,23.0,24.0,,,,,,
241312,,,,,,,,,,6.0,,
241316,,,,,,,,,,17.0,18.0,15.0
241320,19.0,17.0,19.0,,,,,,,,,
241LEA,19.0,17.0,19.0,17.0,23.0,24.0,21.0,25.0,19.0,12.0,18.0,21.666666666666668
24B000,,,,,,,,,,,15.0,9.0
24N000,,,,,,,,,,,,27.0
250304,19.0,23.0,18.0,21.0,20.0,27.0,,,,,,
250306,15.0,16.0,18.0,20.0,18.0,23.0,,,,,,
250308,22.0,22.0,18.0,15.0,18.0,21.0,,,,,,
250312,18.0,21.0,17.0,19.0,19.0,,,,,,,
250314,,,,,,,,,,10.0,14.0,18.0
250316,21.0,21.0,18.0,17.0,21.0,28.0,,,,,,
250320,16.0,16.0,18.0,17.0,23.0,23.0,,,,,,
250321,,,,,,,,,,11.0,14.0,10.0
250324,,,,,,,25.0,22.0,19.0,,,28.0
250328,16.0,15.0,18.0,19.0,,19.0,,,,,,
250332,,,,,,,26.0,24.0,22.0,,,25.0
250336,18.0,16.0,20.0,19.0,20.0,,,,,,,
250340,,,,,,,,,,19.0,19.0,20.0
250344,,,,,,,21.0,19.0,24.0,,,23.0
250348,16.0,15.0,14.0,16.0,,21.0,,,,,,
250350,17.0,18.0,18.0,17.0,19.0,23.0,,,,,,
250356,,,,,,,,,,19.0,20.0,22.0
250360,,,,,17.0,15.0,,,,,,
250362,,,,,19.0,,,,,,,
250364,18.0,15.0,16.0,17.0,,18.0,,,,,,
250368,,,,,,,27.0,24.0,20.0,,,23.0
250372,,,,,,,,,,23.0,25.0,18.0
250376,,,,,,,25.0,23.0,20.0,,,27.0
250378,22.0,20.0,18.0,17.0,19.0,23.0,,,,,,
250380,19.0,17.0,19.0,17.0,23.0,22.0,,,,,,
250LEA,18.0,18.0,18.0,18.0,20.0,22.0,25.0,22.0,21.0,16.5,18.5,21.333333333333332
260302,18.0,15.0,,,,,,,,,,
260306,17.0,17.0,20.0,18.0,23.0,18.0,,,,,,
260308,,,,18.0,23.0,24.0,,,,,,
260310,15.0,15.0,13.0,18.0,20.0,19.0,,,,,,
260312,11.0,20.0,12.0,17.0,,16.0,,,,,,
260316,18.0,16.0,17.0,18.0,14.0,12.0,,,,,,
260318,,,,,,,,,,26.0,23.0,22.0
260320,19.0,17.0,17.0,19.0,20.0,17.0,,,,,,
260321,,,,,,,,18.0,19.0,,,29.0
260322,,,,,,,,,,17.0,16.0,12.0
260325,,,,,,,,,,22.0,20.0,22.0
260326,13.0,16.0,17.0,14.0,15.0,15.0,,,,,,
260332,18.0,17.0,16.0,20.0,20.0,21.0,,,,,,
260336,,,,,,,20.0,17.0,14.0,,,19.0
260338,19.0,19.0,17.0,20.0,22.0,20.0,,,,,,
260340,21.0,17.0,15.0,19.0,25.0,18.0,,,,,,
260342,21.0,20.0,21.0,19.0,23.0,18.0,,,,,,
260344,13.0,10.0,18.0,11.0,,,,,,,,
260347,,,,,,,,,,20.0,23.0,22.0
260348,17.0,22.0,18.0,21.0,15.0,18.0,,,,,,
260352,18.0,18.0,14.0,12.0,17.0,15.0,,,,,,
260354,,,,,,,,,,19.0,21.0,11.0
260356,16.0,17.0,20.0,20.0,18.0,12.0,,,,,,
260357,,,,,,,,,,25.0,22.0,18.0
260358,,,,,,,19.0,15.0,15.0,,,20.0
260359,,,,,,,,,,16.0,17.0,16.0
260361,12.0,12.0,21.0,13.0,15.0,,,,,,,
260362,,,,,,,24.0,28.0,24.0,,,31.0
260363,14.0,17.0,16.0,,,,,,,,,
260364,13.0,12.0,15.0,19.0,19.0,20.0,,,,,,
260365,,,,,,,19.0,20.0,18.0,,,27.0
260366,19.0,19.0,20.0,30.0,20.0,21.0,,,,,,
260367,17.0,16.0,17.0,20.0,20.0,21.0,,,,,,
260368,,,,,,,21.0,18.0,19.0,,,18.0
260369,,,,,,,26.0,27.0,24.0,,,29.0
260370,19.0,22.0,22.0,20.0,23.0,22.0,,,,,,
260371,,,,,,,19.0,,,,,
260372,,,,,,,15.0,22.0,16.0,,,19.0
260373,19.0,18.0,17.0,15.0,18.0,19.0,,,,,,
260374,,,,,,,,,,15.0,12.0,5.0
260375,19.0,17.0,20.0,17.0,20.0,25.0,,,,,,
260380,,,18.0,11.0,23.0,19.0,,,,,,
260382,19.0,15.0,18.0,13.0,22.0,22.0,,,,,,
260383,,,,,,,27.0,26.0,25.0,,,26.0
260386,13.0,18.0,20.0,19.0,,19.0,,,,,,
260388,,,,,,,,,,13.0,15.0,13.0
260396,14.0,17.0,11.0,13.0,,18.0,,,,,,
260397,21.0,18.0,17.0,18.0,19.0,18.0,,,,,,
260398,19.0,16.0,14.0,15.0,17.0,12.0,,,,,,
260400,16.0,17.0,19.0,21.0,18.0,18.0,,,,,,
260401,19.0,17.0,15.0,20.0,19.0,18.0,,,,,,
260402,17.0,19.0,22.0,16.0,16.0,13.0,,,,,,
260403,16.0,17.0,20.0,23.0,19.0,20.0,,,,,,
260404,15.0,16.0,13.0,18.0,21.0,11.0,,,,,,
260405,16.0,13.0,12.0,,15.0,12.0,,,,,,
260406,,,,,,,23.0,23.0,25.0,,,20.0
260407,20.0,16.0,22.0,21.0,14.0,18.0,,,,,,
260408,,,,,,,,,,19.0,22.0,18.0
260410,21.0,21.0,19.0,21.0,,13.0,,,,,,
260411,,,,,,,,,,9.0,8.0,15.0
260412,19.0,17.0,,,,,,,,,,
260413,,,,,,,,,12.0,,,
260414,17.0,20.0,18.0,16.0,17.0,17.0,,,,,,
260415,14.0,19.0,22.0,21.0,22.0,19.0,,,,,,
260416,15.0,11.0,19.0,17.0,21.0,17.0,,,,,,
260417,,,,,,,24.0,24.0,25.0,,,29.0
260418,,,,,,,23.0,19.0,22.0,,,23.0
260419,,,,,,,25.0,24.0,24.0,,,31.0
260424,,,,,,,,,,25.0,15.0,21.0
260425,,,,,,,17.0,24.0,20.0,,,26.0
260426,11.0,18.0,17.0,18.0,17.0,18.0,,,,,,
260427,,,,,,,,,,28.0,20.0,20.0
260428,,,,,,,20.0,18.0,22.0,,,24.0
260430,,,16.0,19.0,17.0,18.0,,,,,,
260432,19.0,12.0,,,,,,,,,,
260434,19.0,18.0,19.0,19.0,21.0,22.0,,,,,,
260440,15.0,14.0,18.0,17.0,17.0,13.0,,,,,,
260444,17.0,17.0,13.0,16.0,17.0,17.0,,,,,,
260446,,,,,,,,,,23.0,22.0,20.0
260448,,,19.0,12.0,18.0,22.0,,,,,,
260449,,,,,,,,,,12.0,8.0,8.0
260450,16.0,18.0,15.0,16.0,20.0,17.0,,,,,,
260452,21.0,16.0,17.0,21.0,17.0,19.0,,,,,,
260454,,,,,,,22.0,22.0,22.0,,,11.0
260455,,,,,,,,,,15.0,19.0,12.0
260459,14.0,14.0,15.0,18.0,16.0,14.0,,,,,,
260700,,,,,,,,,,12.0,17.0,22.0
260LEA,17.0,17.0,17.0,18.0,19.0,18.0,22.0,22.0,20.0,19.0,18.0,20.0
26B000,,,,,,,,,,,,11.0
270304,19.0,19.0,15.0,18.0,24.0,24.0,,,,,,
270306,,,,,,,,,,17.0,18.0,12.0
270308,,,,,,,19.0,18.0,17.0,,,15.0
270309,18.0,15.0,17.0,19.0,16.0,20.0,,,,,,
270310,21.0,17.0,19.0,16.0,21.0,20.0,,,,,,
270311,,,,,,,,,,17.0,22.0,17.0
270312,14.0,12.0,14.0,11.0,,12.0,,,,,,
270316,19.0,22.0,20.0,20.0,20.0,22.0,,,,,,
270318,,,,,,,22.0,20.0,21.0,,,30.0
270320,17.0,19.0,15.0,19.0,14.0,17.0,,,,,,
270LEA,18.0,17.0,17.0,17.0,19.0,19.0,21.0,19.0,19.0,17.0,20.0,18.666666666666668
280302,16.0,22.0,15.0,15.0,21.0,15.0,,,,,,
280304,,,,,,,17.0,16.0,14.0,12.0,9.0,19.0
280308,18.0,20.0,20.0,19.0,19.0,21.0,,,,,,
280310,18.0,19.0,20.0,17.0,21.0,19.0,,,,,,
280312,21.0,18.0,19.0,19.0,26.0,22.0,,,,,,
280316,,,,,,,,,,17.0,19.0,17.0
280320,,,,,,,23.0,23.0,25.0,,,25.0
280324,15.0,18.0,17.0,20.0,18.0,23.0,,,,,,
280328,,,,,,,21.0,20.0,23.0,,,25.0
280330,,,,,,,,,,18.0,23.0,15.0
280LEA,18.0,19.0,18.0,18.0,21.0,20.0,19.666666666666668,19.333333333333332,19.666666666666668,15.333333333333334,16.0,20.0
290302,21.0,19.0,18.0,17.0,25.0,25.0,,,,,,
290306,18.0,21.0,16.0,17.0,25.0,28.0,,,,,,
290307,17.0,17.0,20.0,18.0,22.0,20.0,,,,,,
290308,,,,,,,,,,24.0,22.0,21.0
290309,,,,,,,24.0,24.0,22.0,,,29.0
290312,20.0,20.0,17.0,20.0,23.0,28.0,,,,,,
290314,,,,,,,,,,7.0,11.0,8.0
290315,,,,,,,,,,18.0,19.0,16.0
290316,20.0,20.0,19.0,21.0,26.0,26.0,,,,,,
290320,17.0,16.0,17.0,18.0,,15.0,,,,,,
290322,,,,,,,21.0,26.0,27.0,,,29.0
290324,,,,,,,,,,22.0,22.0,21.0
290328,22.0,20.0,18.0,21.0,23.0,29.0,,,,,,
290330,18.0,17.0,17.0,20.0,28.0,21.0,,,,,,
290332,21.0,15.0,21.0,18.0,19.0,20.0,,,,,,
290333,21.0,22.0,16.0,17.0,24.0,24.0,,,,,,
290334,,,,,,,23.0,27.0,21.0,,,28.0
290336,,,,,,,,,,23.0,26.0,22.0
290344,17.0,19.0,19.0,10.0,29.0,26.0,,,,,,
290348,,,,,,,,,,24.0,23.0,20.0
290349,,,,,,,,,,23.0,23.0,22.0
290350,,,,,,,23.0,26.0,22.0,,,25.0
290351,,,,,,,25.0,28.0,25.0,,,29.0
290352,19.0,15.0,16.0,18.0,25.0,26.0,,,,,,
290356,16.0,20.0,20.0,18.0,19.0,28.0,,,,,,
290364,,17.0,,19.0,21.0,12.0,,,,,,
290365,,,,,,,,,,18.0,19.0,18.0
290366,20.0,19.0,21.0,18.0,21.0,19.0,,,,,,
290367,,,,,,,20.0,23.0,21.0,,,23.0
290375,17.0,17.0,13.0,17.0,21.0,19.0,,,,,,
290376,,,,,,,26.0,23.0,24.0,,,32.0
290380,21.0,20.0,21.0,18.0,25.0,27.0,,,,,,
290384,21.0,20.0,22.0,20.0,24.0,23.0,,,,,,
290388,,,,,,,,,,21.0,23.0,20.0
290389,,,,,,,,,,13.0,13.0,13.0
290LEA,19.0,19.0,18.0,18.0,24.0,23.0,23.0,25.0,23.0,16.0,17.333333333333332,19.25
291308,,20.0,19.0,22.0,20.0,21.0,,,,,,
291332,,,,,,,21.0,22.0,18.0,,,23.0
291336,,,,,,,,,,17.0,19.0,21.0
291340,,19.0,17.0,17.0,22.0,19.0,,,,,,
291348,18.0,,,,,,,,,,,
291352,,22.0,21.0,22.0,24.0,17.0,,,,,,
291LEA,18.0,20.0,19.0,20.0,22.0,19.0,21.0,22.0,18.0,17.0,19.0,22.0
292316,,,,,18.0,20.0,,,,,,
292318,17.0,16.0,17.0,15.0,,,,,,,,
292320,,,,,,,23.0,18.0,18.0,,,29.0
292324,,,,,,,,,,20.0,19.0,19.0
292LEA,17.0,16.0,17.0,15.0,18.0,20.0,23.0,18.0,18.0,20.0,19.0,23.666666666666668
298203,,,,,,,,,,5.0,,
298204,,,,,,,,,,6.0,6.0,
298LEA,,,,,,,,,,6.0,6.0,
300308,18.0,,,,13.0,17.0,,,,,,
300310,,,,,11.0,17.0,,,,,,
300312,,,,,,,,,,20.0,22.0,20.0
300314,,,,,,,,,,15.0,25.0,16.0
300320,20.0,10.0,,,16.0,13.0,,,,,,
300325,,,,,,,21.0,19.0,21.0,,,26.0
300326,20.0,19.0,21.0,,15.0,15.0,,,,,,
300328,12.0,,,,,17.0,,,,,,
300330,,,,,,,19.0,19.0,19.0,,,21.0
300336,,10.0,,13.0,19.0,18.0,,,,,,
300337,,,,,,,20.0,20.0,22.0,,,23.0
300LEA,18.0,13.0,21.0,13.0,15.0,16.0,20.0,19.0,21.0,18.0,23.5,20.666666666666668
310304,15.0,18.0,19.0,17.0,23.0,22.0,22.0,27.0,19.0,,,17.0
310308,16.0,23.0,20.0,21.0,18.0,21.0,23.0,16.0,19.0,,,27.0
310330,17.0,20.0,21.0,22.0,21.0,21.0,19.0,19.0,17.0,,,21.0
310336,20.0,16.0,17.0,22.0,21.0,19.0,24.0,20.0,,,,25.0
310338,,,,,,,,,,8.0,15.0,11.0
310344,,,,,,,,,,18.0,20.0,16.0
310352,,,,,,,,,,17.0,18.0,21.0
310356,16.0,16.0,17.0,18.0,22.0,25.0,27.0,30.0,22.0,,,17.0
310360,18.0,20.0,18.0,18.0,24.0,25.0,26.0,,,,,
310364,,,,,,,,18.0,19.0,17.0,23.0,20.0
310384,19.0,20.0,19.0,18.0,23.0,25.0,21.0,21.0,20.0,,,13.0
310388,19.0,17.0,18.0,18.0,21.0,24.0,24.0,24.0,16.0,,,19.0
310392,,,,,,,,,,20.0,18.0,20.0
310LEA,17.666666666666668,19.333333333333332,18.666666666666668,18.666666666666668,22.333333333333332,23.333333333333332,24.0,20.666666666666668,19.0,16.333333333333332,20.0,19.0
320304,,,,,20.0,15.0,,,,,,
320306,,,,,,,21.0,20.0,19.0,,,15.0
320308,10.0,18.0,19.0,17.0,21.0,22.0,,,,,,
320309,,,,,,,,,,16.0,20.0,20.0
320310,17.0,16.0,15.0,19.0,24.0,17.0,,,,,,
320312,,,,,,,,,,26.0,21.0,22.0
320313,17.0,16.0,17.0,17.0,21.0,20.0,,,,,,
320314,,,,,,,25.0,23.0,20.0,20.0,22.0,15.0
320315,,,,,23.0,22.0,,,,,,
320316,,,,,,,22.0,24.0,24.0,,,30.0
320317,,,,,,,,,,24.0,24.0,22.0
320318,15.0,14.0,16.0,19.0,18.0,24.0,,,,,,
320319,19.0,18.0,19.0,19.0,25.0,24.0,,,,,,
320320,,,,,22.0,19.0,,,,,,
320322,,,,,,,,,,9.0,11.0,11.0
320323,,,,,,,25.0,25.0,16.0,12.0,12.0,11.0
320324,18.0,19.0,17.0,17.0,22.0,24.0,,,,,,
320325,,,,,,,,,,16.0,18.0,20.0
320327,17.0,19.0,20.0,18.0,17.0,24.0,,,,,,
320328,18.0,17.0,17.0,18.0,22.0,22.0,,,,,,
320332,18.0,16.0,19.0,18.0,24.0,23.0,,,,,,
320338,,,,,,,21.0,24.0,19.0,,,16.0
320339,,,,,18.0,21.0,,,,,,
320340,15.0,16.0,17.0,16.0,19.0,26.0,19.0,15.0,14.0,,,
320341,,,,,,,,19.0,,15.0,8.0,15.0
320342,,,,,,,18.0,12.0,12.0,,,19.0
320343,,,,,,,23.0,22.0,21.0,,,10.0
320344,,,,,24.0,22.0,,,,,,
320346,,,,,,,24.0,17.0,20.0,,,24.0
320347,10.0,18.0,19.0,18.0,11.0,10.0,,,,,,
320348,17.0,14.0,16.0,17.0,19.0,16.0,,,,,,
320352,17.0,18.0,16.0,18.0,19.0,20.0,,,,,,
320353,,,,,,,,,,8.0,,
320354,,16.0,22.0,22.0,10.0,10.0,,,,,,
320355,,,,,,,19.0,19.0,20.0,,,
320356,,,,,,,,,,23.0,24.0,22.0
320360,18.0,17.0,16.0,20.0,22.0,22.0,,,,,,
320362,16.0,19.0,19.0,17.0,18.0,,,,,,,
320363,,,,,20.0,26.0,,,,,,
320364,18.0,17.0,18.0,19.0,22.0,22.0,,,,,,
320365,,,,,,,,,,20.0,24.0,20.0
320366,,,,,,,22.0,22.0,20.0,,,24.0
320367,17.0,16.0,16.0,17.0,16.0,15.0,,,,,,
320368,,,,,,,,,,21.0,21.0,24.0
320369,,,,,22.0,21.0,,,,,,
320370,,,,,,,24.0,26.0,21.0,,,22.0
320372,18.0,17.0,16.0,18.0,21.0,20.0,,,,,,
320374,12.0,15.0,19.0,13.0,19.0,21.0,,,,,,
320376,19.0,18.0,18.0,20.0,21.0,21.0,,,,,,
320388,15.0,18.0,15.0,16.0,22.0,17.0,,,,,,
320400,,,,,25.0,23.0,,,,,,
320701,,,,,,,,,,20.0,18.0,18.0
320LEA,15.666666666666666,16.666666666666668,17.666666666666668,17.333333333333332,19.666666666666668,22.0,22.0,19.75,17.75,17.333333333333332,17.666666666666668,18.25
32D000,,,,,,,,,,,,29.0
32H000,,,,,,,,,,,,28.0
32K000,,,,,,,,,,,,17.0
32L000,,,,,,,,,,19.0,18.0,17.0
32N000,,,,,,,,,,23.0,22.0,16.0
330304,,,,,23.0,19.0,,,,,,
330308,,,,,26.0,24.0,,,,,,
330312,,,,,18.0,25.0,,,,,,
330326,,,,,,,,,,10.0,14.0,16.0
330328,,,,,,,,,,14.0,17.0,16.0
330332,,,,,,,20.0,,,,,
330340,,,,,,,22.0,24.0,21.0,,,33.0
330344,,,,,,,,,,,,10.0
330348,,,,,,,25.0,25.0,24.0,,,17.0
330350,,,,,,,,,,18.0,25.0,21.0
330354,,,,,19.0,23.0,,,,,,
330358,,,,,,,,,,14.0,18.0,13.0
330360,,,,,22.0,22.0,20.0,20.0,,,,23.0
330LEA,,,,,22.0,22.666666666666668,21.333333333333332,22.666666666666668,23.0,14.0,19.0,19.5
33A000,,,,,,,,,,17.0,12.0,16.0
340308,16.0,20.0,19.0,18.0,20.0,15.0,,,,,,
340311,,,,,,,,,,25.0,24.0,23.0
340314,20.0,17.0,16.0,17.0,22.0,23.0,,,,,,
340320,19.0,20.0,18.0,18.0,23.0,24.0,,,,,,
340326,19.0,20.0,19.0,20.0,25.0,21.0,,,,,,
340330,,,,,,,,,,17.0,16.0,15.0
340332,,,,,,,,,,27.0,,
340334,18.0,19.0,17.0,17.0,25.0,29.0,,,,,,
340348,19.0,18.0,17.0,19.0,26.0,22.0,,,,,,
340350,,,,,,,26.0,24.0,23.0,,,30.0
340351,,,,,10.0,18.0,,,,,,
340354,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,,,15.0
340362,,,,,,,,,,15.0,19.0,22.0
340364,,,,,,,,,,22.0,24.0,18.0
340366,,,,,,,19.0,22.0,21.0,,,24.0
340368,14.0,16.0,17.0,18.0,16.0,20.0,,,,,,
340372,,,,,,,23.0,19.0,17.0,,,31.0
340376,17.0,18.0,15.0,18.0,24.0,24.0,,,,,,
340380,17.0,20.0,18.0,21.0,19.0,21.0,,,,,,
340382,,,,,,,,,,21.0,23.0,20.0
340384,19.0,20.0,18.0,17.0,21.0,26.0,,,,,,
340385,,,,,,,,,,7.0,8.0,8.0
340390,18.0,15.0,18.0,18.0,23.0,28.0,,,,,,
340392,,,,,,,23.0,22.0,23.0,,,28.0
340400,18.0,17.0,18.0,17.0,27.0,23.0,,,,,,
340403,18.0,18.0,19.0,18.0,25.0,21.0,,,,,,
340406,,,,,,,25.0,26.0,27.0,,,32.0
340416,18.0,18.0,18.0,17.0,21.0,24.0,,,,,,
340420,,,,,,,25.0,26.0,26.0,,,32.0
340424,12.0,15.0,19.0,17.0,19.0,25.0,,,,,,
340426,18.0,20.0,20.0,19.0,27.0,25.0,,,,,,
340428,22.0,16.0,18.0,20.0,21.0,17.0,,,,,,
340430,19.0,18.0,19.0,16.0,21.0,17.0,,,,,,
340432,20.0,22.0,19.0,19.0,20.0,21.0,,,,,,
340440,18.0,19.0,20.0,19.0,23.0,22.0,,,,,,
340442,,,,,,,26.0,26.0,25.0,,,30.0
340447,18.0,20.0,22.0,15.0,,,,,,,,
340448,19.0,22.0,20.0,20.0,19.0,23.0,,,,,,
340452,,,,,,,14.0,15.0,16.0,,,22.0
340453,18.0,17.0,17.0,19.0,18.0,22.0,,,,,,
340454,,,,,,,,,,25.0,23.0,22.0
340457,16.0,21.0,20.0,20.0,28.0,25.0,,,,,,
340460,,,,,,,,,,17.0,22.0,19.0
340462,17.0,21.0,17.0,21.0,17.0,22.0,,,,,,
340464,,,,,,,25.0,22.0,21.0,,,21.0
340472,19.0,17.0,18.0,18.0,26.0,22.0,,,,,,
340476,19.0,18.0,17.0,20.0,24.0,19.0,,,,,,
340480,,,,,,,22.0,20.0,18.0,20.0,17.0,21.0
340486,,,,,,,,,,23.0,21.0,24.0
340488,,,,,,,17.0,15.0,12.0,9.0,15.0,14.0
340490,20.0,17.0,16.0,19.0,,23.0,,,,,,
340492,,,,,,,20.0,12.0,13.0,,,16.0
340494,20.0,16.0,18.0,17.0,22.0,26.0,,,,,,
340495,,,,,,,,,,26.0,25.0,28.0
340496,,,,,,,,,,24.0,24.0,20.0
340504,18.0,18.0,18.0,18.0,25.0,22.0,,,,,,
340508,21.0,18.0,20.0,18.0,23.0,22.0,,,,,,
340512,20.0,19.0,17.0,18.0,19.0,19.0,,,,,,
340514,21.0,16.0,18.0,15.0,23.0,19.0,,,,,,
340516,,,,,,,26.0,26.0,24.0,,,27.0
340520,18.0,17.0,17.0,19.0,20.0,20.0,,,,,,
340528,18.0,18.0,17.0,15.0,24.0,24.0,,,,,,
340530,18.0,20.0,20.0,18.0,18.0,24.0,,,,,,
340532,19.0,18.0,16.0,18.0,22.0,20.0,,,,,,
340536,16.0,20.0,18.0,21.0,24.0,24.0,,,,,,
340540,18.0,20.0,20.0,20.0,26.0,26.0,,,,,,
340542,,,,,,,,,,20.0,22.0,21.0
340544,,,,,,,22.0,23.0,22.0,,,29.0
340548,17.0,18.0,18.0,18.0,20.0,23.0,,,,,,
340556,,,,,,,,,,25.0,25.0,25.0
340560,21.0,19.0,20.0,17.0,19.0,24.0,,,,,,
340564,,,,,,,23.0,18.0,22.0,,,30.0
340568,,,,,,,17.0,,12.0,15.0,19.0,16.0
340LEA,17.0,17.0,17.0,17.0,19.666666666666668,19.333333333333332,19.5,18.75,17.5,18.333333333333332,19.333333333333332,20.2
34B000,,,,,,,,,,17.0,18.0,17.0
34D000,,,,,,,,,,13.0,11.0,11.0
34F000,,,,,,,,,,,,21.0
34G000,,,,,,,,,,,,13.0
34H000,,,,,,,,,,20.0,19.0,13.0
350304,21.0,21.0,18.0,17.0,17.0,18.0,,,,,,
350308,,,,,,,,,,19.0,18.0,20.0
350310,,,,,,,18.0,22.0,20.0,,,19.0
350312,,,,,,,25.0,23.0,26.0,,,28.0
350316,18.0,16.0,16.0,21.0,20.0,16.0,,,,,,
350317,,,,,,,,,,11.0,12.0,15.0
350318,17.0,14.0,16.0,16.0,,20.0,,,,,,
350321,,,,,,,,,,21.0,24.0,19.0
350324,,,,,,,19.0,19.0,24.0,,,19.0
350330,13.0,16.0,14.0,16.0,,12.0,,,,,,
350331,16.0,22.0,17.0,21.0,26.0,20.0,,,,,,
350332,15.0,15.0,15.0,21.0,19.0,21.0,,,,,,
350336,,,,,,,,,,14.0,19.0,17.0
350338,,,,,,,12.0,10.0,,,,15.0
350339,21.0,18.0,18.0,19.0,10.0,,,,,,,
350340,16.0,17.0,18.0,20.0,21.0,24.0,,,,,,
350LEA,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,23.0,16.5,18.5,19.0
360310,,,,,,,,,,17.0,19.0,16.0
360324,,,,,,,,,,,,28.0
360332,,,,12.0,,,,,,,,
360336,,,,,,,,,,14.0,18.0,22.0
360337,,,,,,,,,,25.0,22.0,9.0
360338,13.0,17.0,16.0,,,,,,,,,
360340,19.0,14.0,11.0,12.0,,,,,,,,
360344,10.0,12.0,,16.0,,,,,,,,
360348,17.0,17.0,17.0,11.0,,,,,,,,
360352,22.0,17.0,19.0,19.0,,,,,,,,
360360,,,,,,,,,,18.0,23.0,20.0
360364,21.0,19.0,21.0,16.0,,,,,,,,
360372,,,,,,,,,,13.0,9.0,9.0
360376,16.0,18.0,17.0,19.0,,,,,,,,
360378,,,,,,,,,,22.0,23.0,15.0
360380,,,,,,,,,,,,31.0
360390,,,,,,,,,,22.0,18.0,18.0
360396,,,,,,,,,,22.0,22.0,17.0
360400,,,,14.0,,,,,,,,
360408,,,,,,,,,,,,10.0
360418,,,,,,,,,,18.0,20.0,16.0
360420,20.0,19.0,19.0,17.0,,,,,,,,
360426,,,,,,,,,,,,26.0
360428,,,,,,,,,,20.0,18.0,24.0
360430,20.0,20.0,,,,,,,,,,
360431,,,,,,,,,,,,28.0
360432,,,,19.0,,,,,,,,
360436,,,,,,,,,,,,27.0
360438,20.0,20.0,15.0,15.0,,,,,,,,
360440,17.0,13.0,17.0,11.0,,,,,,,,
360448,18.0,17.0,16.0,12.0,,,,,,,,
360456,,,,,,,,21.0,,,,26.0
360464,20.0,17.0,21.0,20.0,,,,,,,,
360468,19.0,15.0,14.0,14.0,,,,,,,,
360470,,,,,,,,,,17.0,17.0,17.0
360478,20.0,20.0,17.0,12.0,,,,,,,,
360480,18.0,17.0,13.0,15.0,,,,,,,,
360482,19.0,19.0,18.0,15.0,,,,,,,,
360488,15.0,20.0,16.0,17.0,,,,,,,,
360492,20.0,14.0,16.0,19.0,,,,,,,,
360494,,,,,,,,,,22.0,22.0,21.0
360498,,,,,,,,,,,,31.0
