agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
310356,40.4,
310360,38.6,
310364,,36.6
310384,17.1,
310388,30.6,
310392,,22.4
320306,23.4,
320309,,71.6
320312,,34.8
320314,58.3,20.9
320316,32.0,
320317,,37.1
320322,,8.3
320323,54.5,56.5
320325,,14.1
320338,25.7,
320340,37.8,
320341,5.0,5.0
320342,64.2,
320343,37.7,
320346,26.9,
320355,25.6,
320356,,20.6
320365,,30.2
320366,35.8,
320368,,8.5
320370,46.9,
320701,,22.4
32A000,42.7,
32B000,15.4,
32C000,13.6,
32D000,43.3,
32H000,39.3,
32K000,52.8,
32L000,73.1,44.8
32M000,36.8,
32N000,,66.1
32P000,26.3,
32Q000,23.8,
32R000,35.9,
32S000,23.1,
330326,,52.4
330328,,5.0
330332,7.5,
330340,21.2,
330344,12.0,
330348,22.6,
330350,,13.7
330358,,10.4
330360,29.0,
33A000,26.0,14.3
340311,,59.8
340330,,5.8
340336,,15.2
340350,48.6,
340354,50.0,
340362,,78.2
340364,,33.8
340366,23.8,
340372,18.6,
340382,,16.9
340385,9.1,5.0
340392,69.5,
340406,59.6,
340420,46.2,
340436,26.5,
340442,71.3,
340452,18.3,
340454,,36.7
340460,,12.4
340464,24.8,
340480,50.2,64.4
340486,,10.6
340488,8.8,8.8
340492,10.4,
340495,,53.3
340496,,29.8
340516,39.9,
340542,,24.3
340544,28.8,
340556,,56.5
340564,34.4,
340568,9.6,23.1
34B000,18.2,18.5
34D000,5.0,5.0
34F000,27.9,
34G000,62.5,
34H000,65.7,63.6
350308,,41.4
350310,44.0,
350312,44.2,
350317,,74.5
350321,,38.9
350324,25.6,
350336,,34.4
350338,48.7,
35A000,45.0,
360310,,25.0
360324,61.8,
360336,,13.8
360337,,81.6
360360,,32.8
360372,,5.0
360378,,37.8
360380,60.1,
360390,,34.3
360394,10.0,5.0
360396,,38.9
360408,33.6,
360418,,95.0
360426,35.7,
360428,,17.2
360431,30.5,
360436,29.1,
360456,49.5,
360470,,24.9
360494,,51.6
360498,27.2,
360500,35.9,
360514,38.5,
360526,32.6,
36B000,60.4,39.2
36C000,73.3,36.1
370308,44.4,
370312,,31.6
380306,31.7,
380308,,31.7
390309,43.0,
390320,47.7,
390322,,19.1
390323,,72.9
390324,,25.5
390331,37.6,
390334,38.7,
390352,,28.7
390700,,40.8
39A000,67.6,39.3
39B000,,62.1
400308,,12.7
400312,31.2,
400315,,37.5
410311,39.6,
410313,29.9,
410316,27.6,
410319,,11.0
410325,24.5,
410326,,29.6
410341,95.0,
410355,,20.0
410358,,27.5
410367,23.8,
410391,36.3,77.6
410394,,56.7
410395,,95.0
410397,39.2,
410399,,52.0
410401,,48.8
410402,20.6,
410406,,22.9
410407,,20.0
410408,,21.1
410415,19.8,
410421,43.6,
410427,20.0,
410437,65.6,
410442,50.7,
410448,52.6,
410457,30.0,
410458,,5.0
410460,32.8,
410463,39.4,
410483,,26.7
410484,,14.1
410487,27.2,
410488,64.2,
410489,,60.3
410490,,63.7
410493,72.8,
410508,,34.8
410529,,29.6
410544,,14.7
410545,,42.6
410547,,32.9
410550,47.0,
410556,,22.2
410562,,35.0
410565,55.1,
410569,,95.0
410579,,64.8
410589,,81.3
410592,32.7,
410595,,38.7
41B000,83.3,
41C000,35.5,
41D000,40.8,
41F000,47.2,54.2
41G000,50.0,28.2
41H000,29.8,33.3
41J000,73.2,
41K000,,34.9
41L000,20.3,
420324,32.9,
420346,,9.3
420358,,5.0
420376,31.5,
421306,37.4,
421316,,28.8
422310,,64.0
422315,,5.0
422318,29.3,
42A000,50.7,
430330,38.1,
430332,35.9,
430345,,5.0
430346,,33.5
430347,40.7,
430351,46.6,
430370,43.4,
430371,,30.4
430378,,26.6
430384,,29.5
430386,42.9,
440318,56.8,
440320,53.9,
440346,,95.0
440378,,44.4
440390,,42.3
440396,55.3,
44A000,59.5,
450301,55.4,
450316,,49.3
450328,49.6,
450334,,56.9
450335,65.1,
450341,,38.0
450342,68.4,
450343,,8.1
450352,,63.2
450354,,94.7
45A000,65.2,
460318,15.9,
460320,,11.4
460322,,31.3
460340,,16.7
470312,,23.4
470320,44.1,
470332,42.0,
470342,,5.9
470442,48.8,
470443,,60.6
480316,80.0,80.0
480318,29.0,20.0
490307,,64.1
490308,67.0,
490320,,85.7
490327,25.8,
490335,,60.5
490338,41.7,
490344,95.0,
490346,,24.3
490347,93.4,
490349,56.4,
490350,18.2,10.0
490352,16.9,
490354,,17.8
490355,,61.4
490362,,52.5
490366,29.5,
490380,,31.9
490384,41.3,
491303,55.0,
491306,52.9,
491312,,46.2
49B000,57.6,
49D000,5.0,
49E000,81.2,69.0
49F000,63.2,26.7
49G000,32.1,
500302,,25.0
500304,30.2,
500314,41.8,
500316,40.7,
500323,,73.1
500324,,8.3
500332,24.4,
500337,17.1,
500340,,29.7
50A000,47.6,
50Z000,28.6,
510310,25.4,
510324,,40.7
510325,,66.7
510327,,47.8
510329,52.2,
510333,,43.6
510342,30.8,
510344,38.7,
510359,57.3,
510360,35.8,
510364,46.5,
510367,,72.0
510368,,23.4
510376,45.5,43.4
510379,54.7,
510382,62.4,
510390,16.8,
510397,31.5,
510399,,28.3
510402,,24.4
510406,,41.0
510411,46.5,
510412,37.6,
51A000,52.2,48.3
520304,45.5,
520308,50.0,
520320,,34.1
520336,53.1,
530306,,5.0
530314,44.2,
530335,,75.0
530336,,28.0
530341,49.3,
530343,,32.3
530356,42.7,
540308,39.5,
540312,37.2,
540315,,10.0
540317,,59.0
540318,,8.3
540324,,26.9
540330,20.5,
540336,,24.2
540344,62.0,
54A000,21.4,
550320,,54.1
550322,65.9,
550332,,39.4
550334,37.4,
550344,,61.2
550350,62.0,
550368,,28.8
550372,49.0,
55A000,68.0,66.1
560320,,43.3
560324,75.0,46.2
560329,,80.8
560331,51.2,
560350,,16.7
570317,,56.7
570318,,23.1
570319,64.4,
580344,,29.5
580350,22.2,
580368,,29.3
580372,37.1,
58B000,47.0,47.3
590310,37.2,
590328,,71.9
590330,,39.2
590356,44.7,
590393,63.9,5.0
600301,31.6,
600302,,78.3
600305,50.5,
600311,19.6,
600312,,69.4
600313,71.1,
600317,23.0,
600319,21.8,
600333,59.9,
600336,72.2,
600341,28.1,12.2
600344,55.8,
600345,80.9,
600351,31.6,
600353,73.3,
600361,,42.2
600364,,17.5
600366,39.2,
600374,20.4,
600377,,42.1
600381,25.0,
600386,,41.7
600394,57.3,
600397,,8.4
600399,68.9,
600405,,18.5
600413,86.7,
600415,,43.1
600426,,30.0
600428,28.7,
600429,62.8,
600431,85.0,
600434,45.8,
600439,5.0,5.7
600445,,36.0
600448,20.1,
600450,41.8,
600455,62.7,
600457,,24.1
600461,,5.0
600462,29.9,
600466,,60.1
600479,43.1,
600480,,33.3
600481,32.2,
600482,47.7,68.6
600488,53.4,
600489,9.7,
600492,73.8,
600496,,42.6
600497,74.0,
600498,,41.5
600499,,50.0
600508,,77.0
600509,40.8,
600513,80.5,
600514,24.2,
600517,17.6,
600518,39.9,
600520,20.8,
600532,70.9,
600535,,46.2
600537,78.9,
600538,45.9,
600553,19.4,
600567,,71.4
600569,,52.3
600574,13.5,
600576,,8.0
600577,16.7,
600579,,16.1
600582,,43.3
600592,,15.9
600693,,23.0
600694,,50.3
600695,,26.6
600696,,19.6
600697,,38.0
60B000,36.4,43.5
60D000,75.8,69.6
60F000,95.0,
60G000,55.3,40.7
60I000,80.0,65.8
60J000,67.2,
60K000,25.0,14.9
60L000,29.8,
60M000,66.7,
60P000,26.7,
60Q000,18.3,
60S000,45.9,56.0
60V000,8.3,15.5
60Y000,53.3,
610302,52.2,
610326,64.7,
610332,,72.7
610334,,39.8
61J000,40.0,
61M000,63.3,
61N000,75.0,
61Q000,30.9,
61R000,56.5,
61U000,5.0,
620314,30.2,
620316,,21.5
620339,44.4,
620340,,20.0
620350,,62.7
630317,40.9,
630320,35.0,
630328,51.7,
630331,58.3,
630332,,32.8
630336,,44.0
630350,37.6,
630360,,36.7
630374,66.8,
630376,43.9,
63B000,52.2,22.2
640320,32.1,
640329,28.9,
640334,17.7,
640335,19.8,
640346,,17.3
640347,,50.0
640350,,23.2
640358,31.0,
640361,,18.7
640362,35.0,
640364,,29.3
64A000,17.6,8.5
650310,63.3,
650325,52.5,
650326,,41.5
650327,,47.7
650332,40.0,
650340,,89.3
650342,,54.5
650343,50.2,
650350,65.6,
650351,56.7,
650352,,24.9
650354,,18.2
650355,,5.0
650364,73.9,
650392,25.4,
650394,,68.0
650395,,50.0
650409,6.5,
65A000,59.6,
65B000,7.7,
65D000,33.3,
65F000,73.5,
65G000,30.3,
660308,22.4,
660325,34.1,
660336,,5.0
660400,,29.3
66A000,40.4,40.2
670300,,95.0
670318,47.8,
670320,,38.6
670322,36.7,
670324,,27.1
670325,39.1,
670331,56.1,
670333,,23.1
670336,48.6,
670340,,43.1
670344,,27.7
670345,34.8,
670351,49.8,
670352,,40.1
670356,38.2,
670364,,30.0
67B000,10.0,
680304,47.3,
680310,,47.1
680316,62.2,
680327,56.3,
680332,,46.7
681305,,60.3
681308,,66.6
681309,68.9,
681314,,71.4
681322,70.3,
681324,73.2,
681336,74.5,
68A000,75.8,51.6
68C000,89.2,
690316,46.3,
690320,,41.9
69A000,26.5,38.9
700308,20.9,
700317,,17.5
700319,,14.0
700322,28.0,
700325,,53.2
70A000,,46.4
710316,27.4,
710320,50.9,
710321,,24.9
710326,,31.1
710327,,88.7
710328,47.7,
710342,,52.2
710346,63.7,
710348,41.7,
720316,,39.2
720320,56.9,
730344,44.2,
730350,,52.3
730352,,27.5
730360,52.3,
73B000,70.5,71.6
740302,46.6,
740308,39.5,
740309,,17.6
740320,31.0,
740324,29.9,
740332,70.3,
740333,,46.5
740337,37.2,
740340,33.8,
740344,,28.1
740352,17.4,
740358,52.8,
740362,60.8,
740366,,26.6
740374,,21.3
740376,20.0,
740388,,31.2
740396,55.6,
740402,23.7,
740500,,66.7
74B000,8.7,
74C000,26.7,
750317,,50.0
750318,,57.2
750319,69.2,
760308,52.5,
760318,,7.0
760338,48.1,
760339,,29.2
760348,,26.5
760352,36.4,
760354,,68.5
760357,36.6,
760358,,24.7
760360,40.5,
760380,,23.6
760382,41.6,38.6
760388,,35.9
761304,,42.4
761308,45.3,
761336,31.5,
76A000,62.0,27.1
770316,38.0,
770328,41.3,
770342,,11.8
770349,,80.3
770351,,31.3
770360,48.7,
770364,34.4,
780320,23.4,
780324,27.1,
780325,,20.0
780326,23.8,
780330,23.6,
780336,33.5,
780342,,16.8
780344,25.4,
780352,16.0,
780356,16.7,
780360,33.9,
780368,18.3,
780376,28.9,
780384,24.5,
780385,,84.9
780391,,20.1
780393,23.0,
780396,7.5,
780401,,21.7
780402,,16.4
780403,20.1,
780410,8.2,
780412,23.3,
780416,24.6,
780420,,16.3
78A000,24.3,
78B000,73.1,
790314,,41.8
790330,47.2,
790354,,32.6
790366,,26.6
790374,39.5,
790378,,45.0
790379,,88.9
790380,57.3,
790394,51.7,
79A000,60.6,28.4
800308,,5.0
800314,42.3,
800320,48.4,
800328,35.8,
800340,,24.3
800361,,31.9
800363,16.4,
800376,,10.8
800377,13.3,
800394,,47.3
800396,,11.6
800398,34.5,
800400,,18.9
800408,,20.9
800410,34.6,
810324,,28.7
810326,53.8,
810340,,35.1
810342,51.4,
810378,56.3,
810384,,35.2
810385,,93.3
81A000,77.0,71.6
81B000,40.6,39.5
820324,,82.6
820347,62.9,
820348,,34.9
820349,,30.9
820352,,56.6
820354,70.1,
820370,41.0,
820372,53.1,
820388,,20.5
821308,,37.3
821320,44.2,
830304,48.9,
830316,,5.0
830343,,28.1
830348,,77.6
830349,36.9,
840302,,16.9
840303,30.6,
840328,44.8,
840332,,40.7
840342,48.1,
840350,35.8,
840356,,29.1
840358,45.9,
840361,,74.5
840368,,47.5
84B000,77.9,73.8
850304,53.5,
850324,,5.0
850332,,36.5
850338,53.3,
850350,42.4,
850352,,32.3
850358,,40.3
850360,,57.7
860306,59.0,
860316,,46.9
860326,57.6,
860330,58.0,
860336,,39.0
860340,64.2,
860352,,42.0
860354,,70.6
861304,65.2,
861308,,52.6
862312,,48.5
862316,65.0,
86T000,71.9,59.2
870314,,38.8
870318,53.1,
87A000,71.4,
880308,,48.5
880312,57.7,
880320,,6.7
880328,,35.1
880330,64.1,
88A000,48.3,
890304,,27.5
890306,17.3,
900308,39.2,
900310,80.3,
900311,,74.9
900314,28.5,
900316,,26.6
900336,,18.1
900342,,48.1
900343,61.9,
900344,,48.7
900346,50.7,
900348,,44.8
900350,60.1,
900360,,41.1
900362,69.1,
900366,,91.5
900367,,81.4
900377,,86.2
900378,88.5,
900391,88.5,
900393,,79.4
90A000,51.2,53.1
90C000,58.2,
910316,24.7,
910320,33.9,
910364,,14.7
910368,,5.0
910370,,9.2
910382,,61.1
910384,73.5,
91A000,48.6,34.3
91B000,71.8,71.0
920312,70.9,
920316,,68.5
920317,,70.1
920318,,44.4
920348,,43.9
920356,58.0,
920360,45.5,
920368,,44.6
920370,38.5,
920381,6.3,
920388,55.5,
920391,87.5,
920394,49.2,
920399,50.6,
920400,58.0,
920402,57.8,
920404,36.6,
920408,29.4,
920410,27.5,
920411,,18.5
920412,,60.1
920424,54.0,
920428,,45.7
920436,,32.9
920441,,80.3
920442,40.5,
920444,66.7,
920445,,55.1
920450,66.3,
920455,,56.2
920458,65.1,
920466,,18.9
920471,56.1,
920472,66.7,
920473,,56.5
920484,67.6,
920492,66.4,
920495,,43.5
920500,,44.0
920502,83.8,
920506,59.8,
920512,40.7,
920518,,41.8
920526,,70.3
920528,,9.5
920529,67.2,
920545,50.4,
920546,,31.5
920549,34.7,
920551,65.1,
920552,,37.1
920562,,21.0
920581,,38.5
920582,,87.2
920583,,73.9
920585,76.1,55.0
920586,81.5,56.3
920588,,47.4
920592,51.5,
920594,69.3,
920595,,39.3
920601,32.1,
920604,69.5,
920607,63.4,
920608,47.8,
920636,32.0,
92B000,64.7,
92D000,94.1,
92E000,71.9,
92F000,64.6,61.1
92G000,64.2,63.0
92K000,,82.1
92L000,53.2,
92M000,28.8,
92N000,95.0,
92P000,63.2,40.7
92R000,57.7,
92S000,89.5,
92T000,83.3,61.2
92U000,,48.1
92V000,65.4,
92W000,58.8,
92Y000,70.0,
930340,38.5,
930352,,5.2
930354,33.6,
930360,,14.3
930700,,11.5
93A000,,7.1
93M000,79.1,
93N000,77.8,
940308,44.4,5.0
940316,,17.2
940328,22.8,
940330,,53.3
94Z000,,56.9
950308,41.2,
950312,60.5,
950316,66.7,
950320,37.5,
950322,61.1,
950324,58.3,
950328,58.9,
950332,48.8,
950336,,59.1
950338,,41.4
95A000,66.7,
960312,17.9,
960324,,41.2
960326,14.2,
960330,,31.5
960331,28.3,
960332,30.0,
960335,,11.6
960338,33.3,
