year,unit_code,School_Name,Lea_Name,State_Name,Category_Cd,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,esea_attendance,lea_esea_attendance,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,ib_participation_pct,lea_ib_participation_pct,st_ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,st_ib_pct_4_or_above
2016,00A000,NC Connections Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,I,,,997.0,1006.0,,,0.49,0.52,,,,,0.15,,,0.51,,,,,,0.75
2016,00B000,NC Virtual Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,A,,,997.0,1006.0,,,0.49,0.52,,,,,0.15,,,0.51,,,,,,0.75
2016,010303,Alamance-Burlington Middle College,Alamance-Burlington Schools,State Of North Carolina,H,1034.0,961.0,997.0,1006.0,0.43,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010304,Alexander Wilson Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010308,Altamahaw Ossipee Elem,Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010310,Broadview Middle,Alamance-Burlington Schools,State Of North Carolina,M,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010311,Career Technical Education Center,Alamance-Burlington Schools,State Of North Carolina,H,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010312,"Highland Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010320,E M Yoder Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010324,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina,H,996.0,961.0,997.0,1006.0,0.58,0.51,0.49,0.52,,,0.14,0.15,0.15,0.5,0.37,0.51,,,,,,0.75
2016,010326,Eastlawn Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010328,Edwin M Holt Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010340,Elon Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
2016,010346,B Everett Jordan Elem,Alamance-Burlington Schools,State Of North Carolina,E,,961.0,997.0,1006.0,,0.51,0.49,0.52,,,,0.15,0.15,,0.37,0.51,,,,,,0.75
