year,unit_code,Lea_Name,School_Name,State_Name,category_cd,total_expense_num,salary_expense_pct,benefits_expense_pct,services_expense_pct,supplies_expense_pct,instruct_equip_exp_pct,other_expense_pct,federal_perpupil_num,local_perpupil_num,state_perpupil_num,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_other_expense_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,st_total_expense_num,st_salary_expense_pct,st_benefits_expense_pct,st_services_expense_pct,st_supplies_expense_pct,st_instruct_equip_exp_pct,st_other_expense_pct,st_federal_perpupil_num,st_local_perpupil_num,st_state_perpupil_num,building_expense_pct,lea_building_expense_pct,st_building_expense_pct
2016,84B000,Charter and Non-District Affiliated Schools,Gray Stone Day,State Of North Carolina,H,7213.46,0.501,0.169,0.262,0.051,0.017,0.0,122.34,1462.43,5628.69,,,,,,,,,,,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,63B000,Charter and Non-District Affiliated Schools,STARS Charter,State Of North Carolina,I,7590.59,0.552,0.189,0.192,0.065,0.002,0.0,208.28,1928.6,5453.71,,,,,,,,,,,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840302,Stanly County Schools,Albemarle High,State Of North Carolina,H,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840303,Stanly County Schools,Albemarle Middle,State Of North Carolina,M,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840304,Stanly County Schools,Aquadale Elementary,State Of North Carolina,E,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840308,Stanly County Schools,Badin Elementary,State Of North Carolina,E,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840310,Stanly County Schools,"Central Elementary, Albemarle",State Of North Carolina,E,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840312,Stanly County Schools,Endy Elementary,State Of North Carolina,E,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840316,Stanly County Schools,East Albemarle Elementary,State Of North Carolina,E,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
2016,840320,Stanly County Schools,Locust Elementary,State Of North Carolina,E,,,,,,,,,,,8336.01,0.633,0.216,0.08,0.064,0.007,0.0,879.35,1395.28,6061.38,8859.04,0.62,0.205,0.09,0.075,0.01,0.0,967.75,2172.86,5718.43,,,
