District Name,unit_code,School Name,State Board Region,SPG Grade,SPG Score,Reading SPG Grade,Reading SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing Math III,4-Year Cohort Graduation Rate Score,State Gap Compared
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont Triad Region,C,64.0,,,,,NotMet,66.8,64,,,,50,54,43,62,67,94,87,
Alamance-Burlington Schools,010403,Western Middle,Piedmont Triad Region,C,64.0,66.0,C,55.0,C,NotMet,66.5,63,65,52,81,100,,,,,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont Triad Region,B,71.0,62.0,C,70.0,B,Met,84.9,68,62,65,83,100,,,,,,,
Alexander County Schools,020302,Alexander Central High,Northwest Region,B,76.0,,,,,Exceeded,93.8,72,,,,60,58,71,67,70,94,86,
Alexander County Schools,020304,Bethlehem Elementary,Northwest Region,B,70.0,64.0,C,69.0,C,Met,81.8,67,61,66,84,,,,,,,,
Alexander County Schools,020306,East Alexander Middle,Northwest Region,C,57.0,56.0,C,49.0,D,Met,72.6,53,55,41,76,100,,,,,,,
Alexander County Schools,020308,Ellendale Elementary,Northwest Region,C,66.0,66.0,C,69.0,C,NotMet,58.6,68,64,72,67,,,,,,,,
Alexander County Schools,020316,Hiddenite Elementary,Northwest Region,C,57.0,54.0,D,61.0,C,NotMet,65.9,55,48,60,58,,,,,,,,
Alexander County Schools,020320,Stony Point Elementary,Northwest Region,C,61.0,51.0,D,60.0,C,Met,81.4,56,45,54,87,,,,,,,,
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest Region,B,70.0,62.0,C,71.0,B,Met,80.3,67,59,68,90,,,,,,,,
Alexander County Schools,020328,Taylorsville Elementary,Northwest Region,B,71.0,67.0,C,74.0,B,Exceeded,91.0,67,62,70,69,,,,,,,,
Alexander County Schools,020330,West Alexander Middle,Northwest Region,C,67.0,65.0,C,55.0,C,Exceeded,89.7,61,62,46,89,100,,,,,,,
Alexander County Schools,020332,Wittenburg Elementary,Northwest Region,C,67.0,63.0,C,67.0,C,Met,81.9,64,60,63,81,,,,,,,,
Alleghany County Schools,030304,Alleghany High,Northwest Region,C,62.0,,,,,NotMet,56.5,63,,,,45,61,48,52,58,100,85,
Alleghany County Schools,030308,Glade Creek Elementary,Northwest Region,C,62.0,57.0,C,62.0,C,Met,81.9,58,52,56,76,,,,,,,,
Alleghany County Schools,030316,Piney Creek Elementary,Northwest Region,B,75.0,74.0,B,72.0,B,Met,74.3,75,74,70,90,,,,,,,,
Alleghany County Schools,030320,Sparta Elementary,Northwest Region,C,67.0,64.0,C,65.0,C,Exceeded,85.1,62,59,60,78,,,,,,,,
Anson County Schools,040304,Anson Co. Early College High,Southwest Region,B,72.0,,,,,NotMet,68.6,73,,,,71,80,39,63,,100,100,
Anson County Schools,040305,Anson Academy,Southwest Region,,,,,,,,,,,,,,,,,,,,
Anson County Schools,040306,Anson High School,Southwest Region,D,54.0,,,,,Met,72.9,49,,,,45,37,20,15,27,100,88,
Anson County Schools,040308,Ansonville Elementary,Southwest Region,B,78.0,78.0,B,74.0,B,Exceeded,92.6,75,76,69,88,,,,,,,,
Anson County Schools,040309,Anson Middle,Southwest Region,D,42.0,44.0,D,30.0,F,NotMet,57.9,37,36,24,60,93,,,,,,,
Anson County Schools,040311,Wadesboro Primary,Southwest Region,F,39.0,41.0,D,36.0,F,Met,73.5,30,33,25,43,,,,,,,,
Anson County Schools,040316,Lilesville Elementary,Southwest Region,D,50.0,53.0,D,45.0,D,Exceeded,92.7,40,46,32,45,,,,,,,,
Anson County Schools,040324,Morven Elementary,Southwest Region,D,47.0,41.0,D,50.0,D,Met,71.3,41,33,44,55,,,,,,,,
Anson County Schools,040328,Peachland-Polkton Elem,Southwest Region,B,71.0,73.0,B,63.0,C,Exceeded,91.8,66,69,58,88,,,,,,,,
Anson County Schools,040330,Wadesboro Elementary,Southwest Region,F,39.0,42.0,D,31.0,F,Met,82.7,28,31,19,41,,,,,,,,
Anson County Schools,040700,Anson New Tech High,Southwest Region,D,49.0,,,,,NotMet,58.8,46,,,,15,29,27,33,,100,84,
Ashe County Schools,050302,Ashe County High,Northwest Region,C,69.0,,,,,NotMet,66.5,70,,,,65,60,58,59,76,95,84,
Ashe County Schools,050305,Ashe County Middle,Northwest Region,C,65.0,64.0,C,55.0,C,Met,76.5,62,62,51,85,,,,,,,,
Ashe County Schools,050310,Blue Ridge Elementary,Northwest Region,C,67.0,63.0,C,67.0,C,Exceeded,88.0,62,57,63,81,,,,,,,,
Ashe County Schools,050330,Mountain View Elementary,Northwest Region,B,72.0,69.0,C,71.0,B,Exceeded,90.8,68,65,66,86,,,,,,,,
Ashe County Schools,050335,Westwood Elementary,Northwest Region,B,70.0,72.0,B,62.0,C,Met,83.9,66,67,61,83,,,,,,,,
Avery County Schools,060302,Avery County High,Northwest Region,C,67.0,,,,,Met,73.8,65,,,,52,33,29,60,63,100,100,
Avery County Schools,060304,Banner Elk Elementary,Northwest Region,B,74.0,68.0,C,74.0,B,Exceeded,88.4,70,64,70,92,,,,,,,,
Avery County Schools,060310,Cranberry Middle,Northwest Region,B,71.0,69.0,C,67.0,C,Met,82.0,68,66,64,85,100,,,,,,,
Avery County Schools,060316,Crossnore Elementary,Northwest Region,A+NG,86.0,81.0,B,86.0,A,Exceeded,89.1,85,81,85,100,,,,,,,,Y
Avery County Schools,060318,Avery Middle,Northwest Region,C,60.0,63.0,C,52.0,D,NotMet,62.2,59,60,51,78,86,,,,,,,
Avery County Schools,060322,Freedom Trail Elementary,Northwest Region,C,66.0,67.0,C,60.0,C,NotMet,68.2,66,65,60,88,,,,,,,,
Avery County Schools,060328,Newland Elementary,Northwest Region,C,66.0,63.0,C,68.0,C,Exceeded,87.4,61,58,63,63,,,,,,,,
Avery County Schools,060332,Riverside Elementary,Northwest Region,C,66.0,62.0,C,66.0,C,Met,81.4,62,58,62,83,,,,,,,,
Avery County Schools,060334,Blue Ridge Academy,Northwest Region,,,,,,,,,,,,,,,,,,,,
Avery County Schools,060700,Avery High STEM Academy,Northwest Region,A,87.0,,,,,Met,82.8,89,,,,,84,71,92,80,100,100,N
Avery County Schools,060701,Avery High Viking Academy,Northwest Region,B,75.0,,,,,Met,80.7,74,,,,63,,100,,,,,
Beaufort County Schools,070302,Eastern Elementary,Northeast Region,I,,,,,,,,,,,,,,,,,,,
