year,LEA,____LEA Name____,School,___School Name___,Indian Male,Indian Female,Asian Male,Asian Female,Hispanic Male,Hispanic Female,Black Male,Black Female,White Male,White Female,Pacific Island Male,Pacific Island Female,Two or  More Male,Two or  More Female,Total,unit_code
2016,260,Cumberland County Schools,427,South View High,31,24,11,5,105,110,403,364,288,300,5,4,69,73,"1,792",260427
2016,260,Cumberland County Schools,428,Spring Lake Middle,0,1,2,2,27,26,164,156,21,38,1,2,17,11,468,260428
2016,260,Cumberland County Schools,430,Stedman Elementary,9,4,0,0,9,4,30,16,113,100,0,0,7,11,303,260430
2016,260,Cumberland County Schools,432,Stedman Primary,1,0,0,0,10,10,6,9,54,40,0,0,10,7,147,260432
2016,260,Cumberland County Schools,434,Stoney Point Elementary,8,3,27,32,61,48,82,73,226,218,0,1,34,37,850,260434
2016,260,Cumberland County Schools,440,Sunnyside Elementary,4,2,3,2,15,14,125,117,38,28,1,2,7,14,372,260440
2016,260,Cumberland County Schools,444,Teresa C Berrien Elementary,0,0,0,0,2,4,69,75,3,4,0,0,1,1,159,260444
2016,260,Cumberland County Schools,446,Terry Sanford High,6,8,33,33,60,67,280,236,230,240,3,0,47,51,"1,294",260446
2016,260,Cumberland County Schools,448,Vanstory Hills Elementary,2,2,16,10,23,20,65,80,130,133,0,1,21,13,516,260448
2016,260,Cumberland County Schools,449,Ramsey Street High,0,0,0,0,0,1,12,3,4,2,0,0,5,0,27,260449
2016,260,Cumberland County Schools,450,Warrenwood Elementary,2,5,2,2,27,22,135,143,28,21,0,0,10,10,407,260450
2016,260,Cumberland County Schools,452,Westarea Elementary,7,5,4,3,32,19,196,193,14,9,1,0,17,15,515,260452
2016,260,Cumberland County Schools,454,Westover Middle,4,2,3,4,45,38,248,228,47,46,2,7,21,29,724,260454
2016,260,Cumberland County Schools,455,Westover High,5,6,6,5,70,68,410,374,89,52,3,10,28,42,"1,168",260455
2016,260,Cumberland County Schools,459,William T Brown Elementary,2,0,3,5,40,39,135,129,23,25,0,2,18,16,437,260459
2016,260,Cumberland County Schools,700,Howard Health & Life Sciences,1,1,1,1,5,16,20,48,10,28,0,1,1,8,141,260700
2016,270,Currituck County Schools,304,Central Elementary,0,0,0,1,11,13,9,11,61,59,0,0,6,3,174,270304
2016,270,Currituck County Schools,306,Currituck County High,1,1,1,2,22,20,45,28,454,371,0,1,46,38,"1,030",270306
