Experience,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct_tch,lea_pct_tch,lea_pct_prin,st_pct_tch,st_pct_prin
4-10 Years,2016,130332,Cabarrus County Schools,Hickory Ridge High,State Of North Carolina,H,0.267,0.265,0.378,0.235,0.427
4-10 Years,2016,130333,Cabarrus County Schools,"Performance Learning Center, Concord",State Of North Carolina,T,0.25,0.25,0.378,0.229,0.427
4-10 Years,2016,130336,Cabarrus County Schools,W R Odell Primary,State Of North Carolina,E,0.268,0.297,0.378,0.273,0.427
4-10 Years,2016,130338,Cabarrus County Schools,Weddington Hills Elementary,State Of North Carolina,E,0.295,0.297,0.378,0.273,0.427
4-10 Years,2016,130340,Cabarrus County Schools,Winecoff Elementary,State Of North Carolina,E,0.23,0.297,0.378,0.273,0.427
4-10 Years,2016,130342,Cabarrus County Schools,W M Irvin Elementary,State Of North Carolina,E,0.241,0.297,0.378,0.273,0.427
4-10 Years,2016,130344,Cabarrus County Schools,Wolf Meadow Elementary,State Of North Carolina,E,0.357,0.297,0.378,0.273,0.427
4-10 Years,2016,130345,Cabarrus County Schools,Patriots Elementary,State Of North Carolina,E,0.263,0.297,0.378,0.273,0.427
4-10 Years,2016,130346,Cabarrus County Schools,Hickory Ridge Middle,State Of North Carolina,M,0.338,0.274,0.378,0.251,0.427
4-10 Years,2016,130350,Cabarrus County Schools,Cabarrus-Kannapolis Early Coll,State Of North Carolina,H,0.222,0.265,0.378,0.235,0.427
4-10 Years,2016,130355,Cabarrus County Schools,Harold E. Winkler Middle,State Of North Carolina,M,0.385,0.274,0.378,0.251,0.427
4-10 Years,2016,132304,Kannapolis City Schools,A L Brown High,State Of North Carolina,H,0.206,0.206,0.0,0.235,0.427
4-10 Years,2016,132308,Kannapolis City Schools,"Forest Park Elementary, Kannapolis",State Of North Carolina,E,0.475,0.374,0.0,0.273,0.427
4-10 Years,2016,132312,Kannapolis City Schools,Fred L Wilson Elementary,State Of North Carolina,E,0.207,0.374,0.0,0.273,0.427
4-10 Years,2016,132328,Kannapolis City Schools,Jackson Park Elementary,State Of North Carolina,E,0.457,0.374,0.0,0.273,0.427
4-10 Years,2016,132329,Kannapolis City Schools,Kannapolis Intermediate,State Of North Carolina,M,0.321,0.236,0.0,0.251,0.427
4-10 Years,2016,132330,Kannapolis City Schools,Kannapolis Middle,State Of North Carolina,M,0.151,0.236,0.0,0.251,0.427
4-10 Years,2016,132332,Kannapolis City Schools,Shady Brook Elementary,State Of North Carolina,E,0.286,0.374,0.0,0.273,0.427
4-10 Years,2016,132336,Kannapolis City Schools,Woodrow Wilson Elementary,State Of North Carolina,E,0.381,0.374,0.0,0.273,0.427
4-10 Years,2016,13A000,Charter and Non-District Affiliated Schools,Carolina International School,State Of North Carolina,A,,,,0.226,0.427
4-10 Years,2016,13B000,Charter and Non-District Affiliated Schools,Cabarrus Charter Academy,State Of North Carolina,A,,,,0.226,0.427
4-10 Years,2016,13C000,Charter and Non-District Affiliated Schools,A.C.E. Academy,State Of North Carolina,E,,,,0.273,0.427
4-10 Years,2016,140304,Caldwell County Schools,Baton Elementary,State Of North Carolina,E,0.308,0.267,0.346,0.273,0.427
4-10 Years,2016,140305,Caldwell County Schools,Caldwell Career Cen Mid. Coll.,State Of North Carolina,H,0.222,0.195,0.346,0.235,0.427
4-10 Years,2016,140306,Caldwell County Schools,Gateway School,State Of North Carolina,T,0.167,0.167,0.346,0.229,0.427
4-10 Years,2016,140307,Caldwell County Schools,Horizons Elementary,State Of North Carolina,E,0.3,0.267,0.346,0.273,0.427
4-10 Years,2016,140308,Caldwell County Schools,Collettsville School,State Of North Carolina,I,0.208,0.203,0.346,0.254,0.427
4-10 Years,2016,140309,Caldwell County Schools,Caldwell Early College,State Of North Carolina,H,0.278,0.195,0.346,0.235,0.427
4-10 Years,2016,140312,Caldwell County Schools,Davenport A+ School,State Of North Carolina,E,0.375,0.267,0.346,0.273,0.427
4-10 Years,2016,140316,Caldwell County Schools,Dudley Shoals Elementary,State Of North Carolina,E,0.3,0.267,0.346,0.273,0.427
4-10 Years,2016,140324,Caldwell County Schools,Gamewell Elementary,State Of North Carolina,E,0.294,0.267,0.346,0.273,0.427
4-10 Years,2016,140332,Caldwell County Schools,Gamewell Middle,State Of North Carolina,M,0.225,0.201,0.346,0.251,0.427
4-10 Years,2016,140336,Caldwell County Schools,Granite Falls Middle,State Of North Carolina,M,0.1,0.201,0.346,0.251,0.427
4-10 Years,2016,140340,Caldwell County Schools,Granite Falls Elementary,State Of North Carolina,E,0.194,0.267,0.346,0.273,0.427
4-10 Years,2016,140344,Caldwell County Schools,Happy Valley Elementary,State Of North Carolina,I,0.111,0.203,0.346,0.254,0.427
4-10 Years,2016,140348,Caldwell County Schools,Hibriten High,State Of North Carolina,H,0.203,0.195,0.346,0.235,0.427
4-10 Years,2016,140352,Caldwell County Schools,Hudson Elementary,State Of North Carolina,E,0.22,0.267,0.346,0.273,0.427
4-10 Years,2016,140356,Caldwell County Schools,Hudson Middle,State Of North Carolina,M,0.17,0.201,0.346,0.251,0.427
4-10 Years,2016,140360,Caldwell County Schools,Kings Creek Elementary,State Of North Carolina,I,0.357,0.203,0.346,0.254,0.427
4-10 Years,2016,140368,Caldwell County Schools,William Lenoir Middle,State Of North Carolina,M,0.324,0.201,0.346,0.251,0.427
4-10 Years,2016,140372,Caldwell County Schools,Lower Creek Elementary,State Of North Carolina,E,0.292,0.267,0.346,0.273,0.427
4-10 Years,2016,140376,Caldwell County Schools,"Oak Hill Elementary, Lenoir",State Of North Carolina,I,0.154,0.203,0.346,0.254,0.427
4-10 Years,2016,140384,Caldwell County Schools,Sawmills Elementary,State Of North Carolina,E,0.16,0.267,0.346,0.273,0.427
4-10 Years,2016,140386,Caldwell County Schools,South Caldwell High,State Of North Carolina,H,0.194,0.195,0.346,0.235,0.427
4-10 Years,2016,140388,Caldwell County Schools,Valmead Elementary,State Of North Carolina,E,0.063,0.267,0.346,0.273,0.427
4-10 Years,2016,140390,Caldwell County Schools,West Caldwell High,State Of North Carolina,H,0.159,0.195,0.346,0.235,0.427
4-10 Years,2016,140392,Caldwell County Schools,West Lenoir Elementary,State Of North Carolina,E,0.4,0.267,0.346,0.273,0.427
4-10 Years,2016,140396,Caldwell County Schools,Whitnel Elementary,State Of North Carolina,E,0.333,0.267,0.346,0.273,0.427
4-10 Years,2016,150304,Camden County Schools,Camden County High,State Of North Carolina,H,0.182,0.196,0.8,0.235,0.427
4-10 Years,2016,150308,Camden County Schools,Grandy Primary,State Of North Carolina,E,0.2,0.194,0.8,0.273,0.427
4-10 Years,2016,150310,Camden County Schools,Camden Intermediate,State Of North Carolina,E,0.185,0.194,0.8,0.273,0.427
4-10 Years,2016,150312,Camden County Schools,Camden Middle,State Of North Carolina,M,0.286,0.286,0.8,0.251,0.427
4-10 Years,2016,150700,Camden County Schools,CamTech High,State Of North Carolina,H,0.231,0.196,0.8,0.235,0.427
4-10 Years,2016,160304,Carteret County Public Schools,Atlantic Elementary,State Of North Carolina,E,0.111,0.252,0.176,0.273,0.427
4-10 Years,2016,160306,Carteret County Public Schools,Bogue Sound Elementary,State Of North Carolina,E,0.194,0.252,0.176,0.273,0.427
4-10 Years,2016,160308,Carteret County Public Schools,Beaufort Elementary,State Of North Carolina,E,0.211,0.252,0.176,0.273,0.427
4-10 Years,2016,160309,Carteret County Public Schools,Bridges School,State Of North Carolina,A,0.286,0.286,0.176,0.226,0.427
4-10 Years,2016,160310,Carteret County Public Schools,Beaufort Middle,State Of North Carolina,M,0.227,0.289,0.176,0.251,0.427
4-10 Years,2016,160311,Carteret County Public Schools,Broad Creek Middle,State Of North Carolina,M,0.364,0.289,0.176,0.251,0.427
4-10 Years,2016,160313,Carteret County Public Schools,East Carteret High,State Of North Carolina,H,0.256,0.206,0.176,0.235,0.427
4-10 Years,2016,160314,Carteret County Public Schools,Croatan High,State Of North Carolina,H,0.172,0.206,0.176,0.235,0.427
4-10 Years,2016,160316,Carteret County Public Schools,Harkers Island Elementary,State Of North Carolina,E,0.444,0.252,0.176,0.273,0.427
4-10 Years,2016,160317,Carteret County Public Schools,Morehead Elem at Camp Glenn,State Of North Carolina,E,0.292,0.252,0.176,0.273,0.427
4-10 Years,2016,160318,Carteret County Public Schools,Morehead City Middle,State Of North Carolina,M,0.282,0.289,0.176,0.251,0.427
4-10 Years,2016,160322,Carteret County Public Schools,Morehead City Primary,State Of North Carolina,E,0.156,0.252,0.176,0.273,0.427
4-10 Years,2016,160324,Carteret County Public Schools,Newport Elementary,State Of North Carolina,E,0.3,0.252,0.176,0.273,0.427
4-10 Years,2016,160326,Carteret County Public Schools,Newport Middle,State Of North Carolina,M,0.243,0.289,0.176,0.251,0.427
4-10 Years,2016,160332,Carteret County Public Schools,Down East Middle and Smyrna Elementary,State Of North Carolina,I,0.36,0.36,0.176,0.254,0.427
4-10 Years,2016,160344,Carteret County Public Schools,West Carteret High,State Of North Carolina,H,0.203,0.206,0.176,0.235,0.427
4-10 Years,2016,160352,Carteret County Public Schools,"White Oak Elementary, Cape Carteret",State Of North Carolina,E,0.327,0.252,0.176,0.273,0.427
4-10 Years,2016,16B000,Charter and Non-District Affiliated Schools,Tiller School,State Of North Carolina,E,,,,0.273,0.427
4-10 Years,2016,170316,Caswell County Schools,Bartlett Yancey High,State Of North Carolina,H,0.286,0.286,0.167,0.235,0.427
4-10 Years,2016,170334,Caswell County Schools,"North Elementary, Providence",State Of North Carolina,E,0.179,0.17,0.167,0.273,0.427
4-10 Years,2016,170338,Caswell County Schools,N L Dillard Middle,State Of North Carolina,M,0.273,0.273,0.167,0.251,0.427
4-10 Years,2016,170339,Caswell County Schools,"Oakwood Elementary, Yanceyville",State Of North Carolina,E,0.036,0.17,0.167,0.273,0.427
4-10 Years,2016,170342,Caswell County Schools,"South Elementary, Mebane",State Of North Carolina,E,0.217,0.17,0.167,0.273,0.427
4-10 Years,2016,170344,Caswell County Schools,"Stoney Creek Elementary, Reidsville",State Of North Carolina,E,0.333,0.17,0.167,0.273,0.427
4-10 Years,2016,180302,Catawba County Schools,Harry M Arndt Middle,State Of North Carolina,M,0.15,0.223,0.357,0.251,0.427
4-10 Years,2016,180304,Catawba County Schools,Balls Creek Elementary,State Of North Carolina,E,0.231,0.224,0.357,0.273,0.427
4-10 Years,2016,180308,Catawba County Schools,Bandys High,State Of North Carolina,H,0.192,0.194,0.357,0.235,0.427
4-10 Years,2016,180312,Catawba County Schools,Banoak Elementary,State Of North Carolina,E,0.318,0.224,0.357,0.273,0.427
4-10 Years,2016,180316,Catawba County Schools,Blackburn Elementary,State Of North Carolina,E,0.132,0.224,0.357,0.273,0.427
4-10 Years,2016,180320,Catawba County Schools,Bunker Hill High,State Of North Carolina,H,0.293,0.194,0.357,0.235,0.427
4-10 Years,2016,180323,Catawba County Schools,Catawba Rosenwald Education Center,State Of North Carolina,A,0.176,0.176,0.357,0.226,0.427
4-10 Years,2016,180324,Catawba County Schools,Catawba Elementary School,State Of North Carolina,E,0.235,0.224,0.357,0.273,0.427
4-10 Years,2016,180325,Catawba County Schools,Challenger Early College High,State Of North Carolina,H,0.286,0.194,0.357,0.235,0.427
4-10 Years,2016,180326,Catawba County Schools,Charles H Tuttle Elementary,State Of North Carolina,E,0.138,0.224,0.357,0.273,0.427
4-10 Years,2016,180332,Catawba County Schools,Claremont Elementary,State Of North Carolina,E,0.31,0.224,0.357,0.273,0.427
4-10 Years,2016,180336,Catawba County Schools,Clyde Campbell Elementary,State Of North Carolina,E,0.167,0.224,0.357,0.273,0.427
4-10 Years,2016,180340,Catawba County Schools,Fred T Foard High,State Of North Carolina,H,0.086,0.194,0.357,0.235,0.427
4-10 Years,2016,180342,Catawba County Schools,Jacobs Fork Middle,State Of North Carolina,M,0.031,0.223,0.357,0.251,0.427
4-10 Years,2016,180343,Catawba County Schools,Lyle Creek Elementary,State Of North Carolina,E,0.225,0.224,0.357,0.273,0.427
4-10 Years,2016,180344,Catawba County Schools,Maiden Elementary,State Of North Carolina,E,0.333,0.224,0.357,0.273,0.427
4-10 Years,2016,180346,Catawba County Schools,Maiden Middle School,State Of North Carolina,M,0.267,0.223,0.357,0.251,0.427
4-10 Years,2016,180348,Catawba County Schools,Maiden High,State Of North Carolina,H,0.13,0.194,0.357,0.235,0.427
4-10 Years,2016,180352,Catawba County Schools,Mill Creek Middle,State Of North Carolina,M,0.31,0.223,0.357,0.251,0.427
4-10 Years,2016,180356,Catawba County Schools,"Mountain View Elementary, Hickory",State Of North Carolina,E,0.159,0.224,0.357,0.273,0.427
4-10 Years,2016,180360,Catawba County Schools,Oxford Elementary,State Of North Carolina,E,0.293,0.224,0.357,0.273,0.427
4-10 Years,2016,180364,Catawba County Schools,River Bend Middle,State Of North Carolina,M,0.423,0.223,0.357,0.251,0.427
4-10 Years,2016,180368,Catawba County Schools,Sherrills Ford Elementary,State Of North Carolina,E,0.214,0.224,0.357,0.273,0.427
4-10 Years,2016,180372,Catawba County Schools,Saint Stephens Elementary,State Of North Carolina,E,0.224,0.224,0.357,0.273,0.427
4-10 Years,2016,180376,Catawba County Schools,Saint Stephens High,State Of North Carolina,H,0.233,0.194,0.357,0.235,0.427
4-10 Years,2016,180379,Catawba County Schools,Snow Creek Elementary,State Of North Carolina,E,0.235,0.224,0.357,0.273,0.427
4-10 Years,2016,180380,Catawba County Schools,Startown Elementary,State Of North Carolina,E,0.156,0.224,0.357,0.273,0.427
4-10 Years,2016,180388,Catawba County Schools,Webb A Murray Elementary,State Of North Carolina,E,0.258,0.224,0.357,0.273,0.427
4-10 Years,2016,181312,Hickory City Schools,Northview Middle,State Of North Carolina,M,0.27,0.333,0.333,0.251,0.427
4-10 Years,2016,181316,Hickory City Schools,Grandview Middle,State Of North Carolina,M,0.406,0.333,0.333,0.251,0.427
4-10 Years,2016,181318,Hickory City Schools,Hickory Career Arts Magnet High School,State Of North Carolina,T,0.231,0.231,0.333,0.229,0.427
4-10 Years,2016,181322,Hickory City Schools,Hickory High,State Of North Carolina,H,0.091,0.091,0.333,0.235,0.427
4-10 Years,2016,181326,Hickory City Schools,W M Jenkins Elementary,State Of North Carolina,E,0.08,0.226,0.333,0.273,0.427
4-10 Years,2016,181332,Hickory City Schools,Longview Elementary,State Of North Carolina,E,0.172,0.226,0.333,0.273,0.427
4-10 Years,2016,181336,Hickory City Schools,"Oakwood Elementary, Hickory",State Of North Carolina,E,0.391,0.226,0.333,0.273,0.427
4-10 Years,2016,181342,Hickory City Schools,"Southwest Elementary, Hickory",State Of North Carolina,E,0.182,0.226,0.333,0.273,0.427
4-10 Years,2016,181344,Hickory City Schools,Viewmont Elementary,State Of North Carolina,E,0.294,0.226,0.333,0.273,0.427
