year,agency_code,subgroup,den,pct,masking
2019,00A000,AIG,24,95.0,1.0
2019,00A000,ALL,208,88.5,
2019,00A000,BL7,32,81.3,
2019,00A000,EDS,34,79.4,
2019,00A000,FEM,134,86.6,
2019,00A000,HI7,17,94.1,
2019,00A000,MALE,74,91.9,
2019,00A000,MU7,15,86.7,
2019,00A000,NEDS,174,90.2,
2019,00A000,NSWD,193,90.2,
2019,00A000,SWD,15,66.7,
2019,00A000,WH7,140,89.3,
2019,00B000,ALL,44,25.0,
2019,00B000,FEM,29,27.6,
2019,00B000,MALE,15,20.0,
2019,00B000,NEDS,37,24.3,
2019,00B000,NSWD,39,28.2,
2019,00B000,WH7,38,23.7,
2019,010303,AIG,15,95.0,1.0
2019,010303,ALL,47,95.0,1.0
2019,010303,BL7,13,95.0,1.0
2019,010303,EDS,18,95.0,1.0
2019,010303,FEM,32,95.0,1.0
2019,010303,MALE,15,95.0,1.0
2019,010303,NEDS,29,95.0,1.0
2019,010303,NSWD,46,95.0,1.0
2019,010303,WH7,21,95.0,1.0
2019,010324,AIG,61,95.0,1.0
2019,010324,ALL,262,87.0,
2019,010324,BL7,58,84.5,
2019,010324,EDS,73,80.8,
2019,010324,FEM,132,91.7,
2019,010324,HI7,32,81.3,
2019,010324,MALE,130,82.3,
2019,010324,MU7,13,84.6,
2019,010324,NEDS,189,89.4,
2019,010324,NSWD,237,91.1,
2019,010324,SWD,25,48.0,
2019,010324,WH7,154,89.6,
2019,010348,AIG,18,95.0,1.0
2019,010348,ALL,159,84.3,
2019,010348,BL7,44,84.1,
2019,010348,EDS,96,81.3,
2019,010348,ELS,15,60.0,
2019,010348,FEM,80,91.3,
2019,010348,HI7,75,86.7,
2019,010348,MALE,79,77.2,
2019,010348,NEDS,63,88.9,
2019,010348,NSWD,132,94.7,
2019,010348,SWD,27,33.3,
2019,010348,WH7,29,79.3,
2019,010360,AIG,35,95.0,1.0
2019,010360,ALL,204,86.3,
2019,010360,BL7,77,85.7,
2019,010360,EDS,134,85.1,
2019,010360,ELS,23,69.6,
2019,010360,FEM,86,89.5,
2019,010360,HI7,95,89.5,
2019,010360,MALE,118,83.9,
2019,010360,NEDS,70,88.6,
2019,010360,NSWD,167,95.0,1.0
2019,010360,SWD,37,37.8,
2019,010360,WH7,25,80.0,
2019,010388,AIG,68,95.0,1.0
2019,010388,ALL,357,84.3,
2019,010388,BL7,31,71.0,
2019,010388,EDS,108,73.1,
2019,010388,FEM,168,91.1,
2019,010388,HI7,52,84.6,
2019,010388,MALE,189,78.3,
2019,010388,NEDS,249,89.2,
2019,010388,NSWD,317,91.5,
2019,010388,SWD,40,27.5,
2019,010388,WH7,259,85.7,
2019,010396,AIG,61,95.0,1.0
2019,010396,ALL,293,91.5,
2019,010396,BL7,94,92.6,
2019,010396,EDS,142,87.3,
2019,010396,ELS,15,73.3,
2019,010396,FEM,139,93.5,
2019,010396,HI7,67,88.1,
2019,010396,HMS,10,80.0,
2019,010396,MALE,154,89.6,
2019,010396,MU7,13,92.3,
2019,010396,NEDS,151,95.0,1.0
2019,010396,NSWD,258,95.0,1.0
