year,agency_code,poverty,number_of_teachers,beg_teacher,pct_beg_teachers,prov_teachers,pct_prov_teachers,num_prin,inexp_count_prin,pct_inexp_prin
2019,070310,HIGH,9.0,2.0,0.2222,0.0,0.0,,,
2019,070311,LOW,7.0,0.0,0.0,0.0,0.0,,,
2019,070325,NEITHER,26.0,7.0,0.2692,1.0,0.0385,,,
2019,070326,NEITHER,38.0,4.0,0.1053,0.0,0.0,,,
2019,070327,NEITHER,39.0,6.0,0.1538,0.0,0.0,,,
2019,070328,NEITHER,37.0,2.0,0.0541,0.0,0.0,,,
2019,070329,NEITHER,36.0,3.0,0.0833,1.0,0.0278,,,
2019,070330,LOW,36.0,5.0,0.1389,0.0,0.0,,,
2019,070338,NEITHER,50.0,8.0,0.16,1.0,0.02,,,
2019,070339,NEITHER,32.0,5.0,0.1563,1.0,0.0313,,,
2019,070340,NEITHER,18.0,4.0,0.2222,1.0,0.0556,,,
2019,070342,NEITHER,63.0,7.0,0.1111,4.0,0.0635,,,
2019,07A000,LOW,41.0,3.0,0.0732,0.0,0.0,,,
2019,080311,HIGH,8.0,1.0,0.125,0.0,0.0,,,
2019,080312,HIGH,45.0,13.0,0.2889,1.0,0.0222,,,
2019,080314,HIGH,31.0,9.0,0.2903,1.0,0.0323,,,
2019,080348,HIGH,10.0,3.0,0.3,0.0,0.0,,,
2019,080356,HIGH,19.0,2.0,0.1053,1.0,0.0526,,,
2019,080360,HIGH,15.0,1.0,0.0667,0.0,0.0,,,
2019,080362,HIGH,29.0,2.0,0.069,0.0,0.0,,,
2019,08A000,HIGH,12.0,1.0,0.0833,0.0,0.0,,,
2019,090315,NEITHER,19.0,0.0,0.0,0.0,0.0,,,
2019,090317,HIGH,32.0,2.0,0.0625,0.0,0.0,,,
2019,090318,HIGH,19.0,3.0,0.1579,0.0,0.0,,,
2019,090320,HIGH,18.0,2.0,0.1111,0.0,0.0,,,
2019,090324,HIGH,26.0,4.0,0.1538,0.0,0.0,,,
2019,090328,HIGH,14.0,6.0,0.4286,0.0,0.0,,,
2019,090330,NEITHER,46.0,6.0,0.1304,0.0,0.0,,,
2019,090332,HIGH,27.0,5.0,0.1852,0.0,0.0,,,
2019,090333,HIGH,37.0,4.0,0.1081,0.0,0.0,,,
2019,090352,HIGH,14.0,0.0,0.0,0.0,0.0,,,
2019,090365,HIGH,19.0,2.0,0.1053,0.0,0.0,,,
2019,090368,NEITHER,51.0,6.0,0.1176,0.0,0.0,,,
2019,090376,HIGH,5.0,1.0,0.2,0.0,0.0,,,
2019,09A000,HIGH,21.0,1.0,0.0476,0.0,0.0,,,
2019,09B000,HIGH,31.0,10.0,0.3226,0.0,0.0,,,
2019,100302,NEITHER,69.0,9.0,0.1304,0.0,0.0,,,
2019,100304,NEITHER,42.0,4.0,0.0952,0.0,0.0,,,
2019,100307,LOW,14.0,0.0,0.0,0.0,0.0,,,
2019,100308,HIGH,22.0,2.0,0.0909,0.0,0.0,,,
2019,100309,NEITHER,42.0,4.0,0.0952,0.0,0.0,,,
2019,100310,HIGH,42.0,4.0,0.0952,0.0,0.0,,,
2019,100316,NEITHER,63.0,6.0,0.0952,0.0,0.0,,,
2019,100320,HIGH,48.0,8.0,0.1667,0.0,0.0,,,
2019,100326,NEITHER,84.0,9.0,0.1071,1.0,0.0119,,,
2019,100332,NEITHER,46.0,6.0,0.1304,0.0,0.0,,,
2019,100334,NEITHER,80.0,6.0,0.075,0.0,0.0,,,
2019,100335,NEITHER,49.0,8.0,0.1633,0.0,0.0,,,
2019,100336,NEITHER,38.0,2.0,0.0526,0.0,0.0,,,
2019,100338,HIGH,55.0,8.0,0.1455,1.0,0.0182,,,
2019,100339,NEITHER,42.0,9.0,0.2143,0.0,0.0,,,
2019,100340,NEITHER,40.0,1.0,0.025,0.0,0.0,,,
2019,100342,NEITHER,46.0,11.0,0.2391,0.0,0.0,,,
2019,100344,NEITHER,35.0,1.0,0.0286,0.0,0.0,,,
2019,100348,NEITHER,101.0,10.0,0.099,0.0,0.0,,,
2019,10A000,LOW,50.0,19.0,0.38,0.0,0.0,,,
2019,10B000,LOW,18.0,4.0,0.2222,0.0,0.0,,,
2019,110303,HIGH,22.0,4.0,0.1818,0.0,0.0,,,
2019,110304,NEITHER,82.0,10.0,0.122,0.0,0.0,,,
2019,110306,NEITHER,42.0,5.0,0.11900000000000001,0.0,0.0,,,
2019,110308,NEITHER,19.0,2.0,0.1053,0.0,0.0,,,
2019,110318,NEITHER,18.0,1.0,0.0556,0.0,0.0,,,
2019,110320,NEITHER,37.0,3.0,0.0811,0.0,0.0,,,
2019,110322,NEITHER,18.0,2.0,0.1111,0.0,0.0,,,
2019,110323,LOW,5.0,0.0,0.0,0.0,0.0,,,
2019,110324,HIGH,34.0,7.0,0.2059,0.0,0.0,,,
2019,110326,LOW,41.0,6.0,0.1463,0.0,0.0,,,
2019,110332,NEITHER,26.0,1.0,0.0385,0.0,0.0,,,
2019,110336,NEITHER,58.0,4.0,0.069,0.0,0.0,,,
2019,110338,NEITHER,42.0,2.0,0.0476,0.0,0.0,,,
2019,110340,NEITHER,90.0,12.0,0.1333,0.0,0.0,,,
2019,110342,NEITHER,55.0,10.0,0.1818,1.0,0.0182,,,
2019,110348,HIGH,33.0,3.0,0.0909,0.0,0.0,,,
2019,110352,NEITHER,78.0,4.0,0.0513,0.0,0.0,,,
2019,110356,NEITHER,49.0,3.0,0.0612,0.0,0.0,,,
2019,110366,LOW,39.0,8.0,0.2051,0.0,0.0,,,
2019,110368,NEITHER,31.0,4.0,0.129,0.0,0.0,,,
2019,110370,NEITHER,29.0,1.0,0.0345,0.0,0.0,,,
2019,110372,HIGH,30.0,4.0,0.1333,0.0,0.0,,,
2019,110376,NEITHER,31.0,3.0,0.0968,0.0,0.0,,,
2019,110379,NEITHER,42.0,1.0,0.0238,0.0,0.0,,,
2019,110380,NEITHER,74.0,9.0,0.1216,0.0,0.0,,,
2019,110381,NEITHER,42.0,2.0,0.0476,0.0,0.0,,,
2019,110382,NEITHER,41.0,2.0,0.0488,0.0,0.0,,,
2019,110384,HIGH,39.0,6.0,0.1538,0.0,0.0,,,
2019,110388,NEITHER,19.0,1.0,0.0526,0.0,0.0,,,
2019,110401,NEITHER,43.0,7.0,0.1628,1.0,0.0233,,,
2019,110408,HIGH,43.0,4.0,0.09300000000000001,0.0,0.0,,,
2019,110410,NEITHER,46.0,9.0,0.1957,0.0,0.0,,,
2019,110412,NEITHER,34.0,8.0,0.2353,0.0,0.0,,,
2019,110416,LOW,106.0,8.0,0.0755,0.0,0.0,,,
2019,110420,NEITHER,51.0,5.0,0.098,0.0,0.0,,,
2019,110422,NEITHER,61.0,7.0,0.1148,0.0,0.0,,,
2019,110425,NEITHER,53.0,7.0,0.1321,0.0,0.0,,,
2019,110428,NEITHER,27.0,4.0,0.1481,0.0,0.0,,,
2019,110432,NEITHER,21.0,0.0,0.0,0.0,0.0,,,
2019,110436,NEITHER,40.0,3.0,0.075,0.0,0.0,,,
2019,110444,NEITHER,21.0,5.0,0.2381,0.0,0.0,,,
2019,110450,NEITHER,49.0,8.0,0.1633,0.0,0.0,,,
2019,110451,NEITHER,46.0,0.0,0.0,0.0,0.0,,,
2019,110500,LOW,19.0,1.0,0.0526,0.0,0.0,,,
2019,111302,LOW,101.0,6.0,0.0594,0.0,0.0,,,
2019,111304,NEITHER,30.0,8.0,0.2667,0.0,0.0,,,
2019,111306,LOW,36.0,6.0,0.1667,0.0,0.0,,,
2019,111307,NEITHER,13.0,2.0,0.1538,0.0,0.0,,,
2019,111312,NEITHER,33.0,8.0,0.2424,0.0,0.0,,,
2019,111332,NEITHER,36.0,5.0,0.1389,0.0,0.0,,,
2019,111356,NEITHER,67.0,8.0,0.1194,0.0,0.0,,,
2019,111360,NEITHER,33.0,2.0,0.0606,0.0,0.0,,,
2019,111369,NEITHER,18.0,3.0,0.1667,0.0,0.0,,,
2019,111700,LOW,17.0,0.0,0.0,0.0,0.0,,,
2019,11A000,LOW,38.0,3.0,0.0789,0.0,0.0,,,
2019,11B000,NEITHER,46.0,2.0,0.0435,0.0,0.0,,,
2019,11C000,LOW,73.0,16.0,0.2192,0.0,0.0,,,
2019,11D000,LOW,48.0,8.0,0.1667,0.0,0.0,,,
2019,11K000,NEITHER,14.0,0.0,0.0,0.0,0.0,,,
2019,120308,HIGH,16.0,0.0,0.0,0.0,0.0,,,
2019,120310,LOW,3.0,0.0,0.0,0.0,0.0,,,
2019,120312,NEITHER,27.0,5.0,0.1852,0.0,0.0,,,
2019,120314,NEITHER,61.0,11.0,0.1803,0.0,0.0,,,
2019,120315,NEITHER,39.0,5.0,0.1282,0.0,0.0,,,
2019,120316,HIGH,24.0,7.0,0.2917,0.0,0.0,,,
2019,120318,NEITHER,72.0,4.0,0.0556,0.0,0.0,,,
2019,120320,NEITHER,23.0,2.0,0.087,0.0,0.0,,,
2019,120324,NEITHER,26.0,4.0,0.1538,0.0,0.0,,,
2019,120334,NEITHER,35.0,5.0,0.1429,0.0,0.0,,,
2019,120338,NEITHER,24.0,2.0,0.0833,0.0,0.0,,,
2019,120340,HIGH,23.0,3.0,0.1304,0.0,0.0,,,
2019,120344,NEITHER,20.0,3.0,0.15,0.0,0.0,,,
2019,120346,NEITHER,42.0,3.0,0.0714,0.0,0.0,,,
2019,120350,NEITHER,34.0,5.0,0.1471,0.0,0.0,,,
2019,120352,NEITHER,15.0,0.0,0.0,0.0,0.0,,,
2019,120354,HIGH,41.0,11.0,0.2683,0.0,0.0,,,
2019,120360,NEITHER,25.0,3.0,0.12,0.0,0.0,,,
2019,120364,NEITHER,24.0,4.0,0.1667,0.0,0.0,,,
2019,120368,NEITHER,32.0,3.0,0.0938,0.0,0.0,,,
2019,120370,NEITHER,53.0,4.0,0.0755,0.0,0.0,,,
2019,120374,NEITHER,30.0,4.0,0.1333,0.0,0.0,,,
2019,120376,NEITHER,36.0,6.0,0.1667,0.0,0.0,,,
2019,120380,NEITHER,34.0,5.0,0.1471,0.0,0.0,,,
2019,120386,NEITHER,28.0,2.0,0.0714,0.0,0.0,,,
2019,120390,HIGH,36.0,4.0,0.1111,0.0,0.0,,,
2019,12A000,LOW,27.0,8.0,0.2963,0.0,0.0,,,
2019,130304,NEITHER,60.0,6.0,0.1,0.0,0.0,,,
2019,130307,LOW,97.0,13.0,0.134,0.0,0.0,,,
2019,130308,NEITHER,41.0,3.0,0.0732,0.0,0.0,,,
2019,130309,NEITHER,31.0,5.0,0.1613,0.0,0.0,,,
2019,130310,NEITHER,102.0,18.0,0.1765,0.0,0.0,,,
2019,130311,NEITHER,42.0,4.0,0.0952,0.0,0.0,,,
2019,130312,LOW,67.0,13.0,0.19399999999999998,0.0,0.0,,,
2019,130313,NEITHER,64.0,16.0,0.25,0.0,0.0,,,
2019,130314,NEITHER,90.0,13.0,0.1444,0.0,0.0,,,
2019,130315,LOW,45.0,6.0,0.1333,0.0,0.0,,,
2019,130316,NEITHER,90.0,11.0,0.1222,0.0,0.0,,,
2019,130317,NEITHER,18.0,0.0,0.0,0.0,0.0,,,
2019,130318,NEITHER,68.0,5.0,0.0735,0.0,0.0,,,
2019,130319,LOW,76.0,14.0,0.1842,0.0,0.0,,,
2019,130320,LOW,75.0,6.0,0.08,0.0,0.0,,,
2019,130321,NEITHER,56.0,13.0,0.2321,0.0,0.0,,,
