year,agency_code,grad_project
2019,00A000,N
2019,00B000,N
2019,010303,N
2019,010311,N
2019,010324,N
2019,010348,N
2019,010360,N
2019,010378,N
2019,010388,N
2019,010396,N
2019,010400,N
2019,020302,Y
2019,020303,N
2019,030304,N
2019,040304,Y
2019,040305,Y
2019,040306,Y
2019,06A000,N
2019,06B000,N
2019,070310,N
2019,070311,N
2019,070330,N
2019,070339,N
2019,070342,N
2019,07A000,N
2019,080311,Y
2019,080312,Y
2019,090330,N
2019,090368,N
2019,090376,N
2019,09A000,N
2019,100307,N
2019,100308,N
2019,100326,N
2019,100334,N
2019,100348,N
2019,110303,Y
2019,110304,Y
2019,110322,Y
2019,110323,Y
2019,110336,Y
2019,110340,Y
2019,110352,Y
2019,110380,Y
2019,110416,Y
2019,110500,Y
2019,111302,Y
2019,111700,Y
2019,11C000,N
2019,11D000,N
2019,130307,N
2019,130310,N
2019,130314,N
2019,130316,N
2019,130317,N
2019,130324,N
2019,130326,N
2019,130332,N
2019,130333,N
2019,130349,N
2019,130350,N
2019,132304,Y
2019,13A000,N
2019,13B000,N
2019,150304,N
2019,150350,N
2019,160309,N
2019,160313,N
2019,160314,N
2019,160343,N
2019,160344,N
2019,170316,N
2019,190310,N
2019,190316,N
2019,190336,N
2019,190342,N
2019,190501,N
2019,19A000,N
2019,19B000,N
2019,200308,N
2019,200314,N
2019,200322,N
2019,200328,N
2019,200350,N
2019,210312,Y
2019,220310,N
2019,230312,N
2019,230322,N
2019,230324,N
2019,230330,N
2019,230350,Y
2019,230359,N
2019,230361,N
2019,23A000,N
2019,240334,N
2019,240371,N
2019,240373,N
2019,240380,N
2019,241312,N
2019,241316,N
2019,24B000,N
2019,250314,N
2019,250321,N
2019,250340,N
2019,250356,N
2019,250372,N
2019,260318,N
2019,260322,N
2019,260325,N
2019,260347,N
2019,260354,N
2019,260357,N
2019,260359,N
2019,260374,N
2019,260388,Y
2019,260408,N
2019,260411,Y
2019,260424,N
2019,260427,N
2019,260446,N
2019,260449,N
2019,260455,N
2019,260700,N
2019,270306,N
2019,270311,N
2019,280304,Y
2019,280306,Y
2019,280316,Y
2019,280330,Y
2019,290310,N
2019,291336,N
2019,291350,N
2019,298202,N
2019,298203,N
2019,298204,N
2019,310344,N
2019,310352,N
2019,310364,N
2019,310392,N
2019,320309,N
2019,320312,N
2019,320314,N
2019,320317,N
2019,320322,N
2019,320323,N
2019,320325,N
2019,320329,N
2019,320336,N
2019,320341,N
2019,320353,N
2019,320356,N
2019,320365,N
2019,320368,N
2019,32K000,N
2019,32L000,N
2019,32M000,N
2019,32N000,N
2019,330326,Y
2019,330328,Y
2019,330350,Y
2019,330358,Y
2019,33A000,N
2019,34B000,N
2019,34D000,N
2019,34H000,Y
2019,350308,N
2019,350317,N
2019,350321,N
2019,350336,N
2019,35B000,N
2019,360310,N
2019,360336,N
2019,360337,N
2019,360360,N
2019,360372,N
2019,360378,N
2019,360390,N
2019,360394,N
2019,360396,N
2019,360418,N
2019,360428,N
2019,360470,N
2019,360494,N
2019,360550,N
2019,36B000,N
2019,36C000,N
2019,370312,N
2019,380308,Y
2019,390314,N
2019,390321,N
2019,390322,N
2019,390323,N
2019,390324,N
2019,390352,N
2019,390700,N
2019,39A000,N
2019,39B000,N
2019,400308,N
2019,400315,N
2019,410319,N
2019,410326,N
2019,410355,Y
2019,410358,N
2019,410379,N
2019,410390,N
2019,410391,N
2019,410394,N
2019,410395,N
2019,410398,N
2019,410399,Y
2019,410401,N
2019,410406,N
2019,410407,N
2019,410408,N
2019,410458,N
2019,410464,N
2019,410483,N
2019,410484,N
2019,410489,Y
2019,410490,N
2019,410508,N
2019,410529,Y
2019,410533,N
2019,410534,N
2019,410544,N
2019,410545,N
2019,410547,N
2019,410556,N
2019,410562,N
2019,410569,Y
2019,410579,N
2019,410589,N
2019,410595,N
2019,420346,Y
2019,420358,Y
2019,421316,N
2019,421336,N
2019,422310,N
2019,422315,N
2019,430341,N
2019,430345,N
2019,430346,N
2019,430371,N
2019,430378,N
2019,430384,N
2019,440326,N
2019,440346,N
2019,440378,N
2019,440390,N
2019,450316,Y
2019,450334,Y
2019,450341,Y
2019,450343,Y
2019,450352,Y
2019,450354,Y
2019,460320,Y
2019,460322,Y
2019,460340,Y
2019,470312,Y
2019,470342,Y
2019,470443,Y
2019,480316,N
2019,480318,N
2019,490307,N
2019,490320,Y
2019,490335,Y
2019,490346,Y
2019,490350,N
2019,490354,Y
2019,490355,Y
2019,490362,Y
2019,490380,Y
2019,491305,Y
2019,491312,Y
2019,49E000,Y
2019,49F000,N
2019,500302,N
2019,500323,N
2019,500324,N
2019,500340,N
2019,50A000,N
2019,510324,N
2019,510325,N
2019,510327,N
2019,510333,N
2019,510367,N
2019,510368,N
2019,510376,N
2019,510399,N
2019,510402,N
2019,510406,N
2019,51A000,N
2019,520320,N
2019,530306,N
2019,530316,N
2019,530335,N
2019,530336,N
2019,530343,N
2019,540315,N
2019,540317,N
2019,540318,N
2019,540324,N
2019,540336,N
2019,550308,N
2019,550320,N
2019,550330,N
2019,550332,N
2019,550344,N
2019,550368,N
2019,55A000,N
2019,560320,N
2019,560324,N
2019,560329,N
2019,560332,N
2019,560350,N
2019,570317,N
2019,570318,N
2019,580344,N
2019,580368,N
2019,58B000,Y
2019,590326,N
2019,590328,N
2019,590330,N
2019,600302,Y
2019,600312,Y
2019,600334,Y
2019,600341,Y
2019,600361,Y
2019,600364,Y
2019,600377,Y
2019,600386,Y
2019,600397,Y
2019,600404,Y
2019,600405,Y
2019,600415,Y
2019,600426,Y
2019,600439,Y
2019,600443,Y
2019,600445,Y
2019,600454,Y
2019,600457,Y
2019,600461,Y
2019,600466,Y
2019,600480,Y
2019,600482,Y
2019,600490,Y
2019,600496,Y
2019,600498,Y
2019,600499,Y
2019,600508,Y
2019,600535,Y
2019,600567,Y
2019,600569,Y
2019,600576,Y
2019,600579,Y
2019,600592,Y
2019,600594,Y
2019,60B000,N
2019,60D000,N
2019,60G000,Y
2019,60I000,Y
2019,60K000,N
2019,60M000,N
2019,60S000,N
2019,60U000,N
2019,60V000,N
2019,610332,N
2019,610334,N
2019,61L000,N
2019,61X000,N
2019,620310,N
2019,620316,N
2019,620340,N
2019,620350,N
2019,630330,N
2019,630332,N
2019,630336,N
2019,630360,N
2019,640340,N
2019,640342,N
2019,640346,N
2019,640347,N
2019,640350,N
2019,640361,N
2019,640364,N
2019,64A000,N
2019,650326,Y
2019,650327,Y
2019,650340,Y
2019,650342,Y
2019,650352,Y
2019,650354,Y
2019,650355,Y
2019,650394,Y
2019,660336,Y
2019,660400,N
2019,66A000,Y
2019,670320,N
2019,670324,N
2019,670333,N
2019,670340,N
2019,670344,N
2019,670352,N
2019,670364,N
2019,680310,N
2019,680332,N
2019,680335,N
2019,681305,N
2019,681308,N
2019,681314,N
2019,681328,N
2019,681338,N
2019,690320,N
2019,69A000,N
2019,700310,N
2019,700317,N
2019,700319,N
2019,700325,N
2019,70A000,N
2019,710321,N
2019,710326,N
2019,710327,N
2019,710342,N
2019,720316,N
2019,730350,N
2019,730352,N
2019,740309,N
2019,740333,N
2019,740344,N
2019,740366,N
2019,740374,N
2019,740378,N
2019,740388,N
2019,740500,N
2019,740501,N
2019,750317,N
2019,750318,N
2019,760318,N
2019,760339,N
2019,760348,N
2019,760354,N
2019,760358,N
2019,760380,N
2019,760382,N
2019,760388,N
2019,761304,N
2019,770342,N
2019,770348,N
2019,770349,N
2019,780325,N
2019,780342,N
2019,780385,N
2019,780391,N
2019,780401,N
2019,780402,N
2019,780420,N
2019,790314,Y
2019,790354,Y
2019,790366,Y
2019,790378,Y
2019,790379,Y
2019,790392,N
2019,800308,N
2019,800340,N
2019,800361,N
2019,800376,N
2019,800394,N
2019,800396,N
2019,800400,N
2019,800408,N
2019,810324,Y
2019,810340,Y
2019,810384,Y
2019,810385,Y
2019,810386,Y
2019,81A000,Y
2019,81B000,Y
2019,820324,Y
2019,820348,N
2019,820349,N
2019,820352,N
2019,820388,N
2019,821308,N
2019,830316,N
2019,830343,N
2019,830348,N
2019,840302,N
2019,840332,N
2019,840356,N
2019,840361,N
2019,840366,N
2019,840368,N
2019,840370,N
2019,84B000,N
2019,860316,Y
2019,860336,Y
2019,860352,Y
2019,860354,Y
2019,861308,Y
2019,862312,Y
2019,86T000,Y
2019,870314,N
2019,880308,Y
2019,880320,Y
2019,880328,Y
2019,890304,N
2019,900311,N
2019,900316,N
2019,900336,N
2019,900342,N
2019,900344,N
2019,900348,N
2019,900360,N
2019,900365,N
2019,900366,N
2019,900367,N
2019,900377,N
2019,900392,N
2019,900393,N
2019,90A000,N
2019,910368,N
2019,910370,N
2019,910382,Y
2019,91A000,N
2019,91B000,N
2019,920316,N
2019,920317,N
2019,920318,N
2019,920324,N
2019,920348,N
2019,920368,N
2019,920386,N
2019,920411,N
2019,920412,N
2019,920428,N
2019,920436,N
2019,920441,N
2019,920445,N
2019,920455,N
2019,920466,N
2019,920473,N
2019,920495,N
2019,920500,N
2019,920518,N
2019,920526,N
2019,920528,N
2019,920546,N
2019,920552,N
2019,920556,N
2019,920561,N
2019,920562,N
2019,920581,N
2019,920582,N
2019,920583,N
2019,920585,N
2019,920586,N
2019,920588,N
2019,920595,N
2019,92F000,N
2019,92G000,N
2019,92K000,N
2019,92P000,N
2019,92T000,N
2019,92U000,N
2019,930352,N
2019,930360,N
2019,930700,N
2019,93A000,N
2019,93L000,N
2019,940316,N
2019,940330,N
2019,94Z000,N
2019,960324,N
2019,960330,N
2019,960335,N
2019,960372,N
2019,960380,N
2019,960386,N
2019,960488,N
2019,960490,N
2019,960700,N
2019,970320,Y
2019,970356,Y
2019,970388,Y
2019,970390,Y
2019,970393,Y
2019,97D000,N
2019,980306,N
2019,980318,N
2019,980336,N
2019,980342,N
2019,980397,N
2019,980398,N
2019,98B000,N
2019,990340,N
2019,995330,N
