digital_media,year,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
2,2019,340366,M,Yes,6:07:08,Yes,6:07:08,Yes,6:07:08,16.94,58,1.14,2004.0,0.45
1,2019,340368,E,Yes,K:1:2:3:4:5,No,-,No,-,15.43,48,1.14,2005.0,0.89
2,2019,340372,M,No,-,No,-,Yes,6:07:08,14.57,58,1.02,2007.0,0.98
7,2019,340376,E,Yes,K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,26.18,48,1.09,2003.0,0.56
1,2019,340380,E,No,-,No,-,No,-,18.69,59,1.2,2003.0,1.02
6,2019,340382,H,No,-,No,-,Yes,9:10:11:12,6.97,102,1.24,2005.0,1.12
1,2019,340384,E,No,-,No,-,Yes,PK:K:1:2:3:4:5,19.43,53,1.18,2001.0,1.19
1,2019,340385,T,No,-,No,-,Yes,6:7:8:9:10:11:12,42.86,48,1.3,2000.0,0.35
1,2019,340390,E,Yes,3:04:05,No,-,No,-,17.59,62,1.32,2003.0,1.08
2,2019,340392,M,No,-,No,-,Yes,6:07:08,6.87,61,0.9,2007.0,0.75
-,2019,340398,A,No,-,No,-,No,-,,,,,0.18
1,2019,340400,E,Yes,5,No,-,Yes,K:1:2:3:4:5,29.81,47,1.15,1999.0,1.13
1,2019,340403,E,Yes,3:04:05,No,-,Yes,K:1:2:3:4:5,20.79,54,1.38,2003.0,1.02
2,2019,340406,M,No,-,No,-,Yes,6:07:08,3.28,76,1.12,2003.0,0.62
1,2019,340416,E,Yes,5,No,-,No,-,16.74,75,1.19,2001.0,0.79
5,2019,340420,M,No,-,No,-,Yes,6:07:08,15.87,57,1.1,2002.0,0.91
3,2019,340424,E,Yes,PK:K:3:4:5,Yes,PK:K,No,-,39,30,1.5,2006.0,0.68
1,2019,340426,E,Yes,5,No,-,No,-,13.1,53,0.98,2007.0,0.94
-,2019,340427,A,No,-,No,-,Yes,6:7:8:9:10:11:12,,19,1.12,,0.39
3,2019,340428,E,Yes,2:3:4:5,No,-,Yes,4:05,11.78,53,1.04,2003.0,0.7
1,2019,340430,E,Yes,PK:K:5,Yes,PK:K,No,-,41.1,56,1.4,2006.0,0.72
1,2019,340432,E,Yes,2:3:4:5,No,-,Yes,K:1:2:3:4:5,16.98,38,0.93,2005.0,1.05
20,2019,340436,M,No,-,No,-,No,-,3.97,,,2001.0,0.8
1,2019,340440,E,Yes,2:3:4:5,No,-,Yes,K:1:2:3:4:5,14.68,61,1.02,2001.0,1.01
3,2019,340442,M,No,-,No,-,Yes,6:07:08,7.08,73,1.07,2002.0,0.95
-,2019,340446,H,No,-,No,-,Yes,11:12,,,,,0.84
1,2019,340447,,Yes,2:04:05,No,-,No,-,40.93,44,1.16,2004.0,1.11
1,2019,340448,E,No,-,No,-,No,-,22.2,60,1.3,2002.0,1.07
2,2019,340452,M,No,-,No,-,Yes,6:07:08,19.65,48,1.17,2001.0,0.81
1,2019,340453,E,Yes,2:3:4:5,Yes,13,Yes,K:1:2:3:4:5,24.27,42,1.02,2002.0,0.93
1,2019,340454,H,No,-,No,-,Yes,9:10:11:12,6.12,97,1.28,1997.0,1.02
2,2019,340457,E,Yes,3:04:05,No,-,No,-,17.19,54,1.0,2009.0,0.86
2,2019,340460,H,No,-,No,-,Yes,9:10:11:12,9.08,88,1.38,1999.0,0.7
2,2019,340462,E,Yes,5,No,-,No,-,18.08,54,1.69,2000.0,0.82
2,2019,340464,M,Yes,6:07:08,Yes,6:07:08,Yes,6:07:08,10.12,63,1.09,2004.0,0.51
1,2019,340472,E,Yes,5,No,-,Yes,2:3:4:5,20.62,42,1.11,2004.0,1.02
5,2019,340476,E,Yes,PK:5,Yes,PK,No,-,32.63,70,1.37,2006.0,0.65
7,2019,340480,T,No,-,No,-,Yes,6:7:8:9:10,6.88,56,1.81,2006.0,0.64
1,2019,340486,H,No,-,No,-,Yes,9:10:11:12,10.35,97,1.13,1993.0,0.89
10,2019,340488,T,No,-,Yes,6:7:8:9:10:11:12,Yes,6:7:8:9:11:12,21.22,54,1.42,2006.0,0.49
3,2019,340490,E,Yes,PK:K:1:2:3:4:5,No,-,Yes,PK:K:1:2:3:4:5,43.82,58,1.45,2005.0,0.51
5,2019,340492,M,Yes,6:07:08,Yes,6:07:08,Yes,6:07:08,25.64,43,1.1,2003.0,0.39
1,2019,340494,E,Yes,4:05,No,-,Yes,K:1:2:3:4:5,20.42,56,1.22,2003.0,1.03
1,2019,340495,H,No,-,No,-,Yes,9:10:11:12,7.54,102,1.28,2003.0,1.17
1,2019,340496,H,No,-,No,-,Yes,9:10:11:12,5.01,103,1.29,2000.0,1.16
0,2019,340504,E,No,-,No,-,Yes,K:1:2:3:4:5,21.36,51,1.0,2000.0,1.29
2,2019,340508,E,Yes,5,Yes,3,Yes,PK:K:1:2:3:4:5,15.96,60,1.18,2002.0,1.1
1,2019,340512,E,Yes,3:04:05,No,-,No,-,15.08,53,1.06,2002.0,0.95
2,2019,340514,E,No,-,No,-,No,-,19.61,70,1.46,2010.0,0.94
0,2019,340516,M,No,-,No,-,Yes,6:07:08,6.52,70,1.17,2003.0,1.13
1,2019,340520,E,Yes,2:3:4:5,No,-,No,-,25.31,45,1.05,1997.0,0.83
4,2019,340528,E,Yes,4:05,No,-,Yes,3:05,13.51,60,1.5,2005.0,1.32
1,2019,340530,E,Yes,1:2:3:4:5,No,-,No,-,15.93,50,0.98,2004.0,0.94
-,2019,340531,E,No,-,No,-,Yes,PK:K:1:2:3:4:5,,24,2.18,,0.51
1,2019,340532,E,Yes,3:04:05,No,-,Yes,5,27.49,67,1.56,2002.0,0.78
2,2019,340536,E,Yes,5,No,-,Yes,K:1:2:3:4:5,17.13,49,1.07,2003.0,1.98
1,2019,340540,E,Yes,4:05,No,-,No,-,17.66,64,1.19,2003.0,1.31
5,2019,340542,H,No,-,No,-,Yes,9:10:11:12,27.43,57,1.21,2006.0,0.62
5,2019,340544,M,No,-,No,-,Yes,6:07:08,21.41,58,1.21,2006.0,0.76
1,2019,340548,E,Yes,5,No,-,No,-,25.51,60,1.62,2003.0,1.1
