year,agency_code,target,subgroup,pct,masking
2019,00A000,The ACT,ALL,82,
2019,00A000,The ACT,BL7,79,
2019,00A000,The ACT,EDS,70,
2019,00A000,The ACT,HI7,76,
2019,00A000,The ACT,WH7,83,
2019,00A000,Math Grades 3-8,ALL,94,
2019,00A000,Math Grades 3-8,BL7,93,
2019,00A000,Math Grades 3-8,EDS,93,
2019,00A000,Math Grades 3-8,ELS,94,
2019,00A000,Math Grades 3-8,HI7,94,
2019,00A000,Math Grades 3-8,MU7,86,
2019,00A000,Math Grades 3-8,SWD,94,
2019,00A000,Math Grades 3-8,WH7,95,1.0
2019,00A000,High School Math,ALL,87,
2019,00A000,High School Math,BL7,84,
2019,00A000,High School Math,EDS,95,1.0
2019,00A000,High School Math,HI7,94,
2019,00A000,High School Math,WH7,89,
2019,00A000,Reading Grades 3-8,ALL,94,
2019,00A000,Reading Grades 3-8,BL7,93,
2019,00A000,Reading Grades 3-8,EDS,93,
2019,00A000,Reading Grades 3-8,ELS,94,
2019,00A000,Reading Grades 3-8,HI7,94,
2019,00A000,Reading Grades 3-8,MU7,86,
2019,00A000,Reading Grades 3-8,SWD,92,
2019,00A000,Reading Grades 3-8,WH7,95,1.0
2019,00A000,English II,ALL,91,
2019,00A000,English II,BL7,90,
2019,00A000,English II,EDS,89,
2019,00A000,English II,SWD,84,
2019,00A000,English II,WH7,92,
2019,00A000,Science Grades 5&8,ALL,92,
2019,00A000,Science Grades 5&8,BL7,89,
2019,00A000,Science Grades 5&8,EDS,92,
2019,00A000,Science Grades 5&8,HI7,95,1.0
2019,00A000,Science Grades 5&8,MU7,89,
2019,00A000,Science Grades 5&8,SWD,88,
2019,00A000,Science Grades 5&8,WH7,94,
2019,00A000,Biology,ALL,85,
2019,00A000,Biology,BL7,84,
2019,00A000,Biology,EDS,89,
2019,00A000,Biology,HI7,95,1.0
2019,00A000,Biology,WH7,84,
2019,00B000,The ACT,ALL,95,1.0
2019,00B000,The ACT,BL7,95,1.0
2019,00B000,The ACT,WH7,95,1.0
2019,00B000,Math Grades 3-8,ALL,95,1.0
2019,00B000,Math Grades 3-8,BL7,95,1.0
2019,00B000,Math Grades 3-8,EDS,95,1.0
2019,00B000,Math Grades 3-8,HI7,95,1.0
2019,00B000,Math Grades 3-8,MU7,95,1.0
2019,00B000,Math Grades 3-8,SWD,95,1.0
2019,00B000,Math Grades 3-8,WH7,95,1.0
2019,00B000,High School Math,ALL,90,
2019,00B000,High School Math,BL7,83,
2019,00B000,High School Math,WH7,93,
2019,00B000,Reading Grades 3-8,ALL,95,1.0
2019,00B000,Reading Grades 3-8,BL7,95,1.0
2019,00B000,Reading Grades 3-8,EDS,95,1.0
2019,00B000,Reading Grades 3-8,HI7,95,1.0
2019,00B000,Reading Grades 3-8,MU7,95,1.0
2019,00B000,Reading Grades 3-8,SWD,95,1.0
2019,00B000,Reading Grades 3-8,WH7,95,1.0
2019,00B000,English II,ALL,95,1.0
2019,00B000,English II,WH7,95,1.0
2019,00B000,Science Grades 5&8,ALL,95,1.0
2019,00B000,Science Grades 5&8,BL7,95,1.0
2019,00B000,Science Grades 5&8,EDS,95,1.0
2019,00B000,Science Grades 5&8,HI7,95,1.0
2019,00B000,Science Grades 5&8,MU7,95,1.0
2019,00B000,Science Grades 5&8,SWD,95,1.0
2019,00B000,Science Grades 5&8,WH7,95,1.0
2019,00B000,Biology,ALL,95,1.0
2019,00B000,Biology,BL7,95,1.0
2019,00B000,Biology,WH7,95,1.0
2019,10303,The ACT,ALL,95,1.0
2019,10303,High School Math,ALL,95,1.0
2019,10303,English II,ALL,95,1.0
2019,10303,Biology,ALL,95,1.0
2019,10304,Math Grades 3-8,ALL,95,1.0
2019,10304,Math Grades 3-8,BL7,95,1.0
2019,10304,Math Grades 3-8,EDS,95,1.0
2019,10304,Math Grades 3-8,ELS,95,1.0
2019,10304,Math Grades 3-8,HI7,95,1.0
2019,10304,Math Grades 3-8,WH7,95,1.0
2019,10304,Reading Grades 3-8,ALL,95,1.0
2019,10304,Reading Grades 3-8,BL7,95,1.0
2019,10304,Reading Grades 3-8,EDS,95,1.0
2019,10304,Reading Grades 3-8,ELS,95,1.0
2019,10304,Reading Grades 3-8,HI7,95,1.0
2019,10304,Reading Grades 3-8,WH7,95,1.0
2019,10304,Science Grades 5&8,ALL,95,1.0
2019,10304,Science Grades 5&8,EDS,95,1.0
2019,10304,Science Grades 5&8,WH7,95,1.0
2019,10308,Math Grades 3-8,ALL,95,1.0
2019,10308,Math Grades 3-8,BL7,95,1.0
2019,10308,Math Grades 3-8,EDS,95,1.0
2019,10308,Math Grades 3-8,HI7,95,1.0
2019,10308,Math Grades 3-8,WH7,95,1.0
2019,10308,Reading Grades 3-8,ALL,95,1.0
2019,10308,Reading Grades 3-8,BL7,95,1.0
2019,10308,Reading Grades 3-8,EDS,95,1.0
2019,10308,Reading Grades 3-8,HI7,95,1.0
2019,10308,Reading Grades 3-8,WH7,95,1.0
2019,10308,Science Grades 5&8,ALL,95,1.0
2019,10308,Science Grades 5&8,EDS,95,1.0
2019,10308,Science Grades 5&8,WH7,95,1.0
2019,10310,Math Grades 3-8,ALL,95,1.0
2019,10310,Math Grades 3-8,BL7,95,1.0
2019,10310,Math Grades 3-8,EDS,95,1.0
2019,10310,Math Grades 3-8,ELS,95,1.0
2019,10310,Math Grades 3-8,HI7,95,1.0
2019,10310,Math Grades 3-8,SWD,95,1.0
2019,10310,Math Grades 3-8,WH7,95,1.0
2019,10310,Reading Grades 3-8,ALL,95,1.0
2019,10310,Reading Grades 3-8,BL7,95,1.0
2019,10310,Reading Grades 3-8,EDS,95,1.0
2019,10310,Reading Grades 3-8,ELS,95,1.0
2019,10310,Reading Grades 3-8,HI7,95,1.0
2019,10310,Reading Grades 3-8,SWD,95,1.0
2019,10310,Reading Grades 3-8,WH7,95,1.0
2019,10310,Science Grades 5&8,ALL,95,1.0
2019,10310,Science Grades 5&8,BL7,95,1.0
