year,agency_code,target,pct_met,target_met,target_assign
2019,10392,Reading Grades 3-8,100.0,3,3
2019,10392,Science Grades 5&8,100.0,3,3
2019,10394,Total Targets,100.0,21,21
2019,10394,Math Grades 3-8,100.0,8,8
2019,10394,Reading Grades 3-8,100.0,8,8
2019,10394,Science Grades 5&8,100.0,5,5
2019,10396,The ACT,20.0,1,5
2019,10396,Total Targets,80.8,21,26
2019,10396,High School Math,100.0,5,5
2019,10396,English II,83.3,5,6
2019,10396,Biology,100.0,5,5
2019,10396,ACT WorkKeys,100.0,5,5
2019,10400,The ACT,80.0,4,5
2019,10400,Total Targets,95.5,21,22
2019,10400,High School Math,100.0,5,5
2019,10400,English II,100.0,5,5
2019,10400,Biology,100.0,5,5
2019,10400,ACT WorkKeys,100.0,2,2
2019,10403,Total Targets,100.0,20,20
2019,10403,Math Grades 3-8,100.0,8,8
2019,10403,Reading Grades 3-8,100.0,8,8
2019,10403,Science Grades 5&8,100.0,4,4
2019,10406,Total Targets,100.0,21,21
2019,10406,Math Grades 3-8,100.0,8,8
2019,10406,Reading Grades 3-8,100.0,8,8
2019,10406,Science Grades 5&8,100.0,5,5
2019,01B000,The ACT,100.0,1,1
2019,01B000,Total Targets,100.0,19,19
2019,01B000,Math Grades 3-8,100.0,6,6
2019,01B000,High School Math,100.0,1,1
2019,01B000,Reading Grades 3-8,100.0,6,6
2019,01B000,English II,100.0,2,2
2019,01B000,Science Grades 5&8,100.0,2,2
2019,01B000,Biology,100.0,1,1
2019,01C000,The ACT,100.0,1,1
2019,01C000,Total Targets,100.0,17,17
2019,01C000,Math Grades 3-8,100.0,4,4
2019,01C000,High School Math,100.0,2,2
2019,01C000,Reading Grades 3-8,100.0,4,4
2019,01C000,English II,100.0,2,2
2019,01C000,Science Grades 5&8,100.0,2,2
2019,01C000,Biology,100.0,2,2
2019,01D000,The ACT,100.0,1,1
2019,01D000,Total Targets,100.0,9,9
2019,01D000,Math Grades 3-8,100.0,2,2
2019,01D000,Reading Grades 3-8,100.0,2,2
2019,01D000,English II,100.0,2,2
2019,01D000,Science Grades 5&8,100.0,2,2
2019,20302,The ACT,100.0,5,5
2019,20302,Total Targets,100.0,22,22
2019,20302,High School Math,100.0,5,5
2019,20302,English II,100.0,4,4
2019,20302,Biology,100.0,5,5
2019,20302,ACT WorkKeys,100.0,3,3
2019,20303,The ACT,100.0,1,1
2019,20303,Total Targets,100.0,5,5
2019,20303,High School Math,100.0,1,1
2019,20303,English II,100.0,2,2
2019,20303,Biology,100.0,1,1
2019,20304,Total Targets,100.0,8,8
2019,20304,Math Grades 3-8,100.0,3,3
2019,20304,Reading Grades 3-8,100.0,3,3
2019,20304,Science Grades 5&8,100.0,2,2
2019,20306,Total Targets,100.0,20,20
2019,20306,Math Grades 3-8,100.0,8,8
2019,20306,Reading Grades 3-8,100.0,8,8
2019,20306,Science Grades 5&8,100.0,4,4
2019,20308,Total Targets,100.0,8,8
2019,20308,Math Grades 3-8,100.0,3,3
2019,20308,Reading Grades 3-8,100.0,3,3
2019,20308,Science Grades 5&8,100.0,2,2
2019,20316,Total Targets,100.0,15,15
2019,20316,Math Grades 3-8,100.0,6,6
2019,20316,Reading Grades 3-8,100.0,6,6
2019,20316,Science Grades 5&8,100.0,3,3
2019,20320,Total Targets,100.0,7,7
2019,20320,Math Grades 3-8,100.0,3,3
2019,20320,Reading Grades 3-8,100.0,3,3
2019,20320,Science Grades 5&8,100.0,1,1
2019,20324,Total Targets,100.0,6,6
2019,20324,Math Grades 3-8,100.0,3,3
2019,20324,Reading Grades 3-8,100.0,3,3
2019,20328,Total Targets,100.0,7,7
2019,20328,Math Grades 3-8,100.0,3,3
2019,20328,Reading Grades 3-8,100.0,3,3
2019,20328,Science Grades 5&8,100.0,1,1
2019,20330,Total Targets,100.0,13,13
2019,20330,Math Grades 3-8,100.0,5,5
2019,20330,Reading Grades 3-8,100.0,5,5
2019,20330,Science Grades 5&8,100.0,3,3
2019,20332,Total Targets,100.0,8,8
2019,20332,Math Grades 3-8,100.0,3,3
2019,20332,Reading Grades 3-8,100.0,3,3
2019,20332,Science Grades 5&8,100.0,2,2
2019,30304,The ACT,100.0,3,3
2019,30304,Total Targets,100.0,15,15
2019,30304,High School Math,100.0,3,3
2019,30304,English II,100.0,3,3
2019,30304,Biology,100.0,3,3
2019,30304,ACT WorkKeys,100.0,3,3
2019,30308,Total Targets,100.0,11,11
2019,30308,Math Grades 3-8,100.0,4,4
2019,30308,Reading Grades 3-8,100.0,4,4
2019,30308,Science Grades 5&8,100.0,3,3
2019,30316,Total Targets,100.0,8,8
2019,30316,Math Grades 3-8,100.0,3,3
2019,30316,Reading Grades 3-8,100.0,3,3
2019,30316,Science Grades 5&8,100.0,2,2
2019,30320,Total Targets,100.0,13,13
2019,30320,Math Grades 3-8,100.0,5,5
2019,30320,Reading Grades 3-8,100.0,5,5
2019,30320,Science Grades 5&8,100.0,3,3
2019,40304,The ACT,100.0,2,2
