year,agency_code,asm_option,k2_feeder,subgroup,aaa_score,aaa_score_masking,awa_score,awa_score_masking,cgrs_score,cgrs_score_masking,elp_score,elp_score_masking,mcr_score,mcr_score_masking,scgs_score,scgs_score_masking,bi_score,bi_score_masking,ach_score,eg_status,eg_score,spg_score,spg_grade,mags_score,mags_score_masking,ma_eg_status,ma_eg_score,ma_spg_score,ma_spg_grade,rdgs_score,rdgs_score_masking,rd_eg_status,rd_eg_score,rd_spg_score,rd_spg_grade
2019,00A000,N,N,ALL,44.5,,64.2,,48.3,,,,88.8,,64.2,,45.7,,50.1,NotMet,50.0,50.0,D,33.1,,NotMet,50.0,36.0,F,58.1,,NotMet,57.7,58.0,C
2019,00A000,N,N,AM7,33.3,,,,,,,,,,,,,,33.3,,,33.0,F,,,,,,,,,,,,
2019,00A000,N,N,AS7,70.6,,,,,,,,,,,,,,70.6,,,71.0,B,,,,,,,,,,,,
2019,00A000,N,N,BL7,30.1,,,,43.6,,,,80.6,,52.6,,34.9,,35.7,NotMet,56.5,40.0,D,,,,,,,,,,,,
2019,00A000,N,N,EDS,30.0,,,,31.3,,,,81.3,,39.8,,34.0,,33.7,NotMet,50.0,37.0,F,,,,,,,,,,,,
2019,00A000,N,N,ELS,35.4,,,,,,,,,,,,,,35.4,,,35.0,F,,,,,,,,,,,,
2019,00A000,N,N,HI7,46.8,,,,43.2,,,,,,65.6,,32.3,,48.1,NotMet,55.6,50.0,D,,,,,,,,,,,,
2019,00A000,N,N,MU7,35.8,,,,45.5,,,,,,62.2,,,,40.6,NotMet,55.8,44.0,D,,,,,,,,,,,,
2019,00A000,N,N,SWD,17.6,,,,35.1,,,,,,38.6,,,,21.5,NotMet,58.8,29.0,F,,,,,,,,,,,,
2019,00A000,N,N,WH7,49.5,,64.2,,50.4,,,,89.9,,68.4,,49.4,,54.7,NotMet,50.0,54.0,D,,,,,,,,,,,,
2019,00B000,N,N,ALL,45.3,,56.1,,60.2,,,,25.0,,67.8,,35.0,,47.8,NotMet,50.8,48.0,D,31.3,,NotMet,50.0,35.0,F,57.8,,Met,73.3,61.0,C
2019,00B000,N,N,AS7,66.7,,,,,,,,,,,,,,66.7,,,67.0,C,,,,,,,,,,,,
2019,00B000,N,N,BL7,33.8,,,,,,,,,,53.5,,,,36.4,NotMet,57.5,41.0,D,,,,,,,,,,,,
2019,00B000,N,N,EDS,34.9,,,,,,,,,,62.3,,,,38.4,NotMet,56.7,42.0,D,,,,,,,,,,,,
2019,00B000,N,N,ELS,46.3,,,,,,,,,,,,,,46.3,,,46.0,D,,,,,,,,,,,,
2019,00B000,N,N,HI7,46.7,,,,,,,,,,86.7,,,,52.4,NotMet,63.4,55.0,C,,,,,,,,,,,,
2019,00B000,N,N,MU7,42.6,,,,,,,,,,62.5,,,,44.7,NotMet,66.5,49.0,D,,,,,,,,,,,,
2019,00B000,N,N,SWD,21.8,,,,,,,,,,41.9,,,,24.6,Met,81.2,36.0,F,,,,,,,,,,,,
2019,00B000,N,N,WH7,49.9,,55.6,,63.9,,,,23.7,,71.0,,35.4,,51.9,NotMet,56.5,53.0,D,,,,,,,,,,,,
2019,10303,N,N,ALL,84.2,,87.2,,,,,,95.0,1.0,,,95.0,1.0,90.4,Met,80.3,88.0,A,,,,,,,,,,,,
2019,10303,N,N,EDS,77.4,,,,,,,,,,,,,,77.4,Met,81.7,78.0,B,,,,,,,,,,,,
2019,10303,N,N,HI7,70.6,,,,,,,,,,,,,,70.6,,,71.0,B,,,,,,,,,,,,
2019,10303,N,N,WH7,90.6,,,,,,,,,,,,,,90.6,Met,79.6,88.0,A,,,,,,,,,,,,
2019,10304,N,N,ALL,59.9,,,,,,62.5,,,,57.9,,,,59.7,Met,76.6,63.0,C,64.1,,Met,77.9,67.0,C,55.6,,Met,82.8,61.0,C
2019,10304,N,N,BL7,57.1,,,,,,,,,,,,,,57.1,Met,75.9,61.0,C,,,,,,,,,,,,
2019,10304,N,N,EDS,42.9,,,,,,60.5,,,,34.5,,,,43.6,Met,78.2,51.0,D,,,,,,,,,,,,
2019,10304,N,N,ELS,44.6,,,,,,62.5,,,,,,,,50.0,Met,84.9,57.0,C,,,,,,,,,,,,
2019,10304,N,N,HI7,45.2,,,,,,61.4,,,,,,,,48.9,Met,83.6,56.0,C,,,,,,,,,,,,
2019,10304,N,N,MU7,71.9,,,,,,,,,,,,,,71.9,,,72.0,B,,,,,,,,,,,,
2019,10304,N,N,SWD,11.9,,,,,,,,,,,,,,11.9,,,12.0,F,,,,,,,,,,,,
2019,10304,N,N,WH7,65.1,,,,,,,,,,61.8,,,,64.5,Met,73.4,66.0,C,,,,,,,,,,,,
