year,agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
2019,120315,N,N,Y,Y
2019,120316,N,N,Y,Y
2019,120318,N,N,N,N
2019,120320,N,N,N,Y
2019,120324,N,N,Y,Y
2019,120334,N,N,Y,Y
2019,120338,N,N,Y,Y
2019,120340,N,N,Y,Y
2019,120344,N,N,Y,Y
2019,120346,N,N,Y,Y
2019,120350,N,N,Y,Y
2019,120352,N,N,Y,Y
2019,120354,N,N,N,N
2019,120360,N,N,Y,N
2019,120364,N,N,Y,Y
2019,120368,N,N,Y,Y
2019,120370,N,N,Y,Y
2019,120374,N,N,N,N
2019,120376,N,N,Y,Y
2019,120380,N,N,Y,Y
2019,120386,N,N,Y,Y
2019,120390,N,N,Y,Y
2019,12A000,N,N,Y,Y
2019,130304,N,N,Y,Y
2019,130307,N,N,N,N
2019,130308,N,N,Y,Y
2019,130309,N,N,Y,Y
2019,130310,N,N,Y,Y
2019,130311,N,N,Y,Y
2019,130312,N,N,Y,Y
2019,130313,N,N,Y,Y
2019,130314,N,N,Y,Y
2019,130315,N,N,N,N
2019,130316,N,N,Y,Y
2019,130317,N,N,Y,Y
2019,130318,N,N,Y,Y
2019,130319,N,N,N,N
2019,130320,N,N,N,Y
2019,130321,N,N,Y,Y
2019,130322,N,N,Y,N
2019,130323,N,N,Y,Y
2019,130324,N,N,N,N
2019,130325,N,N,N,N
2019,130326,N,N,N,N
2019,130327,N,N,Y,Y
2019,130328,N,N,Y,Y
2019,130329,N,N,Y,Y
2019,130330,N,N,Y,Y
2019,130331,N,N,N,N
2019,130332,N,N,N,N
2019,130333,N,Y,N,N
2019,130336,N,N,N,Y
2019,130337,N,N,N,Y
2019,130338,N,N,Y,Y
2019,130340,N,N,Y,Y
2019,130342,N,N,Y,Y
2019,130344,N,N,Y,Y
2019,130345,N,N,N,N
2019,130346,N,N,N,N
2019,130349,N,N,N,N
2019,130350,N,N,N,N
2019,130355,N,N,Y,Y
2019,132304,N,N,Y,Y
2019,132308,N,N,N,Y
2019,132312,N,N,Y,Y
2019,132314,N,N,Y,Y
2019,132328,N,N,Y,N
2019,132330,N,N,Y,Y
2019,132332,N,N,Y,Y
2019,132336,N,N,Y,Y
2019,13A000,N,N,Y,Y
2019,13B000,N,N,Y,Y
2019,13C000,N,N,Y,Y
2019,13D000,N,N,Y,Y
2019,140304,N,N,Y,Y
2019,140305,N,N,N,N
2019,140306,Y,N,N,N
2019,140307,N,N,N,Y
2019,140308,N,N,Y,N
2019,140309,N,N,N,N
2019,140312,N,N,Y,Y
2019,140316,N,N,N,N
2019,140324,N,N,Y,Y
2019,140332,N,N,Y,Y
2019,140336,N,N,Y,Y
2019,140340,N,N,N,N
2019,140344,N,N,Y,Y
2019,140348,N,N,Y,Y
2019,140352,N,N,N,N
2019,140356,N,N,Y,Y
2019,140360,N,N,Y,N
2019,140368,N,N,Y,Y
2019,140372,N,N,N,N
2019,140376,N,N,N,Y
2019,140384,N,N,N,Y
2019,140386,N,N,N,N
2019,140388,N,N,Y,Y
2019,140390,N,N,N,N
2019,140392,N,N,Y,Y
2019,140396,N,N,Y,Y
2019,150304,N,N,N,Y
2019,150308,N,N,N,N
2019,150310,N,N,N,N
2019,150312,N,N,Y,N
2019,150350,N,N,N,N
2019,160304,N,N,N,N
2019,160306,N,N,Y,Y
2019,160308,N,N,Y,Y
2019,160309,N,N,Y,Y
2019,160310,N,N,Y,Y
2019,160311,N,N,Y,Y
2019,160313,N,N,Y,Y
2019,160314,N,N,N,N
2019,160316,N,N,N,N
2019,160317,N,N,Y,Y
2019,160318,N,N,Y,Y
2019,160322,N,N,N,Y
2019,160324,N,N,Y,N
2019,160326,N,N,Y,Y
2019,160332,N,N,Y,Y
2019,160343,N,N,N,N
2019,160344,N,N,N,N
2019,160352,N,N,N,N
2019,16B000,N,N,N,N
2019,170316,N,N,Y,Y
2019,170334,N,N,Y,N
2019,170338,N,N,Y,Y
2019,170339,N,N,Y,Y
2019,170342,N,N,Y,Y
2019,170344,N,N,Y,Y
2019,180302,N,N,Y,Y
2019,180304,N,N,N,N
2019,180308,N,N,Y,Y
2019,180312,N,N,Y,Y
2019,180316,N,N,Y,Y
2019,180320,N,N,Y,Y
2019,180323,N,Y,N,N
2019,180324,N,N,N,Y
2019,180325,N,N,N,N
2019,180326,N,N,Y,Y
2019,180332,N,N,N,N
2019,180336,N,N,N,N
2019,180340,N,N,N,Y
2019,180342,N,N,Y,Y
2019,180343,N,N,Y,Y
2019,180344,N,N,N,N
2019,180346,N,N,Y,Y
2019,180348,N,N,N,N
2019,180352,N,N,Y,Y
2019,180356,N,N,N,Y
