year,agency_code,metric,num,den,pct,masking
2019,010357,gce_rpf,,,,3.0
2019,010357,gce_prm,,,,3.0
2019,010357,gce_all,,,,3.0
2019,010357,promoted,52.0,73.0,71.2,
2019,010357,retained,21.0,73.0,28.8,
2019,010358,passed_eog,34.0,94.0,36.2,
2019,010358,passed_rta,,,,3.0
2019,010358,passed_laa,,,,3.0
2019,010358,gce_els,,,,3.0
2019,010358,gce_swd,,,,3.0
2019,010358,gce_rpf,,,,3.0
2019,010358,gce_prm,,,,3.0
2019,010358,gce_all,,,,3.0
2019,010358,promoted,67.0,94.0,71.3,
2019,010358,retained,27.0,94.0,28.7,
2019,010362,passed_eog,69.0,85.0,81.2,
2019,010362,passed_rta,,,,3.0
2019,010362,passed_laa,,,,3.0
2019,010362,gce_els,,,,3.0
2019,010362,gce_swd,,,,3.0
2019,010362,gce_rpf,,,,3.0
2019,010362,gce_prm,,,,3.0
2019,010362,gce_all,,,,3.0
2019,010362,promoted,79.0,85.0,92.9,
2019,010362,retained,,,,3.0
2019,010364,passed_eog,23.0,58.0,39.7,
2019,010364,passed_rta,,,,3.0
2019,010364,passed_laa,,,,3.0
2019,010364,gce_els,,,,3.0
2019,010364,gce_swd,,,,3.0
2019,010364,gce_rpf,,,,3.0
2019,010364,gce_prm,,,,3.0
2019,010364,gce_all,,,,3.0
2019,010364,promoted,49.0,58.0,84.5,
2019,010364,retained,,,,3.0
2019,010372,passed_eog,40.0,67.0,59.7,
2019,010372,passed_rta,,,,3.0
2019,010372,passed_laa,,,,3.0
2019,010372,gce_els,,,,3.0
2019,010372,gce_swd,,,,3.0
2019,010372,gce_rpf,,,,3.0
2019,010372,gce_prm,,,,3.0
2019,010372,gce_all,,,,3.0
2019,010372,promoted,59.0,67.0,88.1,
2019,010372,retained,,,,3.0
2019,010374,passed_eog,49.0,86.0,57.0,
2019,010374,passed_rta,,,,3.0
2019,010374,passed_laa,,,,3.0
2019,010374,gce_els,,,,3.0
2019,010374,gce_swd,,,,3.0
2019,010374,gce_rpf,,,,3.0
2019,010374,gce_prm,,,,3.0
2019,010374,gce_all,,,,3.0
2019,010374,promoted,74.0,86.0,86.0,
2019,010374,retained,12.0,86.0,14.0,
2019,010380,passed_eog,50.0,99.0,50.5,
2019,010380,passed_rta,,,,3.0
2019,010380,passed_laa,,,,3.0
2019,010380,gce_els,,,,3.0
2019,010380,gce_swd,,,,3.0
2019,010380,gce_rpf,,,,3.0
2019,010380,gce_prm,,,,3.0
2019,010380,gce_all,,,,3.0
2019,010380,promoted,85.0,99.0,85.9,
2019,010380,retained,14.0,99.0,14.1,
2019,010384,passed_eog,72.0,108.0,66.7,
2019,010384,passed_rta,,,,3.0
2019,010384,passed_laa,,,,3.0
2019,010384,gce_els,,,,3.0
2019,010384,gce_swd,,,,3.0
2019,010384,gce_rpf,,,,3.0
2019,010384,gce_prm,,,,3.0
2019,010384,gce_all,,,,3.0
2019,010384,promoted,93.0,108.0,86.1,
2019,010384,retained,15.0,108.0,13.9,
2019,010392,passed_eog,19.0,34.0,55.9,
2019,010392,passed_rta,,,,3.0
2019,010392,passed_laa,,,,3.0
2019,010392,gce_els,,,,3.0
2019,010392,gce_swd,,,,3.0
2019,010392,gce_rpf,,,,3.0
2019,010392,gce_prm,,,,3.0
2019,010392,gce_all,,,,3.0
2019,010392,promoted,27.0,34.0,79.4,
2019,010392,retained,,,,3.0
2019,01B000,passed_eog,45.0,71.0,63.4,
2019,01B000,passed_rta,,,,3.0
2019,01B000,passed_laa,,,,3.0
2019,01B000,gce_els,,,,3.0
2019,01B000,gce_swd,,,,3.0
2019,01B000,gce_rpf,10.0,71.0,14.1,
2019,01B000,gce_prm,,,,3.0
2019,01B000,gce_all,14.0,71.0,19.7,
2019,01B000,promoted,61.0,71.0,85.9,
2019,01B000,retained,10.0,71.0,14.1,
2019,01C000,passed_eog,27.0,47.0,57.4,
2019,01C000,passed_rta,,,,3.0
2019,01C000,passed_laa,,,,3.0
2019,01C000,gce_els,,,,3.0
