year,agency_code,career_cluster,num_concentrators
2019,92F000,MRKT,5
2019,090330,AGNR,38
2019,090330,ARCH,30
2019,090330,AAVC,4
2019,090330,BMA,8
2019,090330,HLTH,19
2019,090330,HOSP,14
2019,090330,HUMA,8
2019,090330,INFO,3
2019,090330,LAW,6
2019,090330,MANU,13
2019,090330,MRKT,7
2019,090330,TRAN,13
2019,090368,AGNR,93
2019,090368,ARCH,16
2019,090368,AAVC,7
2019,090368,BMA,10
2019,090368,HLTH,48
2019,090368,HOSP,21
2019,090368,HUMA,12
2019,090368,INFO,4
2019,090368,LAW,14
2019,090368,MANU,33
2019,090368,MRKT,1
2019,92G000,AGNR,1
2019,92G000,BMA,1
2019,92P000,AGNR,1
2019,92P000,BMA,4
2019,92P000,HOSP,1
2019,92P000,MRKT,2
2019,100308,ARCH,1
2019,100308,HOSP,1
2019,100326,AGNR,46
2019,100326,ARCH,15
2019,100326,AAVC,9
2019,100326,BMA,2
2019,100326,EDUC,1
2019,100326,HLTH,11
2019,100326,HOSP,6
2019,100326,HUMA,4
2019,100326,INFO,7
2019,100326,LAW,1
2019,100326,STEM,1
2019,100334,AGNR,28
2019,100334,ARCH,38
2019,100334,BMA,19
2019,100334,HLTH,21
2019,100334,HOSP,20
2019,100334,HUMA,1
2019,100334,INFO,4
2019,100334,MANU,1
2019,100334,MRKT,19
2019,100334,TRAN,7
2019,100348,AGNR,47
2019,100348,ARCH,29
2019,100348,BMA,21
2019,100348,HLTH,50
2019,100348,HOSP,35
2019,100348,INFO,34
2019,100348,LAW,1
2019,100348,MANU,1
2019,100348,MRKT,6
2019,100348,STEM,1
2019,100348,TRAN,20
2019,13A000,AGNR,1
2019,13A000,BMA,1
2019,13A000,HLTH,1
2019,13A000,MRKT,1
2019,60I000,TRAN,1
2019,110303,AGNR,9
2019,110303,ARCH,2
2019,110303,HOSP,3
2019,110303,INFO,1
2019,110303,MANU,2
2019,110304,AGNR,17
2019,110304,ARCH,18
2019,110304,AAVC,7
2019,110304,BMA,10
2019,110304,HLTH,21
2019,110304,HOSP,19
2019,110304,HUMA,13
2019,110304,INFO,7
2019,110304,LAW,28
2019,110304,MANU,1
2019,110304,MRKT,3
2019,110304,STEM,11
2019,110304,TRAN,10
2019,110322,HUMA,1
2019,110323,AGNR,1
2019,110323,ARCH,6
2019,110323,HLTH,4
2019,110323,INFO,1
2019,110323,LAW,1
2019,110323,MANU,1
2019,110323,STEM,1
2019,110336,AGNR,20
2019,110336,ARCH,16
2019,110336,AAVC,17
2019,110336,EDUC,2
2019,110336,HLTH,26
2019,110336,HOSP,3
2019,110336,INFO,7
2019,110336,LAW,9
2019,110336,MANU,6
2019,110336,STEM,3
2019,110340,AGNR,74
2019,110340,ARCH,38
2019,110340,AAVC,1
2019,110340,BMA,2
2019,110340,HLTH,38
2019,110340,HOSP,67
2019,110340,HUMA,7
2019,110340,INFO,2
2019,110340,LAW,6
2019,110340,MANU,1
2019,110340,MRKT,1
2019,110352,AGNR,36
2019,110352,ARCH,25
2019,110352,AAVC,11
2019,110352,BMA,2
2019,110352,FINA,1
2019,110352,HLTH,47
2019,110352,HOSP,15
2019,110352,INFO,4
2019,110352,LAW,11
2019,110352,MANU,3
2019,110352,MRKT,2
2019,110352,TRAN,14
2019,110380,AGNR,29
2019,110380,ARCH,36
2019,110380,BMA,14
2019,110380,HLTH,39
2019,110380,HOSP,4
2019,110380,HUMA,1
2019,110380,INFO,16
2019,110380,LAW,6
2019,110380,MANU,15
2019,110380,MRKT,6
2019,110380,STEM,1
2019,110416,AGNR,22
2019,110416,ARCH,14
2019,110416,AAVC,5
2019,110416,BMA,11
2019,110416,HLTH,33
2019,110416,HOSP,36
2019,110416,HUMA,10
2019,110416,LAW,38
2019,110416,MANU,1
2019,110416,MRKT,11
2019,110416,STEM,1
2019,110416,TRAN,15
2019,110500,STEM,98
2019,111302,AGNR,5
2019,111302,AAVC,6
2019,111302,BMA,4
2019,111302,HLTH,11
2019,111302,HOSP,7
2019,111302,HUMA,14
2019,111302,INFO,4
2019,111302,LAW,8
2019,111302,MANU,11
2019,111302,MRKT,2
2019,111700,AAVC,2
2019,111700,HLTH,7
2019,111700,HUMA,1
2019,111700,INFO,1
2019,111700,LAW,13
2019,111700,MANU,7
2019,60K000,HOSP,1
2019,32L000,BMA,6
2019,32L000,EDUC,1
2019,32L000,HOSP,1
2019,32L000,INFO,8
2019,32L000,MRKT,4
2019,49E000,HOSP,2
2019,49E000,STEM,19
2019,120308,AGNR,2
2019,120308,ARCH,3
2019,120308,HOSP,1
2019,120308,HUMA,1
2019,120310,AGNR,1
2019,120310,AAVC,3
2019,120310,HUMA,1
2019,120310,INFO,1
2019,120310,LAW,1
2019,120310,STEM,1
2019,120314,AGNR,26
2019,120314,ARCH,10
2019,120314,AAVC,9
2019,120314,BMA,1
2019,120314,HLTH,21
2019,120314,HOSP,6
2019,120314,HUMA,9
2019,120314,INFO,7
2019,120314,MANU,3
2019,120314,STEM,1
2019,120318,AGNR,33
2019,120318,ARCH,6
2019,120318,AAVC,2
2019,120318,BMA,2
2019,120318,HLTH,27
2019,120318,HOSP,14
2019,120318,HUMA,4
2019,120318,INFO,2
2019,120318,LAW,2
2019,120318,MANU,7
2019,120318,TRAN,5
2019,120346,AGNR,8
2019,120346,ARCH,3
2019,120346,AAVC,6
2019,120346,HLTH,21
2019,120346,HOSP,6
2019,120346,HUMA,3
2019,120346,INFO,10
2019,120346,LAW,4
2019,120346,STEM,1
2019,120370,AGNR,23
2019,120370,ARCH,4
2019,120370,BMA,5
2019,120370,HLTH,18
2019,120370,HOSP,11
2019,120370,HUMA,2
2019,120370,INFO,8
2019,120370,LAW,11
2019,120370,STEM,6
2019,120370,TRAN,13
2019,51A000,BMA,1
2019,51A000,MANU,1
2019,36C000,BMA,3
2019,36C000,HOSP,1
2019,36C000,MRKT,3
2019,130307,AGNR,68
2019,130307,ARCH,27
2019,130307,BMA,20
2019,130307,FINA,2
2019,130307,HLTH,49
2019,130307,HOSP,71
2019,130307,HUMA,5
2019,130307,INFO,89
2019,130307,MANU,2
2019,130307,MRKT,13
2019,130307,STEM,8
2019,130307,TRAN,7
2019,130310,AGNR,59
2019,130310,ARCH,29
2019,130310,BMA,14
2019,130310,HLTH,42
2019,130310,HOSP,16
2019,130310,HUMA,6
2019,130310,INFO,7
2019,130310,LAW,1
2019,130310,MANU,1
2019,130310,MRKT,3
2019,130310,STEM,39
2019,130314,AGNR,31
2019,130314,ARCH,23
2019,130314,BMA,13
2019,130314,EDUC,3
2019,130314,HLTH,40
2019,130314,HOSP,31
2019,130314,HUMA,1
2019,130314,INFO,10
2019,130314,LAW,48
2019,130314,MRKT,4
2019,130316,AGNR,22
2019,130316,ARCH,21
2019,130316,AAVC,7
2019,130316,BMA,9
2019,130316,FINA,2
2019,130316,HLTH,33
2019,130316,HOSP,40
2019,130316,HUMA,3
2019,130316,INFO,11
2019,130316,MANU,3
2019,130316,MRKT,5
2019,130316,STEM,24
2019,130316,TRAN,18
2019,130317,AGNR,1
2019,130324,AGNR,24
2019,130324,ARCH,21
2019,130324,AAVC,13
2019,130324,BMA,3
2019,130324,HLTH,19
2019,130324,HOSP,18
2019,130324,HUMA,1
2019,130324,INFO,8
2019,130324,LAW,2
2019,130324,MANU,2
2019,130324,STEM,16
2019,130324,TRAN,16
2019,130326,AGNR,61
2019,130326,ARCH,10
2019,130326,AAVC,2
2019,130326,BMA,5
2019,130326,EDUC,1
2019,130326,HLTH,36
2019,130326,HOSP,39
2019,130326,HUMA,4
2019,130326,INFO,7
2019,130326,STEM,10
2019,130326,TRAN,20
2019,130332,AGNR,17
2019,130332,ARCH,12
2019,130332,AAVC,10
2019,130332,BMA,12
2019,130332,EDUC,1
2019,130332,FINA,1
2019,130332,HLTH,60
2019,130332,HOSP,42
2019,130332,HUMA,3
2019,130332,INFO,20
2019,130332,LAW,2
2019,130332,MANU,10
2019,130332,MRKT,4
2019,130332,STEM,15
2019,130332,TRAN,26
2019,130333,AGNR,8
2019,130333,ARCH,2
2019,130333,BMA,9
2019,130333,HLTH,5
2019,130333,HOSP,1
2019,130333,INFO,1
2019,130333,LAW,1
2019,130333,MRKT,1
2019,92T000,BMA,1
2019,92T000,HLTH,3
2019,132304,AGNR,21
2019,132304,ARCH,22
2019,132304,AAVC,25
2019,132304,BMA,13
2019,132304,HLTH,52
2019,132304,HOSP,46
2019,132304,HUMA,8
2019,132304,INFO,22
2019,132304,MANU,10
2019,132304,MRKT,8
2019,132304,STEM,47
2019,58B000,AGNR,2
2019,58B000,BMA,7
2019,58B000,HLTH,6
2019,58B000,HOSP,1
2019,58B000,HUMA,1
2019,58B000,MRKT,8
2019,41G000,INFO,1
2019,94Z000,AGNR,45
2019,94Z000,MANU,2
2019,140305,ARCH,1
2019,140305,AAVC,1
2019,140305,BMA,1
2019,140305,HLTH,27
2019,140305,INFO,10
2019,140305,STEM,16
2019,140309,BMA,2
2019,140309,INFO,1
2019,140348,AGNR,28
2019,140348,ARCH,12
2019,140348,BMA,24
2019,140348,HLTH,13
2019,140348,HOSP,10
2019,140348,HUMA,7
2019,140348,INFO,13
2019,140348,LAW,4
2019,140348,STEM,2
2019,140348,TRAN,3
2019,140386,AGNR,29
2019,140386,ARCH,40
2019,140386,AAVC,6
2019,140386,BMA,9
2019,140386,HLTH,40
2019,140386,HOSP,19
2019,140386,HUMA,12
