year,agency_code,subject,grade,num,pct,masking
2019,120352,RD,GS,,95.0,1.0
2019,120352,MA,GS,,95.0,1.0
2019,130324,MA,HS,11.0,5.3,
2019,130324,SC,HS,11.0,5.2,
2019,170339,RD,GS,10.0,6.4,
2019,170339,MA,GS,10.0,6.4,
2019,190312,RD,07,12.0,5.7,
2019,190312,MA,07,12.0,5.7,
2019,230359,RD,GS,,95.0,1.0
2019,230359,MA,GS,,95.0,1.0
2019,230359,SC,GS,,95.0,1.0
2019,250304,RD,GS,14.0,6.2,
2019,250304,MA,GS,14.0,6.2,
2019,290310,RD,03,,95.0,1.0
2019,290310,MA,03,,95.0,1.0
2019,290310,RD,HS,,95.0,1.0
2019,290310,RD,GS,,95.0,1.0
2019,290310,MA,GS,,95.0,1.0
2019,290310,SC,GS,,95.0,1.0
2019,320306,RD,08,11.0,6.7,
2019,320306,MA,08,11.0,6.7,
2019,320306,SC,08,11.0,6.7,
2019,320306,RD,GS,26.0,5.0,
2019,320306,MA,GS,26.0,5.0,
2019,320306,SC,GS,11.0,6.7,
2019,320323,MA,HS,21.0,7.9,
2019,320323,SC,HS,21.0,7.5,
2019,320343,RD,06,13.0,7.6,
2019,320343,MA,06,13.0,7.6,
2019,320343,RD,GS,26.0,5.2,
2019,320343,MA,GS,26.0,5.2,
2019,320354,RD,GS,12.0,11.2,
2019,320354,MA,GS,12.0,11.2,
2019,330334,RD,GS,11.0,11.7,
2019,330334,MA,GS,11.0,11.7,
2019,330344,RD,GS,16.0,5.5,
2019,330344,MA,GS,16.0,5.5,
2019,340336,RD,HS,,95.0,1.0
2019,340336,MA,HS,,95.0,1.0
2019,340336,SC,HS,,95.0,1.0
2019,340436,RD,06,,95.0,1.0
2019,340436,MA,06,,95.0,1.0
2019,340436,RD,07,,95.0,1.0
2019,340436,MA,07,,95.0,1.0
2019,340436,RD,08,,95.0,1.0
2019,340436,MA,08,,95.0,1.0
2019,340436,SC,08,,95.0,1.0
2019,340436,RD,GS,,95.0,1.0
2019,340436,MA,GS,,95.0,1.0
2019,340436,SC,GS,,95.0,1.0
2019,360394,RD,07,,95.0,1.0
2019,360394,MA,07,,95.0,1.0
2019,360394,RD,08,,95.0,1.0
2019,360394,MA,08,,95.0,1.0
2019,360394,SC,08,,95.0,1.0
2019,360394,RD,HS,,95.0,1.0
2019,360394,RD,GS,,95.0,1.0
2019,360394,MA,GS,,95.0,1.0
2019,360394,SC,GS,,95.0,1.0
2019,410379,RD,GS,,95.0,1.0
2019,410379,MA,GS,,95.0,1.0
2019,410427,RD,GS,17.0,6.2,
2019,410427,MA,GS,17.0,6.2,
2019,410427,SC,GS,12.0,14.1,
2019,410457,RD,04,,95.0,1.0
2019,410457,MA,04,,95.0,1.0
2019,410457,RD,05,,95.0,1.0
2019,410457,MA,05,,95.0,1.0
2019,410457,SC,05,,95.0,1.0
2019,410457,RD,06,,95.0,1.0
2019,410457,MA,06,,95.0,1.0
2019,410457,RD,07,,95.0,1.0
2019,410457,MA,07,,95.0,1.0
2019,410457,RD,GS,,95.0,1.0
2019,410457,MA,GS,,95.0,1.0
2019,410457,SC,GS,,95.0,1.0
2019,410458,RD,HS,,95.0,1.0
2019,410458,MA,HS,,95.0,1.0
2019,410458,SC,HS,,95.0,1.0
2019,410464,RD,GS,,95.0,1.0
2019,410464,MA,GS,,95.0,1.0
2019,422318,RD,GS,12.0,6.1,
2019,422318,MA,GS,12.0,6.1,
2019,430358,RD,05,10.0,8.3,
2019,430358,MA,05,10.0,8.3,
2019,430358,SC,05,10.0,8.3,
2019,430358,RD,GS,21.0,6.5,
2019,430358,MA,GS,21.0,6.5,
2019,430358,SC,GS,10.0,8.3,
2019,460332,RD,GS,15.0,7.8,
2019,460332,MA,GS,15.0,7.8,
2019,470330,RD,GS,11.0,6.0,
2019,470330,MA,GS,11.0,6.0,
2019,510399,MA,HS,18.0,6.0,
2019,510399,SC,HS,18.0,6.0,
2019,530316,RD,GS,,95.0,1.0
2019,530316,MA,GS,,95.0,1.0
2019,540318,RD,GS,10.0,32.3,
2019,540318,MA,GS,10.0,32.3,
2019,600300,RD,05,10.0,5.5,
2019,600300,MA,05,10.0,5.5,
2019,600300,SC,05,10.0,5.5,
2019,600300,SC,GS,10.0,5.5,
2019,600414,RD,GS,14.0,6.3,
2019,600414,MA,GS,14.0,6.3,
2019,600418,RD,GS,16.0,6.2,
2019,600418,MA,GS,16.0,6.2,
2019,600442,RD,05,11.0,5.3,
2019,600442,MA,05,11.0,5.3,
2019,600442,SC,05,11.0,5.3,
2019,600442,SC,GS,11.0,5.3,
2019,600449,RD,GS,15.0,5.2,
2019,600449,MA,GS,15.0,5.2,
2019,600451,RD,04,10.0,9.0,
2019,600451,MA,04,10.0,9.0,
2019,600451,RD,GS,24.0,7.7,
2019,600451,MA,GS,24.0,7.7,
2019,600454,RD,03,,95.0,1.0
2019,600454,MA,03,,95.0,1.0
2019,600454,RD,04,,95.0,1.0
2019,600454,MA,04,,95.0,1.0
2019,600454,RD,07,,95.0,1.0
2019,600454,MA,07,,95.0,1.0
2019,600454,RD,08,,95.0,1.0
2019,600454,MA,08,,95.0,1.0
2019,600454,SC,08,,95.0,1.0
2019,600454,RD,HS,,95.0,1.0
2019,600454,RD,GS,,95.0,1.0
