year,graduation_year,agency_code,Status,subgroup,count,pct_enrolled
2019,2018,240373,ENROLL,All,29.0,0.5178571429
2019,2018,240380,ENROLL,All,38.0,0.3958333333
2019,2018,241312,ENROLL,All,2.0,
2019,2018,241316,ENROLL,All,102.0,0.6666666667
2019,2018,24B000,ENROLL,All,6.0,
2019,2018,250314,ENROLL,All,28.0,0.6666666667
2019,2018,250321,ENROLL,All,24.0,0.6666666667
2019,2018,250340,ENROLL,All,132.0,0.5196850394
2019,2018,250356,ENROLL,All,219.0,0.5558375635
2019,2018,250372,ENROLL,All,107.0,0.4930875576
2019,2018,260318,ENROLL,All,309.0,0.6746724891
2019,2018,260322,ENROLL,All,74.0,0.36633663369999997
2019,2018,260325,ENROLL,All,218.0,0.6106442577000001
2019,2018,260347,ENROLL,All,54.0,0.9310344828
2019,2018,260354,ENROLL,All,49.0,0.8909090909
2019,2018,260357,ENROLL,All,139.0,0.4357366771
2019,2018,260359,ENROLL,All,110.0,0.480349345
2019,2018,260374,ENROLL,All,16.0,0.1666666667
2019,2018,260388,ENROLL,All,51.0,0.7083333333
2019,2018,260408,ENROLL,All,209.0,0.561827957
2019,2018,260411,ENROLL,All,55.0,0.8088235294
2019,2018,260424,ENROLL,All,154.0,0.42659279780000003
2019,2018,260427,ENROLL,All,181.0,0.48918918920000004
2019,2018,260446,ENROLL,All,176.0,0.5770491803
2019,2018,260455,ENROLL,All,106.0,0.3940520446
2019,2018,260700,ENROLL,All,25.0,0.8928571429000001
2019,2018,270306,ENROLL,All,110.0,0.5213270142
2019,2018,270311,ENROLL,All,51.0,0.5930232558
2019,2018,280304,ENROLL,All,32.0,0.6666666667
2019,2018,280306,ENROLL,All,1.0,
2019,2018,280316,ENROLL,All,70.0,0.6034482759
2019,2018,280330,ENROLL,All,118.0,0.6900584795
2019,2018,290308,ENROLL,All,100.0,0.5128205128
2019,2018,290310,ENROLL,All,0.0,
2019,2018,290314,ENROLL,All,8.0,
2019,2018,290315,ENROLL,All,19.0,0.76
2019,2018,290324,ENROLL,All,128.0,0.6632124352000001
2019,2018,290336,ENROLL,All,201.0,0.6860068259000001
2019,2018,290348,ENROLL,All,258.0,0.688
2019,2018,290365,ENROLL,All,47.0,0.5164835165
2019,2018,290388,ENROLL,All,111.0,0.5935828877
2019,2018,290389,ENROLL,All,13.0,0.3023255814
2019,2018,291336,ENROLL,All,82.0,0.41
2019,2018,291350,ENROLL,All,0.0,
2019,2018,292324,ENROLL,All,66.0,0.43708609270000004
2019,2018,300312,ENROLL,All,265.0,0.6511056511
2019,2018,300314,ENROLL,All,31.0,0.8611111111
2019,2018,310338,ENROLL,All,24.0,0.6857142856999999
2019,2018,310344,ENROLL,All,107.0,0.5144230769
2019,2018,310352,ENROLL,All,64.0,0.4812030075
2019,2018,310364,ENROLL,All,48.0,0.5853658536999999
2019,2018,310392,ENROLL,All,82.0,0.5324675325
2019,2018,320309,ENROLL,All,67.0,0.8375
2019,2018,320312,ENROLL,All,258.0,0.6013986014
2019,2018,320314,ENROLL,All,28.0,0.5490196078
2019,2018,320317,ENROLL,All,48.0,0.6956521739
2019,2018,320322,ENROLL,All,11.0,0.125
2019,2018,320323,ENROLL,All,182.0,0.8125
2019,2018,320325,ENROLL,All,158.0,0.4984227129
2019,2018,320341,ENROLL,All,1.0,
2019,2018,320353,ENROLL,All,63.0,0.7
2019,2018,320356,ENROLL,All,165.0,0.5271565495
2019,2018,320365,ENROLL,All,208.0,0.5
2019,2018,320368,ENROLL,All,126.0,0.3652173913
2019,2018,320701,ENROLL,All,40.0,0.6666666667
2019,2018,32L000,ENROLL,All,80.0,0.8602150538
2019,2018,32N000,ENROLL,All,61.0,0.6630434783
2019,2018,330326,ENROLL,All,17.0,0.6538461538
2019,2018,330328,ENROLL,All,21.0,0.3962264151
2019,2018,330350,ENROLL,All,96.0,0.5106382979
2019,2018,330358,ENROLL,All,80.0,0.5970149254
2019,2018,33A000,ENROLL,All,30.0,0.6521739129999999
2019,2018,340311,ENROLL,All,143.0,0.7771739129999999
2019,2018,340330,ENROLL,All,37.0,0.2642857143
2019,2018,340336,ENROLL,All,0.0,
2019,2018,340362,ENROLL,All,31.0,0.5636363636
2019,2018,340364,ENROLL,All,263.0,0.6045977011
2019,2018,340382,ENROLL,All,186.0,0.5210084034
2019,2018,340446,ENROLL,All,49.0,0.7313432836
2019,2018,340454,ENROLL,All,264.0,0.7115902965
2019,2018,340460,ENROLL,All,113.0,0.4232209738
2019,2018,340486,ENROLL,All,144.0,0.4235294118
2019,2018,340488,ENROLL,All,17.0,0.3777777778
2019,2018,340495,ENROLL,All,355.0,0.7717391304000001
2019,2018,340496,ENROLL,All,272.0,0.5951859956000001
2019,2018,340542,ENROLL,All,89.0,0.489010989
2019,2018,340556,ENROLL,All,399.0,0.7125
2019,2018,340568,ENROLL,All,23.0,0.5897435897
2019,2018,34B000,ENROLL,All,25.0,0.7352941176000001
2019,2018,34D000,ENROLL,All,5.0,
2019,2018,34H000,ENROLL,All,16.0,0.8
2019,2018,350308,ENROLL,All,107.0,0.5
2019,2018,350317,ENROLL,All,15.0,0.7142857143000001
2019,2018,350321,ENROLL,All,124.0,0.5210084034
2019,2018,350336,ENROLL,All,65.0,0.5555555556
2019,2018,360310,ENROLL,All,173.0,0.550955414
2019,2018,360336,ENROLL,All,45.0,0.31690140850000004
2019,2018,360337,ENROLL,All,29.0,0.6444444443999999
2019,2018,360360,ENROLL,All,72.0,0.5538461538
2019,2018,360372,ENROLL,All,6.0,
2019,2018,360378,ENROLL,All,136.0,0.5666666667
2019,2018,360390,ENROLL,All,107.0,0.5095238095
2019,2018,360394,ENROLL,All,0.0,
2019,2018,360396,ENROLL,All,160.0,0.6557377049
2019,2018,360418,ENROLL,All,120.0,0.8888888889
2019,2018,360428,ENROLL,All,80.0,0.3100775194
2019,2018,360470,ENROLL,All,116.0,0.4549019608
2019,2018,360494,ENROLL,All,188.0,0.7258687259000001
2019,2018,36B000,ENROLL,All,45.0,0.5625
2019,2018,36C000,ENROLL,All,64.0,0.6095238095000001
2019,2018,370312,ENROLL,All,54.0,0.44262295079999997
2019,2018,380308,ENROLL,All,45.0,0.5056179775
2019,2018,390322,ENROLL,All,47.0,0.373015873
2019,2018,390323,ENROLL,All,34.0,0.6938775509999999
2019,2018,390324,ENROLL,All,40.0,0.3361344538
2019,2018,390352,ENROLL,All,123.0,0.6180904522999999
2019,2018,390700,ENROLL,All,49.0,0.6805555556
2019,2018,39B000,ENROLL,All,38.0,0.7755102040999999
2019,2018,400308,ENROLL,All,109.0,0.497716895
2019,2018,400315,ENROLL,All,17.0,0.5666666667
2019,2018,410319,ENROLL,All,108.0,0.4843049327
2019,2018,410326,ENROLL,All,13.0,0.8666666667
2019,2018,410355,ENROLL,All,158.0,0.4831804281
2019,2018,410358,ENROLL,All,132.0,0.5019011407
2019,2018,410379,ENROLL,All,0.0,
2019,2018,410390,ENROLL,All,53.0,0.7910447761
2019,2018,410391,ENROLL,All,32.0,0.9411764706
2019,2018,410394,ENROLL,All,277.0,0.6925
2019,2018,410395,ENROLL,All,45.0,0.95
2019,2018,410399,ENROLL,All,17.0,0.7083333333
2019,2018,410401,ENROLL,All,42.0,0.7368421053
2019,2018,410406,ENROLL,All,181.0,0.5276967929999999
2019,2018,410407,ENROLL,All,22.0,0.6875
2019,2018,410408,ENROLL,All,18.0,0.5454545454999999
2019,2018,410458,ENROLL,All,0.0,
2019,2018,410464,ENROLL,All,0.0,
2019,2018,410483,ENROLL,All,25.0,0.7352941176000001
2019,2018,410484,ENROLL,All,112.0,0.4258555133
2019,2018,410489,ENROLL,All,289.0,0.8352601156
2019,2018,410490,ENROLL,All,374.0,0.8256070640000001
2019,2018,410508,ENROLL,All,320.0,0.6837606838
2019,2018,410529,ENROLL,All,216.0,0.6352941176
2019,2018,410544,ENROLL,All,100.0,0.3571428571
2019,2018,410545,ENROLL,All,45.0,0.7894736842
2019,2018,410547,ENROLL,All,216.0,0.6525679758
2019,2018,410556,ENROLL,All,144.0,0.5353159851
2019,2018,410562,ENROLL,All,293.0,0.7306733167
2019,2018,410569,ENROLL,All,48.0,0.95
2019,2018,410579,ENROLL,All,45.0,0.8823529412000001
2019,2018,410589,ENROLL,All,52.0,0.9285714286
2019,2018,410595,ENROLL,All,182.0,0.5928338761999999
2019,2018,41F000,ENROLL,All,52.0,0.7878787879000001
2019,2018,41K000,ENROLL,All,33.0,0.7857142856999999
2019,2018,420346,ENROLL,All,36.0,0.37894736840000004
2019,2018,420358,ENROLL,All,34.0,0.4657534247
2019,2018,421316,ENROLL,All,118.0,0.5462962963
2019,2018,422310,ENROLL,All,32.0,0.8421052631999999
2019,2018,422315,ENROLL,All,14.0,0.4117647059
2019,2018,430346,ENROLL,All,186.0,0.48691099479999994
2019,2018,430371,ENROLL,All,183.0,0.470437018
2019,2018,430378,ENROLL,All,151.0,0.4967105263
2019,2018,430384,ENROLL,All,166.0,0.48823529409999994
2019,2018,440326,ENROLL,All,10.0,0.2040816327
2019,2018,440346,ENROLL,All,20.0,0.6451612903
2019,2018,440378,ENROLL,All,146.0,0.6403508772
2019,2018,440390,ENROLL,All,139.0,0.6525821596
2019,2018,450316,ENROLL,All,99.0,0.5183246073
2019,2018,450334,ENROLL,All,129.0,0.6354679803
2019,2018,450341,ENROLL,All,123.0,0.5061728395
2019,2018,450343,ENROLL,All,4.0,
2019,2018,450352,ENROLL,All,158.0,0.6345381526
2019,2018,450354,ENROLL,All,32.0,0.7804878048999999
2019,2018,460320,ENROLL,All,84.0,0.5316455696
2019,2018,460322,ENROLL,All,28.0,0.8
2019,2018,460340,ENROLL,All,13.0,0.65
2019,2018,470312,ENROLL,All,192.0,0.42105263159999995
2019,2018,470443,ENROLL,All,47.0,0.661971831
2019,2018,480316,ENROLL,All,2.0,
2019,2018,480318,ENROLL,All,11.0,0.55
2019,2018,490310,ENROLL,All,14.0,0.5833333333
2019,2018,490320,ENROLL,All,33.0,0.7173913043000001
2019,2018,490335,ENROLL,All,344.0,0.7226890756000001
2019,2018,490346,ENROLL,All,128.0,0.47761194030000004
2019,2018,490350,ENROLL,All,9.0,
2019,2018,490354,ENROLL,All,103.0,0.5228426396
2019,2018,490355,ENROLL,All,50.0,0.7462686567
2019,2018,490362,ENROLL,All,285.0,0.7215189873000001
2019,2018,490380,ENROLL,All,90.0,0.5056179775
2019,2018,491312,ENROLL,All,280.0,0.6496519722
2019,2018,49E000,ENROLL,All,127.0,0.8698630137000001
2019,2018,500302,ENROLL,All,15.0,0.46875
2019,2018,500323,ENROLL,All,23.0,0.7419354839
2019,2018,500324,ENROLL,All,2.0,
2019,2018,500340,ENROLL,All,136.0,0.6834170854
2019,2018,510324,ENROLL,All,246.0,0.5668202765
2019,2018,510327,ENROLL,All,245.0,0.6550802139
2019,2018,510333,ENROLL,All,284.0,0.6513761468
2019,2018,510367,ENROLL,All,38.0,0.9047619048000001
2019,2018,510368,ENROLL,All,95.0,0.46568627450000005
2019,2018,510376,ENROLL,All,68.0,0.53125
2019,2018,510399,ENROLL,All,116.0,0.4172661871
2019,2018,510402,ENROLL,All,131.0,0.41987179490000004
2019,2018,510406,ENROLL,All,158.0,0.5047923323
2019,2018,51A000,ENROLL,All,33.0,0.7857142856999999
2019,2018,520320,ENROLL,All,40.0,0.4395604396
2019,2018,530306,ENROLL,All,2.0,
2019,2018,530316,ENROLL,All,0.0,
2019,2018,530335,ENROLL,All,28.0,0.5185185185
2019,2018,530336,ENROLL,All,200.0,0.5586592179
2019,2018,530343,ENROLL,All,127.0,0.4535714286
2019,2018,540315,ENROLL,All,70.0,0.42168674700000003
2019,2018,540317,ENROLL,All,26.0,0.44827586210000003
2019,2018,540318,ENROLL,All,1.0,
2019,2018,540324,ENROLL,All,116.0,0.6137566138
2019,2018,540336,ENROLL,All,84.0,0.5316455696
2019,2018,550320,ENROLL,All,154.0,0.6814159292
2019,2018,550332,ENROLL,All,109.0,0.5141509434
2019,2018,550344,ENROLL,All,169.0,0.6814516129000001
2019,2018,550368,ENROLL,All,98.0,0.45794392520000005
2019,2018,55A000,ENROLL,All,129.0,0.8835616437999999
2019,2018,560320,ENROLL,All,131.0,0.6208530806
2019,2018,560324,ENROLL,All,20.0,0.6666666667
2019,2018,560329,ENROLL,All,17.0,0.4722222222
2019,2018,560332,ENROLL,All,1.0,
2019,2018,560350,ENROLL,All,7.0,
2019,2018,570317,ENROLL,All,14.0,0.35897435899999997
2019,2018,570318,ENROLL,All,65.0,0.4744525547
2019,2018,580344,ENROLL,All,35.0,0.6363636364
2019,2018,580368,ENROLL,All,89.0,0.6223776224
2019,2018,58B000,ENROLL,All,26.0,0.6190476189999999
2019,2018,590328,ENROLL,All,40.0,0.7547169811
2019,2018,590330,ENROLL,All,172.0,0.43877551020000005
2019,2018,590393,ENROLL,All,4.0,
2019,2018,600302,ENROLL,All,592.0,0.875739645
2019,2018,600312,ENROLL,All,489.0,0.7688679245000001
2019,2018,600334,ENROLL,All,76.0,0.6909090909000001
