year,agency_code,target_list,subgroup_list
2019,40308,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,40309,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2019,40311,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,40316,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,40324,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,40328,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,40330,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,50302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2019,50303,,
2019,50305,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2019,50310,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,50330,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,50335,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2019,60302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2019,60304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,60310,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,60316,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,60318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,60322,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,60328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,60332,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2019,60334,4 Year Graduation Rate,"ALL,WH7"
2019,60700,"4 Year Graduation Rate,Math Grade 11","ALL,WH7"
2019,60701,,
2019,06A000,,
2019,06B000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,70302,EL Progress,ALL
2019,70308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2019,70310,4 Year Graduation Rate,"ALL,BL7,EDS"
2019,70311,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10",ALL
2019,70325,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2019,70326,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,70327,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,70328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,70329,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2019,70330,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2019,70338,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,70339,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
2019,70340,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,70342,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2019,07A000,"Math Grades 3-8,Reading Grades 3-8","ALL,SWD,WH7"
2019,80311,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10",ALL
2019,80312,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS"
2019,80314,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2019,80348,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,80356,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,80360,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,80362,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD"
2019,08A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,90304,,
2019,90315,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2019,90317,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,90318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
2019,90320,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2019,90324,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
2019,90328,"Math Grades 3-8,Reading Grades 3-8",ALL
2019,90330,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
2019,90332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,90333,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2019,90352,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
2019,90365,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,90368,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
2019,09A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2019,09B000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,100302,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2019,100304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,100307,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2019,100308,4 Year Graduation Rate,"ALL,EDS,WH7"
2019,100309,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2019,100310,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,100316,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2019,100320,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,100326,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2019,100332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,100334,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
2019,100335,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2019,100336,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,100338,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2019,100339,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2019,100340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,100342,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2019,100344,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
