year,agency_code,num_credentials,num_enrollments,cred_earned_pct
2019,600466,769,,
2019,600480,209,,
2019,600482,10,,
2019,600490,546,,
2019,600496,735,,
2019,600498,35,,
2019,600499,112,,
2019,600508,365,,
2019,600535,554,,
2019,600567,81,,
2019,600576,158,,
2019,600579,612,,
2019,600592,287,,
2019,610332,2,,
2019,610334,400,,
2019,620310,12,,
2019,620316,663,,
2019,620340,665,,
2019,630332,391,,
2019,630336,1858,,
2019,630360,1742,,
2019,640340,5,,
2019,640346,674,,
2019,640347,3,,
2019,640350,250,,
2019,640361,947,,
2019,640364,261,,
2019,650326,849,,
2019,650327,1115,,
2019,650340,190,,
2019,650342,659,,
2019,650352,515,,
2019,650355,36,,
2019,650394,118,,
2019,650395,77,,
2019,660336,54,,
2019,670320,1276,,
2019,670324,1851,,
2019,670333,384,,
2019,670340,897,,
2019,670344,1340,,
2019,670352,1748,,
2019,670364,1161,,
2019,680310,144,,
2019,680332,667,,
2019,680335,22,,
2019,681305,143,,
2019,681308,323,,
2019,681314,81,,
2019,681338,11,,
2019,690320,374,,
2019,700310,6,,
2019,700317,368,,
2019,700319,1659,,
2019,710321,1310,,
2019,710326,1170,,
2019,710327,5,,
2019,710342,1906,,
2019,720316,552,,
2019,730352,2775,,
2019,740309,678,,
2019,740333,2201,,
2019,740344,478,,
2019,740366,1242,,
2019,740374,545,,
2019,740388,1437,,
2019,740500,2,,
2019,750317,1,,
2019,750318,711,,
2019,760318,1094,,
2019,760339,1897,,
2019,760348,695,,
2019,760354,9,,
2019,760358,2059,,
2019,760380,265,,
2019,760382,26,,
2019,760388,1152,,
2019,761304,459,,
2019,770342,2,,
2019,770348,1438,,
2019,770349,20,,
2019,770351,300,,
2019,780325,263,,
2019,780342,867,,
2019,780385,111,,
2019,780391,514,,
2019,780401,573,,
2019,780402,276,,
2019,780420,667,,
2019,790314,402,,
2019,790354,459,,
2019,790366,452,,
2019,790378,1085,,
2019,800308,12,,
2019,800340,1439,,
2019,800361,1146,,
2019,800376,752,,
2019,800396,478,,
2019,800400,984,,
2019,800408,1298,,
2019,810324,717,,
2019,810340,375,,
2019,810384,185,,
2019,810386,19,,
2019,820324,12,,
2019,820348,199,,
2019,820349,127,,
2019,820352,353,,
2019,820388,158,,
2019,821308,401,,
2019,830316,8,,
2019,830343,1741,,
2019,840302,144,,
2019,840332,949,,
2019,840356,888,,
2019,840361,9,,
2019,840368,754,,
2019,840370,6,,
2019,850332,286,,
2019,850352,532,,
2019,850358,697,,
2019,860316,982,,
2019,860336,938,,
2019,860352,651,,
2019,860354,41,,
2019,861308,194,,
2019,862312,235,,
2019,870314,274,,
2019,880308,1166,,
2019,880320,36,,
2019,880328,256,,
2019,890304,58,,
2019,900311,995,,
2019,900316,689,,
2019,900336,1313,,
2019,900342,872,,
2019,900344,561,,
2019,900348,987,,
2019,900360,760,,
2019,900365,24,,
2019,900366,334,,
2019,900367,98,,
2019,900377,335,,
2019,900393,423,,
2019,910368,5,,
