year,agency_code,category_code,avg_sat_score,pct_sat_participation
2019,00A000,A,1059.0,0.168
2019,00B000,A,,
2019,10303,H,1111.0,0.609
2019,10324,H,1077.0,0.405
2019,10348,H,929.0,0.648
2019,10360,H,982.0,0.308
2019,10388,H,1088.0,0.366
2019,10396,H,1046.0,0.533
2019,10400,H,1099.0,0.571
2019,010LEA,,1050.0,0.462
2019,01B000,A,1065.0,0.483
2019,01C000,A,1047.0,0.72
2019,01D000,A,1233.0,0.619
2019,20302,H,1066.0,0.198
2019,020LEA,,1066.0,0.198
2019,30304,H,1007.0,0.178
2019,030LEA,,1007.0,0.178
2019,40304,H,1019.0,0.557
2019,40306,H,900.0,0.606
2019,040LEA,,931.0,0.567
2019,50302,H,1087.0,0.391
2019,050LEA,,1087.0,0.391
2019,60302,H,1113.0,0.281
2019,60700,H,,
2019,060LEA,,1103.0,0.019
2019,06A000,A,,
2019,06B000,A,,
2019,70311,H,1164.0,0.146
2019,70330,H,1027.0,0.115
2019,70339,H,1031.0,0.364
2019,70342,H,984.0,0.395
2019,070LEA,,1017.0,0.282
2019,07A000,A,,
2019,80311,H,917.0,0.068
2019,80312,H,872.0,0.551
2019,080LEA,,887.0,0.589
2019,90330,H,983.0,0.293
2019,90368,H,970.0,0.203
2019,090LEA,,977.0,0.244
2019,09A000,T,884.0,0.652
2019,100307,H,1232.0,0.093
2019,100308,T,,
2019,100326,H,1022.0,0.341
2019,100334,H,1100.0,0.289
2019,100348,H,1059.0,0.315
2019,100LEA,,1065.0,0.284
2019,110304,H,1118.0,0.497
2019,110322,H,1139.0,0.168
2019,110323,H,,
2019,110336,H,1082.0,0.412
2019,110340,H,1038.0,0.166
2019,110352,H,1086.0,0.426
2019,110380,H,1135.0,0.339
2019,110416,H,1155.0,0.513
2019,110500,H,1270.0,0.765
2019,110LEA,,1133.0,0.404
2019,111302,H,1147.0,0.675
2019,111700,H,1159.0,0.078
2019,111LEA,,1151.0,0.704
2019,11C000,A,,
2019,11D000,T,,
2019,120310,H,1100.0,0.02
2019,120314,H,1085.0,0.126
2019,120318,H,1114.0,0.188
2019,120346,H,,
2019,120370,H,1147.0,0.219
2019,120LEA,,1122.0,0.147
2019,130307,H,1127.0,0.72
2019,130310,H,1079.0,0.466
2019,130314,H,1109.0,0.042
2019,130316,H,1070.0,0.041
2019,130324,H,1106.0,0.345
2019,130326,H,1075.0,0.421
2019,130332,H,1110.0,0.642
2019,130333,T,,
2019,130350,H,1180.0,0.754
2019,130LEA,,1104.0,0.514
2019,132304,H,994.0,0.286
2019,132LEA,,994.0,0.286
2019,13A000,A,1025.0,0.354
2019,140305,H,1071.0,0.332
2019,140309,H,1164.0,0.489
2019,140348,H,1016.0,0.453
2019,140386,H,1089.0,0.286
2019,140390,H,1034.0,0.278
2019,140LEA,,1076.0,0.354
2019,150304,H,1094.0,0.311
2019,150350,H,1123.0,0.342
2019,150LEA,,1102.0,0.319
2019,160313,H,1136.0,0.228
2019,160314,H,1203.0,0.444
2019,160344,H,1165.0,0.324
2019,160LEA,,1177.0,0.342
2019,170316,H,1005.0,0.422
2019,170LEA,,1005.0,0.422
