year,agency_code,category_code,crime,short_term,long_term,expulsion
2017,80360,E,0.0,0.0,0.0,0.0
2017,80362,E,0.3,8.51,0.0,0.0
2017,80700,H,0.0,7.35,0.0,0.0
2017,080LEA,E,0.22,6.08,0.0,0.0
2017,080LEA,H,0.91,20.08,0.0,0.0
2017,080LEA,M,0.81,49.7,0.0,0.0
2017,080LEA,T,,,,
2017,08A000,E,0.0,27.45,0.0,0.0
2017,90304,E,0.0,27.62,0.0,0.0
2017,90315,M,0.95,48.25,0.63,0.0
2017,90317,E,0.0,9.75,0.0,0.0
2017,90318,E,0.0,3.32,0.0,0.0
2017,90320,M,0.0,6.67,0.0,0.0
2017,90324,E,0.74,7.01,0.0,0.0
2017,90328,I,0.0,14.17,0.0,0.0
2017,90330,H,0.31,22.27,0.46,0.0
2017,90332,M,0.0,24.02,0.23,0.0
2017,90333,E,0.0,9.55,0.0,0.0
2017,90352,E,0.0,22.37,0.0,0.0
2017,90365,M,0.0,5.74,0.0,0.0
2017,90368,H,1.21,10.08,0.54,0.0
2017,090LEA,E,0.12,11.36,0.0,0.0
2017,090LEA,H,0.79,15.77,0.5,0.0
2017,090LEA,I,0.0,14.17,0.0,0.0
2017,090LEA,M,0.24,22.7,0.24,0.0
2017,090LEA,T,,,,
2017,09A000,T,0.0,0.0,0.0,0.0
2017,100302,E,0.0,2.01,0.0,0.0
2017,100304,E,0.0,11.63,0.0,0.0
2017,100307,H,0.0,0.0,0.0,0.0
2017,100308,T,3.61,117.47,0.0,0.0
2017,100309,M,0.41,10.43,0.0,0.0
2017,100310,E,0.0,10.45,0.0,0.0
2017,100316,M,0.0,11.37,0.0,0.0
2017,100320,E,0.65,8.84,0.0,0.0
2017,100326,H,0.56,27.07,0.0,0.0
2017,100332,M,0.16,16.29,0.0,0.0
2017,100334,H,0.27,16.41,0.0,0.0
2017,100335,M,0.82,14.23,0.0,0.0
2017,100336,E,0.0,19.1,0.0,0.0
2017,100338,E,0.16,3.85,0.0,0.0
2017,100339,E,0.0,16.33,0.0,0.0
2017,100340,E,0.17,11.58,0.0,0.0
2017,100342,E,0.0,7.64,0.0,0.0
2017,100344,I,0.0,8.05,0.0,0.0
2017,100348,H,0.66,12.68,0.0,0.0
2017,100LEA,E,0.11,9.74,0.0,0.0
2017,100LEA,H,0.46,16.6,0.0,0.0
2017,100LEA,I,0.0,8.05,0.0,0.0
2017,100LEA,M,0.34,13.16,0.0,0.0
2017,100LEA,T,3.61,117.47,0.0,0.0
2017,10A000,I,0.0,1.69,0.0,0.0
2017,10B000,E,0.0,1.59,0.0,0.0
2017,110303,H,4.7,189.93,0.0,0.0
2017,110304,H,1.9,13.68,0.0,0.0
2017,110306,M,0.78,17.35,0.0,0.0
2017,110308,E,0.0,9.66,0.0,0.0
2017,110318,E,0.0,1.37,0.0,0.0
2017,110320,E,0.0,2.97,0.0,0.0
2017,110322,H,1.1,1.83,0.0,0.0
2017,110323,H,3.51,0.0,1.75,0.0
2017,110324,E,0.0,9.35,0.0,0.0
2017,110326,M,0.35,7.47,0.0,0.0
2017,110332,E,0.0,1.43,0.0,0.0
2017,110336,H,0.65,13.22,0.0,0.0
2017,110338,M,1.88,17.33,0.0,0.0
2017,110340,H,2.52,31.86,0.16,0.0
2017,110342,M,0.59,41.91,0.0,0.0
2017,110348,E,0.0,3.89,0.0,0.0
2017,110352,H,0.83,16.24,0.0,0.0
2017,110356,E,0.14,1.45,0.0,0.0
2017,110366,E,0.0,0.94,0.0,0.0
2017,110368,E,0.0,3.1,0.0,0.0
2017,110370,E,0.0,1.57,0.0,0.0
2017,110372,E,0.68,22.95,0.0,0.0
2017,110376,E,0.0,2.17,0.0,0.0
2017,110379,E,0.0,1.6,0.0,0.0
2017,110380,H,1.02,14.01,0.0,0.0
2017,110381,M,0.53,20.04,0.0,0.0
2017,110382,M,0.17,2.2,0.0,0.0
2017,110384,E,0.44,14.19,0.0,0.0
2017,110388,E,0.0,2.86,0.0,0.0
2017,110401,M,0.34,19.13,0.0,0.0
2017,110408,E,0.32,1.75,0.0,0.0
2017,110410,E,0.0,2.38,0.0,0.0
2017,110412,E,0.0,5.15,0.0,0.0
2017,110416,H,0.95,6.82,0.0,0.0
2017,110420,M,0.16,10.66,0.0,0.0
2017,110422,E,0.0,0.39,0.0,0.0
2017,110425,M,0.0,7.92,0.0,0.0
2017,110428,E,0.0,3.07,0.0,0.0
2017,110432,E,0.0,2.88,0.0,0.0
2017,110436,E,0.0,0.71,0.0,0.0
2017,110444,E,0.0,9.22,0.0,0.0
2017,110450,M,0.0,15.42,0.0,0.0
2017,110451,M,0.14,6.29,0.0,0.0
2017,110500,H,0.0,0.68,0.0,0.0
2017,110LEA,E,0.07,3.79,0.0,0.0
2017,110LEA,H,1.38,17.96,0.04,0.0
2017,110LEA,M,0.42,15.14,0.0,0.0
2017,111302,H,0.93,22.6,1.55,0.0
2017,111304,E,0.3,39.52,0.0,0.0
2017,111306,E,0.19,8.71,0.0,0.0
2017,111312,E,0.41,11.66,0.0,0.0
2017,111332,E,0.0,7.23,0.0,0.0
2017,111356,M,0.76,41.47,0.0,0.0
2017,111360,E,0.22,12.04,0.0,0.0
2017,111700,H,0.0,1.44,0.0,0.0
2017,111LEA,E,0.22,14.13,0.0,0.0
2017,111LEA,H,0.68,17.02,1.14,0.0
2017,111LEA,M,0.76,41.47,0.0,0.0
2017,111LEA,T,,,,
2017,11A000,I,0.0,2.95,0.0,0.0
2017,11B000,I,0.0,9.34,0.0,0.0
2017,11C000,A,1.29,8.15,0.0,0.0
2017,11D000,T,1.0,12.69,0.25,0.0
2017,11K000,I,0.0,0.58,0.0,0.0
2017,120304,E,0.0,9.04,0.0,0.0
2017,120308,T,6.36,200.91,0.0,0.0
2017,120310,H,0.0,0.0,0.0,0.0
2017,120312,E,0.45,12.67,0.0,0.0
2017,120314,H,3.13,22.68,0.0,0.0
2017,120315,M,0.46,7.0,0.0,0.0
2017,120316,E,0.47,5.85,0.0,0.0
2017,120318,H,0.88,14.31,0.0,0.0
2017,120320,E,0.0,0.3,0.0,0.0
2017,120324,E,0.25,4.24,0.0,0.0
2017,120334,M,0.21,12.4,0.0,0.0
2017,120338,E,0.0,4.24,0.0,0.0
2017,120340,E,0.0,2.83,0.0,0.0
2017,120344,E,0.0,0.0,0.0,0.0
2017,120346,H,1.05,4.63,0.0,0.0
2017,120350,M,0.0,3.99,0.0,0.0
2017,120352,A,0.0,1.14,0.0,0.0
2017,120360,E,0.7,9.41,0.0,0.0
2017,120364,E,0.0,1.73,0.0,0.0
2017,120368,E,0.0,1.16,0.0,0.0
2017,120370,H,2.45,5.21,0.11,0.0
2017,120372,E,0.0,1.04,0.0,0.0
2017,120374,E,0.0,0.82,0.0,0.0
2017,120376,M,0.4,8.48,0.0,0.0
2017,120380,E,0.0,1.54,0.0,0.0
2017,120386,E,0.48,9.16,0.0,0.0
2017,120390,M,0.0,5.34,0.0,0.0
2017,120LEA,A,0.0,1.14,0.0,0.0
2017,120LEA,E,0.16,4.24,0.0,0.0
2017,120LEA,H,1.82,11.92,0.03,0.0
2017,120LEA,M,0.23,7.34,0.0,0.0
2017,120LEA,T,6.36,200.91,0.0,0.0
2017,12A000,I,0.34,5.42,0.0,0.0
2017,130304,E,0.0,3.55,0.0,0.0
2017,130307,H,0.84,9.84,0.0,0.0
2017,130308,E,0.33,16.01,0.0,0.0
2017,130309,E,0.25,6.03,0.0,0.0
2017,130310,H,0.6,18.73,0.0,0.0
2017,130311,E,0.0,6.1,0.0,0.0
2017,130312,E,0.19,1.05,0.0,0.0
2017,130313,M,1.25,40.5,0.0,0.0
2017,130314,H,1.12,18.01,0.0,0.0
2017,130315,M,0.25,0.51,0.0,0.0
2017,130316,H,0.85,21.83,0.0,0.0
2017,130317,T,6.02,92.77,0.0,0.0
2017,130318,M,1.06,16.94,0.0,0.0
2017,130319,E,0.0,1.19,0.0,0.0
2017,130320,M,0.0,6.32,0.0,0.0
2017,130321,E,0.12,5.61,0.0,0.0
2017,130322,E,0.3,1.97,0.0,0.0
2017,130323,M,0.94,9.09,0.0,0.0
2017,130324,H,0.7,7.79,0.0,0.0
2017,130325,E,0.0,3.46,0.0,0.0
2017,130326,H,0.49,17.72,0.0,0.0
2017,130327,M,0.92,25.14,0.0,0.0
2017,130328,E,0.0,10.36,0.0,0.0
2017,130329,E,0.26,11.23,0.13,0.0
2017,130330,E,0.0,6.67,0.0,0.0
2017,130331,E,0.0,2.42,0.0,0.0
2017,130332,H,0.65,8.91,0.0,0.0
