year,agency_code,grade,pct_prof,pct_prof_masking
2019,00A000,6,41.0,
2019,00A000,9,25.0,
2019,00B000,6,40.6,
2019,00B000,9,25.3,
2019,010303,9,84.9,
2019,010310,6,23.9,
2019,010324,9,48.0,
2019,010348,9,22.4,
2019,010350,6,25.0,
2019,010353,6,42.4,
2019,010360,9,13.1,
2019,010378,9,5.0,2.0
2019,010388,9,43.0,
2019,010390,6,40.8,
2019,010394,6,29.6,
2019,010396,9,31.8,
2019,010400,9,39.1,
2019,010403,6,46.5,
2019,010406,6,43.5,
2019,01B000,6,53.7,
2019,01B000,9,54.7,
2019,01C000,6,63.8,
2019,01C000,9,37.7,
2019,01D000,6,50.0,
2019,01D000,9,74.4,
2019,020302,9,40.1,
2019,020303,9,65.4,
2019,020306,6,52.1,
2019,020330,6,51.9,
2019,030304,9,40.0,
2019,030308,6,38.5,
2019,030316,6,65.0,
2019,030320,6,27.8,
2019,040304,9,44.2,
2019,040306,9,19.1,
2019,040309,6,28.6,
2019,050302,9,47.2,
2019,050303,9,90.7,
2019,050310,6,62.5,
2019,050330,6,61.7,
2019,050335,6,59.7,
2019,060302,9,45.6,
2019,060310,6,64.3,
2019,060318,6,53.2,
2019,060701,9,32.0,
2019,070308,6,58.7,
2019,070311,9,75.8,
2019,070325,6,36.7,
2019,070329,6,29.1,
2019,070330,9,33.8,
2019,070338,6,39.0,
2019,070339,9,35.6,
2019,070340,6,41.2,
2019,070342,9,22.8,
2019,07A000,6,47.4,
2019,07A000,9,45.0,
2019,080311,9,50.0,
2019,080312,9,16.5,
2019,080314,6,48.8,
2019,08A000,6,5.0,2.0
2019,090315,6,31.2,
2019,090320,6,36.2,
2019,090330,9,26.6,
2019,090332,6,31.8,
2019,090365,6,30.9,
2019,090368,9,20.3,
2019,090376,9,33.3,
2019,09A000,6,9.1,
2019,09A000,9,14.3,
2019,09B000,6,34.2,
2019,100307,9,85.7,
2019,100308,9,5.0,2.0
2019,100309,6,37.3,
2019,100316,6,47.7,
2019,100326,9,35.2,
2019,100332,6,57.2,
2019,100334,9,39.2,
2019,100335,6,40.9,
2019,100344,6,39.4,
2019,100348,9,22.6,
2019,10A000,6,59.4,
2019,110303,9,5.0,2.0
2019,110304,9,48.3,
2019,110306,6,44.4,
2019,110322,9,55.9,
2019,110326,6,66.7,
2019,110336,9,40.5,
2019,110338,6,47.2,
2019,110340,9,29.9,
2019,110352,9,42.5,
2019,110380,9,45.3,
2019,110382,6,53.2,
2019,110416,9,59.2,
2019,110425,6,42.9,
2019,110450,6,51.5,
2019,110451,6,42.5,
2019,110500,9,95.0,1.0
2019,111302,9,39.9,
2019,111356,6,53.7,
2019,111369,6,50.7,
2019,111700,9,57.1,
2019,11A000,6,74.5,
2019,11B000,6,54.0,
2019,11C000,6,51.3,
2019,11C000,9,40.5,
2019,11D000,6,47.8,
2019,11D000,9,45.8,
2019,11K000,6,62.5,
2019,120314,9,44.1,
2019,120315,6,56.9,
2019,120318,9,44.4,
2019,120334,6,55.8,
2019,120346,9,44.3,
2019,120350,6,58.6,
2019,120370,9,49.7,
2019,120376,6,43.9,
2019,120390,6,36.8,
2019,12A000,6,31.8,
2019,130307,9,66.2,
2019,130310,9,34.4,
2019,130313,6,25.0,
2019,130314,9,32.6,
2019,130315,6,62.1,
2019,130316,9,30.6,
2019,130317,6,10.0,
2019,130317,9,7.7,
2019,130318,6,40.4,
2019,130320,6,67.0,
2019,130323,6,48.5,
2019,130324,9,47.0,
2019,130326,9,40.8,
2019,130327,6,33.1,
2019,130332,9,51.1,
2019,130346,6,60.7,
2019,130349,9,75.4,
2019,130350,9,58.6,
2019,130355,6,46.2,
2019,132304,9,26.1,
2019,132330,6,38.6,
2019,13A000,6,29.9,
2019,13A000,9,27.3,
2019,13B000,6,21.9,
2019,13B000,9,21.7,
2019,13C000,6,14.7,
2019,13D000,6,26.8,
2019,140305,9,59.6,
2019,140306,9,14.3,
2019,140308,6,52.9,
2019,140309,9,77.1,
2019,140332,6,30.2,
2019,140336,6,50.5,
2019,140344,6,55.6,
2019,140348,9,36.6,
2019,140356,6,46.7,
2019,140360,6,33.3,
2019,140368,6,40.5,
2019,140386,9,42.3,
2019,140390,9,25.4,
2019,150304,9,43.8,
2019,150310,6,54.4,
2019,150350,9,58.1,
2019,160310,6,51.6,
2019,160311,6,71.8,
2019,160313,9,44.9,
2019,160314,9,52.4,
2019,160318,6,54.4,
2019,160326,6,55.2,
2019,160332,6,60.4,
2019,160343,9,51.2,
2019,160344,9,45.4,
2019,170316,9,16.9,
2019,170338,6,30.9,
2019,180304,6,51.6,
2019,180308,9,52.1,
2019,180312,6,34.2,
2019,180316,6,57.1,
2019,180320,9,34.3,
2019,180324,6,34.4,
2019,180325,9,88.0,
2019,180326,6,55.7,
2019,180332,6,44.4,
2019,180336,6,51.4,
2019,180340,9,58.8,
2019,180343,6,44.0,
2019,180344,6,39.5,
2019,180348,9,39.4,
2019,180356,6,63.9,
2019,180360,6,44.1,
2019,180368,6,65.2,
2019,180372,6,38.3,
2019,180376,9,41.5,
2019,180379,6,55.8,
2019,180380,6,57.3,
2019,180388,6,38.3,
2019,181312,6,51.9,
2019,181316,6,56.3,
2019,181318,9,35.5,
2019,181322,9,40.3,
2019,182316,9,32.4,
2019,182321,6,53.9,
2019,182700,9,87.2,
2019,190304,6,77.4,
2019,190308,6,50.0,
2019,190312,6,35.3,
2019,190316,9,46.2,
2019,190328,6,51.9,
2019,190332,6,53.1,
2019,190336,9,22.5,
2019,190339,6,65.5,
2019,190340,6,46.4,
2019,190342,9,47.3,
2019,190352,6,46.5,
2019,190501,9,87.5,
2019,19A000,6,72.1,
2019,19A000,9,53.2,
2019,19B000,6,77.5,
2019,19B000,9,92.3,
2019,19C000,6,45.8,
2019,200308,9,53.7,
2019,200310,6,45.5,
2019,200312,6,81.3,
2019,200314,9,68.0,
2019,200320,6,47.4,
2019,200328,9,57.4,
2019,200330,6,57.0,
2019,200336,6,31.0,
2019,200350,9,68.6,
2019,20A000,6,29.4,
2019,210304,6,50.0,
2019,210312,9,42.9,
2019,220310,9,37.1,
2019,220312,6,38.8,
2019,230312,9,34.8,
2019,230316,6,44.3,
2019,230322,9,75.0,
2019,230324,9,46.3,
2019,230328,6,47.9,
2019,230330,6,18.2,
2019,230330,9,5.0,2.0
2019,230336,6,24.1,
2019,230350,9,45.8,
2019,230351,6,45.5,
2019,230361,9,37.1,
2019,23A000,6,51.9,
2019,23A000,9,47.4,
2019,240304,6,42.9,
2019,240328,6,51.4,
2019,240334,9,23.6,
2019,240344,6,25.5,
2019,240356,6,32.2,
2019,240368,6,72.2,
2019,240371,9,28.6,
2019,240373,9,36.8,
2019,240376,6,26.7,
2019,240380,9,27.4,
2019,240388,6,39.5,
2019,241304,6,50.8,
2019,241316,9,35.7,
2019,24B000,9,19.0,
2019,24N000,6,44.9,
2019,250314,9,55.3,
2019,250321,9,85.4,
2019,250324,6,54.4,
2019,250332,6,46.1,
2019,250340,9,44.4,
2019,250344,6,40.3,
2019,250356,9,35.4,
2019,250368,6,66.9,
2019,250372,9,23.3,
2019,250376,6,42.9,
2019,260318,9,55.6,
2019,260321,6,33.3,
2019,260322,9,14.6,
2019,260325,9,34.4,
2019,260336,6,35.2,
2019,260347,9,74.0,
2019,260354,9,71.6,
2019,260357,9,43.8,
2019,260358,6,29.0,
2019,260359,9,18.8,
2019,260362,6,51.9,
2019,260365,6,49.8,
2019,260368,6,37.6,
2019,260369,6,62.0,
2019,260371,6,27.1,
2019,260372,6,30.2,
2019,260383,6,55.1,
2019,260388,9,68.4,
2019,260406,6,52.4,
2019,260408,9,34.1,
2019,260411,9,35.5,
2019,260413,6,25.0,
2019,260417,6,53.7,
2019,260418,6,70.0,
2019,260419,6,50.9,
2019,260424,9,18.7,
2019,260425,6,32.5,
2019,260427,9,27.5,
2019,260428,6,40.7,
2019,260446,9,37.6,
2019,260449,9,5.0,2.0
2019,260454,6,27.2,
2019,260455,9,19.8,
2019,260700,9,78.7,
2019,26B000,6,58.9,
2019,26B000,9,34.6,
2019,26C000,6,40.7,
2019,270306,9,35.5,
2019,270308,6,34.0,
2019,270311,9,52.0,
2019,270318,6,54.3,
2019,280304,6,55.6,
2019,280304,9,48.7,
2019,280316,9,43.1,
2019,280320,6,48.1,
2019,280328,6,66.2,
2019,280330,9,47.1,
2019,290308,9,29.8,
2019,290309,6,48.5,
2019,290314,9,7.7,
2019,290315,9,63.3,
2019,290322,6,34.1,
2019,290324,9,31.7,
2019,290334,6,50.2,
2019,290336,9,38.8,
2019,290348,9,36.8,
2019,290349,9,48.4,
2019,290350,6,46.0,
2019,290351,6,56.3,
2019,290365,9,23.6,
2019,290367,6,49.3,
2019,290376,6,45.6,
2019,290388,9,37.7,
2019,290389,9,43.6,
2019,291332,6,31.7,
2019,291336,9,29.9,
2019,292320,6,21.6,
2019,292324,9,22.1,
2019,300312,9,46.3,
2019,300314,9,60.5,
2019,300325,6,47.0,
2019,300330,6,48.8,
2019,300337,6,52.1,
2019,310304,6,40.7,
2019,310308,6,40.4,
