year,agency_code,category_code,avg_student_num
2019,010303,,228
2019,010304,,611
2019,010308,,622
2019,010310,,764
2019,010312,,746
2019,010320,,375
2019,010324,,1216
2019,010326,,574
2019,010328,,533
2019,010340,,730
2019,010346,,374
2019,010347,,612
2019,010348,,758
2019,010350,,704
2019,010351,,463
2019,010353,,684
2019,010354,,625
2019,010357,,495
2019,010358,,593
2019,010360,,944
2019,010362,,527
2019,010364,,350
2019,010372,,306
2019,010374,,568
2019,010378,,84
2019,010380,,571
2019,010384,,634
2019,010388,,1427
2019,010390,,737
2019,010392,,267
2019,010394,,928
2019,010396,,1163
2019,010400,,1145
2019,010403,,830
2019,010406,,583
2019,020302,,1216
2019,020303,,195
2019,020304,,448
2019,020306,,612
2019,020308,,288
2019,020316,,472
2019,020320,,246
2019,020324,,218
2019,020328,,249
2019,020330,,581
2019,020332,,281
2019,030304,,433
2019,030308,,209
2019,030316,,165
2019,030320,,540
2019,040304,,234
2019,040305,,47
2019,040306,,706
2019,040308,,175
2019,040309,,688
2019,040311,,318
2019,040316,,243
2019,040324,,183
2019,040328,,423
2019,040330,,172
2019,050302,,868
2019,050303,,60
2019,050305,,473
2019,050310,,476
2019,050330,,549
2019,050335,,552
2019,060302,,426
2019,060304,,160
2019,060310,,188
2019,060316,,206
2019,060318,,263
2019,060322,,195
2019,060328,,222
2019,060332,,113
2019,060334,,17
2019,060700,,85
2019,060701,,53
2019,070302,,502
2019,070308,,578
2019,070310,,66
2019,070311,,275
2019,070325,,409
2019,070326,,499
2019,070327,,524
2019,070328,,501
2019,070329,,430
2019,070330,,406
2019,070338,,783
2019,070339,,413
2019,070340,,161
2019,070342,,898
2019,080311,,175
2019,080312,,521
2019,080314,,486
2019,080348,,130
2019,080356,,243
2019,080360,,187
2019,080362,,374
2019,090315,,290
2019,090317,,360
2019,090318,,198
2019,090320,,253
2019,090324,,219
2019,090328,,64
2019,090330,,643
2019,090332,,415
2019,090333,,463
2019,090352,,151
2019,090365,,341
2019,090368,,692
2019,090376,,50
2019,100302,,848
2019,100304,,415
2019,100307,,384
2019,100308,,92
2019,100309,,505
2019,100310,,463
2019,100316,,933
2019,100320,,594
2019,100326,,1119
2019,100332,,645
2019,100334,,1045
2019,100335,,753
2019,100336,,568
2019,100338,,573
2019,100339,,556
2019,100340,,600
2019,100342,,498
2019,100344,,504
2019,100348,,1429
2019,110303,,132
