year,agency_code,dance_cat,music_cat,theatre_cat,va_cat
2019,120368,N,Y,N,Y
2019,120370,Y,Y,Y,Y
2019,120374,N,Y,N,N
2019,120376,N,Y,N,Y
2019,120380,N,Y,N,N
2019,120386,N,Y,N,N
2019,120390,N,Y,N,Y
2019,12A000,N,N,N,Y
2019,130304,N,Y,N,Y
2019,130307,Y,Y,Y,Y
2019,130308,N,Y,N,Y
2019,130309,N,Y,N,Y
2019,130310,N,Y,Y,Y
2019,130311,N,Y,N,Y
2019,130312,N,Y,N,Y
2019,130313,Y,Y,N,Y
2019,130314,N,Y,Y,Y
2019,130315,N,Y,N,Y
2019,130316,N,Y,Y,Y
2019,130318,N,Y,N,Y
2019,130319,N,Y,N,Y
2019,130320,N,Y,N,Y
2019,130321,N,Y,N,Y
2019,130322,N,Y,N,Y
2019,130323,N,Y,Y,Y
2019,130324,N,Y,Y,Y
2019,130325,N,Y,N,Y
2019,130326,N,Y,Y,Y
2019,130327,N,Y,Y,Y
2019,130328,N,Y,N,Y
2019,130329,N,Y,N,Y
2019,130330,N,Y,N,Y
2019,130331,N,Y,N,Y
2019,130332,N,Y,Y,Y
2019,130333,N,Y,N,Y
2019,130336,N,Y,N,Y
2019,130337,N,Y,N,Y
2019,130338,N,Y,N,Y
2019,130340,N,Y,N,Y
2019,130342,N,Y,N,Y
2019,130344,N,Y,N,Y
2019,130345,N,Y,N,Y
2019,130346,N,Y,Y,Y
2019,130349,N,N,N,Y
2019,130350,N,Y,Y,Y
2019,130355,N,Y,N,Y
2019,132304,Y,Y,Y,Y
2019,132308,N,Y,N,Y
2019,132312,N,Y,N,Y
2019,132314,Y,Y,N,Y
2019,132328,N,Y,N,Y
2019,132330,Y,Y,N,Y
2019,132332,N,Y,N,Y
2019,132336,N,Y,N,Y
2019,13A000,N,Y,Y,Y
2019,13B000,N,Y,Y,Y
2019,13C000,N,Y,N,Y
2019,13D000,N,Y,N,Y
2019,140304,N,Y,N,Y
2019,140308,N,Y,N,N
2019,140312,N,Y,Y,Y
2019,140316,N,Y,N,Y
2019,140324,N,Y,N,Y
2019,140332,N,Y,N,Y
2019,140336,N,Y,N,Y
2019,140340,N,Y,N,Y
2019,140344,N,Y,N,Y
2019,140348,N,Y,Y,Y
2019,140352,N,Y,N,Y
2019,140356,N,Y,N,Y
2019,140360,N,Y,N,Y
2019,140368,N,Y,N,Y
2019,140372,N,Y,N,Y
2019,140376,N,Y,N,Y
2019,140384,N,Y,N,Y
2019,140386,N,Y,Y,Y
2019,140388,N,Y,N,Y
2019,140390,N,Y,Y,Y
2019,140392,N,Y,N,Y
2019,140396,N,Y,N,Y
2019,150304,N,Y,N,Y
2019,150308,N,Y,N,Y
2019,150310,N,Y,N,Y
2019,150312,N,Y,N,Y
2019,150350,N,Y,Y,Y
2019,160304,N,Y,N,Y
2019,160306,N,Y,N,Y
2019,160308,N,Y,N,Y
2019,160310,N,Y,N,Y
2019,160311,N,Y,N,Y
2019,160313,Y,Y,Y,Y
2019,160314,Y,Y,Y,Y
2019,160316,N,Y,N,Y
2019,160317,N,Y,N,Y
2019,160318,N,Y,N,Y
2019,160322,N,Y,N,Y
2019,160324,N,Y,N,Y
2019,160326,N,Y,N,Y
2019,160332,N,Y,N,Y
2019,160344,Y,Y,Y,Y
2019,160352,N,Y,N,Y
2019,16B000,N,Y,N,Y
2019,170316,Y,Y,N,Y
2019,170334,N,Y,N,Y
2019,170338,N,Y,N,Y
2019,170339,N,Y,N,Y
2019,170342,N,Y,N,Y
2019,170344,N,Y,N,Y
2019,180302,N,Y,Y,Y
2019,180304,N,Y,N,Y
2019,180308,N,Y,Y,Y
2019,180312,N,Y,Y,Y
2019,180316,N,Y,Y,Y
2019,180320,N,Y,Y,Y
2019,180323,N,N,N,Y
2019,180324,N,Y,N,Y
2019,180325,N,Y,Y,Y
2019,180326,Y,Y,N,Y
2019,180332,N,Y,N,Y
2019,180336,N,Y,N,Y
2019,180340,N,Y,Y,Y
2019,180342,N,Y,Y,Y
2019,180343,N,Y,Y,Y
2019,180344,N,Y,Y,Y
2019,180346,N,Y,Y,Y
2019,180348,N,Y,Y,Y
2019,180352,N,Y,N,Y
2019,180356,N,Y,Y,Y
2019,180360,N,Y,Y,Y
2019,180364,N,Y,Y,Y
2019,180368,N,Y,N,Y
2019,180372,N,Y,N,Y
2019,180376,N,Y,Y,Y
2019,180379,N,Y,Y,Y
2019,180380,Y,Y,N,Y
2019,180388,N,Y,N,Y
2019,181312,N,Y,N,Y
2019,181316,N,Y,N,Y
2019,181318,N,N,Y,Y
2019,181322,N,Y,N,Y
2019,181326,N,Y,N,Y
2019,181332,N,Y,N,Y
2019,181336,N,Y,N,Y
2019,181342,N,Y,N,Y
2019,181344,N,Y,N,Y
2019,182316,N,Y,Y,Y
2019,182321,N,Y,Y,Y
2019,182322,N,Y,N,N
2019,182324,N,Y,N,N
2019,182328,N,Y,N,N
2019,182700,N,N,Y,N
2019,190304,N,Y,N,Y
2019,190308,N,Y,N,Y
2019,190310,N,N,N,Y
2019,190312,N,Y,N,Y
2019,190316,N,Y,N,Y
2019,190328,N,Y,N,Y
2019,190332,N,Y,N,Y
2019,190336,N,Y,N,Y
2019,190339,N,Y,N,Y
2019,190340,N,Y,N,Y
2019,190341,N,Y,N,Y
2019,190342,Y,Y,Y,Y
2019,190346,N,Y,N,Y
2019,190348,N,Y,N,Y
2019,190350,N,Y,N,Y
2019,190352,N,Y,N,Y
2019,190370,N,Y,N,Y
2019,190501,N,N,N,Y
2019,19A000,N,Y,N,Y
2019,19B000,N,Y,Y,Y
2019,19C000,N,Y,N,Y
2019,200304,N,Y,N,Y
2019,200308,N,Y,Y,Y
2019,200310,N,Y,N,N
2019,200312,N,Y,N,Y
2019,200314,N,Y,N,Y
2019,200320,N,Y,N,Y
2019,200324,N,Y,N,Y
2019,200328,N,Y,N,Y
2019,200330,N,Y,N,Y
2019,200332,N,Y,N,Y
2019,200336,N,Y,N,Y
2019,200350,N,Y,N,Y
2019,210304,N,Y,N,Y
2019,210306,N,Y,N,Y
2019,210312,N,Y,N,Y
2019,210316,N,Y,N,Y
2019,220308,N,Y,N,Y
2019,220310,N,Y,N,Y
2019,220312,N,Y,N,Y
2019,230304,N,Y,N,Y
2019,230308,N,Y,N,Y
2019,230312,N,Y,N,Y
2019,230316,N,Y,N,Y
2019,230320,N,Y,N,Y
2019,230324,N,Y,Y,Y
2019,230328,N,Y,N,Y
2019,230334,N,Y,N,Y
2019,230336,N,Y,N,Y
2019,230340,N,Y,N,Y
2019,230342,N,Y,N,Y
2019,230344,N,Y,N,Y
2019,230346,N,Y,N,Y
2019,230348,N,Y,N,Y
2019,230350,N,Y,Y,Y
2019,230351,N,Y,N,Y
2019,230352,N,Y,N,Y
2019,230355,N,Y,N,Y
2019,230357,N,Y,N,Y
2019,230359,N,Y,N,N
2019,230361,N,Y,Y,Y
2019,230362,Y,Y,N,Y
2019,230364,N,Y,N,Y
2019,230368,N,Y,N,Y
2019,230370,N,Y,N,Y
2019,230376,N,Y,N,Y
2019,230380,N,Y,N,Y
2019,23A000,N,Y,N,Y
2019,240304,N,Y,N,Y
