year,agency_code,pct_prin_demo,subgroup
2019,010LEA,0.143,BL7
2019,010LEA,0.6,FEM
2019,010LEA,0.0,OTHER
2019,010LEA,0.857,WH7
2019,010LEA,0.4,MALE
2019,020LEA,0.0,BL7
2019,020LEA,0.455,FEM
2019,020LEA,0.0,OTHER
2019,020LEA,1.0,WH7
2019,020LEA,0.545,MALE
2019,030LEA,0.0,BL7
2019,030LEA,0.0,FEM
2019,030LEA,0.0,OTHER
2019,030LEA,1.0,WH7
2019,030LEA,1.0,MALE
2019,040LEA,0.4,BL7
2019,040LEA,0.5,FEM
2019,040LEA,0.1,OTHER
2019,040LEA,0.5,WH7
2019,040LEA,0.5,MALE
2019,050LEA,0.0,BL7
2019,050LEA,0.667,FEM
2019,050LEA,0.0,OTHER
2019,050LEA,1.0,WH7
2019,050LEA,0.333,MALE
2019,060LEA,0.0,BL7
2019,060LEA,0.286,FEM
2019,060LEA,0.0,OTHER
2019,060LEA,1.0,WH7
2019,060LEA,0.714,MALE
2019,070LEA,0.143,BL7
2019,070LEA,0.5,FEM
2019,070LEA,0.0,OTHER
2019,070LEA,0.857,WH7
2019,070LEA,0.5,MALE
2019,080LEA,0.714,BL7
2019,080LEA,0.857,FEM
2019,080LEA,0.0,OTHER
2019,080LEA,0.286,WH7
2019,080LEA,0.143,MALE
2019,090LEA,0.385,BL7
2019,090LEA,0.846,FEM
2019,090LEA,0.0,OTHER
2019,090LEA,0.615,WH7
2019,090LEA,0.154,MALE
2019,100LEA,0.105,BL7
2019,100LEA,0.526,FEM
2019,100LEA,0.053,OTHER
2019,100LEA,0.842,WH7
2019,100LEA,0.421,MALE
2019,110LEA,0.048,BL7
2019,110LEA,0.619,FEM
2019,110LEA,0.0,OTHER
2019,110LEA,0.952,WH7
2019,110LEA,0.381,MALE
2019,111LEA,0.4,BL7
2019,111LEA,0.7,FEM
2019,111LEA,0.0,OTHER
2019,111LEA,0.6,WH7
2019,111LEA,0.3,MALE
2019,120LEA,0.077,BL7
2019,120LEA,0.692,FEM
2019,120LEA,0.0,OTHER
2019,120LEA,0.923,WH7
2019,120LEA,0.308,MALE
2019,130LEA,0.105,BL7
2019,130LEA,0.474,FEM
2019,130LEA,0.0,OTHER
2019,130LEA,0.895,WH7
2019,130LEA,0.526,MALE
2019,132LEA,0.0,BL7
2019,132LEA,0.333,FEM
2019,132LEA,0.0,OTHER
2019,132LEA,1.0,WH7
2019,132LEA,0.667,MALE
2019,140LEA,0.077,BL7
2019,140LEA,0.538,FEM
2019,140LEA,0.0,OTHER
2019,140LEA,0.923,WH7
2019,140LEA,0.462,MALE
2019,150LEA,0.25,BL7
2019,150LEA,0.5,FEM
2019,150LEA,0.0,OTHER
2019,150LEA,0.75,WH7
2019,150LEA,0.5,MALE
2019,160LEA,0.0,BL7
2019,160LEA,0.778,FEM
2019,160LEA,0.056,OTHER
2019,160LEA,0.944,WH7
2019,160LEA,0.222,MALE
2019,170LEA,0.5,BL7
2019,170LEA,0.833,FEM
2019,170LEA,0.0,OTHER
2019,170LEA,0.5,WH7
2019,170LEA,0.167,MALE
2019,180LEA,0.069,BL7
2019,180LEA,0.552,FEM
2019,180LEA,0.0,OTHER
2019,180LEA,0.931,WH7
2019,180LEA,0.448,MALE
2019,181LEA,0.222,BL7
2019,181LEA,0.889,FEM
2019,181LEA,0.0,OTHER
2019,181LEA,0.778,WH7
2019,181LEA,0.111,MALE
2019,182LEA,0.0,BL7
2019,182LEA,0.571,FEM
2019,182LEA,0.0,OTHER
2019,182LEA,1.0,WH7
2019,182LEA,0.429,MALE
2019,190LEA,0.118,BL7
2019,190LEA,0.529,FEM
2019,190LEA,0.0,OTHER
2019,190LEA,0.882,WH7
2019,190LEA,0.471,MALE
2019,200LEA,0.0,BL7
2019,200LEA,0.538,FEM
2019,200LEA,0.0,OTHER
2019,200LEA,1.0,WH7
2019,200LEA,0.462,MALE
2019,210LEA,0.25,BL7
2019,210LEA,0.5,FEM
2019,210LEA,0.0,OTHER
2019,210LEA,0.75,WH7
2019,210LEA,0.5,MALE
2019,220LEA,0.0,BL7
2019,220LEA,0.667,FEM
2019,220LEA,0.0,OTHER
2019,220LEA,1.0,WH7
2019,220LEA,0.333,MALE
2019,230LEA,0.103,BL7
2019,230LEA,0.586,FEM
2019,230LEA,0.0,OTHER
2019,230LEA,0.897,WH7
2019,230LEA,0.414,MALE
2019,240LEA,0.059,BL7
2019,240LEA,0.471,FEM
2019,240LEA,0.118,OTHER
2019,240LEA,0.824,WH7
2019,240LEA,0.529,MALE
2019,241LEA,0.2,BL7
2019,241LEA,0.8,FEM
2019,241LEA,0.0,OTHER
2019,241LEA,0.8,WH7
2019,241LEA,0.2,MALE
2019,250LEA,0.24,BL7
2019,250LEA,0.6,FEM
2019,250LEA,0.0,OTHER
2019,250LEA,0.76,WH7
2019,250LEA,0.4,MALE
2019,260LEA,0.482,BL7
2019,260LEA,0.682,FEM
2019,260LEA,0.024,OTHER
2019,260LEA,0.494,WH7
2019,260LEA,0.306,MALE
2019,270LEA,0.0,BL7
2019,270LEA,0.8,FEM
2019,270LEA,0.2,OTHER
2019,270LEA,0.8,WH7
2019,270LEA,0.2,MALE
2019,280LEA,0.091,BL7
2019,280LEA,0.455,FEM
2019,280LEA,0.0,OTHER
2019,280LEA,0.909,WH7
2019,280LEA,0.545,MALE
2019,290LEA,0.0,BL7
2019,290LEA,0.694,FEM
2019,290LEA,0.0,OTHER
2019,290LEA,1.0,WH7
2019,290LEA,0.306,MALE
2019,291LEA,0.571,BL7
2019,291LEA,0.857,FEM
2019,291LEA,0.0,OTHER
2019,291LEA,0.429,WH7
2019,291LEA,0.143,MALE
2019,292LEA,0.75,BL7
2019,292LEA,0.75,FEM
2019,292LEA,0.0,OTHER
2019,292LEA,0.25,WH7
2019,292LEA,0.25,MALE
