year,agency_code,subgroup,iss_per1000,iss_mask_code,sts_per1000,sts_mask_code,lts_per1000,lts_mask_code,exp_per1000,exp_mask_code,act_per1000,act_mask_code,bha_per1000,bha_mask_code,rpt_per1000,rpt_mask_code,arr_per1000,arr_mask_code
2019,010312,MALE,13.228,0,39.683,0,0.0,0,0.0,0,5.291,0,0.0,0,2.6460000000000004,0,0.0,0
2019,010312,MU7,0.0,0,68.182,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010312,SWD,0.0,0,91.837,0,0.0,0,0.0,0,20.4082,0,0.0,0,10.204,0,0.0,0
2019,010312,WH7,0.0,0,5.155,0,0.0,0,0.0,0,5.1546,0,0.0,0,2.577,0,0.0,0
2019,010320,ALL,151.351,0,113.514,0,0.0,0,0.0,0,0.0,0,13.514000000000001,0,0.0,0,0.0,0
2019,010320,BL7,349.398,0,277.108,0,0.0,0,0.0,0,0.0,0,24.096,0,0.0,0,0.0,0
2019,010320,EDS,239.766,0,181.287,0,0.0,0,0.0,0,0.0,0,23.392,0,0.0,0,0.0,0
2019,010320,ELS,176.47099999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010320,FEM,73.03399999999999,0,28.09,0,0.0,0,0.0,0,0.0,0,5.617999999999999,0,0.0,0,0.0,0
2019,010320,HI7,86.95700000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010320,MALE,195.455,0,168.18200000000002,0,0.0,0,0.0,0,0.0,0,18.182000000000002,0,0.0,0,0.0,0
2019,010320,MU7,55.556000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010320,SWD,171.053,0,289.474,0,0.0,0,0.0,0,0.0,0,13.158,0,0.0,0,0.0,0
2019,010320,WH7,88.353,0,76.305,0,0.0,0,0.0,0,0.0,0,12.048,0,0.0,0,0.0,0
2019,010324,ALL,344.249,0,80.605,0,0.8396,0,0.0,0,14.2737,0,0.84,0,0.84,0,0.0,0
2019,010324,AS7,66.667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2019,010324,BL7,492.70099999999996,0,113.139,0,0.0,0,0.0,0,7.2993,0,0.0,0,3.65,0,0.0,0
2019,010324,EDS,530.398,0,134.172,0,2.0964,0,0.0,0,18.8679,0,2.096,0,0.0,0,0.0,0
2019,010324,ELS,367.347,0,40.816,0,0.0,0,0.0,0,40.8163,0,0.0,0,0.0,0,0.0,0
2019,010324,FEM,154.804,0,24.910999999999998,0,0.0,0,0.0,0,8.8968,0,1.7790000000000001,0,1.7790000000000001,0,0.0,0
2019,010324,HI7,343.59,0,56.41,0,0.0,0,0.0,0,20.5128,0,0.0,0,0.0,0,0.0,0
