year,agency_code,stu_enroll,cte_enroll,pct
2019,240356,204,63,30.88
2019,240368,196,83,42.35
2019,240371,715,482,67.41
2019,240373,296,175,59.12
2019,240376,190,72,37.89
2019,240380,413,261,63.2
2019,240388,235,109,46.38
2019,241304,481,319,66.32
2019,241312,43,12,27.91
2019,241316,671,473,70.49
2019,24B000,118,1,0.85
2019,250314,137,72,52.55
2019,250321,185,79,42.7
2019,250324,598,369,61.71
2019,250332,848,476,56.13
2019,250340,963,777,80.69
2019,250344,429,218,50.82
2019,250356,1626,1108,68.14
2019,250368,544,336,61.76
2019,250372,896,728,81.25
2019,250376,753,499,66.27
2019,260318,1954,1467,75.08
2019,260321,539,506,93.88
2019,260322,1066,834,78.24
2019,260325,1431,1155,80.71
2019,260336,473,401,84.78
2019,260347,258,2,0.78
2019,260357,1449,1094,75.5
2019,260358,560,509,90.89
2019,260359,929,643,69.21
2019,260362,1168,1121,95.98
2019,260365,719,690,95.97
2019,260368,558,483,86.56
2019,260369,1117,916,82.01
2019,260371,306,270,88.24
2019,260372,622,604,97.11
2019,260374,186,47,25.27
2019,260383,1174,980,83.48
2019,260388,263,23,8.75
2019,260406,815,627,76.93
2019,260408,1598,1247,78.04
2019,260411,266,127,47.74
2019,260413,155,116,74.84
2019,260417,403,335,83.13
2019,260418,446,443,99.33
2019,260419,335,317,94.63
2019,260424,1432,1181,82.47
2019,260425,659,641,97.27
2019,260427,1587,1107,69.75
2019,260428,504,467,92.66
2019,260446,1206,729,60.45
2019,260449,173,121,69.94
2019,260454,781,730,93.47
2019,260455,1144,800,69.93
2019,260700,243,53,21.81
2019,26B000,237,30,12.66
2019,270306,996,709,71.18
2019,270308,377,313,83.02
2019,270311,282,138,48.94
2019,270318,609,521,85.55
2019,280304,330,170,51.52
2019,280306,32,9,28.13
2019,280316,513,320,62.38
2019,280320,455,237,52.09
2019,280328,684,285,41.67
2019,280330,833,404,48.5
2019,290308,891,714,80.13
2019,290309,780,361,46.28
2019,290314,131,70,53.44
2019,290315,151,19,12.58
2019,290322,673,375,55.72
2019,290324,842,697,82.78
2019,290334,719,389,54.1
2019,290336,996,804,80.72
2019,290348,1104,935,84.69
2019,290349,732,618,84.43
2019,290350,711,444,62.45
2019,290351,694,300,43.23
2019,290365,373,322,86.33
2019,290367,280,183,65.36
2019,290376,628,311,49.52
2019,290388,738,635,86.04
2019,290389,190,159,83.68
2019,291332,761,362,47.57
2019,291336,804,685,85.2
2019,292320,551,481,87.3
2019,292324,670,535,79.85
2019,300306,24,3,12.5
2019,300312,1746,1217,69.7
2019,300314,174,9,5.17
2019,300325,482,459,95.23
2019,300330,531,450,84.75
2019,300337,466,431,92.49
2019,310304,286,164,57.34
2019,310308,306,294,96.08
2019,310330,178,171,96.07
2019,310336,251,246,98.01
2019,310338,204,90,44.12
2019,310344,904,733,81.08
2019,310352,632,507,80.22
2019,310356,168,138,82.14
2019,310360,106,106,100.0
2019,310364,500,373,74.6
2019,310384,401,370,92.27
2019,310388,411,347,84.43
2019,310392,585,495,84.62
2019,320306,523,356,68.07
2019,320312,1846,1129,61.16
2019,320314,594,241,40.57
2019,320316,924,711,76.95
2019,320317,340,304,89.41
2019,320322,175,79,45.14
2019,320323,1736,130,7.49
2019,320325,1356,885,65.27
2019,320338,449,340,75.72
2019,320340,129,113,87.6
2019,320341,155,125,80.65
2019,320342,289,140,48.44
2019,320343,508,374,73.62
2019,320346,650,491,75.54
2019,320353,185,70,37.84
2019,320355,812,763,93.97
2019,320356,1442,839,58.18
2019,320365,1777,1055,59.37
2019,320366,1013,633,62.49
2019,320368,1186,777,65.51
2019,320370,629,493,78.38
2019,320701,333,269,80.78
2019,32L000,720,257,35.69
2019,330326,182,33,18.13
2019,330328,232,189,81.47
2019,330332,135,90,66.67
2019,330340,366,230,62.84
2019,330344,304,107,35.2
2019,330348,334,299,89.52
2019,330350,839,687,81.88
2019,330358,565,468,82.83
2019,330360,167,62,37.13
2019,33A000,535,225,42.06
2019,340311,1014,966,95.27
2019,340330,563,335,59.5
2019,340336,189,141,74.6
2019,340350,1180,867,73.47
2019,340354,134,133,99.25
2019,340362,268,28,10.45
2019,340364,1710,1035,60.53
2019,340366,762,592,77.69
2019,340372,840,508,60.48
2019,340382,1429,778,54.44
2019,340385,170,47,27.65
2019,340392,777,550,70.79
2019,340406,1247,956,76.66
2019,340420,730,592,81.1
2019,340427,50,16,32.0
2019,340436,135,122,90.37
2019,340442,1179,961,81.51
2019,340446,83,9,10.84
2019,340452,390,343,87.95
2019,340454,1490,786,52.75
2019,340460,973,639,65.67
2019,340464,927,643,69.36
2019,340480,819,625,76.31
2019,340486,1402,731,52.14
2019,340488,349,341,97.71
2019,340492,510,361,70.78
2019,340495,2017,1005,49.83
2019,340496,1735,711,40.98
2019,340516,1164,915,78.61
2019,340542,699,516,73.82
2019,340544,702,485,69.09
2019,340556,2363,1218,51.54
2019,340564,640,514,80.31
2019,340568,370,166,44.86
2019,34B000,246,22,8.94
2019,34D000,181,121,66.85
2019,34H000,419,13,3.1
2019,350308,855,704,82.34
2019,350310,673,535,79.49
2019,350312,646,529,81.89
2019,350317,186,80,43.01
2019,350321,1085,823,75.85
2019,350324,233,182,78.11
2019,350336,529,418,79.02
2019,350338,451,380,84.26
2019,360310,1224,814,66.5
2019,360324,710,700,98.59
2019,360336,622,444,71.38
2019,360337,234,16,6.84
2019,360360,498,403,80.92
2019,360372,220,132,60.0
2019,360378,1058,700,66.16
2019,360380,814,786,96.56
2019,360390,820,489,59.63
2019,360396,1124,760,67.62
2019,360408,723,652,90.18
2019,360418,536,534,99.63
2019,360426,803,758,94.4
2019,360428,1045,837,80.1
2019,360431,427,378,88.52
2019,360436,557,492,88.33
2019,360456,651,568,87.25
2019,360470,1013,679,67.03
2019,360494,987,619,62.72
2019,360498,865,774,89.48
2019,360500,659,417,63.28
2019,360514,671,608,90.61
2019,360526,391,298,76.21
2019,360550,54,5,9.26
2019,36B000,672,41,6.1
2019,36C000,898,90,10.02
2019,370308,404,391,96.78
2019,370312,454,297,65.42
2019,380308,367,237,64.58
2019,380310,180,172,95.56
2019,390309,469,354,75.48
2019,390314,62,18,29.03
2019,390320,564,484,85.82
2019,390321,108,35,32.41
2019,390322,658,520,79.03
2019,390323,207,22,10.63
2019,390324,471,374,79.41
2019,390331,249,227,91.16
2019,390334,407,319,78.38
2019,390352,743,557,74.97
2019,390700,220,191,86.82
2019,39A000,532,6,1.13
2019,400308,715,552,77.2
2019,400312,714,556,77.87
2019,400315,164,15,9.15
2019,410311,299,228,76.25
2019,410313,732,580,79.23
2019,410316,736,576,78.26
2019,410319,693,567,81.82
2019,410325,604,476,78.81
2019,410326,112,85,75.89
2019,410355,1340,918,68.51
2019,410358,1267,951,75.06
2019,410367,741,563,75.98
2019,410390,120,12,10.0
2019,410391,611,260,42.55
2019,410394,1670,618,37.01
2019,410395,199,66,33.17
2019,410397,712,524,73.6
2019,410398,263,5,1.9
2019,410399,139,17,12.23
2019,410401,225,72,32.0
2019,410402,676,628,92.9
2019,410406,1327,821,61.87
2019,410407,125,109,87.2
2019,410408,141,60,42.55
2019,410415,449,349,77.73
2019,410421,1125,724,64.36
2019,410437,744,591,79.44
2019,410442,1001,695,69.43
2019,410448,594,268,45.12
2019,410458,88,88,100.0
2019,410460,1046,677,64.72
2019,410463,763,488,63.96
2019,410483,122,97,79.51
2019,410484,910,781,85.82
2019,410487,738,555,75.2
2019,410488,861,484,56.21
2019,410489,1319,609,46.17
2019,410490,2086,831,39.84
2019,410493,1097,758,69.1
2019,410508,1727,571,33.06
2019,410529,1354,997,73.63
2019,410533,50,22,44.0
2019,410534,38,23,60.53
2019,410544,1254,918,73.21
2019,410545,181,180,99.45
2019,410547,1259,985,78.24
2019,410550,988,808,81.78
2019,410556,1032,823,79.75
2019,410562,1552,1003,64.63
2019,410565,1245,844,67.79
2019,410569,180,121,67.22
2019,410579,200,151,75.5
2019,410589,331,77,23.26
2019,410592,448,424,94.64
2019,410595,1173,548,46.72
2019,41F000,665,85,12.78
2019,41G000,635,4,0.63
2019,41K000,424,1,0.24
2019,420324,243,142,58.44
2019,420346,355,257,72.39
2019,420358,248,223,89.92
2019,420376,327,226,69.11
2019,421306,690,610,88.41
2019,421316,870,660,75.86
2019,421336,70,17,24.29
