agency_code,tot_num_ap,subgroup,pct_ap,tot_num_ccp,pct_ccp,tot_num_ib,pct_ib,year,category_code
00A000,58.0,ELS,,22.0,,,,2019,A
00A000,58.0,PI7,,22.0,,,,2019,A
00A000,58.0,SWD,,22.0,,,,2019,A
00A000,58.0,MU7,,22.0,,,,2019,A
00A000,58.0,FEM,72.41,22.0,86.36,,,2019,A
00A000,58.0,AM7,,22.0,,,,2019,A
00A000,58.0,BL7,,22.0,,,,2019,A
00A000,58.0,MALE,27.59,22.0,,,,2019,A
00A000,58.0,Other,,22.0,,,,2019,A
00A000,58.0,AS7,,22.0,,,,2019,A
00A000,58.0,HI7,,22.0,,,,2019,A
00A000,58.0,WH7,63.79,22.0,77.27,,,2019,A
00B000,,BL7,,5.0,,,,2019,A
00B000,,AS7,,5.0,,,,2019,A
00B000,,SWD,,5.0,,,,2019,A
00B000,,Other,,5.0,,,,2019,A
00B000,,PI7,,5.0,,,,2019,A
00B000,,ELS,,5.0,,,,2019,A
00B000,,HI7,,5.0,,,,2019,A
00B000,,AM7,,5.0,,,,2019,A
00B000,,FEM,,5.0,,,,2019,A
00B000,,MALE,,5.0,,,,2019,A
00B000,,MU7,,5.0,,,,2019,A
00B000,,WH7,,5.0,,,,2019,A
010303,,WH7,,221.0,43.89,,,2019,H
010303,,FEM,,221.0,58.37,,,2019,H
010303,,AM7,,221.0,,,,2019,H
010303,,ELS,,221.0,,,,2019,H
010303,,SWD,,221.0,,,,2019,H
010303,,Other,,221.0,,,,2019,H
010303,,HI7,,221.0,28.05,,,2019,H
010303,,MALE,,221.0,41.63,,,2019,H
010303,,BL7,,221.0,19.46,,,2019,H
010303,,MU7,,221.0,5.0,,,2019,H
010303,,PI7,,221.0,,,,2019,H
010303,,AS7,,221.0,,,,2019,H
010324,217.0,AS7,,451.0,,,,2019,H
010324,217.0,AM7,,451.0,,,,2019,H
010324,217.0,Other,,451.0,,,,2019,H
010324,217.0,MU7,5.53,451.0,5.32,,,2019,H
010324,217.0,HI7,7.83,451.0,14.63,,,2019,H
010324,217.0,SWD,,451.0,13.08,,,2019,H
