year,agency_code,lp_school,rlp_school,clpc_school,lp_num,lp_den,lp_pct,lp_district
2019,00A000,Y,N,Y,,,,
2019,00B000,Y,N,Y,,,,
2019,10303,N,N,N,,,,
2019,10304,N,N,N,,,,
2019,10308,N,N,N,,,,
2019,10310,Y,Y,N,,,,
2019,10311,N,N,N,,,,
2019,10312,N,N,N,,,,
2019,10320,N,N,N,,,,
2019,10324,N,N,N,,,,
2019,10326,Y,Y,N,,,,
2019,10328,N,N,N,,,,
2019,10340,N,N,N,,,,
2019,10346,Y,Y,N,,,,
2019,10347,N,N,N,,,,
2019,10348,N,N,N,,,,
2019,10350,Y,Y,N,,,,
2019,10351,Y,Y,N,,,,
2019,10353,N,N,N,,,,
2019,10354,Y,Y,N,,,,
2019,10357,Y,Y,N,,,,
2019,10358,Y,Y,N,,,,
2019,10360,N,N,N,,,,
2019,10362,N,N,N,,,,
2019,10364,Y,Y,N,,,,
2019,10372,Y,N,N,,,,
2019,10374,N,Y,N,,,,
2019,10378,N,N,N,,,,
2019,10380,Y,Y,N,,,,
2019,10384,N,N,N,,,,
2019,10388,N,N,N,,,,
2019,10390,N,N,N,,,,
2019,10392,Y,Y,N,,,,
2019,10394,Y,Y,N,,,,
2019,10396,N,N,N,,,,
2019,10400,N,N,N,,,,
2019,10403,N,N,N,,,,
2019,10406,N,N,N,,,,
2019,010LEA,,,,13.0,34.0,38.2,N
2019,01B000,N,N,N,,,,
2019,01C000,N,N,N,,,,
2019,01D000,N,N,N,,,,
2019,20302,N,N,N,,,,
2019,20303,N,N,N,,,,
2019,20304,N,N,N,,,,
2019,20306,N,N,N,,,,
2019,20308,N,N,N,,,,
2019,20316,N,N,N,,,,
2019,20320,N,N,N,,,,
2019,20324,N,N,N,,,,
2019,20328,N,N,N,,,,
2019,20330,N,N,N,,,,
2019,20332,N,N,N,,,,
2019,020LEA,,,,0.0,11.0,0.0,N
2019,30304,N,N,N,,,,
2019,30308,N,N,N,,,,
2019,30316,N,N,N,,,,
2019,30320,N,N,N,,,,
2019,030LEA,,,,0.0,4.0,0.0,N
2019,40304,N,N,N,,,,
2019,40305,N,N,N,,,,
2019,40306,Y,Y,N,,,,
2019,40308,N,N,N,,,,
2019,40309,Y,Y,N,,,,
2019,40311,N,Y,N,,,,
2019,40316,N,Y,N,,,,
2019,40324,Y,Y,N,,,,
2019,40328,N,N,N,,,,
2019,40330,Y,Y,N,,,,
2019,040LEA,,,,4.0,9.0,44.4,N
2019,50302,N,N,N,,,,
2019,50303,N,N,N,,,,
2019,50305,N,N,N,,,,
2019,50310,N,N,N,,,,
2019,50330,N,N,N,,,,
2019,50335,N,N,N,,,,
2019,050LEA,,,,0.0,6.0,0.0,N
2019,60302,N,N,N,,,,
2019,60304,N,N,N,,,,
2019,60310,N,N,N,,,,
2019,60316,N,N,N,,,,
2019,60318,N,N,N,,,,
2019,60322,N,N,N,,,,
2019,60328,N,N,N,,,,
2019,60332,N,N,N,,,,
2019,60334,N,N,N,,,,
2019,60700,N,N,N,,,,
2019,60701,Y,N,N,,,,
2019,060LEA,,,,1.0,9.0,11.1,N
2019,06A000,N,N,N,,,,
2019,06B000,Y,N,Y,,,,
2019,70302,N,N,N,,,,
2019,70308,N,N,N,,,,
2019,70310,N,N,N,,,,
2019,70311,N,N,N,,,,
2019,70325,N,N,N,,,,
2019,70326,N,N,N,,,,
2019,70327,N,N,N,,,,
2019,70328,N,N,N,,,,
2019,70329,N,N,N,,,,
2019,70330,N,N,N,,,,
2019,70338,N,N,N,,,,
2019,70339,N,N,N,,,,
2019,70340,N,Y,N,,,,
2019,70342,N,N,N,,,,
2019,070LEA,,,,0.0,12.0,0.0,N
2019,07A000,N,N,N,,,,
2019,80311,N,N,N,,,,
2019,80312,Y,Y,N,,,,
2019,80314,Y,Y,N,,,,
2019,80348,N,N,N,,,,
2019,80356,Y,N,N,,,,
2019,80360,N,N,N,,,,
2019,80362,N,N,N,,,,
2019,080LEA,,,,3.0,7.0,42.9,N
2019,08A000,Y,N,Y,,,,
2019,90315,N,N,N,,,,
2019,90317,N,N,N,,,,
2019,90318,Y,N,N,,,,
2019,90320,N,N,N,,,,
2019,90324,Y,N,N,,,,
2019,90328,Y,Y,N,,,,
2019,90330,N,N,N,,,,
2019,90332,Y,Y,N,,,,
2019,90333,N,N,N,,,,
2019,90352,Y,N,N,,,,
2019,90365,Y,Y,N,,,,
2019,90368,N,N,N,,,,
2019,90376,N,N,N,,,,
2019,090LEA,,,,6.0,13.0,46.2,N
2019,09A000,Y,N,Y,,,,
2019,09B000,N,N,N,,,,
2019,100302,N,N,N,,,,
2019,100304,N,N,N,,,,
2019,100307,N,N,N,,,,
2019,100308,N,N,N,,,,
2019,100309,N,N,N,,,,
2019,100310,N,Y,N,,,,
2019,100316,Y,Y,N,,,,
2019,100320,N,N,N,,,,
2019,100326,N,N,N,,,,
2019,100332,N,N,N,,,,
2019,100334,N,N,N,,,,
2019,100335,N,N,N,,,,
2019,100336,N,N,N,,,,
2019,100338,Y,Y,N,,,,
2019,100339,N,N,N,,,,
2019,100340,N,N,N,,,,
2019,100342,N,N,N,,,,
2019,100344,N,N,N,,,,
2019,100348,N,N,N,,,,
2019,100LEA,,,,2.0,18.0,11.1,N
2019,10A000,N,N,N,,,,
2019,10B000,N,N,N,,,,
2019,110303,N,N,N,,,,
2019,110304,N,N,N,,,,
2019,110306,N,N,N,,,,
2019,110308,N,N,N,,,,
2019,110318,N,N,N,,,,
2019,110320,N,N,N,,,,
2019,110322,N,N,N,,,,
2019,110323,N,N,N,,,,
2019,110324,N,N,N,,,,
2019,110326,N,N,N,,,,
2019,110332,N,N,N,,,,
2019,110336,N,N,N,,,,
2019,110338,N,N,N,,,,
2019,110340,N,N,N,,,,
2019,110342,Y,Y,N,,,,
2019,110348,N,N,N,,,,
2019,110352,N,N,N,,,,
2019,110356,N,N,N,,,,
2019,110366,N,N,N,,,,
2019,110368,N,N,N,,,,
2019,110370,N,N,N,,,,
2019,110372,Y,Y,N,,,,
2019,110376,N,N,N,,,,
2019,110379,N,N,N,,,,
2019,110380,N,N,N,,,,
2019,110381,N,N,N,,,,
2019,110382,N,N,N,,,,
2019,110384,Y,Y,N,,,,
2019,110388,N,N,N,,,,
2019,110401,N,N,N,,,,
2019,110408,N,N,N,,,,
2019,110410,Y,N,N,,,,
2019,110412,N,N,N,,,,
2019,110416,N,N,N,,,,
2019,110420,N,N,N,,,,
2019,110422,N,N,N,,,,
2019,110425,N,N,N,,,,
2019,110428,N,N,N,,,,
2019,110432,N,N,N,,,,
2019,110436,N,N,N,,,,
2019,110444,N,N,N,,,,
2019,110450,N,N,N,,,,
2019,110451,N,N,N,,,,
2019,110500,N,N,N,,,,
2019,110LEA,,,,4.0,41.0,9.8,N
2019,111302,N,N,N,,,,
2019,111304,N,N,N,,,,
2019,111306,N,N,N,,,,
2019,111307,N,N,N,,,,
2019,111312,N,N,N,,,,
2019,111332,N,N,N,,,,
2019,111356,N,N,N,,,,
2019,111360,N,N,N,,,,
2019,111369,N,N,N,,,,
2019,111700,N,N,N,,,,
2019,111LEA,,,,0.0,9.0,0.0,N
2019,11A000,N,N,N,,,,
2019,11B000,N,N,N,,,,
2019,11C000,N,N,N,,,,
2019,11D000,N,N,N,,,,
2019,11K000,N,N,N,,,,
2019,120308,N,N,N,,,,
2019,120310,N,N,N,,,,
2019,120312,N,N,N,,,,
2019,120314,N,N,N,,,,
2019,120315,N,N,N,,,,
2019,120316,N,N,N,,,,
2019,120318,N,N,N,,,,
2019,120320,N,N,N,,,,
2019,120324,N,N,N,,,,
2019,120334,N,N,N,,,,
2019,120338,N,N,N,,,,
2019,120340,N,N,N,,,,
2019,120344,N,N,N,,,,
2019,120346,N,N,N,,,,
2019,120350,N,N,N,,,,
2019,120352,N,N,N,,,,
2019,120354,Y,N,N,,,,
2019,120360,N,N,N,,,,
2019,120364,N,N,N,,,,
2019,120368,N,N,N,,,,
2019,120370,N,N,N,,,,
2019,120374,N,N,N,,,,
2019,120376,N,N,N,,,,
2019,120380,N,N,N,,,,
2019,120386,N,N,N,,,,
2019,120390,N,N,N,,,,
2019,120LEA,,,,1.0,23.0,4.3,N
2019,12A000,N,N,N,,,,
2019,130304,N,N,N,,,,
2019,130307,N,N,N,,,,
2019,130308,N,N,N,,,,
2019,130309,N,N,N,,,,
2019,130310,N,N,N,,,,
2019,130311,N,N,N,,,,
2019,130312,N,N,N,,,,
2019,130313,Y,Y,N,,,,
2019,130314,N,N,N,,,,
2019,130315,N,N,N,,,,
2019,130316,N,N,N,,,,
2019,130317,N,N,N,,,,
2019,130318,N,N,N,,,,
2019,130319,N,N,N,,,,
2019,130320,N,N,N,,,,
2019,130321,N,N,N,,,,
2019,130322,N,N,N,,,,
2019,130323,N,N,N,,,,
2019,130324,N,N,N,,,,
2019,130325,N,N,N,,,,
2019,130326,N,N,N,,,,
2019,130327,N,N,N,,,,
2019,130328,Y,Y,N,,,,
2019,130329,Y,Y,N,,,,
2019,130330,N,N,N,,,,
2019,130331,N,N,N,,,,
2019,130332,N,N,N,,,,
2019,130333,N,N,N,,,,
2019,130336,N,N,N,,,,
2019,130337,N,N,N,,,,
