year,agency_code,category_code,ni,eff,he,ni_pct,eff_pct,he_pct
2019,060700,H,0,2,2,0.0,0.5,0.5
2019,060701,H,1,8,10,0.052631579299999995,0.4210526347,0.5263158083
2019,06A000,A,0,1,2,0.0,0.3333333433,0.6666666864999999
2019,06B000,A,0,5,6,0.0,0.4545454681,0.5454545617000001
2019,070302,E,3,19,18,0.075000003,0.474999994,0.4499999881
2019,070308,I,2,18,8,0.0714285746,0.6428571343,0.2857142985
2019,070310,T,2,4,0,0.3333333433,0.6666666864999999,0.0
2019,070311,H,0,2,7,0.0,0.22222222390000002,0.7777777909999999
2019,070325,M,6,11,3,0.30000001190000003,0.5500000119,0.150000006
2019,070326,E,2,28,4,0.0588235296,0.8235294223,0.1176470593
2019,070327,E,3,20,12,0.08571428810000001,0.571428597,0.3428571522
2019,070328,E,9,12,7,0.3214285672,0.4285714328,0.25
2019,070329,I,2,23,11,0.055555556,0.6388888954999999,0.30555555219999997
2019,070330,H,3,15,13,0.0967741907,0.48387095329999996,0.4193548262
2019,070338,M,11,27,8,0.23913043739999998,0.586956501,0.17391304670000002
2019,070339,H,3,17,7,0.11111111189999999,0.629629612,0.2592592537
2019,070340,I,2,12,2,0.125,0.75,0.125
2019,070342,H,10,29,18,0.1754385978,0.508771956,0.3157894611
2019,07A000,A,0,3,0,0.0,1.0,0.0
2019,080311,H,4,2,1,0.571428597,0.2857142985,0.1428571492
2019,080312,H,21,14,0,0.6000000238000001,0.400000006,0.0
2019,080314,M,4,18,0,0.18181818719999998,0.8181818128,0.0
2019,080348,E,3,6,0,0.3333333433,0.6666666864999999,0.0
2019,080356,E,2,15,0,0.1176470593,0.8823529481999999,0.0
2019,080360,E,1,10,4,0.06666667009999999,0.6666666864999999,0.2666666806
2019,080362,E,1,20,3,0.0416666679,0.8333333135,0.125
2019,08A000,I,1,5,0,0.1666666716,0.8333333135,0.0
2019,090304,,0,0,4,0.0,0.0,1.0
2019,090315,M,5,7,1,0.38461539149999996,0.5384615660000001,0.0769230798
2019,090317,E,2,18,3,0.0869565234,0.7826086879,0.1304347813
2019,090318,E,2,6,1,0.22222222390000002,0.6666666864999999,0.11111111189999999
2019,090320,M,4,7,2,0.3076923192,0.5384615660000001,0.1538461596
2019,090324,E,3,11,1,0.200000003,0.7333333492,0.06666667009999999
2019,090328,E,1,8,0,0.11111111189999999,0.8888888954999999,0.0
2019,090330,H,5,21,14,0.125,0.5249999761999999,0.349999994
2019,090332,M,6,10,5,0.2857142985,0.4761904776,0.2380952388
2019,090333,E,0,27,8,0.0,0.7714285851,0.2285714298
2019,090352,E,2,11,0,0.1538461596,0.8461538553,0.0
2019,090365,M,5,5,7,0.2941176593,0.2941176593,0.4117647111
2019,090368,H,10,26,9,0.22222222390000002,0.5777778029,0.200000003
2019,090376,H,1,4,0,0.200000003,0.8000000119,0.0
2019,09A000,T,0,0,1,0.0,0.0,1.0
2019,09B000,I,2,14,13,0.068965517,0.4827586114,0.4482758641
2019,100302,E,2,43,11,0.0357142873,0.7678571343,0.1964285672
2019,100304,E,0,25,6,0.0,0.8064516187,0.1935483813
2019,100307,H,1,6,7,0.0714285746,0.4285714328,0.5
2019,100308,T,2,16,0,0.11111111189999999,0.8888888954999999,0.0
2019,100309,M,4,25,5,0.1176470593,0.7352941036,0.1470588297
2019,100310,E,2,31,1,0.0588235296,0.9117646813,0.0294117648
2019,100316,M,13,40,3,0.2321428508,0.7142857313,0.0535714291
2019,100320,E,2,37,5,0.045454546799999995,0.8409090638,0.11363636699999999
2019,100326,H,5,44,19,0.0735294148,0.6470588446,0.27941176300000004
2019,100332,M,2,34,5,0.048780486,0.8292682767,0.1219512224
2019,100334,H,11,53,6,0.1571428627,0.7571428418,0.08571428810000001
2019,100335,M,6,33,6,0.1333333403,0.7333333492,0.1333333403
2019,100336,E,2,21,14,0.0540540554,0.5675675869,0.3783783913
2019,100338,E,4,38,4,0.0869565234,0.8260869384,0.0869565234
2019,100339,E,2,30,10,0.0476190485,0.7142857313,0.2380952388
2019,100340,E,2,22,13,0.0540540554,0.5945945978,0.3513513505
2019,100342,E,3,30,3,0.0833333358,0.8333333135,0.0833333358
2019,100344,I,2,24,7,0.0606060624,0.7272727489,0.2121212184
2019,100348,H,20,57,13,0.22222222390000002,0.6333333254,0.1444444507
2019,10A000,I,2,20,15,0.0540540554,0.5405405164,0.4054054022
