year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only,global_language
2019,290315,0.0,0.0,19.0,0.0,2.0
2019,290324,1.0,73.0,45.0,14.0,
2019,290336,4.0,82.0,132.0,9.0,1.0
2019,290348,0.0,122.0,6.0,8.0,13.0
2019,290365,0.0,34.0,21.0,6.0,3.0
2019,290388,1.0,67.0,35.0,6.0,10.0
2019,290389,0.0,11.0,3.0,5.0,
2019,291336,,,,,4.0
2019,292324,0.0,34.0,40.0,3.0,1.0
2019,300312,0.0,94.0,159.0,24.0,2.0
2019,300314,0.0,0.0,29.0,1.0,4.0
2019,310344,0.0,11.0,118.0,32.0,
2019,310352,0.0,6.0,60.0,13.0,
2019,310364,0.0,6.0,48.0,5.0,4.0
2019,310392,0.0,15.0,56.0,20.0,
2019,320309,0.0,0.0,77.0,0.0,
2019,320312,0.0,48.0,182.0,5.0,26.0
2019,320314,0.0,0.0,15.0,3.0,1.0
2019,320317,0.0,55.0,59.0,2.0,2.0
2019,320322,0.0,0.0,10.0,3.0,
2019,320323,0.0,11.0,161.0,0.0,41.0
2019,320325,0.0,13.0,124.0,0.0,32.0
2019,320353,0.0,2.0,64.0,4.0,5.0
2019,320356,2.0,33.0,127.0,14.0,18.0
2019,320365,0.0,87.0,141.0,4.0,36.0
2019,320368,0.0,39.0,63.0,1.0,3.0
2019,320701,0.0,2.0,32.0,0.0,
2019,32L000,0.0,5.0,70.0,1.0,10.0
2019,32N000,0.0,0.0,76.0,0.0,31.0
2019,330326,0.0,0.0,25.0,0.0,
2019,330328,0.0,7.0,22.0,5.0,1.0
2019,330350,0.0,22.0,54.0,11.0,5.0
2019,330358,0.0,24.0,43.0,6.0,
2019,33A000,0.0,6.0,25.0,0.0,
2019,340311,0.0,175.0,12.0,0.0,22.0
2019,340330,0.0,9.0,25.0,1.0,1.0
2019,340362,0.0,1.0,1.0,0.0,10.0
2019,340364,1.0,76.0,191.0,15.0,35.0
2019,340382,0.0,48.0,132.0,6.0,12.0
2019,340446,0.0,0.0,38.0,0.0,2.0
2019,340454,0.0,42.0,165.0,8.0,75.0
2019,340460,0.0,23.0,65.0,4.0,11.0
2019,340486,0.0,13.0,137.0,18.0,41.0
2019,340488,0.0,18.0,5.0,4.0,1.0
2019,340495,1.0,58.0,280.0,18.0,87.0
2019,340496,1.0,26.0,196.0,9.0,82.0
2019,340542,0.0,26.0,55.0,9.0,9.0
2019,340556,2.0,92.0,335.0,16.0,92.0
2019,340568,0.0,3.0,19.0,0.0,
2019,34B000,0.0,0.0,20.0,0.0,
2019,34D000,0.0,0.0,9.0,3.0,
2019,34H000,0.0,0.0,37.0,2.0,10.0
2019,350308,0.0,35.0,100.0,31.0,1.0
2019,350321,0.0,44.0,129.0,19.0,5.0
2019,350336,0.0,26.0,60.0,15.0,
2019,360310,0.0,42.0,154.0,29.0,40.0
2019,360336,0.0,23.0,2.0,4.0,
2019,360337,0.0,0.0,32.0,0.0,
2019,360360,0.0,53.0,20.0,5.0,6.0
2019,360378,0.0,43.0,16.0,2.0,13.0
2019,360390,,,,,3.0
2019,360396,0.0,60.0,10.0,0.0,24.0
2019,360418,0.0,104.0,116.0,0.0,6.0
2019,360428,0.0,36.0,4.0,3.0,8.0
2019,360470,0.0,49.0,4.0,6.0,
2019,360494,0.0,35.0,8.0,2.0,26.0
2019,36B000,0.0,0.0,44.0,1.0,7.0
2019,36C000,0.0,1.0,83.0,2.0,18.0
2019,370312,0.0,26.0,34.0,14.0,
2019,380308,0.0,8.0,44.0,0.0,1.0
2019,390321,0.0,1.0,1.0,1.0,
2019,390322,0.0,25.0,53.0,15.0,1.0
2019,390323,0.0,1.0,19.0,0.0,
2019,390324,0.0,12.0,33.0,8.0,
2019,390352,1.0,32.0,86.0,16.0,1.0
2019,390700,0.0,12.0,40.0,0.0,
2019,39A000,0.0,0.0,5.0,4.0,1.0
2019,39B000,0.0,0.0,41.0,0.0,
2019,400308,0.0,7.0,88.0,15.0,1.0
2019,400315,0.0,0.0,16.0,0.0,4.0
2019,410319,0.0,31.0,103.0,1.0,6.0
2019,410326,0.0,5.0,18.0,7.0,
2019,410355,0.0,36.0,121.0,1.0,7.0
2019,410358,0.0,58.0,170.0,10.0,8.0
2019,410390,0.0,0.0,42.0,2.0,
2019,410391,0.0,0.0,37.0,0.0,3.0
2019,410394,1.0,20.0,171.0,46.0,90.0
2019,410395,0.0,5.0,43.0,0.0,
2019,410399,0.0,1.0,25.0,0.0,6.0
2019,410401,0.0,4.0,45.0,0.0,1.0
2019,410406,0.0,32.0,141.0,9.0,43.0
2019,410407,0.0,14.0,3.0,0.0,
2019,410408,0.0,1.0,15.0,0.0,1.0
2019,410483,0.0,10.0,12.0,0.0,
2019,410484,1.0,32.0,76.0,5.0,11.0
2019,410489,0.0,31.0,201.0,9.0,50.0
2019,410490,0.0,43.0,404.0,14.0,97.0
2019,410508,0.0,25.0,230.0,4.0,109.0
2019,410529,0.0,56.0,147.0,1.0,25.0
2019,410544,0.0,18.0,101.0,7.0,15.0
2019,410545,0.0,44.0,40.0,1.0,
2019,410547,0.0,81.0,134.0,8.0,24.0
2019,410556,0.0,73.0,62.0,4.0,10.0
2019,410562,0.0,86.0,200.0,3.0,29.0
2019,410569,1.0,39.0,5.0,0.0,1.0
2019,410589,0.0,2.0,63.0,1.0,1.0
2019,410595,0.0,25.0,138.0,7.0,10.0
2019,41F000,0.0,0.0,50.0,0.0,1.0
2019,41G000,0.0,0.0,57.0,0.0,4.0
2019,41K000,,,,,8.0
2019,420346,0.0,1.0,24.0,0.0,
2019,420358,0.0,5.0,20.0,1.0,
2019,421316,1.0,66.0,73.0,10.0,4.0
2019,422315,0.0,1.0,12.0,0.0,
2019,430341,0.0,0.0,1.0,0.0,
2019,430346,0.0,70.0,146.0,43.0,4.0
